timestep,avg_action_dist,obs,rewards,actions,original_rewards,logstd_action_dist,human_obs
0,[ 2.14330935  1.42631674],"[ 1.21615206  1.66120727 -0.07845773 -2.10616514 -0.62957133 -0.6456397
 -1.24640899 -0.25879936  1.49335815  0.42550279  0.        ]",-2.83692,[ 2.30065716  0.87774002],-0.292364821963,[-0.42235333 -0.79991734],"[[-0.02362584  0.08206676 -0.07230652 -0.07276173]
 [-0.00443125 -0.00243952  0.          0.        ]]"
1,[ 1.91978073  1.25220084],"[ 1.21635978  1.65077054 -0.02009096 -1.99942143 -0.62957087 -0.64563922
 -1.13894941  0.5868314   1.48895189  0.49897291  0.        ]",-3.05689,[ 1.94250927  1.26600983],-0.295044054428,[-0.42235333 -0.79991734],"[[ 0.01596348  0.11687374 -0.07230652 -0.07276173]
 [ 3.95020506  3.47156469  0.          0.        ]]"
2,[ 1.6313653   1.04624927],"[ 1.20418852  1.59505234  0.15314895 -1.67020776 -0.62957041 -0.64563875
 -1.0336174   1.53355956  1.44908108  0.71667197  0.        ]",-3.05358,[ 0.85263234  1.06806614],-0.301428568792,[-0.42235333 -0.79991734],"[[ 0.13385977  0.22532805 -0.07230652 -0.07276173]
 [ 7.82655274  7.36090312  0.          0.        ]]"
3,[ 1.44473195  0.80054283],"[ 1.14531314  1.42021569  0.42390649 -1.12804154 -0.62956995 -0.64563827
 -0.94619908  2.46158174  1.30223607  1.04059083  0.        ]",-2.43043,[ 2.01997865  0.51765295],-0.306030832164,[-0.42235333 -0.79991734],"[[  0.3226679    0.41079852  -0.07230652  -0.07276173]
 [ 11.04365451  11.17342303   0.           0.        ]]"
4,[ 1.23977232  0.14449961],"[ 0.99005485  1.05106105  0.7656737  -0.48727203 -0.62956949 -0.64563779
 -0.84462592  2.90623256  0.97683394  1.36457627  0.        ]",-2.12091,[ 0.78904995  0.28534356],-0.300909258628,[-0.42235333 -0.79991734],"[[  0.58104395   0.65259596  -0.07230652  -0.07276173]
 [ 14.7816838   13.00019259   0.           0.        ]]"
5,[ 1.05519927 -1.35776067],"[ 0.68883873  0.47826552  1.11596036  0.09571173 -0.62956903 -0.64563731
 -0.76769974  3.11816584  0.48202684  1.52476928  0.        ]",-1.53053,[ 1.48544598 -0.99717909],-0.278871874891,[-0.42235333 -0.79991734],"[[  0.90507977   0.92133682  -0.07230652  -0.07276173]
 [ 17.61266796  13.87093027   0.           0.        ]]"
6,[ 0.88956976 -1.68875813],"[ 0.21419808 -0.13174565  1.37448814  0.46225891 -0.62956857 -0.64563683
 -0.66955999  2.08962217 -0.04311046  1.41100965  0.        ]",-1.29655,[ 0.85614502 -1.73679542],-0.239570174758,[-0.42235333 -0.79991734],"[[  1.29357066   1.15636085  -0.07230652  -0.07276173]
 [ 21.22435009   9.64546445   0.           0.        ]]"
7,[ 0.86460692 -1.60294461],"[-0.40658296 -0.56191095  1.40772839  0.61703251 -0.62956811 -0.64563635
 -0.58884292  1.0786307  -0.44488942  1.05609008  0.        ]",-1.35434,[ 0.47708861 -1.71837585],-0.188817722241,[-0.42235333 -0.79991734],"[[  1.74786283   1.30759881  -0.07230652  -0.07276173]
 [ 24.19485188   5.49208062   0.           0.        ]]"
8,[ 1.00211787 -0.87280649],"[-1.02600833 -0.76471394  1.10733994  0.66522986 -0.62956765 -0.64563588
 -0.5505049   0.08763288 -0.63363259  0.56586939  0.        ]",-1.43184,[ 0.75636072 -1.46198247],-0.13297226128,[-0.42235333 -0.79991734],"[[  2.24591733   1.37659276  -0.07230652  -0.07276173]
 [ 25.60573805   1.42083027   0.           0.        ]]"
9,[ 1.24475527  0.09275647],"[-1.4557424  -0.73031091  0.47383772  0.65810865 -0.62956719 -0.6456354
 -0.48292081 -0.88390735 -0.59026631  0.04955849  0.        ]",-1.70486,[ 1.1806168  -0.42823109],-0.0815513565933,[-0.42235333 -0.79991734],"[[  2.78298838   1.36496412  -0.07230652  -0.07276173]
 [ 28.09292737  -2.5704853    0.           0.        ]]"
