timestep,avg_action_dist,obs,rewards,actions,original_rewards,logstd_action_dist,human_obs
0,[ 3.04960155  1.33278501],"[ 1.21099921  1.62695432  0.0360387  -2.06824426  1.31881706  0.28559883
 -1.22219652 -0.25656175  0.20036862 -0.13040893  0.        ]",-2.57515,[ 1.33257274  1.12276898],-0.0598439155173,[-0.38280213 -0.78417033],"[[ 0.05193046  0.0814508   0.15090439  0.0346238 ]
 [ 0.00479683 -0.0037587   0.          0.        ]]"
1,[ 2.72324324  1.12196589],"[ 1.20706024  1.61504409  0.09456177 -1.94803689  1.31881506  0.28559865
 -1.11512741  0.7045003   0.19009302 -0.05409683  0.        ]",-2.14152,[ 3.1899138   1.17975509],-0.0562400674387,[-0.38280213 -0.78417033],"[[ 0.09170063  0.1210888   0.15090439  0.0346238 ]
 [ 3.95906505  3.95437088  0.          0.        ]]"
2,[ 2.34302378  0.91102558],"[ 1.18260775  1.55226151  0.26669349 -1.5943124   1.31881307  0.28559848
 -1.01017256  1.64653588  0.13156049  0.16561219  0.        ]",-1.84621,[ 1.71910994  0.88311514],-0.0571664317249,[-0.38280213 -0.78417033],"[[ 0.20977252  0.23910332  0.15090439  0.0346238 ]
 [ 7.83525802  7.83415054  0.          0.        ]]"
3,[ 2.07778239  0.51626545],"[ 1.10144413  1.36715361  0.54026499 -1.04743897  1.31881107  0.28559831
 -0.90727719  2.45752721 -0.04692902  0.48310598  0.        ]",-1.46712,[ 2.13298319  0.62054263],-0.0874853656782,[-0.38280213 -0.78417033],"[[  0.40460448   0.42929886   0.15090439   0.0346238 ]
 [ 11.63539797  11.1742541    0.           0.        ]]"
4,[ 1.8799808  -0.86110842],"[ 0.91052583  0.98478752  0.88109837 -0.41089059  1.31880908  0.28559814
 -0.80638151  2.999969   -0.41265971  0.78054416  0.        ]",-1.31411,[ 2.8544481  -1.38371211],-0.143676348776,[-0.38280213 -0.78417033],"[[  0.67469743   0.67520003   0.15090439   0.0346238 ]
 [ 15.3616905   13.4083727    0.           0.        ]]"
5,[ 1.78458953 -0.90875924],"[ 0.55681216  0.51017043  1.21560359  0.07338604  1.31880709  0.28559797
 -0.70740413  1.97358925 -0.91443231  0.8942695   0.        ]",-1.07161,[ 1.80979762 -1.21945199],-0.205399721253,[-0.38280213 -0.78417033],"[[  1.01860756   0.90095585   0.15090439   0.0346238 ]
 [ 19.01714024   9.18122373   0.           0.        ]]"
6,[ 1.91612697 -0.3625108 ],"[ 0.01995476  0.16180753  1.42127945  0.31725095  1.31880509  0.2855978
 -0.61039238  0.96741206 -1.4198538   0.76261943  0.        ]",-1.46416,[ 1.81135334 -0.36486203],-0.260114302712,[-0.38280213 -0.78417033],"[[  1.43489906   1.0430035    0.15090439   0.0346238 ]
 [ 22.59999847   5.03725514   0.           0.        ]]"
7,[ 1.99692178 -0.36699808],"[-0.64185114 -0.06212791  1.34475523  0.43836371  1.3188031   0.28559763
 -0.51532744  0.59162985 -1.82696294  0.38040526  0.        ]",-1.93127,[ 1.12130446 -0.22250777],-0.302892421193,[-0.38280213 -0.78417033],"[[  1.92212574   1.12822148   0.15090439   0.0346238 ]
 [ 26.11095864   3.48958603   0.           0.        ]]"
8,[ 1.99184453 -0.51479214],"[-1.25473977 -0.2260427   0.86722682  0.51193981  1.3188011   0.28559746
 -0.42214983  0.35996998 -1.99945562 -0.21237003  0.        ]",-2.19259,[ 1.43982496 -0.42226723],-0.326112091721,[-0.38280213 -0.78417033],"[[  2.47887222   1.18844174   0.15090439   0.0346238 ]
 [ 29.55221694   2.53548877   0.           0.        ]]"
9,[ 1.93479085 -0.42509127],"[-1.54583209 -0.31868075  0.01525054  0.54832532  1.31879911  0.28559729
 -0.33081633 -0.05935429 -1.81240963 -0.84660721  0.        ]",-2.813,[ 2.9993419   0.49649536],-0.321043332178,[-0.38280213 -0.78417033],"[[  3.10376107   1.22182543   0.15090439   0.0346238 ]
 [ 32.92536948   0.80848978   0.           0.        ]]"
10,[ 1.5037272  -1.09990048],"[-1.26223046 -0.41893522 -0.93797144  0.58368194  1.31879711  0.28559712
 -0.24131058  0.41270944 -1.24481225 -1.25003548  0.        ]",-2.15498,[ 2.05001064 -0.56011046],-0.277689676934,[-0.38280213 -0.78417033],"[[  3.79543387e+00   1.25750371e+00   1.50904390e-01   3.46237980e-02]
 [  3.62310194e+01   2.75269763e+00   0.00000000e+00   0.00000000e+00]]"
11,[ 1.20388186 -0.6115061 ],"[-0.38655755 -0.51039048 -1.49718402  0.61241512  1.31879512  0.28559695
 -0.15354745 -0.1406471  -0.51968988 -1.13561989  0.        ]",-1.93821,[ 2.29282807 -0.11709055],-0.192459363359,[-0.38280213 -0.78417033],"[[  4.55257626e+00   1.28969333e+00   1.50904390e-01   3.46237980e-02]
 [  3.94723103e+01   4.73685036e-01   0.00000000e+00   0.00000000e+00]]"
12,[ 1.02534032 -0.27101839],"[ 0.68065963 -0.52367936 -1.20477034  0.61631672  1.31879312  0.28559678
 -0.06754334 -0.25738132 -0.06112281 -0.47913521  0.        ]",-1.4611,[ 0.71689468  0.10692145],-0.0732849354939,[-0.38280213 -0.78417033],"[[  5.37389179e+00   1.29434509e+00   1.50904390e-01   3.46237980e-02]
 [  4.26486370e+01  -7.08803448e-03   0.00000000e+00   0.00000000e+00]]"
13,[ 1.33692861 -0.20539778],"[ 1.21194697 -0.53518981 -0.09413305  0.61964077  1.31879113  0.28559661
 -0.01357992 -0.1565928  -0.23357811  0.3637029   0.        ]",-1.40719,[ 0.53245785 -0.51292595],-0.0688156835057,[-0.38280213 -0.78417033],"[[  6.24686055e+00   1.29836938e+00   1.50904390e-01   3.46237980e-02]
 [  4.46416280e+01   4.08011133e-01   0.00000000e+00   0.00000000e+00]]"
14,[ 1.83674526  0.4243058 ],"[ 0.72405041 -0.49980328  1.08601343  0.60925618  1.31878913  0.28559644
  0.01956124 -0.65382848 -0.97726289  0.77042277  0.        ]",-1.93948,[ 1.31530127  0.88904801],-0.198556769673,[-0.38280213 -0.78417033],"[[  7.15197496e+00   1.28598331e+00   1.50904390e-01   3.46237980e-02]
 [  4.58656054e+01  -1.63986487e+00   0.00000000e+00   0.00000000e+00]]"
15,[ 1.91116774 -0.59391445],"[-0.50286618 -0.50764757  1.39049999  0.61159975  1.31878714  0.28559627
  0.10211433  0.20635613 -1.77129222  0.36253292  0.        ]",-2.35339,[-0.69889727 -0.89750372],-0.292790225977,[-0.38280213 -0.78417033],"[[  8.09987493e+00   1.28873294e+00   1.50904390e-01   3.46237980e-02]
 [  4.89144766e+01   1.90281990e+00   0.00000000e+00   0.00000000e+00]]"
16,[ 2.03303194  0.01113203],"[ -1.44629844e+00  -5.13174685e-01   5.12274997e-01   6.13236520e-01
   1.31878515e+00   2.85596096e-01   1.04938227e-03  -6.67693587e-01
  -1.92211261e+00  -5.49344338e-01   0.00000000e+00]",-3.01226,[ 3.95857557  0.51376363],-0.322494641448,[-0.38280213 -0.78417033],"[[  9.04071705e+00   1.29066906e+00   1.50904390e-01   3.46237980e-02]
 [  4.51819257e+01  -1.69696833e+00   0.00000000e+00   0.00000000e+00]]"
17,[ 1.68071365 -0.60171145],"[-1.34310598 -0.47530184 -0.81212365  0.60177892  1.31878315  0.28559593
  0.08396957 -0.16797239 -1.32899845 -1.21467065  0.        ]",-2.35079,[ 2.50667995 -0.75353371],-0.284101557757,[-0.38280213 -0.78417033],"[[  9.97508054e+00   1.27738129e+00   1.50904390e-01   3.46237980e-02]
 [  4.82443508e+01   3.61139410e-01   0.00000000e+00   0.00000000e+00]]"
18,[ 1.41453779  0.29202065],"[-0.20212834 -0.41041155 -1.51550515  0.58083193  1.31878116  0.28559576
  0.16527491 -0.89682456 -0.41899538 -1.08195936  0.        ]",-1.67927,[ 1.40309037 -0.12408474],-0.17855009562,[-0.38280213 -0.78417033],"[[  1.09700975e+01   1.25448810e+00   1.50904390e-01   3.46237980e-02]
 [  5.12471361e+01  -2.64064963e+00   0.00000000e+00   0.00000000e+00]]"
19,[ 1.50344777  0.87960386],"[ 1.01523288 -0.25009076 -0.80141505  0.52173251  1.31877916  0.28559558
  0.24493427 -1.00635401 -0.00644662 -0.1568484   0.        ]",-1.45884,[ 1.23460957  0.12520234],-0.0291614705027,[-0.38280213 -0.78417033],"[[  1.20245587e+01   1.19715082e+00   1.50904390e-01   3.46237980e-02]
 [  5.41891319e+01  -3.09175238e+00   0.00000000e+00   0.00000000e+00]]"
20,[ 1.91269803  0.90653986],"[ 0.99403564 -0.09592962  0.75675965  0.45452794  1.31877717  0.28559541
  0.32300849 -0.87429518 -0.6051007   0.73898459  0.        ]",-1.6979,[ 1.39102339  0.94639706],-0.152397787839,[-0.38280213 -0.78417033],"[[  1.31372717e+01   1.14077440e+00   1.50904390e-01   3.46237980e-02]
 [  5.70725855e+01  -2.54787027e+00   0.00000000e+00   0.00000000e+00]]"
21,[ 2.03320789  0.15788065],"[-0.40030512 -0.06094116  1.41363401  0.43778264  1.31877517  0.28559524
  0.39953884  0.0443964  -1.70556286  0.52811211  0.        ]",-1.77525,[ 2.34615552 -0.79415614],-0.289298379873,[-0.38280213 -0.78417033],"[[  1.43070790e+01   1.12778153e+00   1.50904390e-01   3.46237980e-02]
 [  5.98990218e+01   1.23576997e+00   0.00000000e+00   0.00000000e+00]]"
