timestep,avg_action_dist,obs,rewards,actions,original_rewards,logstd_action_dist,human_obs
0,[ 0.05704747  1.15122437],"[ 1.0602654   1.13122601  0.19439292 -1.34719573  1.26051048 -0.07147597
 -0.29863673 -0.16972042  0.07771205  0.05751786  0.        ]",-3.64364,[ 0.18969232  0.85034845],-0.0630672852532,[-0.07485161 -0.32117105],"[[ 0.04333453 -0.08572189  0.14702003 -0.00626534]
 [-0.00117285 -0.00109197  0.          0.        ]]"
1,[ 0.02744546  0.96708393],"[ 1.0597662   1.1350453   0.2058877  -1.27645861  1.26050194 -0.07147578
 -0.24096165  0.41753767  0.07808896  0.09206536  0.        ]",-5.26936,[-0.61791699  1.18818136],-0.063844161916,[-0.07485161 -0.32117105],"[[ 0.05082718 -0.05196393  0.14702003 -0.00626534]
 [ 0.74794684  3.36566857  0.          0.        ]]"
2,[ 0.01719087  0.39925081],"[ 1.06038572  1.1348235   0.19095826 -1.05313097  1.26049341 -0.07147559
 -0.43040959  1.09674179  0.07537629  0.1551539   0.        ]",-0.676394,[ 0.50887506 -0.44264915],-0.0657904167578,[-0.07485161 -0.32117105],"[[  4.10970423e-02   5.44183296e-02   1.47020028e-01  -6.26533956e-03]
 [ -1.71276030e+00   7.25957665e+00   0.00000000e+00   0.00000000e+00]]"
3,[ 0.01996755  0.55270118],"[ 1.06103645  1.11046543  0.16991235 -0.79017213  1.26048487 -0.07147541
 -0.27275807  0.765808    0.06455422  0.22610769  0.        ]",-4.39875,[-0.6774537  1.2388191],-0.0683724727377,[-0.07485161 -0.32117105],"[[ 0.0273868   0.18057436  0.14702003 -0.00626534]
 [ 0.33491986  5.36235307  0.          0.        ]]"
4,[ 0.03676905 -0.21879683],"[ 1.06151973  1.05020563  0.13878177 -0.4937647   1.26047633 -0.07147522
 -0.47970687  1.43812397  0.04281475  0.29990473  0.        ]",-0.327616,[-0.3055047 -0.6639936],-0.0713293693359,[-0.07485161 -0.32117105],"[[  7.11549197e-03   3.26494421e-01   1.47020028e-01  -6.26533956e-03]
 [ -2.35309194e+00   9.21679920e+00   0.00000000e+00   0.00000000e+00]]"
5,[ 0.01828781  0.00544164],"[ 1.05968767  0.94904325  0.04864205 -0.19262985  1.2604678  -0.07147503
 -0.56908864  0.94776552  0.0182934   0.3265319   0.        ]",-1.46231,[-0.38941573  0.38761292],-0.0707231690657,[-0.07485161 -0.32117105],"[[ -5.15944853e-02   4.82624781e-01   1.47020028e-01  -6.26533956e-03]
 [ -3.51406643e+00   6.40559881e+00   0.00000000e+00   0.00000000e+00]]"
6,[ 0.02947341 -0.4138369 ],"[ 1.04850408  0.82588994 -0.08136636  0.0612572   1.26045926 -0.07147484
 -0.68238463  1.19343212 -0.00302665  0.30803544  0.        ]",-0.351429,[ 0.77188135  0.51222985],-0.0661629922794,[-0.07485161 -0.32117105],"[[ -1.36640669e-01   6.24868327e-01   1.47020028e-01  -6.26533956e-03]
 [ -4.98566013e+00   7.81404964e+00   0.00000000e+00   0.00000000e+00]]"
7,[ 0.08916238 -0.94359481],"[ 1.03232165  0.6375744  -0.1844096   0.3391627   1.26045073 -0.07147465
 -0.43972145  1.52002328 -0.04591653  0.33004381  0.        ]",1.5296,[ 0.46372628 -1.49526792],-0.0634694589278,[-0.07485161 -0.32117105],"[[ -2.04731252e-01   7.99935725e-01   1.47020028e-01  -6.26533956e-03]
 [ -1.83381997e+00   9.68647542e+00   0.00000000e+00   0.00000000e+00]]"
8,[ 0.08639487 -0.56495112],"[ 1.02700922  0.44527805 -0.21126108  0.54345281  1.26044219 -0.07147447
 -0.29556018  0.79580574 -0.10205924  0.39469809  0.        ]",-0.452665,[ 0.48407571  0.74672613],-0.0660548739813,[-0.07485161 -0.32117105],"[[-0.22262071  0.95200733  0.14702003 -0.00626534]
 [ 0.03862013  5.53453447  0.          0.        ]]"
9,[ 0.16663402 -1.1624583 ],"[ 1.03290082  0.24972516 -0.18127087  0.69598525  1.26043366 -0.07147428
 -0.14819922  1.29232429 -0.17475017  0.48643585  0.        ]",0.860448,[-0.64669582 -1.3433753 ],-0.074341073179,[-0.07485161 -0.32117105],"[[ -2.02645360e-01   1.09125886e+00   1.47020028e-01  -6.26533956e-03]
 [  1.95262072e+00   8.38113887e+00   0.00000000e+00   0.00000000e+00]]"
