timestep,avg_action_dist,obs,rewards,actions,original_rewards,logstd_action_dist,human_obs
0,[ 3.4179635   1.46685636],"[ 1.26573312  2.31489553 -0.09854072 -3.49319888  1.08863332  0.81480503
 -1.7025607  -0.29715064  0.39324411 -0.70475166  0.        ]",-0.896966,[ 3.43481201  1.60657163],-0.135145377024,[-0.99003559 -1.10516608],"[[-0.01203918 -0.08725526  0.12540151  0.09372157]
 [ 0.0025739   0.00282255  0.          0.        ]]"
1,[ 3.25401592  1.12351656],"[ 1.26530274  2.32505465 -0.0404175  -3.34417129  1.08863296  0.81480482
 -1.58253726  0.6789806   0.39609224 -0.627716    0.        ]",-1.17198,[ 2.93700057  1.74235405],-0.125782176744,[-0.99003559 -1.10516608],"[[ 0.0276869  -0.04748693  0.12540151  0.09372157]
 [ 3.95687013  3.96082419  0.          0.        ]]"
2,[ 3.12462544  0.74290669],"[ 1.251174    2.31986069  0.1315366  -2.90071186  1.0886326   0.81480462
 -1.46488683  1.63579174  0.37534184 -0.3998591   0.        ]",-0.562066,[ 3.22204485  0.71680241],-0.09822079763,[-0.99003559 -1.10516608],"[[ 0.14571441  0.07065549  0.12540151  0.09372157]
 [ 7.83299019  7.84048974  0.          0.        ]]"
3,[ 2.72588515  0.51899552],"[ 1.18641979  2.20718999  0.40773849 -2.22072931  1.08863224  0.81480441
 -1.34954302  2.29710296  0.25299979 -0.05450316  0.        ]",-0.73385,[ 2.15495978  0.58631639],-0.059978116017,[-0.99003559 -1.10516608],"[[  0.34050135   0.25436961   0.12540151   0.09372157]
 [ 11.63312061  10.52197302   0.           0.        ]]"
4,[ 2.18597031  0.24156491],"[ 1.01594041  1.88981908  0.75797086 -1.41148629  1.08863188  0.8148042
 -1.23645493  2.8178602  -0.05673297  0.3105541   0.        ]",-0.645129,[ 2.24876209  0.05115907],-0.0618385853896,[-0.99003559 -1.10516608],"[[  0.61054446   0.48599559   0.12540151   0.09372157]
 [ 15.35893697  12.63354816   0.           0.        ]]"
5,[ 1.65587246  0.11743769],"[ 0.68228518  1.34129798  1.11301569 -0.63832809  1.08863152  0.814804
 -1.12555059  2.80563185 -0.56748486  0.52655902  0.        ]",-1.1456,[ 1.63347208  0.2840965 ],-0.126384116057,[-0.99003559 -1.10516608],"[[  0.95438195   0.73816995   0.12540151   0.09372157]
 [ 19.01281025  12.58398006   0.           0.        ]]"
6,[ 1.07023752 -0.98344827],"[ 0.15773894  0.58886064  1.35308459 -0.0081293   1.08863116  0.81480379
 -1.01681421  3.02098051 -1.16925714  0.42937864  0.        ]",-1.94126,[ 1.53952533 -1.31338152],-0.201329864089,[-0.99003559 -1.10516608],"[[  1.37057965   0.99861186   0.12540151   0.09372157]
 [ 22.59525959  13.45719359   0.           0.        ]]"
7,[ 0.66727853 -1.78125978],"[-0.50881971 -0.18102466  1.32248814  0.36820347  1.0886308   0.81480359
 -0.91016853  1.97795244 -1.6305155  -0.01013994  0.        ]",-3.16174,[ 0.42541218 -1.16948531],-0.26365490594,[-0.99003559 -1.10516608],"[[  1.85773835   1.22532339   0.12540151   0.09372157]
 [ 26.10883037   9.22792884   0.           0.        ]]"
8,[ 0.47941089 -1.91924095],"[-1.12946498 -0.70300029  0.9164119   0.51337257  1.08863044  0.81480338
 -0.8746686   0.9555777  -1.77428635 -0.60460761  0.        ]",-3.16955,[ 0.65069352 -2.24244042],-0.301731574671,[-0.99003559 -1.10516608],"[[  2.3916516    1.36828911   0.12540151   0.09372157]
 [ 27.27841343   5.08240258   0.           0.        ]]"
9,[ 0.79455936 -1.54060137],"[-1.47719997 -0.9306111   0.18669877  0.55251453  1.08863008  0.81480318
 -0.81284465 -0.04670423 -1.60363088 -1.1527742   0.        ]",-3.32227,[ 0.8628889  -1.48666061],-0.315123308929,[-0.99003559 -1.10516608],"[[  2.95765809   1.42916199   0.12540151   0.09372157]
 [ 29.31527612   1.01834754   0.           0.        ]]"
