timestep,avg_action_dist,obs,rewards,actions,original_rewards,logstd_action_dist,human_obs
0,[ 2.76858234  1.18383622],"[ 1.18117078  1.47102354 -0.09772367 -2.00341501 -1.39879346  0.63795072
 -1.01788196 -0.24739422  1.98098012 -0.55146974  0.        ]",-5.77364,[ 2.27596933  1.1906291 ],-0.381317107105,[-0.22657563 -0.70830423],"[[-0.055028    0.02691482 -0.16250439  0.07379924]
 [ 0.00231246  0.00019036  0.          0.        ]]"
1,[ 2.5696497   0.91441077],"[ 1.18309437  1.4663017  -0.03880858 -1.89142485 -1.39879001  0.63794997
 -0.90876483  0.66412049  1.98119307 -0.47302848  0.        ]",-5.55842,[ 2.64824337  0.98178133],-0.378813948742,[-0.22657563 -0.70830423],"[[-0.01530713  0.06663099 -0.16250439  0.07379924]
 [ 3.95661671  3.95823985  0.          0.        ]]"
2,[ 2.37892413  0.59520853],"[ 1.17598467  1.42904659  0.13609775 -1.56289691 -1.39878655  0.63794922
 -0.80180256  1.54097671  1.95322708 -0.24294485  0.        ]",-5.22902,[ 2.03472778  0.93554966],-0.368917344429,[-0.22657563 -0.70830423],"[[ 0.10271618  0.18399835 -0.16250439  0.07379924]
 [ 7.83283999  7.76580628  0.          0.        ]]"
3,[ 2.15342402  0.07955948],"[ 1.12267019  1.295434    0.41898524 -1.04563807 -1.3987831   0.63794847
 -0.69694355  2.35829644  1.81906972  0.10585347  0.        ]",-3.80668,[ 2.31309629 -0.5186719 ],-0.345006533987,[-0.22657563 -0.70830423],"[[  0.29749855   0.37492376  -0.16250439   0.07379924]
 [ 11.63284924  11.31489048   0.           0.        ]]"
4,[ 1.9498806   0.06101528],"[ 0.96702773  1.0586991   0.78179624 -0.53627636 -1.39877965  0.63794773
 -0.59408413  1.83334471  1.51993769  0.45267395  0.        ]",-3.14711,[ 1.09965649  0.43301699],-0.302972874847,[-0.22657563 -0.70830423],"[[  0.56755462   0.57835135  -0.16250439   0.07379924]
 [ 15.3603999    9.03542533   0.           0.        ]]"
5,[ 1.78311634 -0.52992296],"[ 0.64901583  0.74729615  1.15700939 -0.10529148 -1.3987762   0.63794698
 -0.49328015  2.1865188   1.05378565  0.66474888  0.        ]",-2.63394,[ 1.97167208 -0.16749606],-0.240194239758,[-0.22657563 -0.70830423],"[[  0.91141333   0.77444801  -0.16250439   0.07379924]
 [ 19.0134661   10.56905951   0.           0.        ]]"
6,[ 1.69852471 -1.05866396],"[ 0.13619097  0.35260464  1.4244799   0.26034998 -1.39877274  0.63794623
 -0.39442685  1.98500019  0.48869021  0.60565712  0.        ]",-2.70313,[ 2.99806312  0.09889425],-0.154149795384,[-0.22657563 -0.70830423],"[[  1.32762477   0.97705083  -0.16250439   0.07379924]
 [ 22.59584295   9.69403777   0.           0.        ]]"
7,[ 1.65626919 -1.71534538],"[-0.5290289  -0.08440512  1.42418705  0.52295509 -1.39876929  0.63794548
 -0.29751914  2.03022702  0.00970064  0.20516282  0.        ]",-1.32968,[ 1.00224906 -2.34550436],-0.049874963296,[-0.22657563 -0.70830423],"[[  1.81477593   1.17290365  -0.16250439   0.07379924]
 [ 26.10771465   9.89046509   0.           0.        ]]"
8,[ 1.52977216 -1.40886128],"[-1.18586052 -0.46048145  1.01725139  0.66134577 -1.39876584  0.63794473
 -0.20249721  1.07234988 -0.17549063 -0.42862218  0.        ]",-2.08201,[ 1.97613845 -1.02632213],-0.0625537885379,[-0.22657563 -0.70830423],"[[  2.37148163   1.32898154  -0.16250439   0.07379924]
 [ 29.55124698   5.73104802   0.           0.        ]]"
9,[ 1.48635173 -0.69274098],"[-1.56048214 -0.64379941  0.19869514  0.70368256 -1.39876238  0.63794398
 -0.10938173  0.13324158  0.00971342 -1.05537205  0.        ]",-2.45206,[ 0.70283447 -0.49187453],-0.166629879844,[-0.22657563 -0.70830423],"[[  2.9963652    1.40268885  -0.16250439   0.07379924]
 [ 32.92569153   1.65312323   0.           0.        ]]"
