timestep,avg_action_dist,obs,rewards,actions,original_rewards,logstd_action_dist,human_obs
0,[ 3.27032828  1.656106  ],"[ 1.26493511  2.30223224 -0.02440358 -3.25318077  1.60529226  0.52829466
 -1.71936013 -0.29039151  0.04855661 -0.39736208  0.        ]",0.727152,[ 2.96276929  1.47393376],-0.061734121131,[-1.03748477 -1.1194644 ],"[[ 0.03879904 -0.02746206  0.1852675   0.06172518]
 [ 0.00291146 -0.00317269  0.          0.        ]]"
1,[ 3.24436688  1.28219223],"[ 1.26171248  2.30345093  0.03362903 -3.1024149   1.60529145  0.52829457
 -1.59829458  0.7026656   0.0446427  -0.32120785  0.        ]",0.558363,[ 2.78938489  0.83819649],-0.0500363438776,[-1.03748477 -1.1194644 ],"[[ 0.07853175  0.01218751  0.1852675   0.06172518]
 [ 3.9571983   3.95494403  0.          0.        ]]"
2,[ 3.10672617  0.93790382],"[ 1.23933764  2.27289972  0.20460844 -2.67923927  1.60529063  0.52829447
 -1.47961409  1.515327    0.00560116 -0.10282416  0.        ]",0.361107,[ 3.15992155  1.38737709],-0.0187989210546,[-1.03748477 -1.1194644 ],"[[ 0.19656847  0.12378533  0.1852675   0.06172518]
 [ 7.83358801  7.19404346  0.          0.        ]]"
3,[ 2.66034579  0.65200377],"[ 1.16138823  2.11652261  0.4769724  -2.00338751  1.60528982  0.52829438
 -1.36327974  2.47262904 -0.1428961   0.22519365  0.        ]",-0.166579,[ 2.32920509  0.99465624],-0.0478153397658,[-1.03748477 -1.1194644 ],"[[  0.3913635    0.30594965   0.1852675    0.06172518]
 [ 11.63335135  11.00965774   0.           0.        ]]"
4,[ 2.0369606   0.19740079],"[ 0.97428991  1.68051427  0.81757185 -1.11769795  1.60528901  0.52829428
 -1.2492187   3.40562474 -0.49255618  0.56229395  0.        ]",-0.633261,[ 2.10457324  0.01276735],-0.124153388565,[-1.03748477 -1.1194644 ],"[[  0.66140747   0.56345468   0.1852675    0.06172518]
 [ 15.358866    14.72840905   0.           0.        ]]"
5,[ 1.32920265 -0.25127384],"[ 0.62398369  0.91596336  1.15420437 -0.27789527  1.60528819  0.52829419
 -1.13732959  3.34462525 -1.03587066  0.71203349  0.        ]",-1.44804,[ 0.93867341 -0.45077419],-0.207425625241,[-1.03748477 -1.1194644 ],"[[  1.00525019   0.85558445   0.1852675    0.06172518]
 [ 19.01344308  14.48530039   0.           0.        ]]"
6,[ 0.68717337 -1.92217183],"[ 0.09184907  0.01234293  1.36521197  0.28143933  1.60528738  0.52829409
 -1.0350373   2.82422825 -1.6013338   0.53756328  0.        ]",-1.6644,[ 0.96756808 -2.36522252],-0.279218240102,[-1.03748477 -1.1194644 ],"[[  1.41904071   1.12448046   0.1852675    0.06172518]
 [ 22.35456517  12.4111142    0.           0.        ]]"
7,[ 0.32133296 -2.73000979],"[-0.56463422 -0.76831998  1.30338605  0.54465761  1.60528657  0.52829399
 -0.93125262  1.76835697 -1.9831518   0.08144464  0.        ]",-1.81527,[ 0.28415711 -2.83905701],-0.327988964901,[-1.03748477 -1.1194644 ],"[[  1.90014466   1.33047867   0.1852675    0.06172518]
 [ 25.74443453   8.20261814   0.           0.        ]]"
8,[ 0.30054525 -2.69977832],"[-1.15685263 -1.25465592  0.88404094  0.62764936  1.60528576  0.5282939
 -0.91234744  0.73343329 -2.06985699 -0.47390965  0.        ]",-2.07833,[ 0.2610356  -2.37823047],-0.349143292335,[-1.03748477 -1.1194644 ],"[[  2.42123072   1.45314378   0.1852675    0.06172518]
 [ 26.36191909   4.07761045   0.           0.        ]]"
9,[ 0.58642381 -2.06155682],"[-1.47612607 -1.41909305  0.192269    0.64276648  1.60528494  0.5282938
 -0.89665141 -0.28103359 -1.89712674 -0.95359073  0.        ]",-2.03992,[ 1.05441362 -2.5491623 ],-0.346092519033,[-1.03748477 -1.1194644 ],"[[  2.95361457   1.49412673   0.1852675    0.06172518]
 [ 26.87458473   0.03413915   0.           0.        ]]"
10,[ 0.9684329  -0.90577286],"[-1.39981392 -1.26222497 -0.62916831  0.62848622  1.60528413  0.52829371
 -0.79176216 -1.27567442 -1.53083403 -1.29016431  0.        ]",-2.10635,[ 0.90375367 -0.60376985],-0.322569566798,[-1.03748477 -1.1194644 ],"[[  3.52548156   1.45503432   0.1852675    0.06172518]
 [ 30.30053412  -3.93031052   0.           0.        ]]"
11,[ 1.25231838  0.00557131],"[-0.84147759 -0.85742839 -1.32777288  0.56424547  1.60528332  0.52829361
 -0.7006457  -1.85718756 -1.00940051 -1.39914953  0.        ]",-2.18705,[ 1.33407766  0.19624234],-0.273939660907,[-1.03748477 -1.1194644 ],"[[  4.16135355   1.35317414   0.1852675    0.06172518]
 [ 33.27662935  -6.24811536   0.           0.        ]]"
12,[ 1.15585375  0.60827553],"[ 0.08613494 -0.40773017 -1.52844478  0.44428811  1.60528251  0.52829352
 -0.59970522 -1.63266678 -0.45450041 -1.14444887  0.        ]",-1.91709,[ 1.40382285  0.62756557],-0.191461172054,[-1.03748477 -1.1194644 ],"[[  4.8599658    1.23719203   0.1852675    0.06172518]
 [ 36.57360316  -5.3532215    0.           0.        ]]"
13,[ 1.07506728  0.74283296],"[ 0.97605778 -0.1033391  -0.97748582  0.33155028  1.60528169  0.52829342
 -0.50076824 -0.98431737 -0.14876898 -0.48124804  0.        ]",-1.32711,[ 0.55934386  0.62118283],-0.0712052892445,[-1.03748477 -1.1194644 ],"[[  5.62385998   1.15605712   0.1852675    0.06172518]
 [ 39.80513829  -2.76902436   0.           0.        ]]"
14,[ 1.09797406  0.77004135],"[ 1.2502212   0.00740965  0.13904345  0.28366192  1.60528088  0.52829333
 -0.45715228 -0.35518065 -0.40874787  0.29458874  0.        ]",-1.45886,[ 0.56197186  0.95530953],-0.0800587527597,[-1.03748477 -1.1194644 ],"[[  6.43425503   1.12583702   0.1852675    0.06172518]
 [ 41.22974605  -0.26140447   0.           0.        ]]"
15,[ 0.96544653  0.3671613 ],"[ 0.64195698 -0.11250962  1.14193015  0.33534566  1.60528007  0.52829323
 -0.41405963  0.59331507 -1.19350222  0.62744648  0.        ]",-2.29215,[ 1.06821847  0.50744851],-0.221961116494,[-1.03748477 -1.1194644 ],"[[  7.27296964   1.1585411    0.1852675    0.06172518]
 [ 42.63726106   3.51912026   0.           0.        ]]"
16,[ 0.51809764 -1.43825698],"[-0.52997032 -0.45012318  1.31538133  0.45789695  1.60527925  0.52829313
 -0.31870249  1.07776864 -1.9710708   0.15802136  0.        ]",-3.07164,[ 1.08470684 -0.78364128],-0.327054886776,[-1.03748477 -1.1194644 ],"[[  8.15696285   1.24829948   0.1852675    0.06172518]
 [ 45.75186946   5.45006153   0.           0.        ]]"
17,[ 0.39327049 -1.76582313],"[-1.42934271 -0.74683054  0.38206933  0.53963113  1.60527844  0.52829304
 -0.22519491  0.26969697 -2.05312948 -0.79495279  0.        ]",-2.77103,[ 1.09349298 -1.85457483],-0.360829575351,[-1.03748477 -1.1194644 ],"[[  9.10264596   1.32498743   0.1852675    0.06172518]
 [ 48.80606671   2.2292413    0.           0.        ]]"
18,[ 0.65136337 -0.95519   ],"[-1.18932088 -0.76366462 -1.00576639  0.54357832  1.60527763  0.52829294
 -0.13357652 -0.73763929 -1.33923128 -1.40472317  0.        ]",-2.1017,[ 0.4968832  -0.69183421],-0.311179240353,[-1.03748477 -1.1194644 ],"[[ 10.10879477   1.32929006   0.1852675    0.06172518]
 [ 51.79855801  -1.78581005   0.           0.        ]]"
19,[ 1.0305109   0.46688038],"[ 0.10124711 -0.51926106 -1.52597775  0.47903662  1.60527682  0.52829285
 -0.10477738 -1.41896844 -0.44396414 -1.11723278  0.        ]",-1.64184,[ 0.44295822  0.63649891],-0.186582879051,[-1.03748477 -1.1194644 ],"[[ 11.15420568   1.26632721   0.1852675    0.06172518]
 [ 52.73921152  -4.50146066   0.           0.        ]]"
20,[ 1.01219535  0.67178309],"[ 1.1819787  -0.27587575 -0.58327634  0.3987466   1.605276    0.52829275
 -0.08312044 -0.76722866 -0.20300387 -0.13700655  0.        ]",-1.35112,[ 0.58467806  0.41173714],-0.0230930893048,[-1.03748477 -1.1194644 ],"[[ 12.21608544   1.20236177   0.1852675    0.06172518]
 [ 53.4465821   -1.90375036   0.           0.        ]]"
21,[ 1.04525757  0.78858119],"[ 0.91234787 -0.19550391  0.89594647  0.3685414   1.60527519  0.52829266
 -0.04468989 -0.35177361 -0.94645997  0.59550412  0.        ]",-2.61248,[ 1.69995411  0.78371771],-0.183355231752,[-1.03748477 -1.1194644 ],"[[ 13.29761012   1.18090194   0.1852675    0.06172518]
 [ 54.70182183  -0.24782573   0.           0.        ]]"
22,[ 0.68943709 -0.41404587],"[-0.50393195 -0.29332829  1.32369521  0.40505786  1.60527438  0.52829256
  0.04331666  0.42465613 -1.95826135  0.20165869  0.        ]",-3.0793,[ 0.772256   -0.20448007],-0.325733026416,[-1.03748477 -1.1194644 ],"[[ 14.42048491   1.20699794   0.1852675    0.06172518]
 [ 57.57634082   2.84687545   0.           0.        ]]"
23,[ 0.39674833 -1.40117717],"[-1.49108296 -0.47616745  0.08921529  0.4660126   1.60527357  0.52829246
  0.10204035  0.20374856 -2.00341199 -0.95807894  0.        ]",-2.82702,[ 0.53451947 -1.34528751],-0.363095256377,[-1.03748477 -1.1194644 ],"[[ 15.59125687   1.25510305   0.1852675    0.06172518]
 [ 59.49440642   1.96638022   0.           0.        ]]"
24,[ 0.73207504 -0.48887634],"[-0.76603438 -0.4725608  -1.37342377  0.46489968  1.60527275  0.52829237
  0.13078705 -0.80321944 -0.99415431 -1.43475648  0.        ]",-2.01319,[ 0.76602932 -0.4463575 ],-0.27730290617,[-1.03748477 -1.1194644 ],"[[ 16.79056904   1.25416183   0.1852675    0.06172518]
 [ 60.43334729  -2.04720198   0.           0.        ]]"
