timestep,avg_action_dist,obs,rewards,actions,original_rewards,logstd_action_dist,human_obs
0,[ 2.92301702  1.02651882],"[ 1.25595579  2.14292118 -0.08514072 -3.07702592 -1.6780403   0.94867916
 -1.58681486 -0.28165593  2.23442441 -0.76018203  0.        ]",-6.83421,[ 2.42583092  0.91018218],-0.41965658195,[-0.8410303  -0.97940695],"[[-0.00816791 -0.04426641 -0.19301408  0.11095878]
 [-0.00221213 -0.00488574  0.          0.        ]]"
1,[ 2.68363404  0.82705933],"[ 1.25531696  2.14636513 -0.02707975 -2.94909578 -1.67803887  0.94867875
 -1.47341829  0.59502095  2.23485831 -0.68589213  0.        ]",-6.53279,[ 2.7643707   0.47633155],-0.416457111544,[-0.8410303  -0.97940695],"[[ 0.03146474 -0.00821902 -0.19301408  0.11095878]
 [ 3.95231373  3.59762409  0.          0.        ]]"
2,[ 2.46284819  0.69652283],"[ 1.24059993  2.13426275  0.14492477 -2.62938166 -1.67803743  0.94867835
 -1.36224451  1.03630026  2.21189303 -0.47774925  0.        ]",-6.14771,[ 2.15424255  1.14791015],-0.405213682649,[-0.8410303  -0.97940695],"[[ 0.14941016  0.08192729 -0.19301408  0.11095878]
 [ 7.82932996  5.41096518  0.          0.        ]]"
3,[ 2.04907012  0.38155589],"[ 1.17495734  2.05152909  0.42112928 -2.11475348 -1.678036    0.94867794
 -1.25328808  1.9734292   2.09963975 -0.15554191  0.        ]",-4.35679,[ 1.8792972  -0.08066605],-0.379997856626,[-0.8410303  -0.97940695],"[[  0.34411966   0.22878436  -0.19301408   0.11095878]
 [ 11.62902498   9.26189699   0.           0.        ]]"
4,[ 1.7750572   0.31490186],"[ 1.00344443  1.84597108  0.77108067 -1.50816042 -1.67803456  0.94867754
 -1.14642834  1.85067347  1.8241712   0.19635482  0.        ]",-2.68174,[ 2.25918545 -0.05786525],-0.334499223814,[-0.8410303  -0.97940695],"[[  0.6140894    0.40896152  -0.19301408   0.11095878]
 [ 15.35560508   8.75746684   0.           0.        ]]"
5,[ 1.50476837  0.22262128],"[ 0.66888761  1.55043307  1.1252785  -0.97417237 -1.67803313  0.94867714
 -1.04167151  1.75225062  1.37315666  0.4396145   0.        ]",-1.06788,[ 1.43672486 -0.17846091],-0.266688793386,[-0.8410303  -0.97940695],"[[  0.95785488   0.58005358  -0.19301408   0.11095878]
 [ 19.00885318   8.35302613   0.           0.        ]]"
6,[ 1.30569196  0.20899566],"[ 0.14399463  1.19751358  1.36370836 -0.5304235  -1.67803169  0.94867673
 -0.9389704   1.53946549  0.80388516  0.44322195  0.        ]",-0.65479,[ 1.42925154  0.03205367],-0.17583704461,[-0.8410303  -0.97940695],"[[  1.37396622   0.73834196  -0.19301408   0.11095878]
 [ 22.59041353   7.4786363    0.           0.        ]]"
7,[ 1.06466281 -0.00706263],"[-0.5218882   0.80261593  1.330733   -0.16637941 -1.67803026  0.94867633
 -0.83829677  1.53358954  0.26470273  0.11414628  0.        ]",-0.586981,[ 0.61945316 -0.39777532],-0.0683353023282,[-0.8410303  -0.97940695],"[[  1.86099911   0.88767364  -0.19301408   0.11095878]
 [ 26.10127082   7.45449508   0.           0.        ]]"
8,[ 1.13478541 -0.31435096],"[-1.14795176  0.41130659  0.91384028  0.10419364 -1.67802882  0.94867592
 -0.78276791  1.11361801 -0.0213107  -0.49691728  0.        ]",-1.66631,[ 0.59006346  0.04949676],-0.0752284895373,[-0.8410303  -0.97940695],"[[  2.40245417   1.01944915  -0.19301408   0.11095878]
 [ 28.03776109   5.72871389   0.           0.        ]]"
9,[ 1.09122765 -1.11222351],"[-1.49090393  0.04130385  0.16099039  0.29816342 -1.67802739  0.94867552
 -0.73168533  1.13281452  0.08934035 -1.17423046  0.        ]",-0.86748,[ 0.45138854 -1.7177419 ],-0.188799308839,[-0.8410303  -0.97940695],"[[  2.9810826    1.13481583  -0.19301408   0.11095878]
 [ 29.81919385   5.80760024   0.           0.        ]]"
