timestep,avg_action_dist,obs,rewards,actions,original_rewards,logstd_action_dist,human_obs
0,[ 3.48521447  0.88683826],"[ 1.23384959  1.84697104 -0.10578019 -2.31758758  0.62517426  1.21293016
 -1.37860678 -0.26971855  0.67974918 -0.88903278  0.        ]",-2.48357,[ 3.72465694  0.84017053],-0.195750564917,[-0.58355224 -0.84381211],"[[-0.03280207  0.08165843  0.07214472  0.14125131]
 [-0.00211503 -0.00489863  0.          0.        ]]"
1,[ 3.27477813  0.76182151],"[ 1.23455906  1.83633222 -0.04753262 -2.20957803  0.62517392  1.212929
 -1.26940027  0.54185015  0.6761112  -0.81658779  0.        ]",-1.99071,[ 3.09173085 -0.07832679],-0.186983261649,[-0.58355224 -0.84381211],"[[ 0.00683369  0.11492417  0.07214472  0.14125131]
 [ 3.95253232  3.32039453  0.          0.        ]]"
2,[ 3.20737934  0.81331819],"[ 1.22385056  1.80660388  0.12536628 -2.00747863  0.62517359  1.21292785
 -1.16231354  0.44974252  0.64758583 -0.6276398   0.        ]",-1.77393,[ 2.6281564  0.005038 ],-0.163321882233,[-0.58355224 -0.84381211],"[[ 0.12479233  0.17754551  0.07214472  0.14125131]
 [ 7.83042515  2.94299701  0.          0.        ]]"
3,[ 3.10222054  0.85985094],"[ 1.16468183  1.76750156  0.40412629 -1.82083275  0.62517326  1.2129267
 -1.05734743  0.44001397  0.55632304 -0.35943224  0.        ]",-2.20253,[ 3.92715313  0.68304005],-0.127281611072,[-0.58355224 -0.84381211],"[[  0.31953836   0.2360056    0.07214472   0.14125131]
 [ 11.63153129   2.90313646   0.           0.        ]]"
4,[ 2.80092502  0.78969193],"[ 1.00146264  1.69178989  0.75959922 -1.55549648  0.62517292  1.21292555
 -0.95448224  1.08566002  0.33863356 -0.0378691   0.        ]",-1.70434,[ 3.3208065   0.94312606],-0.0784857670829,[-0.58355224 -0.84381211],"[[  0.58954289   0.32061121   0.07214472   0.14125131]
 [ 15.35656293   5.54858448   0.           0.        ]]"
5,[ 2.57888007  0.59103429],"[ 0.67551519  1.50757263  1.12353729 -1.11212706  0.62517259  1.2129244
 -0.85364965  1.96980851 -0.07937477  0.24308357  0.        ]",-1.41073,[ 2.69743386  0.66107766],-0.0478988496698,[-0.58355224 -0.84381211],"[[  0.9333088    0.46793106   0.07214472   0.14125131]
 [ 19.00799282   9.1712745    0.           0.        ]]"
6,[ 2.35701752 -0.10443598],"[ 0.15682876  1.14173988  1.37633458 -0.54292562  0.62517225  1.21292324
 -0.75477381  2.56377717 -0.68099432  0.28928364  0.        ]",-1.18675,[ 2.2491918  -0.61685798],-0.112851837619,[-0.58355224 -0.84381211],"[[  1.34939162   0.67577598   0.07214472   0.14125131]
 [ 22.58856641  11.60501134   0.           0.        ]]"
7,[ 2.26678371 -0.40608281],"[-0.50895988  0.67298888  1.36067061 -0.06692558  0.62517192  1.21292209
 -0.65778511  1.91086265 -1.25833197 -0.04203067  0.        ]",-1.41631,[ 2.04064223 -0.40885755],-0.198645749744,[-0.58355224 -0.84381211],"[[  1.83640202   0.88103612   0.07214472   0.14125131]
 [ 26.10080373   8.92979066   0.           0.        ]]"
8,[ 2.18253899 -0.86833906],"[-1.15821897  0.24455966  0.94281553  0.23259353  0.62517159  1.21292094
 -0.5627194   1.47168285 -1.55841957 -0.6815871   0.        ]",-1.67576,[ 1.64945578 -0.55705945],-0.271799510199,[-0.58355224 -0.84381211],"[[  2.39295864   1.04157864   0.07214472   0.14125131]
 [ 29.54340607   7.13031243   0.           0.        ]]"
9,[ 2.32074547 -1.04372311],"[-1.51689128 -0.10100704  0.12407134  0.40824294  0.62517125  1.21291979
 -0.46953349  0.89775894 -1.42389997 -1.40091889  0.        ]",-2.58612,[ 1.27466731 -0.0771796 ],-0.318878779023,[-0.58355224 -0.84381211],"[[  3.01768502   1.1605923    0.07214472   0.14125131]
 [ 32.9179365    4.77873087   0.           0.        ]]"
10,[ 2.13372159 -1.4445436 ],"[-1.31089868 -0.37946331 -0.84779615  0.51461702  0.62517092  1.21291864
 -0.37820779  0.79870063 -0.85908106 -1.87425025  0.        ]",-1.95803,[ 2.56497589 -2.12309348],-0.328194693644,[-0.58355224 -0.84381211],"[[  3.70922531   1.25209633   0.07214472   0.14125131]
 [ 36.22510428   4.37285349   0.           0.        ]]"
