timestep,avg_action_dist,obs,rewards,actions,original_rewards,logstd_action_dist,human_obs
0,[-0.14617693  0.46458203],"[ 1.06001104  1.15863165 -0.05375629 -0.31747437  0.84916995  1.62205863
 -0.07439027 -0.0812352   0.4215591  -1.33079696  0.        ]",-0.943409,[-0.86149027 -0.20818186],-0.228765047993,[-0.03476932 -0.10454676],"[[-0.07122037  0.02431146  0.09859552  0.18774038]
 [-0.0003396  -0.00154502  0.          0.        ]]"
1,[-0.14707813  0.47495157],"[ 1.05582017  1.15882478 -0.1061443  -0.33169992  0.8491585   1.62201247
 -0.38483562 -0.19161498  0.41776082 -1.38531857  0.        ]",1.86924,[ 1.45296569 -2.19430263],-0.235557833581,[-0.03476932 -0.10454676],"[[-0.10541686  0.01602355  0.09859552  0.18774038]
 [-3.40796455 -0.82450757  0.          0.        ]]"
2,[-0.16322811  0.5136019 ],"[ 1.05122837  1.1579397  -0.14856133 -0.4279561   0.84914705  1.62196632
 -0.01815577 -0.72071715  0.40833394 -1.46580419  0.        ]",-0.808134,[ 0.42267228  0.4456523 ],-0.245450196307,[-0.03476932 -0.10454676],"[[-0.13319395 -0.04004638  0.09859552  0.18774038]
 [ 0.616849   -4.76933237  0.          0.        ]]"
3,[-0.16096112  0.50315833],"[ 1.05595996  1.15020863 -0.10429673 -0.55928866  0.8491356   1.62192017
  0.13299828 -0.47145111  0.40413022 -1.48114773  0.        ]",-3.43723,[-0.35526547  2.21453062],-0.247189274698,[-0.03476932 -0.10454676],"[[-0.10421056 -0.11678731  0.09859552  0.18774038]
 [ 2.27597102 -2.91095146  0.          0.        ]]"
4,[-0.14780915  0.46705505],"[  1.05973744e+00   1.14730688e+00  -5.68790617e-02  -5.89788901e-01
   8.49124143e-01   1.62187403e+00   7.15926672e-04   6.74497299e-02
   4.07678351e-01  -1.45076494e+00   0.00000000e+00]",-0.220835,[ 0.15011844 -0.62861339],-0.243421744999,[-0.03476932 -0.10454676],"[[-0.07325911 -0.13469461  0.09859552  0.18774038]
 [ 0.82401303  1.10682852  0.          0.        ]]"
5,[-0.15760314  0.49209571],"[ 1.06163385  1.14675316 -0.02266922 -0.5949867   0.84911269  1.62182789
  0.05342288 -0.26937373  0.41107644 -1.42165485  0.        ]",-1.02233,[-0.28189758 -0.07621044],-0.239836413492,[-0.03476932 -0.10454676],"[[-0.05097433 -0.13775359  0.09859552  0.18774038]
 [ 1.40253531 -1.40435656  0.          0.        ]]"
6,[-0.158814    0.49630189],"[ 1.06259528  1.14069835  0.00281659 -0.64730049  0.84910124  1.62178176
 -0.05069397 -0.30605835  0.40963814 -1.42080777  0.        ]",-2.63179,[-3.26948344 -0.9560395 ],-0.239622662888,[-0.03476932 -0.10454676],"[[-0.03438961 -0.168585    0.09859552  0.18774038]
 [ 0.25974114 -1.67787425  0.          0.        ]]"
7,[-0.16877851  0.53046   ],"[ 1.06011057  1.12216479 -0.05022624 -0.76697291  0.84908979  1.62173562
 -0.41144619 -0.80914799  0.39053141 -1.52013394  0.        ]",-1.02528,[ 0.08572747 -0.12395327],-0.251460887864,[-0.03476932 -0.10454676],"[[-0.06892278 -0.23977524  0.09859552  0.18774038]
 [-3.699897   -5.42865485  0.          0.        ]]"
8,[-0.16938168  0.53680301],"[ 1.05007445  1.08010288 -0.15707996 -0.95151406  0.84907834  1.6216895
 -0.37387204 -0.86057182  0.33834345 -1.69185863  0.        ]",-2.85323,[-0.66900394  0.86770941],-0.271527542371,[-0.03476932 -0.10454676],"[[-0.13878321 -0.35219582  0.09859552  0.18774038]
 [-3.28752452 -5.81212323  0.          0.        ]]"
9,[-0.15233046  0.50826842],"[ 1.02678274  1.04054474 -0.29563024 -1.07935082  0.84906689  1.62164337
 -0.60919811 -0.3841511   0.26478559 -1.85999549  0.        ]",-0.452728,[ 0.9211293  -0.81566339],-0.291126050416,[-0.03476932 -0.10454676],"[[-0.23044945 -0.43280159  0.09859552  0.18774038]
 [-5.87048827 -2.26028921  0.          0.        ]]"
10,[-0.1622754   0.53199321],"[ 0.99733999  0.99558089 -0.41369527 -1.19736897  0.84905544  1.62159725
 -0.26650959 -0.811528    0.18043657 -1.99780602  0.        ]",-2.80462,[ 0.84625951  1.55276485],-0.307170984707,[-0.03476932 -0.10454676],"[[-0.31012153 -0.50997637  0.09859552  0.18774038]
 [-2.10925066 -5.44656988  0.          0.        ]]"
11,[-0.14818251  0.49854344],"[ 0.99382156  0.95033493 -0.42567376 -1.29742854  0.84904399  1.62155114
  0.04218672 -0.26610803  0.13996423 -2.04011864  0.        ]",-2.16867,[ 0.43330347  0.4996998 ],-0.311824364984,[-0.03476932 -0.10454676],"[[-0.31831259 -0.57811017  0.09859552  0.18774038]
 [ 1.27890068 -1.38035463  0.          0.        ]]"
12,[-0.14338973  0.48243877],"[ 1.01102379  0.94504263 -0.36314119 -1.30814131  0.84903254  1.62150502
  0.19600094  0.00287962  0.16576941 -1.99590966  0.        ]",-3.16529,[-0.68892226  0.54315605],-0.306371045469,[-0.03476932 -0.10454676],"[[-0.27579619 -0.58559698  0.09859552  0.18774038]
 [ 2.96711851  0.62499605  0.          0.        ]]"
13,[-0.13532157  0.46295172],"[ 1.02218055  0.96848803 -0.31646518 -1.25897328  0.84902109  1.62145892
 -0.05774065  0.28983324  0.20318227 -1.94243645  0.        ]",-2.03024,[-0.39804853 -0.21153636],-0.300160587351,[-0.03476932 -0.10454676],"[[-0.24439604 -0.55163279  0.09859552  0.18774038]
 [ 0.18217332  2.7642876   0.          0.        ]]"
