timestep,original_rewards,logstd_action_dist,avg_action_dist,rewards,obs,human_obs,actions
0,-0.146241686383,[-0.29507846 -0.2541649 ],[ 1.45493686 -0.75724828],-0.871893,"[ 1.18164201  2.17333199 -0.0858854  -0.13021486  0.55859795  0.33862422
 -0.78640641 -0.05133832  0.8994239  -0.23522415  0.        ]","[[ 0.06527542  0.0336743   0.06462929  0.03911013]
 [-0.00025747  0.00180511  0.          0.        ]]",[ 1.10133542 -0.74983616]
1,-0.145131000636,[-0.29507846 -0.2541649 ],[ 1.28266716 -0.84495389],-0.818503,"[ 1.17690942  2.17409781 -0.02704334 -0.20453935  0.55859721  0.33862384
 -0.66302379 -0.40589286  0.89605558 -0.19460015  0.        ]","[[  1.04972402e-01   3.90522400e-03   6.46292889e-02   3.91101334e-02]
 [  3.95677664e+00  -2.96880721e+00   0.00000000e+00   0.00000000e+00]]",[ 3.10532364 -0.08284607]
2,-0.141407930045,[-0.29507846 -0.2541649 ],[ 0.99331534 -1.01946521],-0.840221,"[ 1.14991418  2.17174043  0.14611829 -0.35951788  0.55859647  0.33862346
 -0.54211425 -0.4382085   0.87539151 -0.05163481  0.        ]","[[ 0.22301428 -0.05818761  0.06462929  0.03911013]
 [ 7.83450142 -3.23956551  0.          0.        ]]",[ 0.99995031 -0.8859584 ]
3,-0.136353549848,[-0.29507846 -0.2541649 ],[ 0.47072095 -1.2759093 ],-0.82704,"[ 1.0640408   2.15684686  0.42080079 -0.60609863  0.55859572  0.33862308
 -0.423563   -0.8494208   0.81305371  0.1799498   0.        ]","[[  0.41785177  -0.15754711   0.06462929   0.03911013]
 [ 11.6365962   -6.68488324   0.           0.        ]]",[ 0.21574874 -1.54263254]
4,-0.131833376907,[-0.29507846 -0.2541649 ],[-0.08188125 -1.53209245],-0.730757,"[ 0.89299711  2.09913639  0.72553936 -1.02266698  0.55859498  0.33862269
 -0.40407748 -1.30622627  0.70592595  0.4018756   0.        ]","[[  0.6568535   -0.32964587   0.06462929   0.03911013]
 [ 12.26150914 -10.51221573   0.           0.        ]]",[ 0.59657933  0.00501436]
5,-0.127502027782,[-0.29507846 -0.2541649 ],[-0.46466032 -1.70996284],-0.676456,"[ 0.62846813  1.97773783  1.00373131 -1.49308063  0.55859424  0.33862231
 -0.33804372 -1.2790668   0.54810795  0.60121818  0.        ]","[[  0.92333152  -0.53760786   0.06462929   0.03911013]
 [ 14.37929211 -10.28469104   0.           0.        ]]",[-0.12041019 -0.38621781]
6,-0.123775990101,[-0.29507846 -0.2541649 ],[-0.83096707 -1.82344902],-0.62018,"[ 0.28667864  1.79435755  1.20548743 -1.92850706  0.5585935   0.33862193
 -0.36173638 -1.43719215  0.34559285  0.76001085  0.        ]","[[  1.20329332  -0.75659473   0.06462929   0.03911013]
 [ 13.61942278 -11.60956884   0.           0.        ]]",[-1.75524198 -2.27375398]
7,-0.114985329649,[-0.29507846 -0.2541649 ],[-1.06323695 -1.88648605],-0.56866,"[-0.02475743  1.50334711  1.2907847  -2.35022986  0.55859276  0.33862155
 -0.49345402 -1.88213569  0.19299089  0.77429753  0.        ]","[[  1.43329882  -1.02618961   0.06462929   0.03911013]
 [  9.39504126 -15.33756887   0.           0.        ]]",[-1.4044045  -1.11595413]
8,-0.0937868845779,[-0.29507846 -0.2541649 ],[-1.1334753  -1.87635183],-0.519465,"[-0.22924756  1.06042884  1.3047643  -2.66110989  0.55859202  0.33862117
 -0.62260663 -2.31832059  0.13307983  0.61563342  0.        ]","[[  1.57964336  -1.3696087    0.06462929   0.03911013]
 [  5.25291856 -18.99224739   0.           0.        ]]",[-0.02963337 -1.64935903]
9,-0.059410505279,[-0.29507846 -0.2541649 ],[-1.181072   -1.68821096],-0.412516,"[-0.3730449   0.48592166  1.29554997 -2.65416945  0.55859128  0.33862079
 -0.62951391 -2.74599084  0.07014025  0.33462545  0.        ]","[[  1.68248031  -1.78540731   0.06462929   0.03911013]
 [  5.03136473 -22.57567578   0.           0.        ]]",[-0.76328671 -1.78143673]
10,-0.01359980596,[-0.29507846 -0.2541649 ],[-1.07274103 -1.30114186],-0.246596,"[-0.46911357 -0.11571388  1.28051511 -2.12201331  0.55859053  0.3386204
 -0.72686698 -3.16516245 -0.08553686 -0.02331789  0.        ]","[[  1.75178366  -2.27216064   0.06462929   0.03911013]
 [  1.90909125 -26.08801844   0.           0.        ]]",[-1.37900392 -2.10389663]
