timestep,original_rewards,actions,rewards,human_obs,obs,avg_action_dist,logstd_action_dist
0,-0.0630345993388,[ 0.99776451  0.26352998],-1.71702,"[[ 0.08882289 -0.02292254  0.19203327  0.07671888]
 [ 0.00261262  0.00486486  0.          0.        ]]","[ 1.04829288  1.47065895  0.19634262  0.96713421  1.67634472  0.65657673
 -0.82822792  0.3776805  -0.21865023 -0.56093269  0.        ]",[ 0.55378234 -0.21521282],[-0.7996847  -0.91884291]
1,-0.0537332469508,[ 0.03361704 -0.02966148],-1.70551,"[[ 0.12847233 -0.01237214  0.19203327  0.07671888]
 [ 3.94919199  1.0467084   0.          0.        ]]","[ 1.04186387  1.4708813   0.25422126  0.99708103  1.676343    0.65657648
 -0.70664376  0.55275595 -0.22705522 -0.45090711  0.        ]",[-0.19844463 -0.67453218],[-0.7996847  -0.91884291]
2,-0.0351803896127,[ 0.59856121 -0.05621788],-1.69752,"[[ 0.20800726  0.00717551  0.19203327  0.07671888]
 [ 4.00411773  0.90851738  0.          0.        ]]","[ 1.0219542   1.47094105  0.36934005  1.05257435  1.67634128  0.65657622
 -0.70495136  0.52953358 -0.2552916  -0.23415977  0.        ]",[-0.51198006 -0.84621078],[-0.7996847  -0.91884291]
3,-0.0123047275326,[-1.08912047 -0.77756457],-1.74262,"[[ 0.31105312  0.02292303  0.19203327  0.07671888]
 [ 6.29284809  0.66704143  0.          0.        ]]","[ 0.98242884  1.47065517  0.51553196  1.09727472  1.67633956  0.65657597
 -0.63444126  0.48895479 -0.3111064   0.02847142  0.        ]",[-1.2070688  -1.13266873],[-0.7996847  -0.91884291]
4,-0.00504391381956,[-0.70969201 -1.20929659],-1.7671,"[[ 0.39598281  0.0052563   0.19203327  0.07671888]
 [ 2.21369821 -2.42341935  0.          0.        ]]","[ 0.93847554  1.47095287  0.63250456  1.04712464  1.67633783  0.65657572
 -0.76010901 -0.03037917 -0.36165735  0.20191857  0.        ]",[-0.81433082 -0.57055372],[-0.7996847  -0.91884291]
5,-0.003874290791,[-0.45186121  0.06259024],-1.73186,"[[ 0.41166466 -0.08244741  0.19203327  0.07671888]
 [-0.63603274 -6.33392319  0.          0.        ]]","[ 0.9292611   1.46688839  0.65368083  0.79840224  1.67633611  0.65657546
 -0.84790148 -0.68751651 -0.34168007  0.13246071  0.        ]",[-0.11916894  0.38577062],[-0.7996847  -0.91884291]
6,-0.0222320140791,[ 0.97343924  2.08246038],-1.70302,"[[ 0.38113383 -0.20537423  0.19203327  0.07671888]
 [-2.41114863 -5.96000698  0.          0.        ]]","[ 0.94688651  1.44572651  0.61232379  0.4532429   1.67633439  0.65657521
 -0.90258779 -0.6246818  -0.29300482 -0.09081031  0.        ]",[ 0.52798033  0.81594282],[-0.7996847  -0.91884291]
7,-0.032483599638,[-0.21414887 -0.56844287],-1.6827,"[[ 0.37201014 -0.28367759  0.19203327  0.07671888]
 [ 1.48582844 -1.88390703  0.          0.        ]]","[ 0.95190291  1.42296282  0.59986413  0.23761079  1.67633266  0.65657496
 -0.78253162  0.06028348 -0.27853931 -0.21190373  0.        ]",[-0.04891229  0.13885951],[-0.7996847  -0.91884291]
8,-0.0345408196603,[-0.61514475  0.85383918],-1.7042,"[[ 0.3929404  -0.34356117  0.19203327  0.07671888]
 [ 0.61010457 -4.09707667  0.          0.        ]]","[ 0.94022198  1.40077639  0.62837892  0.07592024  1.67633094  0.6565747
 -0.80951006 -0.31162704 -0.28293931 -0.23902265  0.        ]",[ 0.17631072  0.62368518],[-0.7996847  -0.91884291]
9,-0.042099857042,[ 1.03996531  0.56513686],-1.67962,"[[ 0.38059216 -0.39075847  0.19203327  0.07671888]
 [-1.83677614 -0.63419823  0.          0.        ]]","[ 0.94718614  1.38042866  0.61158465 -0.049129    1.67632922  0.65657445
 -0.88489174  0.27029011 -0.27757778 -0.32872105  0.        ]",[ 0.44076997  0.27198833],[-0.7996847  -0.91884291]
10,-0.0403764394887,[-0.0201018  -0.66207813],-1.66449,"[[ 0.38390453 -0.3808797   0.19203327  0.07671888]
 [ 2.15472287  1.61458524  0.          0.        ]]","[ 0.94533815  1.38489254  0.61609764 -0.02314526  1.6763275   0.6565742
 -0.76192357  0.64818535 -0.27863696 -0.30827542  0.        ]",[-0.24186477 -0.30978775],[-0.7996847  -0.91884291]
11,-0.0311512544004,[ 0.01142476  0.3653495 ],-1.67631,"[[ 0.42578338 -0.37521113  0.19203327  0.07671888]
 [ 2.03356542 -1.03888429  0.          0.        ]]","[ 0.92067434  1.38740441  0.67262169 -0.00818875  1.67632577  0.65657394
 -0.7656558   0.2022845  -0.29479591 -0.2023691   0.        ]",[-0.20776483  0.06346679],[-0.7996847  -0.91884291]
12,-0.023413602994,[-0.53544812 -0.00679504],-1.67753,"[[ 0.46649911 -0.38126785  0.19203327  0.07671888]
 [ 2.03799356  0.42832174  0.          0.        ]]","[ 0.89440566  1.38471698  0.72655698 -0.02416815  1.67632405  0.65657369
 -0.76551905  0.44884023 -0.31298571 -0.11521664  0.        ]",[-0.41247275 -0.24189502],[-0.7996847  -0.91884291]
13,-0.0185869295892,[-0.32544465  0.133238  ],-1.67822,"[[ 0.48560178 -0.37304833  0.19203327  0.07671888]
 [-0.12053842  0.39374268  0.          0.        ]]","[ 0.88131518  1.38835156  0.75148979 -0.00247337  1.67632233  0.65657344
 -0.83201753  0.44302927 -0.32357087 -0.06051844  0.        ]",[-0.18562487 -0.1856218 ],[-0.7996847  -0.91884291]
14,-0.0203369714617,[-0.14680397 -0.43513092],-1.6735,"[[ 0.47029555 -0.35995359  0.19203327  0.07671888]
 [-1.40580373  0.91399591  0.          0.        ]]","[ 0.89184196  1.39398636  0.73153101  0.03223293  1.6763206   0.65657318
 -0.87161285  0.53045481 -0.31696969 -0.07919605  0.        ]",[-0.00398216 -0.2133292 ],[-0.7996847  -0.91884291]
15,-0.0271947401339,[-0.49717616 -0.08183022],-1.68163,"[[ 0.43663815 -0.35913992  0.19203327  0.07671888]
 [-1.95810101 -0.8268272   0.          0.        ]]","[ 0.91388846  1.39432911  0.68710166  0.0343952   1.67631888  0.65657293
 -0.8886273   0.23791884 -0.30060224 -0.15640723  0.        ]",[ 0.27111527  0.15949315],[-0.7996847  -0.91884291]
