timestep,original_rewards,actions,rewards,human_obs,obs,avg_action_dist,logstd_action_dist
0,-0.301147489487,[ 3.48616873 -0.20921216],-2.31823,"[[-0.09348967 -0.02633309 -0.02933153  0.16189378]
 [-0.00448706  0.00315908  0.          0.        ]]","[ 1.10344291  2.0177286  -0.12365557  0.84827646 -0.2509508   1.39032156
 -1.1228828   0.39872392  1.59753893 -1.68120426  0.        ]",[ 2.64482927  0.17725408],[-0.38191146 -0.58053088]
1,-0.297211117481,[ 2.05242927  0.27878581],-2.30922,"[[-0.05388478 -0.03459752 -0.02933153  0.16189378]
 [ 3.95180215 -0.82683064  0.          0.        ]]","[ 1.10753432  2.01738704 -0.0646804   0.82153904 -0.25095066  1.39031946
 -1.00013112  0.27411775  1.60260244 -1.61063903  0.        ]",[ 2.51688623  0.15170664],[-0.38191146 -0.58053088]
2,-0.283772161953,[ 2.36464955 -0.72313161],-2.24835,"[[ 0.06405317 -0.03990942 -0.02933153  0.16189378]
 [ 7.82908418  0.29191872  0.          0.        ]]","[ 1.10669182  2.01711748  0.11132458  0.80435747 -0.25095052  1.39031735
 -0.879831    0.44207494  1.60524064 -1.3794628   0.        ]",[ 2.19739389  0.05680913],[-0.38191146 -0.58053088]
3,-0.260592830855,[ 1.30637278 -0.12657256],-2.07201,"[[  0.25878288  -0.06287217  -0.02933153   0.16189378]
 [ 11.63122602  -2.57861712   0.           0.        ]]","[ 1.06282759  2.01553658  0.39786895  0.73013391 -0.25095038  1.39031525
 -0.7618624   0.01112219  1.56471674 -1.01638161  0.        ]",[ 1.9977628  0.0189454],[-0.38191146 -0.58053088]
4,-0.226876897792,[ 1.3780841  -0.74049246],-1.84537,"[[  0.52879169  -0.11897467  -0.02933153   0.16189378]
 [ 15.35725393  -3.03010895   0.           0.        ]]","[ 0.91784093  2.00872761  0.76906701  0.54932222 -0.25095024  1.39031314
 -0.64625548 -0.05666015  1.42956403 -0.56407869  0.        ]",[ 1.40474081 -0.20946687],[-0.38191146 -0.58053088]
5,-0.181079890231,[ 0.60279962 -0.79810564],-1.53203,"[[  0.87259163  -0.20840555  -0.02933153   0.16189378]
 [ 19.01059639  -5.90336269   0.           0.        ]]","[ 0.60821081  1.98926135  1.15955825  0.26382847 -0.25095011  1.39031104
 -0.53290385 -0.48802106  1.14625149 -0.08445242  0.        ]",[ 0.78036773 -0.50134671],[-0.38191146 -0.58053088]
6,-0.12740372054,[ 0.04104909 -0.52336403],-1.24677,"[[  1.2729707   -0.35701064  -0.02933153   0.16189378]
 [ 21.02066119  -8.94693917   0.           0.        ]]","[ 0.11773971  1.93393232  1.4432404  -0.19763865 -0.25094997  1.39030893
 -0.47053779 -0.94495206  0.72077744  0.28332541  0.        ]",[ 0.21784446 -0.83852679],[-0.38191146 -0.58053088]
7,-0.0737388661473,[-0.64107411 -1.30136984],-1.01535,"[[  1.69085399  -0.55495564  -0.02933153   0.16189378]
 [ 20.7685504  -10.84119551   0.           0.        ]]","[-0.46230506  1.81768384  1.49822628 -0.7719227  -0.25094983  1.39030682
 -0.47835966 -1.22933506  0.23754663  0.43829398  0.        ]",[-0.07396126 -1.12025094],[-0.38191146 -0.58053088]
8,-0.0335023870753,[ 1.32222035 -2.40856834],-0.829939,"[[  2.07667785  -0.80933364  -0.02933153   0.16189378]
 [ 17.82361667 -14.58414902   0.           0.        ]]","[-0.97440454  1.60402833  1.32194167 -1.40929228 -0.25094969  1.39030472
 -0.56973105 -1.79126041 -0.15201979  0.37522559  0.        ]",[ 0.39699563 -1.16146505],[-0.38191146 -0.58053088]
9,-0.0239584877018,[ 1.29530123 -1.04291449],-0.506927,"[[  2.46933302  -1.13784597  -0.02933153   0.16189378]
 [ 21.43005625 -18.25467528   0.           0.        ]]","[-1.39249168  1.24278499  0.94565694 -2.00452468 -0.25094956  1.39030261
 -0.45783456 -2.34230767 -0.4372228   0.15222738  0.        ]",[ 0.91054916 -1.07384551],[-0.38191146 -0.58053088]
10,-0.0592075956253,[ 2.09783118 -0.91518657],-0.465735,"[[  2.93341188  -1.53902844  -0.02933153   0.16189378]
 [ 24.96625009 -21.85137955   0.           0.        ]]","[-1.66761186  0.7247755   0.32435793 -2.30152511 -0.25094942  1.39030051
 -0.3481176  -2.88226481 -0.64283571 -0.2322017   0.        ]",[ 1.24129558 -0.89390606],[-0.38191146 -0.58053088]
11,-0.0999219632092,[ 2.41245538 -0.42061022],-0.706265,"[[  3.46752315  -2.00804966  -0.02933153   0.16189378]
 [ 28.43346874 -25.03997473   0.           0.        ]]","[-1.624015    0.11669694 -0.46238482 -1.99864233 -0.25094928  1.3902984
 -0.24054075 -3.36094349 -0.67386809 -0.72647858  0.        ]",[ 1.41796196 -0.70446146],[-0.38191146 -0.58053088]
12,-0.134988586554,[ 2.18227728 -0.36979341],-0.984915,"[[  4.07029435e+00  -2.52055594e+00  -2.93315287e-02   1.61893775e-01]
 [  3.18322973e+01  -2.62068186e+01   0.00000000e+00   0.00000000e+00]]","[-1.13483793 -0.40403    -1.18011215 -0.94983786 -0.25094914  1.3902963
 -0.13508583 -3.53609479 -0.47936035 -1.18007701  0.        ]",[ 1.40716386 -0.53893632],[-0.38191146 -0.58053088]
13,-0.153822364682,[ 1.52193828 -0.4660423 ],-1.16066,"[[  4.74036003e+00  -3.05415704e+00  -2.93315287e-02   1.61893775e-01]
 [  3.51630851e+01  -2.23257070e+01   0.00000000e+00   0.00000000e+00]]","[-0.25491192 -0.64835404 -1.4769142   0.6508625  -0.250949    1.39029419
 -0.031742   -2.95341985 -0.10739907 -1.37702352  0.        ]",[ 1.44676661 -0.40493932],[-0.38191146 -0.58053088]
14,-0.15203516649,[ 1.3538999  -1.07119298],-1.1784,"[[  5.47637651e+00  -3.20392158e+00  -2.93315287e-02   1.61893775e-01]
 [  3.84273513e+01   9.24109680e-01   0.00000000e+00   0.00000000e+00]]","[ 0.67694858 -0.65086253 -1.06250151  1.13510612 -0.25094887  1.39029209
  0.06953787  0.53699403 -0.03790676 -1.34619302  0.        ]",[ 1.49338555 -0.5119344 ],[-0.38191146 -0.58053088]
15,-0.162455026594,[ 2.02376429 -0.3377115 ],-1.22014,"[[  6.27701815e+00  -3.14413344e+00  -2.93315287e-02   1.61893775e-01]
 [  4.16260861e+01   3.66463097e+00   0.00000000e+00   0.00000000e+00]]","[ 1.10954639 -0.65345163  0.00653054  0.94172229 -0.25094873  1.39028998
  0.16878451  0.94841819 -0.10837496 -1.46039138  0.        ]",[ 1.84918857 -0.42459908],[-0.38191146 -0.58053088]
16,-0.175997266483,[ 2.5182545  -0.77679544],-1.24362,"[[  7.14099623e+00  -3.07941125e+00  -2.93315287e-02   1.61893775e-01]
 [  4.47612538e+01   2.62289429e+00   0.00000000e+00   0.00000000e+00]]","[ 0.6240097  -0.65087383  1.14524159  0.73236807 -0.25094859  1.39028788
  0.26605885  0.79202515 -0.04027982 -1.57945311  0.        ]",[ 2.12385154 -0.21125114],[-0.38191146 -0.58053088]
17,-0.173956943765,[ 3.33735981  0.54244376],-1.11967,"[[  8.06705431e+00  -3.03995271e+00  -2.93315287e-02   1.61893775e-01]
 [  4.78343167e+01   1.40216778e+00   0.00000000e+00   0.00000000e+00]]","[-0.59101521 -0.64656103  1.47520465  0.60509045 -0.25094845  1.39028577
  0.36140626  0.60876118  0.0702587  -1.53165947  0.        ]",[ 1.88939488 -0.27255842],[-0.38191146 -0.58053088]
18,-0.155834988571,[ 2.51632923  0.71705721],-1.14513,"[[  9.05396433e+00  -2.99062454e+00  -2.93315287e-02   1.61893775e-01]
 [  5.08466144e+01   3.52369181e+00   0.00000000e+00   0.00000000e+00]]","[-1.6025084  -0.63826098  0.55684624  0.44671973 -0.25094832  1.39028367
  0.45486828  0.92725762  0.07989619 -1.34888204  0.        ]",[ 1.18229318 -0.72431135],[-0.38191146 -0.58053088]
19,-0.137712025734,[ 1.6169718   0.16214366],-1.09744,"[[  1.01005194e+01  -2.89234138e+00  -2.93315287e-02   1.61893775e-01]
 [  5.37989556e+01   6.29561981e+00   0.00000000e+00   0.00000000e+00]]","[-1.38943261 -0.61217415 -0.9182466   0.13508421 -0.25094818  1.39028156
  0.54646998  1.34339602 -0.12260877 -1.22400262  0.        ]",[ 0.71369541 -1.20672178],[-0.38191146 -0.58053088]
20,-0.168677878773,[ 0.03625178 -2.30532012],-1.44271,"[[  1.12055279e+01  -2.76119923e+00  -2.93315287e-02   1.61893775e-01]
 [  5.66921525e+01   6.81720261e+00   0.00000000e+00   0.00000000e+00]]","[-0.00160885 -0.55796834 -1.44470682 -0.26822713 -0.25094804  1.39027946
  0.63623657  1.42169726 -0.34538505 -1.52749565  0.        ]",[ 0.93885487 -1.212919  ],[-0.38191146 -0.58053088]
21,-0.212298314086,[ 1.21442923 -0.33034585],-2.01257,"[[  1.23295385e+01  -2.66588128e+00  -2.93315287e-02   1.61893775e-01]
 [  5.57123076e+01   2.72838593e+00   0.00000000e+00   0.00000000e+00]]","[ 1.07039083 -0.50513482 -0.33461064 -0.5487971  -0.2509479   1.39027735
  0.60583454  0.80785668 -0.10581637 -1.93957793  0.        ]",[ 1.54125416 -0.86958438],[-0.38191146 -0.58053088]
22,-0.206036344783,[ 2.74536466  0.47164099],-1.66272,"[[  1.34724367e+01  -2.62491294e+00  -2.93315287e-02   1.61893775e-01]
 [  5.85680365e+01   1.37316244e+00   0.00000000e+00   0.00000000e+00]]","[ 0.57172478 -0.47908225  1.19103911 -0.66539749 -0.25094777  1.39027525
  0.69443859  0.60440121  0.32404271 -1.75393346  0.        ]",[ 2.09355283 -0.47555283],[-0.38191146 -0.58053088]
23,-0.147291587968,[ 0.85367989 -0.22525358],-1.19598,"[[  1.46718827e+01  -2.57890701e+00  -2.93315287e-02   1.61893775e-01]
 [  6.13671258e+01   3.22149723e+00   0.00000000e+00   0.00000000e+00]]","[-1.00951467 -0.44750517  1.30053679 -0.79312752 -0.25094763  1.39027314
  0.78128519  0.88188464  0.33561736 -1.12266733  0.        ]",[ 1.42808259 -0.80461544],[-0.38191146 -0.58053088]
24,-0.101977435215,[ 0.2962019  -1.03893709],-0.726748,"[[  1.59209381e+01  -2.52397335e+00  -2.93315287e-02   1.61893775e-01]
 [  6.35312373e+01   2.27525918e+00   0.00000000e+00   0.00000000e+00]]","[-1.66619792 -0.40667447 -0.29988637 -0.94083562 -0.25094749  1.39027104
  0.84843026  0.73982852 -0.21409078 -0.89122132  0.        ]",[ 0.40140879 -1.44431114],[-0.38191146 -0.58053088]
25,-0.170621296923,[ 0.88574424 -1.23202238],-1.46755,"[[  1.71907074e+01  -2.51854523e+00  -2.93315287e-02   1.61893775e-01]
 [  6.34461950e+01  -1.71912669e+00   0.00000000e+00   0.00000000e+00]]","[-0.41761146 -0.40245922 -1.47171251 -0.95513028 -0.25094735  1.39026893
  0.84579091  0.14016462 -0.53633444 -1.51373011  0.        ]",[ 0.57075542 -1.37937617],[-0.38191146 -0.58053088]
26,-0.21820381567,[ 0.85519616 -1.02189845],-2.12649,"[[  1.84822228e+01  -2.59221208e+00  -2.93315287e-02   1.61893775e-01]
 [  6.56980229e+01  -5.63457429e+00   0.00000000e+00   0.00000000e+00]]","[ 1.01593011 -0.45688537 -0.52052372 -0.75654861 -0.25094721  1.39026682
  0.91565746 -0.44764849 -0.14625928 -2.00019753  0.        ]",[ 1.72636104 -0.73260188],[-0.38191146 -0.58053088]
