timestep,original_rewards,actions,rewards,human_obs,obs,avg_action_dist,logstd_action_dist
0,-0.160854185101,[ 2.17057326  0.67038784],-1.91343,"[[ 0.0846504   0.07131413  0.18243764  0.18430194]
 [ 0.002842   -0.00478489  0.          0.        ]]","[ 1.04661019  1.58290723  0.19339578  1.19829477  1.58434818  1.59545066
 -0.9012188   0.37980687 -0.12323346 -1.624255    0.        ]",[ 1.6359638   0.83030146],[-0.70924038 -0.81794143]
1,-0.14960750907,[ 1.06437583  0.44829634],-1.89841,"[[ 0.12438691  0.09783701  0.18243764  0.18430194]
 [ 3.95764668  2.64823598  0.          0.        ]]","[ 1.04050342  1.58017594  0.25196296  1.275031    1.58434643  1.59544888
 -0.78088752  0.80956183 -0.13873328 -1.50100321  0.        ]",[ 1.00647056  0.23236203],[-0.70924038 -0.81794143]
2,-0.117427950274,[-0.70131296 -0.62340425],-1.77384,"[[ 0.2424386   0.1680703   0.18243764  0.18430194]
 [ 7.83462817  4.36935696  0.          0.        ]]","[ 1.00880629  1.5688338   0.4238899   1.47712533  1.58434468  1.5954471
 -0.66292421  1.08836065 -0.21334931 -1.1540905   0.        ]",[-0.02721512 -0.52052701],[-0.70924038 -0.81794143]
3,-0.0861025467512,[-0.00074294 -0.54328901],-1.58,"[[ 0.36975103  0.22983394  0.18243764  0.18430194]
 [ 4.90635009  1.81551651  0.          0.        ]]","[ 0.95233419  1.55396254  0.60368431  1.65290144  1.58434293  1.59544532
 -0.75202113  0.6746709  -0.33402737 -0.81763895  0.        ]",[-0.04545167 -0.31854734],[-0.70924038 -0.81794143]
4,-0.0682060423779,[-0.52877184  0.71856955],-1.55567,"[[ 0.46688337  0.24420008  0.18243764  0.18430194]
 [ 4.8072071  -0.37161379  0.          0.        ]]","[ 0.89423621  1.5498513   0.73517692  1.69344787  1.58434118  1.59544355
 -0.75503734  0.32038364 -0.43322364 -0.61131655  0.        ]",[-0.23443076 -0.12942439],[-0.70924038 -0.81794143]
5,-0.0572271351067,[ 0.13631757 -0.72923858],-1.55529,"[[ 0.54107512  0.26539705  0.18243764  0.18430194]
 [ 2.61926017  2.48180109  0.          0.        ]]","[ 0.84147331  1.54334074  0.83144098  1.75300711  1.58433943  1.59544177
 -0.82160852  0.78260011 -0.52707097 -0.45474572  0.        ]",[-0.54682517 -0.68904006],[-0.70924038 -0.81794143]
6,-0.0523964608897,[-0.43375809 -0.56514929],-1.5782,"[[ 0.59836246  0.28556706  0.18243764  0.18430194]
 [ 3.10783838 -0.45501253  0.          0.        ]]","[ 0.79596302  1.53665506  0.90292455  1.80936313  1.58433769  1.59543999
 -0.80674236  0.30687354 -0.60931074 -0.33847337  0.        ]",[-0.63065219 -0.36021268],[-0.70924038 -0.81794143]
7,-0.0511297032044,[-0.19602802 -0.38023857],-1.56116,"[[ 0.64269455  0.25411174  0.18243764  0.18430194]
 [ 1.33128589 -2.6830936   0.          0.        ]]","[ 0.75799569  1.54686876  0.95637415  1.72133287  1.58433594  1.59543821
 -0.86079622 -0.05404735 -0.64129068 -0.28854058  0.        ]",[-0.39031497  0.05856812],[-0.70924038 -0.81794143]
8,-0.0507750673723,[-0.19712134  0.12825978],-1.53788,"[[ 0.66128114  0.18587985  0.18243764  0.18430194]
 [ 0.53004234 -4.13525617  0.          0.        ]]","[ 0.74138358  1.56500398  0.97826958  1.52801891  1.58433419  1.59543643
 -0.88517478 -0.28927926 -0.61475075 -0.31114012  0.        ]",[-0.12468752  0.44861358],[-0.70924038 -0.81794143]
9,-0.0522081411156,[-0.47620212  0.57220747],-1.52141,"[[ 0.66395072  0.1090947   0.18243764  0.18430194]
 [-0.26045193 -3.54522616  0.          0.        ]]","[ 0.73896417  1.57874596  0.98138824  1.30753154  1.58433244  1.59543465
 -0.90922626 -0.19370175 -0.5648585  -0.37118181  0.        ]",[ 0.0615364   0.55157548],[-0.70924038 -0.81794143]
