timestep,original_rewards,actions,rewards,human_obs,obs,avg_action_dist,logstd_action_dist
0,-0.255961543983,[ 0.29827831  0.33577313],-1.73494,"[[-0.00287378  0.08899617  0.00260667  0.15975135]
 [-0.00369152 -0.0024696   0.          0.        ]]","[ 1.15649019  2.22027874 -0.04217504  1.18392796  0.03125755  1.36556944
 -1.22923223  0.40580549  1.31320784 -1.32338718  0.        ]",[ 2.13111997 -0.48342347],[-0.30057681 -0.49618295]
1,-0.25345344998,[ 3.65194099 -0.14643471],-1.73482,"[[ 0.00888679  0.10228222  0.00260667  0.15975135]
 [ 1.17582325  1.32664575  0.          0.        ]]","[ 1.15643919  2.21848775 -0.02466482  1.22938779  0.03125753  1.36556653
 -1.19033335  0.60249704  1.31115558 -1.28835517  0.        ]",[ 1.99158347 -0.54865181],[-0.30057681 -0.49618295]
2,-0.243496571343,[ 2.45619101 -0.95757884],-1.69738,"[[  7.18628991e-02   1.22718734e-01   2.60666806e-03   1.59751355e-01]
 [  5.10869320e+00   7.19034342e-01   0.00000000e+00   0.00000000e+00]]","[ 1.15291583  2.21525706  0.06900879  1.29919102  0.03125751  1.36556362
 -1.06063785  0.51257776  1.29883836 -1.15099561  0.        ]",[ 1.83030152 -0.59504563],[-0.30057681 -0.49618295]
3,-0.225706511871,[ 1.45518246 -0.69616797],-1.56562,"[[  2.12728300e-01   9.88988449e-02   2.60666806e-03   1.59751355e-01]
 [  8.96499745e+00  -3.08833331e+00   0.00000000e+00   0.00000000e+00]]","[ 1.12525831  2.21894522  0.27645279  1.21781134  0.03125748  1.36556071
 -0.93346764 -0.05086476  1.25990613 -0.91491751  0.        ]",[ 1.75484943 -0.59542328],[-0.30057681 -0.49618295]
4,-0.200862768994,[ 1.32830081 -0.4496307 ],-1.36619,"[[  4.29949968e-01   1.00733407e-02   2.60666806e-03   1.59751355e-01]
 [  1.27445827e+01  -5.78522049e+00   0.00000000e+00   0.00000000e+00]]","[ 1.03038739  2.22572442  0.58271758  0.91302343  0.03125746  1.36555779
 -0.80882768 -0.44997005  1.17017961 -0.61348361  0.        ]",[ 1.49347544 -0.70807821],[-0.30057681 -0.49618295]
5,-0.166278751128,[ 1.36418384 -0.43652734],-1.11704,"[[  7.22009649e-01  -1.22358908e-01   2.60666806e-03   1.59751355e-01]
 [  1.64490678e+01  -7.45241722e+00   0.00000000e+00   0.00000000e+00]]","[ 0.81077079  2.21528946  0.94611277  0.45883295  0.03125744  1.36555488
 -0.6866645  -0.69669377  0.98693208 -0.25898926  0.        ]",[ 1.05627322 -0.90988076],[-0.30057681 -0.49618295]
6,-0.120744815653,[ 1.4994425  -0.65738898],-0.896247,"[[  1.08742519e+00  -2.87280836e-01   2.60666806e-03   1.59751355e-01]
 [  2.00804416e+01  -9.03443496e+00   0.00000000e+00   0.00000000e+00]]","[ 0.41490968  2.16824114  1.28042852 -0.09561196  0.03125741  1.36555197
 -0.56691245 -0.93081162  0.66798386  0.09251388  0.        ]",[ 0.53205836 -1.16400123],[-0.30057681 -0.49618295]
7,-0.067868665783,[ 0.90614384 -1.03079491],-0.749257,"[[  1.52475448e+00  -4.92298151e-01   2.60666806e-03   1.59751355e-01]
 [  2.36407258e+01  -1.14590921e+01   0.00000000e+00   0.00000000e+00]]","[-0.1652656   2.05905221  1.44942693 -0.74635927  0.03125739  1.36554906
 -0.44950481 -1.2896285   0.20468604  0.33289652  0.        ]",[ 0.14562856 -1.35955906],[-0.30057681 -0.49618295]
8,-0.0377816621015,[ 1.18568329 -1.75372604],-0.506648,"[[  2.02886927e+00  -7.58928204e-01   2.60666806e-03   1.59751355e-01]
 [  2.67605249e+01  -1.51912865e+01   0.00000000e+00   0.00000000e+00]]","[-0.84174115  1.84049241  1.29750523 -1.48711577  0.03125737  1.36554615
 -0.34662307 -1.84194106 -0.33712728  0.336609    0.        ]",[ 0.22298741 -1.32872248],[-0.30057681 -0.49618295]
9,-0.0803488417135,[-1.16605003 -0.54338879],-0.244414,"[[  2.59849778e+00  -1.09944908e+00   2.60666806e-03   1.59751355e-01]
 [  3.01911465e+01  -1.88483417e+01   0.00000000e+00   0.00000000e+00]]","[-1.41519651  1.45934624  0.73154351 -2.18428258  0.03125734  1.36554323
 -0.23349139 -2.38312716 -0.83025719  0.03825935  0.        ]",[ 0.5914551  -1.13464618],[-0.30057681 -0.49618295]
