timestep,original_rewards,actions,rewards,human_obs,obs,avg_action_dist,logstd_action_dist
0,-0.130777614638,[ 1.40022171 -1.88632855],-0.624851,"[[ 0.05329649 -0.08111602  0.15163263  0.11938929]
 [-0.00136898 -0.00322259  0.          0.        ]]","[ 1.16051077  2.12164592  0.00921205  0.54764329  1.29597608  1.04030801
 -1.24587462  0.39214028  0.20702416 -1.03421826  0.        ]",[ 1.00299203 -0.8252157 ],[-0.25955003 -0.42854801]
1,-0.12712756114,[ 0.95980611 -1.36578716],-0.594588,"[[ 0.09297537 -0.12092307  0.15163263  0.11938929]
 [ 3.95607714 -3.96427473  0.          0.        ]]","[ 1.15651325  2.11614564  0.06843346  0.41814942  1.29597153  1.04030517
 -1.10175503 -0.18525596  0.2049237  -1.00010694  0.        ]",[ 1.11203957 -0.74990392],[-0.25955003 -0.42854801]
2,-0.116314217643,[ 2.54187801 -0.34485567],-0.55754,"[[ 0.20942243 -0.23916317  0.15163263  0.11938929]
 [ 7.67624867 -7.84677976  0.          0.        ]]","[ 1.1323604   2.0872159   0.24062454  0.03798592  1.29596699  1.04030234
 -0.96627695 -0.75120194  0.19219532 -0.90223949  0.        ]",[ 1.16458845 -0.71141261],[-0.25955003 -0.42854801]
3,-0.0955262388382,[ 1.67605841 -0.99085412],-0.454142,"[[  0.40112089  -0.40825391   0.15163263   0.11938929]
 [ 11.48096597  -9.05821642   0.           0.        ]]","[ 1.05310645  2.01379709  0.51384032 -0.48558437  1.29596244  1.0402995
 -0.82772061 -0.92778927  0.15089023 -0.72274335  0.        ]",[ 1.02692199 -0.77669877],[-0.25955003 -0.42854801]
4,-0.0644302000946,[ 1.93682388 -2.34541701],-0.35308,"[[  0.66817095  -0.62699379   0.15163263   0.11938929]
 [ 15.21168735 -12.8032108    0.           0.        ]]","[ 0.86620498  1.86618563  0.85671601 -1.10590312  1.2959579   1.04029667
 -0.69185937 -1.47368634  0.05204025 -0.47848272  0.        ]",[ 0.99861968 -0.76785582],[-0.25955003 -0.42854801]
5,-0.0273871799744,[-0.03867826 -0.48528341],-0.308596,"[[  1.00910044  -0.92024712   0.15163263   0.11938929]
 [ 18.86921161 -16.50963046   0.           0.        ]]","[ 0.51858217  1.58719691  1.19614917 -1.78943125  1.29595336  1.04029383
 -0.55866401 -2.01395239 -0.13306552 -0.23691325  0.        ]",[ 1.05548036 -0.7050665 ],[-0.25955003 -0.42854801]
6,-0.0250293329905,[ 2.19584813 -1.78753032],-0.285619,"[[  1.38122115  -1.26642504   0.15163263   0.11938929]
 [ 18.34460623 -18.10283078   0.           0.        ]]","[ 0.04442923  1.16916883  1.39928239 -2.3069871   1.29594881  1.040291
 -0.57776734 -2.24617217 -0.3842984  -0.09486474  0.        ]",[ 1.09748614 -0.65221816],[-0.25955003 -0.42854801]
7,-0.0641656148328,[ 1.15107274 -0.38343074],-0.342629,"[[  1.78420005  -1.6646048    0.15163263   0.11938929]
 [ 21.94146888 -21.70297647   0.           0.        ]]","[-0.50693788  0.63167286  1.39214015 -2.44288644  1.29594427  1.04028816
 -0.44678109 -2.7709238  -0.67442251 -0.09445988  0.        ]",[ 1.19078004 -0.53655201],[-0.25955003 -0.42854801]
8,-0.109402802036,[ 1.34919809 -0.46859614],-0.393683,"[[  2.25840825  -2.10956796   0.15163263   0.11938929]
 [ 25.46774779 -22.78960521   0.           0.        ]]","[-1.08954326  0.05858719  1.08600084 -1.99403949  1.29593972  1.04028533
 -0.31836536 -2.9292805  -0.98364214 -0.24389948  0.        ]",[ 1.1639539  -0.50055826],[-0.25955003 -0.42854801]
9,-0.151805186982,[ 0.03577409 -0.08182819],-0.563118,"[[  2.80244772  -2.57942719   0.15163263   0.11938929]
 [ 28.92466354 -24.19168213   0.           0.        ]]","[-1.51432361 -0.39645431  0.42736346 -0.93028811  1.29593518  1.04028249
 -0.19247567 -3.13360912 -1.21774336 -0.55536899  0.        ]",[ 1.23806798 -0.43791842],[-0.25955003 -0.42854801]
