timestep,original_rewards,actions,rewards,human_obs,obs,avg_action_dist,logstd_action_dist
0,-0.338192901337,[ 1.08681505 -2.35510934],-1.82014,"[[ 0.074701   -0.00120747 -0.12688118  0.05122129]
 [-0.00117585 -0.00082464  0.          0.        ]]","[ 1.16187671  2.17309176  0.05031987  0.82887612 -1.10425244  0.43626033
 -1.25001367  0.39957904  2.24289488 -0.31715734  0.        ]",[ 0.7917496  -1.14506328],[-0.27624092 -0.477467  ]
1,-0.337427793737,[ 0.78825863 -1.53283028],-1.78063,"[[ 0.11438366 -0.04096708 -0.12688118  0.05122129]
 [ 3.95626093 -3.96192981  0.          0.        ]]","[ 1.15670831  2.17191905  0.10930564  0.69517099 -1.10424972  0.43625975
 -1.11026507 -0.18062117  2.24015332 -0.2829365   0.        ]",[ 0.95676208 -1.03408051],[-0.27624092 -0.477467  ]
2,-0.334866528903,[ 1.46003194 -0.36204263],-1.70215,"[[ 0.22402537 -0.15915829 -0.12688118  0.05122129]
 [ 6.99778392 -7.84424153  0.          0.        ]]","[ 1.13125779  2.15559259  0.27060423  0.29982029 -1.104247    0.43625918
 -1.00285996 -0.74927969  2.22715119 -0.19726101  0.        ]",[ 1.06196928 -0.97437477],[-0.27624092 -0.477467  ]
3,-0.328626774044,[-0.16151129 -0.66981618],-1.66646,"[[  0.40228879  -0.32888216  -0.12688118   0.05122129]
 [ 10.81587436  -9.12384908   0.           0.        ]]","[ 1.05562787  2.09895862  0.52350712 -0.25351546 -1.10424428  0.4362586
 -0.86803308 -0.93670775  2.18666019 -0.04204081  0.        ]",[ 0.95851612 -1.02608085],[-0.27624092 -0.477467  ]
4,-0.318858037229,[-0.11207774 -1.26030334],-1.61895,"[[  0.61006014  -0.53615211  -0.12688118   0.05122129]
 [  9.96408949 -11.59490504   0.           0.        ]]","[ 0.9169664   1.97905698  0.79436098 -0.88538942 -1.10424156  0.43625803
 -0.89810969 -1.29865088  2.11325968  0.11601342  0.        ]",[ 1.09268522 -0.94473183],[-0.27624092 -0.477467  ]
5,-0.307022000537,[ 1.24430315 -0.64328166],-1.55412,"[[  0.80293072  -0.80547022  -0.12688118   0.05122129]
 [  9.32505284 -15.32447212   0.           0.        ]]","[ 0.74457819  1.74830689  1.01308135 -1.59287068 -1.10423885  0.43625745
 -0.92067361 -1.84492841  2.02424525  0.17026278  0.        ]",[ 1.47681177 -0.7309708 ],[-0.27624092 -0.477467  ]
6,-0.288850688013,[ 2.53467848  0.04919807],-1.4311,"[[  1.02728782  -1.13447944  -0.12688118   0.05122129]
 [ 13.09821491 -17.56886048   0.           0.        ]]","[ 0.49986805  1.3748103   1.21690824 -2.21568673 -1.10423613  0.43625687
 -0.78743344 -2.17365943  1.89019367  0.1890017   0.        ]",[ 1.82741117 -0.52291358],[-0.27624092 -0.477467  ]
7,-0.2613859003,[ 1.68175774 -0.89103397],-1.37965,"[[  1.32636108  -1.48041264  -0.12688118   0.05122129]
 [ 16.79699397 -17.02612901   0.           0.        ]]","[ 0.12046886  0.91536226  1.38768899 -2.51707284 -1.10423341  0.4362563
 -0.65682021 -2.09415113  1.68458996  0.2439469   0.        ]",[ 1.89503765 -0.42773095],[-0.27624092 -0.477467  ]
8,-0.224976320172,[ 1.67100934  0.37874909],-1.18434,"[[  1.69869366  -1.85294397  -0.12688118   0.05122129]
 [ 20.42432195 -20.21623312   0.           0.        ]]","[-0.3891369   0.40568289  1.41987501 -2.39778157 -1.10423069  0.43625572
 -0.5287303  -2.56139368  1.41498623  0.26250205  0.        ]",[ 2.13932943 -0.15675074],[-0.27624092 -0.477467  ]
9,-0.18361580861,[ 2.44813701 -0.45870647],-1.01753,"[[  2.14285566  -2.23819055  -0.12688118   0.05122129]
 [ 23.9801628  -18.31467972   0.           0.        ]]","[-0.95977238 -0.06507045  1.19433136 -1.8090444  -1.10422797  0.43625515
 -0.40316489 -2.2828535   1.11900249  0.18714375  0.        ]",[ 2.07996988 -0.06087351],[-0.27624092 -0.477467  ]
10,-0.148294853094,[ 2.10843183 -0.58275411],-0.864741,"[[  2.65743462  -2.61905102  -0.12688118   0.05122129]
 [ 27.46610924 -19.76655153   0.           0.        ]]","[-1.43372139 -0.40738033  0.63389357 -0.84583123 -1.10422526  0.43625457
 -0.28006768 -2.49549117  0.87133514 -0.01120795  0.        ]",[ 2.03551817  0.01621896],[-0.27624092 -0.477467  ]
11,-0.140396876637,[ 1.03817366 -1.02878822],-0.891034,"[[  3.24103676  -3.03359301  -0.12688118   0.05122129]
 [ 30.88273302 -17.77779894   0.           0.        ]]","[-1.58539067 -0.58380771 -0.20938515  0.47037388 -1.10422254  0.43625399
 -0.15941845 -2.20418319  0.77448188 -0.34158385  0.        ]",[ 1.90406001 -0.04735023],[-0.27624092 -0.477467  ]
12,-0.143505633937,[ 1.54890838 -0.4198285 ],-1.002,"[[  3.89229396  -3.15604398  -0.12688118   0.05122129]
 [ 34.23155385   0.5151272    0.           0.        ]]","[-1.22154989 -0.59171703 -1.07973103  0.88155608 -1.10421982  0.43625342
 -0.0411635   0.47517936  0.78061063 -0.4087276   0.        ]",[ 1.37665784 -0.47538909],[-0.27624092 -0.477467  ]
13,-0.131354934617,[ 2.11846803 -0.14402198],-0.800454,"[[  4.60985236  -3.11133414  -0.12688118   0.05122129]
 [ 37.51329248   2.82925457   0.           0.        ]]","[-0.354385   -0.59122767 -1.54649607  0.73118038 -1.1042171   0.43625284
  0.07472261  0.81412818  0.69989956 -0.36333952  0.        ]",[ 1.19680548 -0.58465028],[-0.27624092 -0.477467  ]
14,-0.124089559901,[ 1.52694245 -1.04751241],-0.716422,"[[  5.39239144  -3.05988582  -0.12688118   0.05122129]
 [ 40.72988677   2.26507431   0.           0.        ]]","[ 0.65384481 -0.58724756 -1.22220342  0.55841158 -1.10421438  0.43625227
  0.18830831  0.7314914   0.62002325 -0.43610216  0.        ]",[ 1.34182334 -0.53579575],[-0.27624092 -0.477467  ]
15,-0.133032281503,[ 1.07156945 -1.04429104],-0.682992,"[[  6.23862291  -3.02846429  -0.12688118   0.05122129]
 [ 43.8827636    1.02749576   0.           0.        ]]","[ 1.16435084 -0.58302186 -0.12764895  0.45322287 -1.10421167  0.43625169
  0.29964395  0.55022227  0.64335691 -0.55647563  0.        ]",[ 1.6502707  -0.39354202],[-0.27624092 -0.477467  ]
