timestep,original_rewards,actions,rewards,human_obs,obs,avg_action_dist,logstd_action_dist
0,-0.401253617356,[ 0.89939477 -1.01776429],-2.51476,"[[-0.05279238  0.08948183 -0.18785082  0.05250667]
 [ 0.00496827 -0.00209099  0.          0.        ]]","[ 1.16000842  2.2200297  -0.12518081  1.18492775 -1.63234186  0.44531831
 -1.24283322  0.40593366  2.73878517 -0.46616271  0.        ]",[ 1.38183975 -1.1562562 ],[-0.28827679 -0.50058627]
1,-0.40098389433,[ 1.19893804 -0.85622038],-2.50502,"[[-0.01698111  0.04969871 -0.18785082  0.05250667]
 [ 3.56430157 -3.96301633  0.          0.        ]]","[ 1.1617332   2.2238981  -0.07185802  1.04730999 -1.63233704  0.44531788
 -1.12387604 -0.17735875  2.73980649 -0.43823644  0.        ]",[ 1.52134347 -1.05633903],[-0.28827679 -0.50058627]
2,-0.399356892757,[ 0.73778762 -2.28790523],-2.54346,"[[ 0.09330099 -0.06280537 -0.18785082  0.05250667]
 [ 7.4509661  -7.27634123  0.          0.        ]]","[ 1.15591664  2.2228541   0.09225723  0.6573843  -1.63233222  0.44531745
 -0.99397972 -0.66528419  2.73672312 -0.34247945  0.        ]",[ 1.55861974 -1.01222062],[-0.28827679 -0.50058627]
3,-0.394878192932,[ 1.42840364 -0.4918389 ],-2.42512,"[[  0.2701401   -0.24662506  -0.18785082   0.05250667]
 [ 10.22372532 -11.0928862    0.           0.        ]]","[ 1.1117841   2.18317662  0.35106785  0.0284387  -1.63232741  0.44531702
 -0.90131108 -1.22731326  2.71315338 -0.19485057  0.        ]",[ 1.64254832 -0.94335812],[-0.28827679 -0.50058627]
4,-0.384976216249,[ 1.14333897 -1.88910567],-2.39307,"[[  0.51228547  -0.48583135  -0.18785082   0.05250667]
 [ 13.97837262 -12.82191554   0.           0.        ]]","[ 0.98442978  2.06333145  0.68378629 -0.74422059 -1.63232259  0.44531659
 -0.77582743 -1.48192944  2.6446677   0.00655479  0.        ]",[ 1.60187292 -0.9276619 ],[-0.28827679 -0.50058627]
5,-0.366264131551,[ 2.48475567  0.09826507],-2.20084,"[[  0.82879067  -0.77945805  -0.18785082   0.05250667]
 [ 17.65999941 -16.52828186   0.           0.        ]]","[ 0.71362251  1.82073202  1.05172702 -1.56244078 -1.63231777  0.44531616
 -0.65278438 -2.02772678  2.49847433  0.24849114  0.        ]",[ 1.75767446 -0.76039284],[-0.28827679 -0.50058627]
6,-0.336022984784,[ 1.13172861 -0.69039427],-2.09453,"[[  1.21819189  -1.10283576  -0.18785082   0.05250667]
 [ 21.2682986  -15.81170447   0.           0.        ]]","[ 0.25675703  1.45580335  1.35174959 -2.21990718 -1.63231296  0.44531573
 -0.53219213 -1.9221954   2.24861098  0.49185817  0.        ]",[ 1.72152615 -0.71463245],[-0.28827679 -0.50058627]
7,-0.293136812414,[ 2.13177581 -1.08275471],-1.85193,"[[  1.67906277  -1.44334516  -0.18785082   0.05250667]
 [ 24.80719605 -18.23097636   0.           0.        ]]","[-0.37013945  1.00150223  1.43469103 -2.56458422 -1.63230814  0.4453153
 -0.41391943 -2.27844839  1.89468397  0.65721306  0.        ]",[ 1.89469767 -0.47141299],[-0.28827679 -0.50058627]
8,-0.240465542625,[ 2.21738431  0.23169827],-1.49513,"[[  2.2100228   -1.8440479   -0.18785082   0.05250667]
 [ 28.27741368 -21.82714182   0.           0.        ]]","[-1.04559619  0.44481888  1.14922728 -2.46403805 -1.63230332  0.44531487
 -0.2979421  -2.80800136  1.5003212   0.60846649  0.        ]",[ 1.98790097 -0.21876323],[-0.28827679 -0.50058627]
9,-0.191098802462,[ 1.48082967 -1.10060692],-1.30076,"[[  2.80970106  -2.26701884  -0.18785082   0.05250667]
 [ 31.67914788 -20.47441374   0.           0.        ]]","[-1.52793823 -0.07609081  0.43891525 -1.78564454 -1.63229851  0.44531444
 -0.18425356 -2.60878268  1.17794009  0.33967444  0.        ]",[ 1.92684984 -0.11557078],[-0.28827679 -0.50058627]
