timestep,original_rewards,human_obs,avg_action_dist,rewards,obs,logstd_action_dist,actions
0,-0.30396606362,"[[ 0.08983412  0.07091678 -0.03812157 -0.1515558 ]
 [ 0.00426785 -0.0012773   0.          0.        ]]",[-2.31005192 -2.54755473],-2.96624,"[ 1.13302552  2.14076281  0.00570927  0.64746203 -0.33365696 -1.30862329
 -0.33042344  0.22739846  1.63738139  1.57900263  0.        ]",[-0.28665754  0.02979494],[-2.62798448 -4.17843764]
1,-0.297860791901,"[[ 0.05024354  0.03117907 -0.03812157 -0.1515558 ]
 [-3.95016206 -3.95930818  0.          0.        ]]",[-2.01738858 -2.44433498],-2.84421,"[ 1.13690986  2.14354638 -0.05323416  0.53856335 -0.33365677 -1.30862145
 -0.56054879 -0.25836355  1.64751563  1.46551048  0.        ]",[-0.28665754  0.02979494],[-2.19591905 -2.49082405]
2,-0.277762253104,"[[-0.06765119 -0.08693331 -0.03812157 -0.1515558 ]
 [-7.82642297 -7.83900132  0.          0.        ]]",[-1.55262876 -2.35906792],-2.61996,"[ 1.13547016  2.13901292 -0.22909314  0.21475543 -0.33365658 -1.30861961
 -0.78612494 -0.73451111  1.63952121  1.12635199  0.        ]",[-0.28665754  0.02979494],[-0.41757169 -3.3720092 ]
3,-0.241985904668,"[[ -0.23918699  -0.28187779  -0.03812157  -0.1515558 ]
 [ -9.32225001 -11.64275966   0.           0.        ]]",[-1.02524948 -2.33797789],-2.14256,"[ 1.09874765  2.08990099 -0.48180701 -0.31030564 -0.33365639 -1.30861778
 -0.87317297 -1.20133849  1.51833604  0.63330917  0.        ]",[-0.28665754  0.02979494],[ 0.04723407 -3.06254798]
4,-0.192173250818,"[[ -0.42189948  -0.5521482   -0.03812157  -0.1515558 ]
 [ -8.95037723 -15.37183816   0.           0.        ]]",[-0.58821827 -2.37978554],-1.6145,"[ 1.0156897   1.93973201 -0.73939849 -0.98635572 -0.33365619 -1.30861594
 -0.85153127 -1.65899873  1.2172918   0.15166124  0.        ]",[-0.28665754  0.02979494],[ 0.12824223 -2.02748756]
5,-0.130595007733,"[[ -0.59404274  -0.89625969  -0.03812157  -0.1515558 ]
 [ -8.26643906 -19.02711368   0.           0.        ]]",[-0.47583884 -2.62486172],-1.06832,"[ 0.89839563  1.62757602 -0.96361602 -1.69017847 -0.333656   -1.3086141
 -0.81172916 -2.10759813  0.74995287 -0.15159431  0.        ]",[-0.28665754  0.02979494],[-0.45568186 -2.98155655]
6,-0.056828236949,"[[ -0.77583913  -1.3127427   -0.03812157  -0.1515558 ]
 [ -9.90812106 -22.60924204   0.           0.        ]]",[-0.45500487 -2.8542006 ],-0.648647,"[ 0.73730979  1.11938823 -1.17347134 -2.20029386 -0.33365581 -1.30861226
 -0.90726512 -2.5472156   0.18020157 -0.15157258  0.        ]",[-0.28665754  0.02979494],[-0.96812993 -4.22234382]
7,-0.0336196946643,"[[ -1.01051541  -1.80015186  -0.03812157  -0.1515558 ]
 [-13.54789064 -26.11997798   0.           0.        ]]",[-0.25499845 -2.88335824],-0.621652,"[ 0.48146959  0.45542711 -1.39256647 -2.21928937 -0.33365562 -1.30861043
 -1.1190783  -2.97806466 -0.33662098  0.25506156  0.        ]",[-0.28665754  0.02979494],[-0.068821   -3.49930732]
8,-0.11225680652,"[[ -1.2815717   -2.35708353  -0.03812157  -0.1515558 ]
 [-13.55764763 -29.56175466   0.           0.        ]]",[-0.1368928  -2.76909018],-0.964472,"[ 0.13613841 -0.20555645 -1.55877699 -1.48567284 -0.33365543 -1.30860859
 -1.1196448  -3.4004419  -0.46829985  0.94893427  0.        ]",[-0.28665754  0.02979494],[-0.43553632 -1.24361698]
9,-0.161424197269,"[[ -1.56737478  -2.98216984  -0.03812157  -0.1515558 ]
 [-15.01723815 -32.93571509   0.           0.        ]]",[ 0.44666636 -2.33755684],-1.24137,"[-0.25908536 -0.5902484  -1.62075917  0.01739039 -0.33365524 -1.30860675
 -1.20458335 -3.81448539 -0.08217171  1.41662179  0.        ]",[-0.28665754  0.02979494],[ 0.03559896 -2.76220124]
