timestep,obs,rewards,actions,original_rewards,avg_action_dist,logstd_action_dist,human_obs
0,"[ 1.10130542  1.74175745 -0.03029556 -0.4625485  -1.60178664 -0.28588136
  0.61634245 -0.30204811  2.47013744  0.21205924  0.        ]",-1.55081,[ 0.31037832  2.37487586],-0.396435528092,[-0.17037117  1.53834403],[-0.07007919 -0.21957617],"[[-0.06419226  0.08026886 -0.18570811 -0.03204034]
 [-0.00368722  0.00467667  0.          0.        ]]"
1,"[ 1.10228027  1.73668922 -0.01177052 -0.36482207 -1.60177066 -0.28588049
  0.70063087  0.24386466  2.46891263  0.26675273  0.        ]",-1.46925,[ 0.24627257  0.5084602 ],-0.396806082883,[-0.35986966  1.37877619],[-0.07007919 -0.21957617],"[[-0.05196158  0.12008452 -0.18570811 -0.03204034]
 [ 1.22268044  3.96369673  0.          0.        ]]"
2,"[ 1.1039162   1.71558016  0.03974764 -0.12495615 -1.60175468 -0.28587963
  0.76587767  0.51060721  2.45615237  0.40745725  0.        ]",-1.49805,[ 1.16564532  0.90140021],-0.396926899078,[-0.50788307  1.26570439],[-0.07007919 -0.21957617],"[[-0.01798314  0.21876743 -0.18570811 -0.03204034]
 [ 2.17201415  5.89814876  0.          0.        ]]"
3,"[ 1.10123924  1.6593547   0.16513275  0.23485602 -1.6017387  -0.28587876
  1.03474334  0.98645172  2.39880442  0.66591985  0.        ]",-1.34835,[-0.37938668  1.19150787],-0.394465440386,[-0.81439227  1.02483428],[-0.07007919 -0.21957617],"[[ 0.06470519  0.37135435 -0.18570811 -0.03204034]
 [ 6.08385903  9.34904475  0.          0.        ]]"
4,"[ 1.08416793  1.52700521  0.32387392  0.72488098 -1.60172272 -0.2858779
  0.92324736  1.50698337  2.24857773  0.98355935  0.        ]",-1.21581,[-0.99823334 -0.47084427],-0.384490287386,[-1.06268084  0.78839737],[-0.07007919 -0.21957617],"[[  0.17010665   0.59621143  -0.18570811  -0.03204034]
 [  4.4617604   13.12407507   0.           0.        ]]"
5,"[ 1.07113823  1.32657073  0.39641909  1.17236033 -1.60170674 -0.28587703
  0.64581935  1.21425237  2.06809876  1.17479357  0.        ]",-1.14037,[-2.27235113  0.55332199],-0.369093661954,[-1.00814712  0.79491889],[-0.07007919 -0.21957617],"[[  0.21884561   0.83739386  -0.18570811  -0.03204034]
 [  0.42546656  11.0012237    0.           0.        ]]"
6,"[ 1.07985902  1.07851365  0.34994595  1.51216614 -1.60169076 -0.28587617
  0.3732763   1.48647537  1.9270505   1.22263931  0.        ]",-1.07552,[-1.15678619  0.01964306],-0.353201117469,[-1.01513553  0.71174514],[-0.07007919 -0.21957617],"[[  0.18757116   1.07722739  -0.18570811  -0.03204034]
 [ -3.53976902  12.97550953   0.           0.        ]]"
7,"[ 1.09992591  0.77406567  0.18491383  1.73829311 -1.60167479 -0.2858753
  0.10612402  1.46188028  1.8275218   1.1663509   0.        ]",-0.944971,[-0.59275254  0.316317  ],-0.337154966831,[-0.90401244  0.71780014],[-0.07007919 -0.21957617],"[[  0.07777962   1.33494959  -0.18570811  -0.03204034]
 [ -7.42657731  12.79723586   0.           0.        ]]"
8,"[ 1.09814766  0.43959339 -0.07359871  1.80544588 -1.60165881 -0.28587444
 -0.0450357   1.59964928  1.75445255  1.04111535  0.        ]",-0.802883,[-1.62883764  0.56146847],-0.32083324553,[-0.82370079  0.67586243],[-0.07007919 -0.21957617],"[[ -0.09281676   1.60092049  -0.18570811  -0.03204034]
 [ -9.62580397  13.79647285   0.           0.        ]]"
9,"[ 1.03252451  0.07216708 -0.41476403  1.67691562 -1.60164283 -0.28587357
 -0.30403453  1.86850734  1.67197211  0.86553818  0.        ]",-0.636125,[-1.34165149  0.87517038],-0.301178506592,[-0.73979557  0.58258748],[-0.07007919 -0.21957617],"[[ -0.32313894   1.8964157   -0.18570811  -0.03204034]
 [-13.39398429  15.74645057   0.           0.        ]]"
10,"[ 0.84018791 -0.31177366 -0.82449216  1.26988792 -1.60162686 -0.2858727
 -0.55796083  2.30322124  1.54397139  0.65178717  0.        ]",-0.513478,[-1.84031746 -0.95147898],-0.274671048958,[-0.71391857  0.35445127],[-0.07007919 -0.21957617],"[[ -0.62808466   2.24298005  -0.18570811  -0.03204034]
 [-17.08837141  18.89939134   0.           0.        ]]"
11,"[ 0.46120234 -0.59502929 -1.21472046  0.65457059 -1.60161088 -0.28587184
 -0.80688055  1.7319902   1.38590783  0.44984685  0.        ]",-0.407685,[-1.11188634 -0.8649074 ],-0.245783407374,[-0.51427275  0.32690206],[-0.07007919 -0.21957617],"[[ -1.00618761   2.57940401  -0.18570811  -0.03204034]
 [-20.70993553  14.75678191   0.           0.        ]]"
12,"[-0.12033118 -0.73190382 -1.44020072  0.07888209 -1.60159491 -0.28587097
 -1.05087956  1.21934667  1.24007653  0.31714171  0.        ]",-0.277127,[-2.1268212  -0.70822464],-0.221661550207,[-0.40756154  0.27611566],[-0.07007919 -0.21957617],"[[ -1.45600489   2.83723736  -0.18570811  -0.03204034]
 [-24.25994104  11.03896803   0.           0.        ]]"
13,"[-0.82397236 -0.78195823 -1.32724485 -0.3799977  -1.60157893 -0.28587011
 -1.29003175  0.63500121  1.12216482  0.27706575  0.        ]",-0.343858,[-0.69721622  0.09511161],-0.203997536269,[-0.40911448  0.23502403],[-0.07007919 -0.21957617],"[[ -1.97611499   3.02767986  -0.18570811  -0.03204034]
 [-27.7394817    6.80109668   0.           0.        ]]"
14,"[-1.42889209 -0.7869504  -0.77517337 -0.48464938 -1.60156296 -0.28586924
 -1.44203831 -0.37031761  1.10212048  0.24225641  0.        ]",-0.482275,[ 0.46306416  0.13340578],-0.200413460056,[-0.30560291  0.37760329],[-0.07007919 -0.21957617],"[[ -2.55309663   3.07028773  -0.18570811  -0.03204034]
 [-29.95119436  -0.48984362   0.           0.        ]]"
15,"[-1.66136353 -0.7846432   0.04609572 -0.43034454 -1.60154698 -0.28586838
 -1.27525928 -0.47911247  1.0841852   0.16943831  0.        ]",-0.53197,[ 1.42914682  1.97415666],-0.196609908392,[-0.35840026  0.30829617],[-0.07007919 -0.21957617],"[[ -3.12777662   3.04820015  -0.18570811  -0.03204034]
 [-27.5248678   -1.27887298   0.           0.        ]]"
