timestep,obs,rewards,actions,original_rewards,avg_action_dist,logstd_action_dist,human_obs
0,"[ 0.89352539  1.00042996 -0.00563764 -0.25165347  1.29955724 -1.61678174
  0.56451333 -0.25866936 -0.25361282  2.45872512  0.        ]",-3.1328,[-2.6122186  -1.15472506],-0.192140650804,[-3.35780025 -1.45648158],[-0.5457375  -0.56498832],"[[-0.031489    0.01874204  0.14984117 -0.18704977]
 [ 0.0048899   0.00494601  0.          0.        ]]"
1,"[ 0.89023687  1.00038101 -0.06679276 -0.3389979   1.29955625 -1.61678008
  0.37487306 -0.98604666 -0.26030672  2.28918544  0.        ]",-2.9863,[-3.68930088 -0.88177183],-0.179956016912,[-2.60493231 -1.20137668],[-0.5457375  -0.56498832],"[[-0.07106723 -0.02087242  0.14984117 -0.18704977]
 [-3.94955161 -3.95320548  0.          0.        ]]"
2,"[ 0.86547773  0.99032449 -0.24755232 -0.58792997  1.29955526 -1.61677842
  0.18897152 -1.61299817 -0.32901686  1.79962787  0.        ]",-2.4891,[-0.3038889  -0.94683374],-0.143375620966,[-0.77728254 -0.12173173],[-0.5457375  -0.56498832],"[[-0.18895191 -0.13416695  0.14984117 -0.18704977]
 [-7.82603225 -7.36487873  0.          0.        ]]"
3,"[ 0.79270881  0.94327339 -0.49615663 -0.98160048  1.29955427 -1.61677676
  0.13879849 -2.2750688  -0.56116968  1.1324497   0.        ]",-1.70137,[ 2.03667279  2.31966249],-0.0887607929229,[ 1.73770142  1.81564951],[-0.5457375  -0.56498832],"[[ -0.35596895  -0.31761263   0.14984117  -0.18704977]
 [ -8.87225617 -10.96767305   0.           0.        ]]"
4,"[ 0.70208026  0.86294264 -0.68782755 -1.34056969  1.29955327 -1.6167751
  0.33684038 -1.50778995 -0.87596275  0.65563802  0.        ]",-1.3759,[ 1.77508998  1.84930287],-0.0480362751994,[ 1.84524226  1.70403183],[-0.5457375  -0.56498832],"[[-0.49198092 -0.49507421  0.14984117 -0.18704977]
 [-4.7426198  -6.79239425  0.          0.        ]]"
5,"[ 0.65847258  0.80684938 -0.76068099 -1.51949868  1.29955228 -1.61677344
  0.5309851  -0.75569855 -1.04879022  0.48546387  0.        ]",-1.39496,[ 0.28693426  1.1493691 ],-0.0396843715698,[ 1.11456096  1.13438392],[-0.5457375  -0.56498832],"[[-0.5462154  -0.58985933  0.14984117 -0.18704977]
 [-0.69424752 -2.69975339  0.          0.        ]]"
6,"[ 0.65647119  0.79799819 -0.76381451 -1.54454879  1.29955129 -1.61677178
  0.58601417 -0.01830961 -1.06643408  0.47293883  0.        ]",-1.32427,[ 0.94930972  0.02780695],-0.0396913236097,[ 0.5320617   0.38257867],[-0.5457375  -0.56498832],"[[-0.54858736 -0.60359432  0.14984117 -0.18704977]
 [ 0.45324082  1.31288264  0.          0.        ]]"
7,"[ 0.69438968  0.81528123 -0.70136078 -1.4949183   1.2995503  -1.61677012
  0.76568762 -0.00309156 -0.9685469   0.57488216  0.        ]",-1.28542,[-0.74340916 -0.54795519],-0.0432175162817,[-0.82167387 -0.07006928],[-0.5457375  -0.56498832],"[[-0.50193156 -0.57650589  0.14984117 -0.18704977]
 [ 4.199855    1.39569438  0.          0.        ]]"
8,"[ 0.73417404  0.81893887 -0.62753247 -1.48402899  1.29954931 -1.61676847
  0.6206989  -0.4066839  -0.88578877  0.68271077  0.        ]",-1.31672,[ 0.10918436 -0.1277347 ],-0.0500850867482,[-0.26314646  0.34920305],[-0.5457375  -0.56498832],"[[-0.44826862 -0.5706273   0.14984117 -0.18704977]
 [ 1.17651018 -0.80052626  0.          0.        ]]"
9,"[ 0.7530262   0.80576496 -0.58874968 -1.52259813  1.29954831 -1.61676681
  0.64030583 -0.49674188 -0.86760844  0.72149678  0.        ]",-1.38332,[-0.36883655  0.52165695],-0.0529366617204,[-0.45018283  0.37605393],[-0.5457375  -0.56498832],"[[-0.42063625 -0.59155485  0.14984117 -0.18704977]
 [ 1.58536533 -1.2905937   0.          0.        ]]"
