timestep,obs,rewards,actions,original_rewards,avg_action_dist,logstd_action_dist,human_obs
0,"[ 1.08051708  1.54118604  0.12694854 -0.60514113  1.73524661 -1.22112539
  0.40719083 -0.25006309 -0.19452877  1.10695364  0.        ]",-0.351002,[-1.32454613  1.1860458 ],-0.149394558825,[-0.83355415  0.25568736],[-0.04093982 -0.17576876],"[[ 0.05198497 -0.02062317  0.19642316 -0.14014811]
 [-0.00316552  0.00243098  0.          0.        ]]"
1,"[ 1.08227835  1.54119915  0.06643512 -0.51937213  1.73521633 -1.22111215
  0.07782943  0.2854556  -0.19366927  1.07746633  0.        ]",-0.372224,[-0.43489936  1.46146198],-0.145452369294,[-0.83680487  0.23038675],[-0.04093982 -0.17576876],"[[ 0.01221634  0.01916825  0.19642316 -0.14014811]
 [-3.96051586  3.96350487  0.          0.        ]]"
2,"[ 1.07753765  1.52976607 -0.07912312 -0.26547739  1.73518604 -1.22109892
 -0.05896249  0.81024718 -0.19667297  1.02483494  0.        ]",-0.191056,[-0.62959766 -0.13878715],-0.138353835985,[-0.83515841  0.21425377],[-0.04093982 -0.17576876],"[[-0.08348456  0.13738524  0.19642316 -0.14014811]
 [-5.60409888  7.84525144  0.          0.        ]]"
3,"[ 1.04907698  1.49078499 -0.2835922   0.04996672  1.73515576 -1.22108568
 -0.25700863  0.71506508 -0.21109793  0.93646089  0.        ]",-0.120107,[-1.01509107 -0.76513385],-0.126306269255,[-0.77808148  0.25960442],[-0.04093982 -0.17576876],"[[-0.21944124  0.28722703  0.19642316 -0.14014811]
 [-7.98366349  7.14125792  0.          0.        ]]"
4,"[ 0.96329572  1.44470686 -0.569106    0.27524658  1.73512548 -1.22107244
 -0.57302411  0.28652767 -0.25113108  0.72644805  0.        ]",-0.0859042,[-1.29876857  0.1273279 ],-0.0976730354859,[-0.66416961  0.35226113],[-0.04093982 -0.17576876],"[[ -0.41721057   0.39824968   0.19642316  -0.14014811]
 [-11.78065502   3.97153513   0.           0.        ]]"
5,"[ 0.76467935  1.40065407 -0.92151266  0.43844629  1.7350952  -1.22105921
 -0.88290817  0.34419524 -0.36332948  0.40124894  0.        ]",0.0489322,[-0.14939143  0.07757629],-0.0549995779359,[-0.54649258  0.4127683 ],[-0.04093982 -0.17576876],"[[ -0.69018093   0.48196068   0.19642316  -0.14014811]
 [-15.5040086    4.39809153   0.           0.        ]]"
6,"[ 0.44064297  1.34464387 -1.23586447  0.60637042  1.73506492 -1.22104597
 -0.90659403  0.37389167 -0.57224413  0.07557677  0.        ]",0.00328329,[ 0.25034184  1.1175111 ],-0.0438419780708,[-0.43459749  0.45166707],[-0.04093982 -0.17576876],"[[ -1.00311721   0.57212667   0.19642316  -0.14014811]
 [-15.78868143   4.61775704   0.           0.        ]]"
7,"[ 0.05782147  1.24826034 -1.42152232  0.83335381  1.73503464 -1.22103274
 -0.79830805  0.89671401 -0.82064924 -0.13664732  0.        ]",-0.0529355,[-1.19560589  0.15914506],-0.0817785168768,[-0.38942739  0.41744074],[-0.04093982 -0.17576876],"[[ -1.30583751   0.70328195   0.19642316  -0.14014811]
 [-14.48769089   8.48488791   0.           0.        ]]"
8,"[-0.39113209  1.09542122 -1.47174347  1.09739557  1.73500436 -1.2210195
 -1.10379757  0.9592385  -1.10909714 -0.25781017  0.        ]",-0.177712,[-1.57964173 -0.31553428],-0.127364825545,[-0.28225324  0.44286925],[-0.04093982 -0.17576876],"[[ -1.63241856   0.87762143   0.19642316  -0.14014811]
 [-18.15827752   8.94741199   0.           0.        ]]"
9,"[-0.92295404  0.92904049 -1.31575615  1.30069957  1.73497409 -1.22100627
 -1.40322878  0.76631994 -1.49979317 -0.30472233  0.        ]",-0.533022,[-0.85561468  2.04674645],-0.185160688163,[-0.23661396  0.47634655],[-0.04093982 -0.17576876],"[[ -2.03168206   1.04225456   0.19642316  -0.14014811]
 [-21.75616686   7.52052206   0.           0.        ]]"
10,"[-1.4146941   0.71799628 -0.8675687   1.47149052  1.73494382 -1.22099304
 -1.64935098  1.2813248  -1.92248181 -0.1826117   0.        ]",-0.767829,[-2.3697772  0.8691001],-0.244542878889,[-0.26576513  0.41438508],[-0.04093982 -0.17576876],"[[ -2.49647749   1.23088693   0.19642316  -0.14014811]
 [-24.7136628   11.32987611   0.           0.        ]]"
11,"[-1.68428276  0.4062193  -0.12833421  1.58772006  1.73491355 -1.2209798
 -1.93820653  1.71592556 -2.2498584   0.14062288  0.        ]",-0.868916,[ 0.46012331  1.44959452],-0.292500112668,[-0.29058227  0.36106992],[-0.04093982 -0.17576876],"[[ -3.02557585   1.48974113   0.19642316  -0.14014811]
 [-28.18479011  14.54463723   0.           0.        ]]"
12,"[-1.57077167  0.00468049  0.67407038  1.52954422  1.73488328 -1.22096657
 -1.74046371  2.21178958 -2.35119742  0.54421911  0.        ]",-0.922177,[ 0.75045376 -0.5083449 ],-0.315528080856,[-0.3206749   0.29842925],[-0.04093982 -0.17576876],"[[ -3.56543792   1.81743607   0.19642316  -0.14014811]
 [-25.8092168   18.21276731   0.           0.        ]]"
13,"[-1.16279598 -0.3779004   1.24535745  1.23387236  1.73485301 -1.22095334
 -1.45086443  1.89053028 -2.25428681  0.85097551  0.        ]",-1.05192,[-3.04168629  0.47064589],-0.314121755482,[-0.34939224  0.27233893],[-0.04093982 -0.17576876],"[[ -4.0467142    2.15785023   0.19642316  -0.14014811]
 [-22.3297985   15.83677702   0.           0.        ]]"
14,"[-0.55923304 -0.67589888  1.54475463  0.74624565  1.73482274 -1.22094011
 -1.74366021  2.09979968 -2.06376566  1.04370452  0.        ]",-0.946174,[-1.42296023  1.30692866],-0.299209659378,[-0.4426446   0.15041476],[-0.04093982 -0.17576876],"[[ -4.52861152   2.49012054   0.19642316  -0.14014811]
 [-25.84824486  17.38506935   0.           0.        ]]"
15,"[ 0.19347219 -0.88491726  1.46855368  0.00899902  1.73479248 -1.22092688
 -2.03063145  2.58827801 -1.80424439  1.07819281  0.        ]",-0.74132,[ 0.01235353 -0.07390737],-0.268260456183,[-0.51510841  0.0581961 ],[-0.04093982 -0.17576876],"[[ -5.08017891   2.87408008   0.19642316  -0.14014811]
 [-29.29691269  20.99894765   0.           0.        ]]"
16,"[ 0.82134463 -0.92806887  0.93665612 -0.63694372  1.73476222 -1.22091365
 -1.97833888  0.27728063 -1.63827237  0.96568112  0.        ]",-0.527688,[-0.40193411 -0.57754144],-0.239331883223,[-0.46630216  0.13415363],[-0.04093982 -0.17576876],"[[ -5.65981724   3.17693378   0.19642316  -0.14014811]
 [-28.66908721   3.90426222   0.           0.        ]]"
17,"[ 1.08129948 -0.92866598  0.10829833 -0.59617991  1.73473196 -1.22090042
 -2.0635262  -0.70712771 -1.67329768  1.02305253  0.        ]",-0.458554,[ 1.32664091  0.27983373],-0.247924579798,[-0.40422249  0.23304065],[-0.04093982 -0.17576876],"[[ -6.24347582   3.15801772   0.19642316  -0.14014811]
 [-29.69325585  -3.37751661   0.           0.        ]]"
18,"[ 0.90674899 -0.92728523 -0.69344634 -0.4531699   1.7347017  -1.22088719
 -1.68507416 -0.6418093  -1.64701046  1.11353127  0.        ]",-0.446754,[ 0.12496934 -0.90752462],-0.251738984614,[-0.40101802  0.24190027],[-0.04093982 -0.17576876],"[[ -6.79171801   3.09165259   0.19642316  -0.14014811]
 [-25.14609193  -2.89438147   0.           0.        ]]"
19,"[ 0.44257569 -0.91615675 -1.23450903 -0.25291882  1.73467144 -1.22087396
 -1.60244849 -1.11986956 -1.54986575  1.16105358  0.        ]",-0.41347,[ 0.23515934 -0.389437  ],-0.244332341322,[-0.3292281  0.3268806],[-0.04093982 -0.17576876],"[[ -7.28468165   2.99828436   0.19642316  -0.14014811]
 [-24.15354795  -6.43069471   0.           0.        ]]"
20,"[-0.16653591 -0.8785997  -1.46695958  0.04759851  1.73464118 -1.22086073
 -1.48512746 -1.31116507 -1.40250753  1.10662402  0.        ]",-0.501171,[-1.13145311  2.4509827 ],-0.222967757985,[-0.27319258  0.40059087],[-0.04093982 -0.17576876],"[[ -7.75361103   2.85547241   0.19642316  -0.14014811]
 [-22.74403946  -7.84583197   0.           0.        ]]"
21,"[-0.8329451  -0.83045977 -1.36044632  0.28213856  1.73461093 -1.2208475
 -1.77706252 -0.75500713 -1.33566114  0.92987186  0.        ]",-0.331333,[-0.24107622  0.21122076],-0.199999078409,[-0.25628549  0.39278656],[-0.04093982 -0.17576876],"[[ -8.24369216   2.73983275   0.19642316  -0.14014811]
 [-26.25240515  -3.73192884   0.           0.        ]]"
