timestep,obs,rewards,actions,original_rewards,avg_action_dist,logstd_action_dist,human_obs
0,"[ 0.89142066  0.96064482 -0.03698756 -0.37599602 -0.61474818  1.20401441
  0.51546442 -0.25060969  2.08426152 -2.23091625  0.        ]",-4.19672,[ 5.32507285  4.90473703],-0.31842532263,[ 5.16269445  4.99246025],[-0.67176867 -0.65319663],"[[-0.04708472 -0.01708038 -0.07070507  0.13919869]
 [ 0.00393743  0.00439334  0.          0.        ]]"
1,"[ 0.89320538  0.9605112   0.02418704 -0.29262877 -0.614748    1.20401377
  0.70717311  0.51113162  2.08773423 -2.04428145  0.        ]",-4.12206,[ 3.22546391  3.97303224],-0.312886739988,[ 4.10561657  3.98271608],[-0.67176867 -0.65319663],"[[-0.00733169  0.02271901 -0.07070507  0.13919869]
 [ 3.95820451  3.96235995  0.          0.        ]]"
2,"[ 0.88314141  0.9490522   0.20558779 -0.04604809 -0.61474781  1.20401313
  0.89509367  1.25779533  2.04385807 -1.49415144  0.        ]",-3.87682,[ 2.5520416   3.42097415],-0.294411824524,[ 2.82327986  2.99451995],[-0.67176867 -0.65319663],"[[ 0.11072253  0.14089176 -0.07070507  0.13919869]
 [ 7.83433826  7.84198647  0.          0.        ]]"
3,"[ 0.81680011  0.89446743  0.49856964  0.35025193 -0.61474763  1.20401249
  1.07931423  1.98966796  1.80157434 -0.65066726  0.        ]",-3.5946,[ 1.96374123  1.04803262],-0.257875822499,[ 0.53768176  1.53951335],[-0.67176867 -0.65319663],"[[  0.30553299   0.33588619  -0.07070507   0.13919869]
 [ 11.63415707  11.64476732   0.           0.        ]]"
4,"[ 0.62727069  0.74927164  0.87349627  0.853275   -0.61474745  1.20401184
  1.25993996  2.70701495  1.17582041  0.23476448  0.        ]",-2.84456,[-2.42866957 -1.03232824],-0.197052977241,[-2.00682354 -0.89132923],[-0.67176867 -0.65319663],"[[  0.57559443   0.60617943  -0.07070507   0.13919869]
 [ 15.35983183  15.37209042   0.           0.        ]]"
5,"[ 0.34423494  0.5383392   1.18196079  1.26206898 -0.61474726  1.2040112
  1.05354159  1.88656194  0.37341243  0.63374768  0.        ]",-2.05971,[-1.44898813 -1.33225096],-0.129829366966,[-2.11129165 -1.45399117],[-0.67176867 -0.65319663],"[[  0.84007861   0.87084891  -0.07070507   0.13919869]
 [ 11.10258421  11.10906309   0.           0.        ]]"
6,"[ 0.10611776  0.36313118  1.34752818  1.47803767 -0.61474708  1.20401056
  0.85117143  1.08236163 -0.18701011  0.60931597  0.        ]",-1.74179,[-2.15927871 -1.31495846],-0.0820986605809,[-1.76591825 -1.53666282],[-0.67176867 -0.65319663],"[[ 1.02025152  1.05110491 -0.07070507  0.13919869]
 [ 6.92842045  6.93047464  0.          0.        ]]"
7,"[-0.03494038  0.2599934   1.41970466  1.57068428 -0.61474689  1.20400992
  0.65276007  0.29409586 -0.47067864  0.50109831  0.        ]",-1.62195,[-1.11896625 -0.74047085],-0.0563038539007,[-1.29259002 -1.36336064],[-0.67176867 -0.65319663],"[[ 1.11775972  1.14861986 -0.07070507  0.13919869]
 [ 2.8359104   2.83467899  0.          0.        ]]"
8,"[-0.05947047  0.23087948  1.43060896  1.59293613 -0.61474671  1.20400928
  0.45824071 -0.2807855  -0.52542741  0.46567024  0.        ]",-1.57422,[-1.26331885 -0.97469813],-0.0508562468064,[-0.76927978 -0.90703744],[-0.67176867 -0.65319663],"[[ 1.13422225  1.17534332 -0.07070507  0.13919869]
 [-1.17632302 -0.15238031  0.          0.        ]]"
9,"[ 0.03329845  0.2761913   1.38686825  1.55758625 -0.61474653  1.20400864
  0.26758412 -1.02278848 -0.36843514  0.53107627  0.        ]",-1.45194,[ 0.22341265  0.91147944],-0.0651109859128,[ 0.03131616  0.48757604],[-0.67176867 -0.65319663],"[[ 1.07123872  1.13361319 -0.07070507  0.13919869]
 [-5.10888162 -4.00779765  0.          0.        ]]"
