timestep,obs,rewards,actions,original_rewards,avg_action_dist,logstd_action_dist,human_obs
0,"[ 0.89983803  1.02922804  0.04421879 -0.10495576 -1.23276579 -1.34317006
  0.59067969 -0.2670481   2.64701684  2.10442344  0.        ]",-3.50203,[-4.03897671 -0.88936644],-0.388140392932,[-4.97216129 -1.68027282],[-0.51730967 -0.51054204],"[[-0.00445392  0.07938123 -0.14249334 -0.15536623]
 [ 0.00402908 -0.00261014  0.          0.        ]]"
1,"[ 0.89830822  1.03169059 -0.01719142 -0.18526291 -1.23276477 -1.34316882
  0.40023609 -0.89853919  2.64910142  1.94902923  0.        ]",-3.41694,[-4.98107711 -0.9709774 ],-0.383370802247,[-4.36924648 -1.38132596],[-0.51730967 -0.51054204],"[[-0.04405095  0.04401235 -0.14249334 -0.15536623]
 [-3.950567   -3.5225521   0.          0.        ]]"
2,"[ 0.87901053  1.03044953 -0.19903578 -0.43153823 -1.23276374 -1.34316758
  0.21356384 -1.57550494  2.60962008  1.48517859  0.        ]",-3.03097,[-2.85783732 -1.55267169],-0.366737849179,[-3.05998683 -0.61161035],[-0.51730967 -0.51054204],"[[-0.16195405 -0.06429868 -0.14249334 -0.15536623]
 [-7.82685095 -7.29597723  0.          0.        ]]"
3,"[ 0.79964442  0.99808976 -0.49048426 -0.84485709 -1.23276272 -1.34316634
  0.03057445 -2.25967723  2.39612948  0.76272002  0.        ]",-2.59817,[-1.96724435  0.81139854],-0.331762758042,[-1.17986655  0.69299293],[-0.51730967 -0.51054204],"[[ -0.35661492  -0.24848156  -0.14249334  -0.15536623]
 [-11.62665972 -11.1095888    0.           0.        ]]"
4,"[ 0.5973226   0.92700405 -0.85856144 -1.24657613 -1.2327617  -1.3431651
 -0.14894672 -1.64352696  1.90773893  0.03287071  0.        ]",-2.30332,[-0.06538784  1.55499808],-0.27701101428,[ 1.0648396   1.17789674],[-0.51730967 -0.51054204],"[[ -0.62654987  -0.43621499  -0.14249334  -0.15536623]
 [-15.35445008  -7.6751648    0.           0.        ]]"
5,"[ 0.25521332  0.86710145 -1.19550097 -1.47148863 -1.23276067 -1.34316386
 -0.14686938 -0.90581685  1.26654473 -0.41546102  0.        ]",-1.94278,[ 1.84856235  0.8120729 ],-0.214608097093,[ 1.90178406  1.22654986],[-0.51730967 -0.51054204],"[[ -0.93320666  -0.54846129  -0.14249334  -0.15536623]
 [-15.31131486  -3.56315311   0.           0.        ]]"
6,"[-0.11086232  0.84384051 -1.39301422 -1.54495939 -1.23275965 -1.34316262
  0.05817248 -0.3164899   0.71586317 -0.55169747  0.        ]",-1.3724,[ 1.36811884  2.08268903],-0.16224564645,[ 1.71014106  1.15368414],[-0.51730967 -0.51054204],"[[ -1.19671446  -0.58676533  -0.14249334  -0.15536623]
 [-11.05358595  -0.27823071   0.           0.        ]]"
7,"[-0.38443783  0.86467884 -1.47093629 -1.47943115 -1.23275863 -1.34316138
  0.25915621  0.39463303  0.39656958 -0.55856375  0.        ]",-1.08502,[ 1.84586264  0.89734154],-0.131563810361,[ 1.07049978  0.50456882],[-0.51730967 -0.51054204],"[[-1.37591273 -0.55255938 -0.14249334 -0.15536623]
 [-6.88012474  3.68558583  0.          0.        ]]"
8,"[-0.53651634  0.92328247 -1.49280924 -1.26247955 -1.23275761 -1.34316014
  0.45616744  1.01872609  0.31491961 -0.58235705  0.        ]",-0.86129,[ 0.52474607 -0.41774411],-0.124515842335,[ 0.23644558 -0.2423988 ],[-0.51730967 -0.51054204],"[[-1.47246893 -0.44394443 -0.14249334 -0.15536623]
 [-2.7891527   7.16429784  0.          0.        ]]"
9,"[-0.59111492  0.97590252 -1.49713191 -0.99815428 -1.23275658 -1.3431589
  0.55882508  0.69638742  0.37511075 -0.62357921  0.        ]",-0.921864,[ 0.09424698 -0.45031637],-0.131409912828,[ 0.12882507 -0.22527301],[-0.51730967 -0.51054204],"[[-1.50686386 -0.31868552 -0.14249334 -0.15536623]
 [-0.65744653  5.36757701  0.          0.        ]]"
10,"[-0.60585433  1.00295771 -1.49798267 -0.80464874 -1.23275556 -1.34315766
  0.57743959  0.35740748  0.44961988 -0.64796222  0.        ]",-1.05949,[ 1.044619   -0.68258205],-0.139141282836,[ 0.18686745 -0.10225323],[-0.51730967 -0.51054204],"[[-1.51613456 -0.23029176 -0.14249334 -0.15536623]
 [-0.27090829  3.47809651  0.          0.        ]]"
