timestep,obs,rewards,actions,original_rewards,avg_action_dist,logstd_action_dist,human_obs
0,"[ 1.00169808  1.47625429  0.0556726  -0.52731371 -0.26354539  1.66361026
  0.74591579 -0.33523693  1.4778973  -1.90553534  0.        ]",-2.10418,[ 3.46688024  2.68909685],-0.313022852187,[ 3.69980431  3.22823834],[-0.28462696 -0.30608001],"[[ -1.92631729e-02  -6.53061508e-03  -3.11586840e-02   1.94867430e-01]
 [  4.22995889e-03  -7.15215094e-05   0.00000000e+00   0.00000000e+00]]"
1,"[ 1.00166149  1.47563472  0.11716885 -0.42505129 -0.26354517  1.66360535
  0.94919116  0.28158422  1.47688648 -1.78321115  0.        ]",-2.03377,[ 2.77338123  2.43777949],-0.304976821839,[ 3.12638831  2.38081074],[-0.28462696 -0.30608001],"[[ 0.02049565  0.03318036 -0.03115868  0.19486743]
 [ 3.95849198  3.95798326  0.          0.        ]]"
2,"[ 0.98826498  1.46297962  0.29910536 -0.12238214 -0.26354495  1.66360043
  1.14844959  0.88619594  1.43332303 -1.42424177  0.        ]",-1.86152,[ 2.33568106  0.79747438],-0.279108678436,[ 2.08570647  1.47953749],[-0.28462696 -0.30608001],"[[ 0.13855562  0.15126645 -0.03115868  0.19486743]
 [ 7.83462695  7.83769551  0.          0.        ]]"
3,"[ 0.92328095  1.41035636  0.59164488  0.3438795  -0.26354473  1.66359552
  1.34379898  1.3538594   1.23976589 -0.88607603  0.        ]",-1.51637,[ 0.26363883  0.31674191],-0.231580053985,[ 0.72064179  0.56720042],[-0.28462696 -0.30608001],"[[  0.3333749    0.33812998  -0.03115868   0.19486743]
 [ 11.6347387   10.83864179   0.           0.        ]]"
4,"[ 0.77275781  1.2951556   0.92568787  0.86921312 -0.26354451  1.66359061
  1.38560066  1.51577472  0.82837884 -0.37510682  0.        ]",-1.03464,[-0.51273669  0.18288943],-0.166142709909,[-0.39456591 -0.30058119],[-0.28462696 -0.30608001],"[[  0.57422797   0.56532781  -0.03115868   0.19486743]
 [ 12.44795236  11.8776542    0.           0.        ]]"
5,"[ 0.56815803  1.11668612  1.19549995  1.35102064 -0.26354429  1.6635857
  1.26871016  1.59204367  0.30546974 -0.11102465  0.        ]",-0.533512,[-1.2566763  -1.01475349],-0.0975858827268,[-0.94731307 -1.00018656],[-0.28462696 -0.30608001],"[[  0.80037333   0.80779165  -0.03115868   0.19486743]
 [ 10.17417527  12.3670898    0.           0.        ]]"
6,"[ 0.38996693  0.92840781  1.35453477  1.67460722 -0.26354407  1.66358079
  1.05508088  0.93698791 -0.11374928 -0.09670783  0.        ]",-0.305841,[-0.76741413 -0.65567962],-0.0465473075192,[-0.80232823 -1.0102005 ],[-0.28462696 -0.30608001],"[[ 0.96216416  1.01295934 -0.03115868  0.19486743]
 [ 6.01855575  8.16369107  0.          0.        ]]"
7,"[ 0.28286832  0.78923298  1.42790331  1.83886224 -0.26354385  1.66357588
  0.89292128  0.50732867 -0.34842185 -0.16810127  0.        ]",-0.27799,[ 0.00218382 -0.97489619],-0.025021097183,[-0.52622366 -0.85390246],[-0.28462696 -0.30608001],"[[ 1.05088718  1.14857063 -0.03115868  0.19486743]
 [ 2.86414773  5.40662706  0.          0.        ]]"
8,"[ 0.21130069  0.71562383  1.4693693   1.90543303 -0.26354363  1.66357096
  0.89050918 -0.11092437 -0.47511142 -0.22670532  0.        ]",-0.335888,[-0.8626529  -1.03756143],-0.0252070819913,[-0.3888146  -0.57868803],[-0.28462696 -0.30608001],"[[ 1.10770006  1.21689848 -0.03115868  0.19486743]
 [ 2.81725043  1.43937977  0.          0.        ]]"
9,"[ 0.18360636  0.72784603  1.48393212  1.89526179 -0.26354341  1.66356605
  0.71221556 -0.73229266 -0.49755685 -0.22517194  0.        ]",-0.162946,[ 0.19831246 -0.11404111],-0.0251402314484,[ 0.05664454 -0.08479393],[-0.28462696 -0.30608001],"[[ 1.12924691  1.20568076 -0.03115868  0.19486743]
 [-0.65101383 -2.54785963  0.          0.        ]]"
