timestep,obs,rewards,actions,original_rewards,avg_action_dist,logstd_action_dist,human_obs
0,"[ 0.90758756  1.07109131  0.00375275 -0.16454153  0.15129013  1.0215665
  0.61521672 -0.27511676  1.06869622 -1.43248174  0.        ]",-2.37816,[ 4.17166473  2.70850324],-0.22714036731,[ 3.30710721  2.57900834],[-0.45589951 -0.46131372],"[[-0.03708396  0.0534455   0.01719575  0.11830633]
 [ 0.00164987 -0.00108767  0.          0.        ]]"
1,"[ 0.90865633  1.06783966  0.06546097 -0.07219768  0.15129007  1.02156572
  0.80702556  0.42007438  1.06467917 -1.27783329  0.        ]",-2.27652,[ 1.91898925  1.73693301],-0.220323549552,[ 2.37844706  1.53002048],[-0.45589951 -0.46131372],"[[  2.62383360e-03   9.31363645e-02   1.71957534e-02   1.18306331e-01]
 [  3.95597266e+00   3.95698772e+00   0.00000000e+00   0.00000000e+00]]"
2,"[ 0.89730032  1.04783143  0.24844091  0.19990912  0.15129001  1.02156494
  0.99504621  1.10150425  1.0052453  -0.82556154  0.        ]",-2.01495,[ 1.08034853 -0.00515411],-0.1989646754,[ 0.78814626  0.42471159],[-0.45589951 -0.46131372],"[[ 0.12063428  0.21120271  0.01719575  0.11830633]
 [ 7.83220275  7.83671616  0.          0.        ]]"
3,"[ 0.8315413   0.99853443  0.54357634  0.54611731  0.15128996  1.02156416
  1.17943495  1.07039407  0.7876475  -0.1859301   0.        ]",-1.53045,[-1.683963    0.01970501],-0.164283690112,[-1.14123082 -0.53130221],[-0.45589951 -0.46131372],"[[  0.31541807   0.36616007   0.01719575   0.11830633]
 [ 11.6335643    7.65959509   0.           0.        ]]"
4,"[ 0.71270177  0.92559295  0.81489423  0.86726617  0.1512899   1.02156338
  0.97639881  1.05770293  0.44472521  0.32816704  0.        ]",-1.10398,[-0.94111557 -1.3108909 ],-0.129667028888,[-1.48195553 -1.12504292],[-0.45589951 -0.46131372],"[[ 0.5060926   0.51862704  0.01719575  0.11830633]
 [ 7.44780554  7.58734284  0.          0.        ]]"
5,"[ 0.62112204  0.85850714  0.95976459  1.08369955  0.15128984  1.02156261
  0.7887345   0.33608892  0.1789996   0.56648863  0.        ]",-0.964387,[-1.58078652 -0.75331785],-0.108748300111,[-1.16996408 -0.80495095],[-0.45589951 -0.46131372],"[[ 0.61623207  0.62915183  0.01719575  0.11830633]
 [ 3.57894634  3.47883109  0.          0.        ]]"
6,"[ 0.59232998  0.83217374  0.99887906  1.15614937  0.15128978  1.02156183
  0.59345056 -0.19966727  0.09079796  0.62410268  0.        ]",-0.873974,[-0.43791728  0.11423927],-0.10250826062,[-0.44940546 -0.17791149],[-0.45589951 -0.46131372],"[[ 0.64741774  0.66812353  0.01719575  0.11830633]
 [-0.44700175  0.42850141  0.          0.        ]]"
7,"[ 0.61663351  0.82306999  0.96603112  1.17988633  0.15128972  1.02156105
  0.50983406 -0.12160655  0.11908031  0.59373169  0.        ]",-0.85023,[ 0.33656735  1.35485563],-0.104002846329,[-0.09735546 -0.06169519],[-0.45589951 -0.46131372],"[[ 0.62118208  0.6811528   0.01719575  0.11830633]
 [-2.17082575  0.87293992  0.          0.        ]]"
8,"[ 0.64303657  0.78152527  0.9281741   1.28076358  0.15128967  1.02156027
  0.57644156  0.57073313  0.1074214   0.57326412  0.        ]",-0.904433,[-1.23446811  0.40831704],-0.102170744545,[-0.55122268 -0.88074505],[-0.45589951 -0.46131372],"[[ 0.59154286  0.73816128  0.01719575  0.11830633]
 [-0.79764711  4.81477633  0.          0.        ]]"
9,"[ 0.68939005  0.69257017  0.85527238  1.46314679  0.15128961  1.02155949
  0.38527308  0.83817639  0.07811999  0.5320102   0.        ]",-0.880394,[-0.43739799 -1.83720765],-0.0979550171179,[ 0.11459242 -0.90966535],[-0.45589951 -0.46131372],"[[ 0.53604799  0.84973473  0.01719575  0.11830633]
 [-4.73875079  6.33746676  0.          0.        ]]"
10,"[ 0.76968006  0.61788502  0.7020908   1.58863976  0.15128955  1.02155871
  0.30593248  0.12075044  0.15335489  0.4051409   0.        ]",-0.796121,[ 0.63414044  0.37422019],-0.101571709756,[ 0.99165076  0.09791648],[-0.45589951 -0.46131372],"[[ 0.42486202  0.93550149  0.01719575  0.11830633]
 [-6.37442445  2.25280502  0.          0.        ]]"
11,"[ 0.82741785  0.56320273  0.55595197  1.66759707  0.15128949  1.02155793
  0.43372985  0.37301843  0.23120971  0.27768379  0.        ]",-0.864433,[ 0.37202636 -0.90462568],-0.106932901088,[ 0.73033762 -0.16017875],[-0.45589951 -0.46131372],"[[ 0.32380766  0.99496811  0.01719575  0.11830633]
 [-3.7397664   3.68909226  0.          0.        ]]"
12,"[ 0.85427951  0.52797894  0.46778748  1.71337485  0.15128944  1.02155715
  0.50876855 -0.26902222  0.27008422  0.20080201  0.        ]",-0.832635,[ 0.91317645  0.76851569],-0.109969738626,[ 0.90146619  0.46161807],[-0.45589951 -0.46131372],"[[ 0.26453374  1.03207349  0.01719575  0.11830633]
 [-2.19277373  0.03363807  0.          0.        ]]"
13,"[ 0.85717332  0.49776018  0.45700962  1.74972072  0.15128938  1.02155637
  0.68609449  0.26515076  0.24752794  0.20067148  0.        ]",-0.878582,[-0.07276189  0.33828275],-0.107625714,[ 0.05529313 -0.40455398],[-0.45589951 -0.46131372],"[[ 0.25735711  1.06326062  0.01719575  0.11830633]
 [ 1.46296059  3.07494747  0.          0.        ]]"
14,"[ 0.84628415  0.42366421  0.49607024  1.82829058  0.15128932  1.02155559
  0.67071267  0.48973367  0.13749986  0.2580831   0.        ]",-0.867977,[-0.25215019 -0.62307548],-0.09699480491,[-0.09420748 -0.82832181],[-0.45589951 -0.46131372],"[[ 0.28343464  1.13758881  0.01719575  0.11830633]
 [ 1.14585858  4.35360892  0.          0.        ]]"
15,"[ 0.84061689  0.36042303  0.5149675   1.88443946  0.15128926  1.02155481
  0.62125029  0.04131671  0.05662954  0.28409502  0.        ]",-0.815216,[ 0.42570556 -0.30013957],-0.0891644278681,[ 0.14153758 -0.51106155],[-0.45589951 -0.46131372],"[[ 0.29612111  1.19904536  0.01719575  0.11830633]
 [ 0.12615621  1.80055298  0.          0.        ]]"
16,"[ 0.83148463  0.33558499  0.54372654  1.90392854  0.15128921  1.02155404
  0.7028538  -0.17375301  0.00582791  0.30976692  0.        ]",-0.828213,[-0.25626466 -0.79561244],-0.0845379922023,[-0.14196268 -0.54701746],[-0.45589951 -0.46131372],"[[ 0.3155236   1.22277064  0.01719575  0.11830633]
 [ 1.80848974  0.57605642  0.          0.        ]]"
17,"[ 0.81855691  0.35674498  0.58145728  1.88740801  0.15128915  1.02155326
  0.65196816 -0.72902795 -0.0078137   0.33959712  0.        ]",-0.770805,[-0.40388234  1.00168641],-0.0838627439354,[ 0.06103265  0.10874698],[-0.45589951 -0.46131372],"[[ 0.34116801  1.20257188  0.01719575  0.11830633]
 [ 0.75944646 -2.58539416  0.          0.        ]]"
18,"[ 0.81908214  0.3686803   0.57998225  1.87763619  0.15128909  1.02155248
  0.57367002 -0.0245068   0.00562921  0.33788496  0.        ]",-0.822487,[ 0.13051472 -1.28928358],-0.0851653458078,[ 0.19452134 -0.50220287],[-0.45589951 -0.46131372],"[[ 0.34016141  1.19110947  0.01719575  0.11830633]
 [-0.85472933  1.42578403  0.          0.        ]]"
