timestep,obs,rewards,actions,original_rewards,avg_action_dist,logstd_action_dist,human_obs
0,"[ 0.934525    1.2103767  -0.04265024 -0.34143807 -1.27543814 -0.37665885
  0.67200598 -0.29985912  2.52722898  0.33451586  0.        ]",-2.1877,[-1.52118743  1.0153931 ],-0.357897909525,[-1.13735759  1.47546172],[-0.37698537 -0.34912229],"[[-0.07738543 -0.00406856 -0.14755902 -0.04345492]
 [-0.0044888   0.00266553  0.          0.        ]]"
1,"[ 0.92874592  1.20967319 -0.10436882 -0.24462874 -1.27543643 -0.37665863
  0.47534187  0.36080553  2.52377545  0.29119633  0.        ]",-2.2431,[ 0.34930523  0.3329152 ],-0.3572380477,[-0.75971282  1.3921957 ],[-0.37698537 -0.34912229],"[[-0.11718026  0.0357275  -0.14755902 -0.04345492]
 [-3.96181335  3.96373437  0.          0.        ]]"
2,"[ 0.91436733  1.20134569 -0.20388678 -0.02231511 -1.27543473 -0.37665841
  0.54788261  0.56748494  2.51699262  0.25384176  0.        ]",-2.14864,[-0.63207033  0.64675948],-0.356277684438,[-0.93753731  1.28019941],[-0.37698537 -0.34912229],"[[-0.18177104  0.12743511 -0.14755902 -0.04345492]
 [-2.5021215   5.20289904  0.          0.        ]]"
3,"[ 0.89011842  1.1740149  -0.31740233  0.28493782 -1.27543302 -0.37665819
  0.42603367  0.97759021  2.50397412  0.23923417  0.        ]",-2.1556,[-0.43711049  2.17746225],-0.354750209149,[-0.75128174  1.30309582],[-0.37698537 -0.34912229],"[[-0.25641381  0.25616336 -0.14755902 -0.04345492]
 [-4.95399315  7.66172174  0.          0.        ]]"
4,"[ 0.83680882  1.10058587 -0.48843481  0.72153486 -1.27543132 -0.37665797
  0.3448962   1.61279946  2.46936366  0.21049899  0.        ]",-1.99481,[-0.82472674  0.65032835],-0.350748854281,[-0.76619375  1.22984827],[-0.37698537 -0.34912229],"[[ -0.37187471   0.4476095   -0.14755902  -0.04345492]
 [ -6.58665814  11.47018412   0.           0.        ]]"
5,"[ 0.73006097  0.947882   -0.71676669  1.23698606 -1.27542961 -0.37665775
  0.18917796  2.00456478  2.39510431  0.15745808  0.        ]",-1.87848,[-0.91365152  1.40590377],-0.342244501158,[-0.44701064  1.30441248],[-0.37698537 -0.34912229],"[[ -0.53504573   0.70058087  -0.14755902  -0.04345492]
 [ -9.72005725  13.81907503   0.           0.        ]]"
6,"[ 0.52370008  0.68490907 -1.00006794  1.73398133 -1.27542791 -0.37665754
  0.01901418  2.61944588  2.25491923  0.05815097  0.        ]",-1.60205,[-1.06809106 -0.30408692],-0.326361038927,[-0.33479792  1.33865297],[-0.37698537 -0.34912229],"[[ -0.76380085   1.01395256  -0.14755902  -0.04345492]
 [-13.14413343  17.50571222   0.           0.        ]]"
7,"[ 0.1699212   0.3415918  -1.28451222  2.04168655 -1.2754262  -0.37665732
 -0.16473234  2.36081348  2.03497367 -0.10142014  0.        ]",-1.41574,[ 0.1622106   1.13407353],-0.301970658003,[ 0.09960386  1.68225992],[-0.37698537 -0.34912229],"[[ -1.06377848   1.34851042  -0.14755902  -0.04345492]
 [-16.84152457  15.95510138   0.           0.        ]]"
8,"[-0.28843268 -0.05229675 -1.45539672  2.07994023 -1.2754245  -0.3766571
 -0.11635767  2.96830553  1.75337112 -0.18859539  0.        ]",-0.897352,[-0.26059987  1.93740759],-0.27091988312,[-0.58075273  1.47303891],[-0.37698537 -0.34912229],"[[ -1.39084354   1.70415732  -0.14755902  -0.04345492]
 [-15.86812009  19.59748223   0.           0.        ]]"
9,"[-0.77147196 -0.49717982 -1.46429021  1.7284299  -1.27542279 -0.37665688
 -0.15207752  3.56381346  1.42921279 -0.07883831  0.        ]",-0.43789,[-0.75175776  1.35456164],-0.23400221657,[-1.15913486  1.23451602],[-0.37698537 -0.34912229],"[[ -1.71541814   2.13193198  -0.14755902  -0.04345492]
 [-16.58688403  23.16808513   0.           0.        ]]"
