timestep,avg_action_dist,rewards,obs,actions,human_obs,logstd_action_dist,original_rewards
0,[-0.9460994  -1.71803725],-2.49454,"[ 1.18545646  2.26578858 -0.04889253  0.83684888 -1.46210123  0.37402489
 -0.0868052   0.36731437  2.59123417 -0.38223984  0.        ]",[-0.51367908 -1.38972292],"[[ -4.56619175e-02   1.96018821e-02  -1.69478616e-01   4.20993740e-02]
 [  3.14033210e-03  -1.60310537e-04   0.00000000e+00   0.00000000e+00]]",[-0.3504177  -0.37625688],-0.382556965543
1,[-0.8386761  -1.68995178],-2.50358,"[ 1.1838935   2.26576017 -0.07901139  0.69940902 -1.46209666  0.37402446
 -0.15344357 -0.16867719  2.58765392 -0.45485681  0.        ]",[-1.61489306 -2.85148836],"[[-0.06597247 -0.0201212  -0.16947862  0.04209937]
 [-2.02743991 -3.95895693  0.          0.        ]]",[-0.3504177  -0.37625688],-0.383290197549
2,[-0.73290062 -1.68923354],-2.51403,"[ 1.1722782   2.25256305 -0.19687244  0.29226332 -1.46209209  0.37402404
 -0.28190129 -0.69395742  2.55194812 -0.70177958  0.        ]",[-0.98537582 -1.12713067],"[[-0.1457945  -0.13822647 -0.16947862  0.04209937]
 [-5.94175355 -7.83864287  0.          0.        ]]",[-0.3504177  -0.37625688],-0.384098635563
3,[-0.6210115  -1.69338703],-2.52888,"[ 1.12434514  2.18837242 -0.42363427 -0.36253445 -1.46208752  0.37402361
 -0.40593007 -1.20883828  2.4003952  -1.12110371  0.        ]",[-0.32396836 -0.72412922],"[[ -0.30254807  -0.33315504  -0.16947862   0.04209937]
 [ -9.72111229 -11.6415323    0.           0.        ]]",[-0.3504177  -0.37625688],-0.379146643978
4,[-0.48847377 -1.67096543],-2.47921,"[ 1.01307376  2.02535406 -0.70343855 -1.16306336 -1.46208296  0.37402319
 -0.44167561 -1.56575159  2.05596983 -1.55579258  0.        ]",[ 0.40755748 -2.67096128],"[[ -0.50789748  -0.59243546  -0.16947862   0.04209937]
 [-10.81034807 -14.27770549   0.           0.        ]]",[-0.3504177  -0.37625688],-0.360160819662
5,[-0.37305796 -1.6010102 ],-2.17746,"[ 0.85794258  1.71509589 -0.9444797  -1.9731083  -1.46207839  0.37402276
 -0.38175735 -2.06361092  1.56500617 -1.79213435  0.        ]",[-0.65798768 -1.13763685],"[[ -0.70578412  -0.91488463  -0.16947862   0.04209937]
 [ -8.9845644  -17.95494026   0.           0.        ]]",[-0.3504177  -0.37625688],-0.323518680357
6,[-0.24714704 -1.44168437],-1.74384,"[ 0.65522834  1.21778811 -1.15355669 -2.574211   -1.46207382  0.37402234
 -0.46143519 -2.5514178   1.00683665 -1.72334654  0.        ]",[ 0.34635639 -1.39384113],"[[ -0.90983127  -1.31013425  -0.16947862   0.04209937]
 [-11.41247942 -21.55800104   0.           0.        ]]",[-0.3504177  -0.37625688],-0.265629660734
7,[-0.17131029 -1.2050643 ],-1.187,"[ 0.40726554  0.56507938 -1.3193277  -2.6179588  -1.46206925  0.37402191
 -0.40916565 -3.02966836  0.57723878 -1.30178191  0.        ]",[-0.00729472 -0.37366679],"[[ -1.12209931  -1.77673788  -0.16947862   0.04209937]
 [ -9.81976728 -25.09058459   0.           0.        ]]",[-0.3504177  -0.37625688],-0.190843583707
8,[-0.06962998 -0.89418262],-0.845859,"[ 0.1558501  -0.07476183 -1.41872143 -1.83773185 -1.46206468  0.37402149
 -0.40387726 -3.1626509   0.50450026 -0.72071421  0.        ]",[-0.30046777 -1.97291077],"[[ -1.31687938  -2.28840689  -0.16947862   0.04209937]
 [ -9.6586369  -26.07305698   0.           0.        ]]",[-0.3504177  -0.37625688],-0.131538074775
9,[ 0.16484986 -0.61184752],-1.05296,"[-0.1202544  -0.49640124 -1.46443235 -0.24416353 -1.46206012  0.37402107
 -0.43674283 -3.62876627  0.80543685 -0.28977094  0.        ]",[ 0.97920923 -0.4748053 ],"[[ -1.52010292  -2.84441404  -0.16947862   0.04209937]
 [-10.66011131 -29.51622024   0.           0.        ]]",[-0.3504177  -0.37625688],-0.142367080333
10,[-0.06119078 -0.57793754],-1.42375,"[-0.35689759 -0.54525409 -1.45538768  1.23827618 -1.46205555  0.37402064
 -0.30256158 -0.35222185  1.18072847 -0.26571809  0.        ]",[-0.20091735  0.08742795],"[[-1.69228943 -3.27762705 -0.16947862  0.04209937]
 [-6.57143939 -5.31497196  0.          0.        ]]",[-0.3504177  -0.37625688],-0.191327882593
11,[-0.23666181 -0.61268306],-1.45102,"[-0.54345643 -0.55106353 -1.41656776  1.11885742 -1.46205098  0.37402022
 -0.32438361  1.0558455   1.14609215 -0.26877343  0.        ]",[ 1.15448357  0.05508535],"[[-1.83038822 -3.24286856 -0.16947862  0.04209937]
 [-7.23639607  5.08531918  0.          0.        ]]",[-0.3504177  -0.37625688],-0.186782981185
12,[-0.35253584 -0.63831568],-1.35188,"[-0.67913785 -0.55827577 -1.36945905  0.7493065  -1.46204641  0.37401979
 -0.18974627  1.10147167  1.06632327 -0.23895167  0.        ]",[-0.85519742 -0.3216405 ],"[[-1.93395373 -3.13589231 -0.16947862  0.04209937]
 [-3.13382987  5.42234142  0.          0.        ]]",[-0.3504177  -0.37625688],-0.175485854875
13,[-0.40461236 -0.66142792],-1.2885,"[-0.80029087 -0.55120209 -1.3124725   0.42259563 -1.46204185  0.37401937
 -0.29883245  0.9144921   1.00255541 -0.20708348  0.        ]",[-1.83656162 -0.38300363],"[[-2.02998116 -3.04130213 -0.16947862  0.04209937]
 [-6.45783207  4.04128377  0.          0.        ]]",[-0.3504177  -0.37625688],-0.166296317279
14,[-0.44991142 -0.67000312],-1.33041,"[-0.99763543 -0.5390956  -1.18400091  0.20037112 -1.46203728  0.37401894
 -0.42457326  0.69832213  0.9733056  -0.17218096  0.        ]",[ 0.26126048 -0.42242328],"[[ -2.19758047  -2.97649646  -0.16947862   0.04209937]
 [-10.28932394   2.44461534   0.           0.        ]]",[-0.3504177  -0.37625688],-0.161707261674
15,[-0.50478327 -0.66167319],-1.30517,"[-1.19687714 -0.53105968 -0.99417527  0.09273189 -1.46203271  0.37401852
 -0.38394285  0.46533383  0.9788288  -0.14180099  0.        ]",[-1.4905651  -1.52741341],"[[-2.39094521 -2.94487044 -0.16947862  0.04209937]
 [-9.05127993  0.72372069  0.          0.        ]]",[-0.3504177  -0.37625688],-0.161941383167
16,[-0.46438682 -0.6172452 ],-1.38227,"[-1.37683862 -0.53762177 -0.73407831  0.17912499 -1.46202814  0.37401809
 -0.50800319 -0.07269313  1.02766802 -0.14750519  0.        ]",[-0.77889744 -0.78187127],"[[ -2.60989947  -2.9702683   -0.16947862   0.04209937]
 [-12.83156344  -3.25025303   0.           0.        ]]",[-0.3504177  -0.37625688],-0.168600233898
17,[-0.51225311 -0.58431423],-1.43795,"[-1.52523864 -0.5498318  -0.34372513  0.39077432 -1.46202358  0.37401767
 -0.6008712   0.22988838  1.09049915 -0.20495796  0.        ]",[-1.46880864 -1.13806548],"[[ -2.89492419  -3.03205469  -0.16947862   0.04209937]
 [-15.66138358  -1.01532675   0.           0.        ]]",[-0.3504177  -0.37625688],-0.178021631586
18,[-0.63091999 -0.57116532],-1.46401,"[-1.55958871 -0.54983139  0.17190216  0.39078056 -1.46201901  0.37401725
 -0.72062897  0.4367393   1.12205943 -0.22764878  0.        ]",[-0.76014481 -1.91282394],"[[ -3.24476517  -3.03205664  -0.16947862   0.04209937]
 [-19.31057166   0.51251578   0.           0.        ]]",[-0.3504177  -0.37625688],-0.182690583871
19,[-0.75480139 -0.56645215],-1.44463,"[-1.38780644 -0.54801428  0.75143841  0.35229526 -1.46201444  0.37401682
 -0.80685174  0.43705954  1.15153628 -0.26083357  0.        ]",[-0.82395584 -1.08157343],"[[ -3.65733757  -3.02086003  -0.16947862   0.04209937]
 [-21.93791614   0.51488493   0.           0.        ]]",[-0.3504177  -0.37625688],-0.187331255735
