timestep,avg_action_dist,rewards,obs,actions,human_obs,logstd_action_dist,original_rewards
0,[-2.97754192 -2.02390909],-3.08691,"[ 1.19015697  2.3100512  -0.01869391  0.52558506 -1.08521927 -1.58034217
 -0.07612723  0.36956205  2.27994584  1.48675858  0.        ]",[-2.94470812 -1.91786664],"[[-0.02301183 -0.07299131 -0.12636317 -0.18338305]
 [-0.00441311  0.00493361  0.          0.        ]]",[-0.37333575 -0.38497782],-0.376649824592
1,[-2.78247833 -1.95635736],-2.97685,"[ 1.18780616  2.30479164 -0.07762378  0.38529915 -1.08521723 -1.58033739
 -0.19713462 -0.163229    2.26994424  1.38001392  0.        ]",[-2.98921774 -1.68084525],"[[-0.06277438 -0.11260603 -0.12636317 -0.18338305]
 [-3.95868636 -3.95321878  0.          0.        ]]",[-0.37333575 -0.38497782],-0.369886329
2,[-2.57433987 -1.90053618],-2.73611,"[ 1.16805586  2.27599556 -0.25137442 -0.02796825 -1.08521519 -1.58033262
 -0.3157526  -0.6854734   2.20391961  1.07109968  0.        ]",[-2.03358672 -2.08470134],"[[-0.1808387  -0.23059774 -0.12636317 -0.18338305]
 [-7.83487926 -7.83302135  0.          0.        ]]",[-0.37333575 -0.38497782],-0.347456748674
3,[-2.30395937 -1.82573414],-2.31638,"[ 1.0944623   2.18641393 -0.52883956 -0.68291044 -1.08521315 -1.58032784
 -0.43203812 -1.19737056  1.98491495  0.6167245   0.        ]",[-2.69035402 -0.44241686],"[[ -0.37566135  -0.42541451  -0.12636317  -0.18338305]
 [-11.6348544  -11.63596401   0.           0.        ]]",[-0.37333575 -0.38497782],-0.303591762468
4,[-2.02339411 -1.72432208],-1.77448,"[ 0.91317597  2.00179537 -0.87732518 -1.43315684 -1.0852111  -1.58032307
 -0.54607693 -1.40192438  1.52396001  0.18492273  0.        ]",[-1.19410347 -1.94925015],"[[ -0.64574629  -0.67338162  -0.12636317  -0.18338305]
 [-15.36141467 -13.15563749   0.           0.        ]]",[-0.37333575 -0.38497782],-0.234217741537
5,[-1.68644166 -1.5497129 ],-1.14371,"[ 0.56930655  1.68820288 -1.22450607 -2.15615572 -1.08520906 -1.58031829
 -0.65788705 -1.89955848  0.82557727  0.02832552  0.        ]",[-1.51426968 -2.92543413],"[[ -0.98962974  -0.97358859  -0.12636317  -0.18338305]
 [-19.01515047 -16.85266066   0.           0.        ]]",[-0.37333575 -0.38497782],-0.139212547034
6,[-1.39825904 -1.34629416],-0.845465,"[ 0.03923151  1.20162968 -1.44793505 -2.6830806  -1.08520702 -1.58031351
 -0.76757004 -2.38726073  0.09916957  0.40809282  0.        ]",[-0.55524531 -1.12818315],"[[ -1.40588907  -1.34699647  -0.12636317  -0.18338305]
 [-22.59938278 -20.47595389   0.           0.        ]]",[-0.37333575 -0.38497782],-0.0594400451451
7,[-1.26549351 -1.15833354],-1.12395,"[-0.60010772  0.57056387 -1.39972366 -2.68498249 -1.08520498 -1.58030874
 -0.8213133  -2.86529251 -0.19485804  1.2556255   0.        ]",[-1.99698995 -0.44847877],"[[ -1.87549364  -1.79214954  -0.12636317  -0.18338305]
 [-24.3556318  -24.02748531   0.           0.        ]]",[-0.37333575 -0.38497782],-0.143225706222
8,[-1.21071815 -0.92559087],-1.49472,"[-1.20028807 -0.05266723 -0.9892722  -1.90087708 -1.08520294 -1.58030396
 -0.92791217 -3.03987911  0.16275882  1.95268641  0.        ]",[-1.18129975 -0.92199183],"[[ -2.39755674  -2.28571432  -0.12636317  -0.18338305]
 [-27.83909369 -25.32472038   0.           0.        ]]",[-0.37333575 -0.38497782],-0.230993777799
9,[-0.85981476 -0.55130804],-1.74878,"[-1.54818214 -0.47343864 -0.21064223 -0.32644972 -1.0852009  -1.58029919
 -1.03236621 -3.46347713  0.72470673  1.8886455   0.        ]",[-0.14612387  1.31789885],"[[ -2.9885905   -2.82378419  -0.12636317  -0.18338305]
 [-31.2524783  -28.47201766   0.           0.        ]]",[-0.37333575 -0.38497782],-0.251610078654
