timestep,avg_action_dist,rewards,obs,actions,human_obs,logstd_action_dist,original_rewards
0,[-0.63467097 -1.17860603],-1.31243,"[ 1.1699691   2.1908176   0.15506825  0.42946379  1.73474167 -1.3332779
 -0.08809674  0.3658674  -0.1380846   1.40066414  0.        ]",[-0.83495608 -1.83878818],"[[ 0.0912629  -0.09643152  0.19892419 -0.15487912]
 [ 0.00472812  0.00066038  0.          0.        ]]",[-0.30725721 -0.36515033],-0.163771381855
1,[-0.47700709 -1.13174403],-1.16623,"[ 1.17336558  2.18440587  0.10606943  0.29897857  1.73473314 -1.33327336
 -0.20747648 -0.17539839 -0.13871131  1.30598956  0.        ]",[-0.35633717 -0.8467093 ],"[[ 0.05823199 -0.13613342  0.19892419 -0.15487912]
 [-3.29683713 -3.95766197  0.          0.        ]]",[-0.30725721 -0.36515033],-0.152510168421
2,[-0.39830661 -1.13127601],-0.937718,"[ 1.17538933  2.15470688 -0.01201824 -0.06463872  1.7347246  -1.33326881
 -0.25604578 -0.62305279 -0.16431582  1.06557751  0.        ]",[-0.41337098 -0.75599521],"[[-0.02118159 -0.24813313  0.19892419 -0.15487912]
 [-4.64007409 -7.23139885  0.          0.        ]]",[-0.30725721 -0.36515033],-0.123699206349
3,[-0.36162078 -1.14256656],-0.74642,"[ 1.1641603   2.07576595 -0.1725635  -0.6053597   1.73471607 -1.33326427
 -0.31182663 -1.0127144  -0.26072002  0.73747948  0.        ]",[-1.09062738 -1.57238636],"[[ -0.12946061  -0.4213525    0.19892419  -0.15487912]
 [ -6.18275325 -10.08103878   0.           0.        ]]",[-0.30725721 -0.36515033],-0.0846147692529
4,[-0.27926111 -1.12502146],-0.632002,"[ 1.11751365  1.90499786 -0.40814757 -1.28261928  1.73470753 -1.33325973
 -0.45043143 -1.52664875 -0.50566385  0.33564331  0.        ]",[-1.00709481 -1.6682248 ],"[[ -0.29157385  -0.66068348   0.19892419  -0.15487912]
 [-10.01600343 -13.8395209    0.           0.        ]]",[-0.30725721 -0.36515033],-0.0536896094895
5,[-0.21461175 -1.10482168],-0.815675,"[ 0.9868579   1.58845805 -0.73205693 -1.98987544  1.734699   -1.33325518
 -0.58635408 -2.03038231 -0.99014208 -0.0160709   0.        ]",[-1.68442383 -0.92732652],"[[ -0.52960624  -0.97443638   0.19892419  -0.15487912]
 [-13.77508101 -17.52345771   0.           0.        ]]",[-0.30725721 -0.36515033],-0.105420054522
6,[-0.1353818  -1.03058791],-1.14576,"[ 0.71516372  1.10147265 -1.09035299 -2.486596    1.73469046 -1.33325064
 -0.719684   -2.48474707 -1.66489418 -0.04329915  0.        ]",[-0.77780747 -0.3223293 ],"[[ -0.84209953  -1.3582466    0.19892419  -0.15487912]
 [-17.46246181 -20.84643599   0.           0.        ]]",[-0.30725721 -0.36515033],-0.197285835923
7,[-0.14373519 -0.95939791],-1.41275,"[ 0.27250311  0.51493877 -1.3769425  -2.4862428   1.73468193 -1.33324609
 -0.81868312 -2.60253407 -2.22554627  0.41332048  0.        ]",[ 0.71923883 -0.4265764 ],"[[ -1.21881709  -1.7838201    0.19892419  -0.15487912]
 [-20.20040525 -21.70801198   0.           0.        ]]",[-0.30725721 -0.36515033],-0.277192346199
8,[-0.07698192 -0.87078106],-1.5783,"[-0.22959439 -0.04268119 -1.46785811 -1.86647971  1.73467339 -1.33324155
 -0.70146614 -2.77454931 -2.32157297  1.06986897  0.        ]",[-0.77167064 -0.5557031 ],"[[ -1.59030315  -2.23060349   0.19892419  -0.15487912]
 [-16.9587162  -22.96621138   0.           0.        ]]",[-0.30725721 -0.36515033],-0.312145542159
9,[ 0.17459622 -0.66666901],-1.41393,"[-0.72166047 -0.45131156 -1.35867637 -0.64388369  1.73466486 -1.333237
 -0.79992927 -3.01308839 -1.99389016  1.47353548  0.        ]",[ 0.53817349 -0.62088223],"[[ -1.95680125  -2.70743283   0.19892419  -0.15487912]
 [-19.68183162 -24.71098352   0.           0.        ]]",[-0.30725721 -0.36515033],-0.296853873794
10,[ 0.14984709 -0.60071534],-1.3765,"[-1.14667129 -0.58011831 -1.0645417   0.76933229  1.73465632 -1.33323246
 -0.70881293 -0.93892333 -1.66851162  1.43079336  0.        ]",[-0.53677963 -0.66944318],"[[ -2.32516537  -3.14801139   0.19892419  -0.15487912]
 [-17.16197892  -9.5419289    0.           0.        ]]",[-0.30725721 -0.36515033],-0.258724542467
11,[-0.02513821 -0.6698156 ],-1.30665,"[-1.44069055 -0.57915321 -0.6346273   0.87319441  1.73464779 -1.33322791
 -0.77335404  0.72794165 -1.59738357  1.32910119  0.        ]",[-0.0034734  -0.33256145],"[[ -2.68631235  -3.17940751   0.19892419  -0.15487912]
 [-18.94695113   2.64842665   0.           0.        ]]",[-0.30725721 -0.36515033],-0.24352995147
12,[-0.04354134 -0.65356326],-1.37983,"[-1.57668549 -0.5795684  -0.09932533  0.65273785  1.73463926 -1.33322337
 -0.76028629  0.81252106 -1.60709368  1.36095478  0.        ]",[-0.17150271 -0.73259501],"[[ -3.06162548  -3.11277407   0.19892419  -0.15487912]
 [-18.58559413   3.26699609   0.           0.        ]]",[-0.30725721 -0.36515033],-0.246973720542
13,[-0.00753681 -0.60746801],-1.43246,"[-1.521594   -0.57549026  0.45183767  0.47740096  1.73463072 -1.33321883
 -0.77153509  0.64169365 -1.59132766  1.37761214  0.        ]",[-0.73609393 -0.67685361],"[[ -3.43645909  -3.05970096   0.19892419  -0.15487912]
 [-18.89672937   2.01768702   0.           0.        ]]",[-0.30725721 -0.36515033],-0.246623448933
14,[ 0.05090837 -0.54616499],-1.46347,"[-1.25845792 -0.57147446  0.97592755  0.37891867  1.73462219 -1.33321428
 -0.86338944  0.50901825 -1.56780336  1.35762394  0.        ]",[-0.21809787 -0.99639978],"[[ -3.83988181  -3.02979914   0.19892419  -0.15487912]
 [-21.43707414   1.04739455   0.           0.        ]]",[-0.30725721 -0.36515033],-0.242644465241
