timestep,human_obs,rewards,obs,actions,avg_action_dist,logstd_action_dist,original_rewards
0,"[[-0.07676559  0.07914054 -0.14811438 -0.1200101 ]
 [ 0.00355946 -0.0021523   0.          0.        ]]",-2.4212,"[ 1.15411154  2.32963781 -0.07663748  1.21991711 -1.27479757 -1.06987276
 -0.06428567  0.38997337  2.4436012   1.04108354  0.        ]",[-1.91983929 -0.43845624],[-2.15627003 -1.70684648],[-0.16584244 -0.30769613],-0.375118815831
1,"[[-0.11637889  0.06169442 -0.14811438 -0.1200101 ]
 [-3.95172074 -1.73668529  0.          0.        ]]",-2.37429,"[ 1.14885498  2.33136022 -0.13573942  1.15515739 -1.27478723 -1.06986567
 -0.24206404  0.1487623   2.43949259  0.95519857  0.        ]",[-3.03150914 -1.48563613],[-2.0481751  -1.66777897],[-0.16584244 -0.30769613],-0.371656294583
2,"[[-0.23430422 -0.01240707 -0.14811438 -0.1200101 ]
 [-7.82791207 -5.66039069  0.          0.        ]]",-2.28028,"[ 1.12059555  2.33394422 -0.30970535  0.87958481 -1.27477689 -1.06985859
 -0.41628737 -0.39688298  2.40063425  0.6822518   0.        ]",[-1.11378685 -1.39444883],[-1.83988452 -1.604985  ],[-0.16584244 -0.30769613],-0.358931548978
3,"[[ -0.42898504  -0.1642033   -0.14811438  -0.1200101 ]
 [-11.62756385  -9.50640565   0.           0.        ]]",-2.00802,"[ 1.03362287  2.31462757 -0.58520543  0.31752527 -1.27476655 -1.0698515
 -0.58706994 -0.93172174  2.23864649  0.23648441  0.        ]",[-1.66431032 -0.45495492],[-1.56380308 -1.53944731],[-0.16584244 -0.30769613],-0.330697316168
4,"[[ -0.69891719  -0.37050142  -0.14811438  -0.1200101 ]
 [-15.35335111 -11.11800155   0.           0.        ]]",-1.64501,"[ 0.83595002  2.23619626 -0.92615195 -0.42148182 -1.27475621 -1.06984441
 -0.75453161 -1.15582926  1.84676394 -0.24889851  0.        ]",[-1.70461322 -2.18377253],[-1.26177382 -1.46845186],[-0.16584244 -0.30769613],-0.280522306642
5,"[[ -1.04262652  -0.63036208  -0.14811438  -0.1200101 ]
 [-19.00568839 -14.85553665   0.           0.        ]]",-1.051,"[ 0.4764928   2.05701426 -1.25645137 -1.26741002 -1.27474587 -1.06983732
 -0.91869052 -1.67556766  1.17599353 -0.54324695  0.        ]",[-0.87845849 -0.64881184],[-0.85248065 -1.32162809],[-0.16584244 -0.30769613],-0.202045808741
6,"[[ -1.45385633  -0.95027571  -0.14811438  -0.1200101 ]
 [-22.10732298 -17.12814582   0.           0.        ]]",-0.421655,"[-0.05568451  1.73084238 -1.45047697 -2.10134614 -1.27473554 -1.06983023
 -1.05809498 -1.99157439  0.36639928 -0.35389906  0.        ]",[-1.70701501 -1.46365567],[-0.68415749 -1.18791318],[-0.16584244 -0.30769613],-0.0947584548258
7,"[[ -1.93134952  -1.32913369  -0.14811438  -0.1200101 ]
 [-25.63083418 -20.74546712   0.           0.        ]]",-0.33753,"[-0.70079577  1.23785141 -1.36431559 -2.68679511 -1.2747252  -1.06982314
 -1.21645939 -2.49455195 -0.1891899   0.42617211  0.        ]",[-1.79068967 -1.11390066],[-0.71388245 -1.07763672],[-0.16584244 -0.30769613],-0.0396483236591
8,"[[ -2.47864829  -1.77961239  -0.14811438  -0.1200101 ]
 [-29.08807579 -24.29050571   0.           0.        ]]",-0.836513,"[-1.29907787  0.59433014 -0.88421736 -2.71401839 -1.27471486 -1.06981605
 -1.371842   -2.98743381 -0.05966706  1.41710154  0.        ]",[-1.25221557 -1.6415315 ],[-0.77466726 -0.95845759],[-0.16584244 -0.30769613],-0.158715088405
9,"[[ -3.09443212  -2.30028556  -0.14811438  -0.1200101 ]
 [-32.47916053 -27.76531622   0.           0.        ]]",-1.1398,"[-1.58859939 -0.06729859 -0.03230155 -1.84797832 -1.27470452 -1.06980896
 -1.52424717 -3.47048965  0.65793364  1.7816756   0.        ]",[ 1.40656828 -0.99216068],[-0.61164594 -0.77713114],[-0.16584244 -0.30769613],-0.232583199851
