timestep,avg_action_dist,rewards,obs,actions,human_obs,logstd_action_dist,original_rewards
0,[-1.38644958 -1.4856317 ],-2.0626,"[ 1.18672833  2.30006569 -0.0405428   1.01045763  0.78830674 -1.50671751
 -0.0603775   0.37013583  0.68338521  1.51090515  0.        ]",[-2.50785657 -2.63754226],"[[-0.03706023  0.06459479  0.08982812 -0.17460165]
 [-0.00027289  0.00211917  0.          0.        ]]",[-0.37327778 -0.37851584],-0.211340094806
1,[-1.22329247 -1.43639636],-1.85154,"[ 1.18361354  2.30258354 -0.09927508  0.87081064  0.78830558 -1.50671305
 -0.18236645 -0.16437773  0.68092367  1.40313794  0.        ]",[-1.72197423 -0.61116309],"[[-0.07674071  0.02492433  0.08982812 -0.17460165]
 [-3.95461251 -3.95597856  0.          0.        ]]",[-0.37327778 -0.37851584],-0.20083495912
2,[-1.09366381 -1.42711043],-1.57468,"[ 1.16160273  2.29871385 -0.2724991   0.50954619  0.78830442 -1.50670858
 -0.30196224 -0.48039518  0.64004534  1.10077292  0.        ]",[-2.21636016 -1.57322824],"[[-0.19472957 -0.07767446  0.08982812 -0.17460165]
 [-7.83137749 -6.29610371  0.          0.        ]]",[-0.37327778 -0.37851584],-0.169818679189
3,[-0.86685121 -1.37898564],-1.09194,"[ 1.08437229  2.26142909 -0.54857341 -0.06169704  0.78830327 -1.50670412
 -0.41918024 -0.99806919  0.47099957  0.64217842  0.        ]",[-0.18231796 -1.04111445],"[[ -0.38947987  -0.24205847   0.08982812  -0.17460165]
 [-11.63106715 -10.12951      0.           0.        ]]",[-0.37327778 -0.37851584],-0.116216648169
4,[-0.67592025 -1.31979537],-0.641299,"[ 0.92530639  2.14029114 -0.85551765 -0.85165071  0.78830211 -1.50669966
 -0.43430985 -1.50564479  0.08963346  0.18110292  0.        ]",[-0.7624642  -1.24027814],"[[ -0.62702063  -0.48236065   0.08982812  -0.17460165]
 [-12.12151523 -13.8881569    0.           0.        ]]",[-0.37327778 -0.37851584],-0.0437486082773
5,[-0.46512488 -1.19871688],-0.50727,"[ 0.66867586  1.87348266 -1.14450774 -1.7377176   0.78830095 -1.5066952
 -0.51998399 -2.0030261  -0.51305199 -0.07515563  0.        ]",[-0.23885954 -0.1188238 ],"[[ -0.89731201  -0.79707894   0.08982812  -0.17460165]
 [-14.89869679 -17.5713533    0.           0.        ]]",[-0.37327778 -0.37851584],-0.0429422925317
6,[-0.42787668 -1.13342214],-0.861396,"[ 0.30583781  1.45986389 -1.36845699 -2.43308888  0.78829979 -1.50669073
 -0.54013808 -2.01943767 -1.18281815  0.06007744  0.        ]",[-0.40647626 -2.13274773],"[[ -1.20183938  -1.14972641   0.08982812  -0.17460165]
 [-15.55202004 -17.69295071   0.           0.        ]]",[-0.37327778 -0.37851584],-0.131223036247
7,[-0.42687294 -1.08159971],-1.23596,"[-0.12975937  0.92123668 -1.46673804 -2.73917737  0.78829864 -1.50668627
 -0.58037324 -2.5066423  -1.65704121  0.59690689  0.        ]",[-1.05381132 -0.70183926],"[[ -1.52596212  -1.53978507   0.08982812  -0.17460165]
 [-16.85628009 -21.30086336   0.           0.        ]]",[-0.37327778 -0.37851584],-0.206011489178
8,[-0.34403393 -0.96583855],-1.44841,"[-0.63682073  0.29735039 -1.38884549 -2.43654756  0.78829748 -1.50668181
 -0.692347   -2.82468767 -1.71471762  1.34769863  0.        ]",[-0.25588085  0.99645312],"[[ -1.89950239  -1.98943431   0.08982812  -0.17460165]
 [-20.48597851 -23.65619679   0.           0.        ]]",[-0.37327778 -0.37851584],-0.255076281042
9,[-0.29236209 -0.82869422],-1.54971,"[-1.12622972 -0.19187256 -1.07588374 -1.5493987   0.78829632 -1.50667735
 -0.71123617 -2.22841592 -1.36160483  1.82626945  0.        ]",[-0.59124297  0.12870546],"[[ -2.31537058  -2.41825635   0.08982812  -0.17460165]
 [-21.0983088  -19.24079573   0.           0.        ]]",[-0.37327778 -0.37851584],-0.261995959869
