timestep,avg_action_dist,rewards,obs,actions,human_obs,logstd_action_dist,original_rewards
0,[-1.24715507 -1.50932336],-1.66318,"[ 1.15425544  2.04108816  0.11350216  0.92094601 -0.37059458 -0.45743951
 -0.10189266  0.35557209  1.59694554  0.64426744  0.        ]",[-1.60394268  0.18879348],"[[ 0.05993106  0.0724527  -0.04425368 -0.05414474]
 [-0.00109332  0.00245396  0.          0.        ]]",[-0.19121316 -0.34094971],-0.263891508617
1,[-1.18395293 -1.49893856],-1.65363,"[ 1.15644405  2.04029818  0.05419621  0.94372195 -0.37059382 -0.45743852
 -0.27711805  0.45930527  1.60104453  0.58273092  0.        ]",[-2.05989195 -1.34902146],"[[ 0.02021595  0.08001706 -0.04425368 -0.05414474]
 [-3.95724483  0.75147986  0.          0.        ]]",[-0.19121316 -0.34094971],-0.26242468484
2,[-0.8656708  -1.41064036],-1.63548,"[ 1.15013041  2.04252463 -0.12198093  0.86889449 -0.37059307 -0.45743754
 -0.44879622 -0.09092105  1.60099847  0.35657671  0.        ]",[ 0.82842376 -0.59899944],"[[-0.09781867  0.05518456 -0.04425368 -0.05414474]
 [-7.83331264 -3.22149543  0.          0.        ]]",[-0.19121316 -0.34094971],-0.256762990314
3,[-0.73076487 -1.3995924 ],-1.55027,"[ 1.12347506  2.04384022 -0.3022372   0.60442794 -0.37059232 -0.45743655
 -0.29674154 -0.41074748  1.56258511  0.06973496  0.        ]",[-0.95945564 -0.36521731],"[[-0.22004073 -0.03241585 -0.04425368 -0.05414474]
 [-4.40033186 -5.53084202  0.          0.        ]]",[-0.19121316 -0.34094971],-0.248402440125
4,[-0.55813473 -1.38145852],-1.51791,"[ 1.07535876  2.02818087 -0.4818304   0.23179612 -0.37059157 -0.45743556
 -0.46097592 -0.59565576  1.46473626 -0.23832187  0.        ]",[ 0.38166617 -1.56113979],"[[-0.34525057 -0.15642877 -0.04425368 -0.05414474]
 [-8.1083276  -6.86600016  0.          0.        ]]",[-0.19121316 -0.34094971],-0.237051246595
5,[-0.33842784 -1.32903314],-1.36004,"[ 0.99406671  1.97135992 -0.6802557  -0.2824015  -0.37059081 -0.45743457
 -0.38694206 -1.12528129  1.26608914 -0.57584461  0.        ]",[-0.40054399 -0.64347833],"[[ -0.49064633  -0.3321187   -0.04425368  -0.05414474]
 [ -6.43686134 -10.69023981   0.           0.        ]]",[-0.19121316 -0.34094971],-0.219960356789
6,[-0.17992012 -1.2728914 ],-1.15427,"[ 0.88878352  1.8333318  -0.8613627  -0.92582877 -0.37059006 -0.45743359
 -0.45147448 -1.44874166  0.95614307 -0.85680372  0.        ]",[-1.09742291 -1.44670636],"[[ -0.63400085  -0.56935773  -0.04425368  -0.05414474]
 [ -7.89384843 -13.02587228   0.           0.        ]]",[-0.19121316 -0.34094971],-0.196510689362
7,[ 0.02734174 -1.14675987],-0.875713,"[ 0.70846443  1.5721289  -1.07891435 -1.60022213 -0.37058931 -0.4574326
 -0.61980148 -1.96116792  0.47661191 -1.02981762  0.        ]",[-0.63790729 -1.37649335],"[[ -0.83000519  -0.86700019  -0.04425368  -0.05414474]
 [-11.69424025 -16.72602174   0.           0.        ]]",[-0.19121316 -0.34094971],-0.161761552739
8,[ 0.17159069 -0.97748518],-0.547835,"[ 0.41942946  1.14332282 -1.29899966 -2.15202359 -0.37058856 -0.45743161
 -0.72143991 -2.46347243 -0.11830679 -0.91284084  0.        ]",[-0.7270081  -0.54006533],"[[ -1.08690992  -1.23791366  -0.04425368  -0.05414474]
 [-13.98899599 -20.35320653   0.           0.        ]]",[-0.19121316 -0.34094971],-0.115599650561
9,[ 0.20165798 -0.78539467],-0.36955,"[ 0.02212172  0.58351336 -1.44697143 -2.30513462 -0.37058781 -0.45743062
 -0.83680198 -2.70357041 -0.57378942 -0.41257217  0.        ]",[ 0.44229631 -0.31634104],"[[ -1.3928195   -1.66237549  -0.04425368  -0.05414474]
 [-16.59360408 -22.08717296   0.           0.        ]]",[-0.19121316 -0.34094971],-0.0718320819444
