timestep,avg_action_dist,rewards,obs,actions,human_obs,logstd_action_dist,original_rewards
0,[-1.50199914 -1.46958089],-1.74208,"[ 1.17031619  2.09801089  0.11378354  0.84975453 -0.06558598 -0.88895226
 -0.11823065  0.35852367  1.35220395  1.03313119  0.        ]",[-1.32160597 -1.09986894],"[[ 0.05822846  0.04287059 -0.00878032 -0.10519942]
 [ 0.00493123  0.00321009  0.          0.        ]]",[-0.2136399  -0.36259875],-0.249917905418
1,[-1.28339159 -1.39863479],-1.69216,"[ 1.17240324  2.0992314   0.05477456  0.72551522 -0.06558588 -0.8889498
 -0.28110246 -0.18654363  1.35715551  0.9289432   0.        ]",[-0.49232508 -2.5677289 ],"[[  1.86510403e-02   3.22174581e-03  -8.78031845e-03  -1.05199419e-01]
 [ -3.94951055e+00  -3.95490794e+00   0.00000000e+00   0.00000000e+00]]",[-0.2136399  -0.36259875],-0.244602837194
2,[-1.10508454 -1.35725999],-1.51321,"[ 1.16834057  2.09029957 -0.09093415  0.35633143 -0.06558578 -0.88894734
 -0.35803889 -0.72092971  1.34034903  0.6540286   0.        ]",[-0.02040986 -0.78912988],"[[-0.07908101 -0.11481133 -0.00878032 -0.10519942]
 [-5.81749377 -7.83546652  0.          0.        ]]",[-0.2136399  -0.36259875],-0.229400317159
3,[-0.99291444 -1.34525514],-1.32231,"[ 1.14655237  2.03815336 -0.26229971 -0.21482454 -0.06558567 -0.88894488
 -0.35658488 -1.12985104  1.24802938  0.30238976  0.        ]",[-2.10305916 -2.22885935],"[[ -1.95076363e-01  -3.01314536e-01  -8.78031845e-03  -1.05199419e-01]
 [ -5.78220638e+00  -1.08049533e+01   0.00000000e+00   0.00000000e+00]]",[-0.2136399  -0.36259875],-0.206333915705
4,[-0.77150643 -1.27955675],-1.14298,"[ 1.08961241  1.89580521 -0.48367467 -0.93622779 -0.06558557 -0.88894242
 -0.51478199 -1.64544408  1.01109173 -0.10049744  0.        ]",[-0.38759825 -1.05399123],"[[ -3.49255946e-01  -5.54979915e-01  -8.78031845e-03  -1.05199419e-01]
 [ -9.62314653e+00  -1.45490976e+01   0.00000000e+00   0.00000000e+00]]",[-0.2136399  -0.36259875],-0.171457318614
5,[-0.50890076 -1.16688502],-0.797277,"[ 0.96608333  1.60456647 -0.75959502 -1.70601499 -0.06558547 -0.88893996
 -0.57012045 -2.15092545  0.56081339 -0.43887787  0.        ]",[ 0.94195092 -1.1596086 ],"[[ -5.55196907e-01  -8.82792345e-01  -8.78031845e-03  -1.05199419e-01]
 [ -1.09667527e+01  -1.82198912e+01   0.00000000e+00   0.00000000e+00]]",[-0.2136399  -0.36259875],-0.122196829771
6,[-0.39400735 -1.03237057],-0.371553,"[ 0.81763774  1.12831403 -0.97366119 -2.29039853 -0.06558537 -0.8889375
 -0.40775216 -2.64659183  0.03456806 -0.4758341   0.        ]",[-2.20660725 -0.36152985],"[[ -7.34978200e-01  -1.28330676e+00  -8.78031845e-03  -1.05199419e-01]
 [ -7.02459023e+00  -2.18195333e+01   0.00000000e+00   0.00000000e+00]]",[-0.2136399  -0.36259875],-0.0705349184367
7,[-0.28948763 -0.84616518],-0.274677,"[ 0.63733843  0.5296378  -1.15461227 -2.37951898 -0.06558527 -0.88893504
 -0.56517571 -2.78405002 -0.41367174 -0.19164692  0.        ]",[-0.65943315  0.38756666],"[[ -9.13815547e-01  -1.72971527e+00  -8.78031845e-03  -1.05199419e-01]
 [ -1.08467391e+01  -2.28180029e+01   0.00000000e+00   0.00000000e+00]]",[-0.2136399  -0.36259875],-0.0377003331244
8,[-0.16564015 -0.66093159],-0.38193,"[ 0.3531693  -0.01584214 -1.3379745  -1.87974455 -0.06558517 -0.88893258
 -0.66401164 -2.5103807  -0.64639017  0.30176924  0.        ]",[-0.44987771 -1.17092569],"[[ -1.15482817e+00  -2.16613744e+00  -8.78031845e-03  -1.05199419e-01]
 [ -1.32464316e+01  -2.08308518e+01   0.00000000e+00   0.00000000e+00]]",[-0.2136399  -0.36259875],-0.0678148806367
9,[-0.01319025 -0.51191878],-0.512787,"[-0.01635421 -0.42969612 -1.45148096 -0.85084778 -0.06558506 -0.88893012
 -0.72670031 -2.99871329 -0.54539306  0.79389347  0.        ]",[-0.20864789 -0.76347677],"[[ -1.43502862e+00  -2.61833808e+00  -8.78031845e-03  -1.05199419e-01]
 [ -1.47685025e+01  -2.43774354e+01   0.00000000e+00   0.00000000e+00]]",[-0.2136399  -0.36259875],-0.103409090627
10,[ 0.17995355 -0.41414437],-0.636049,"[-0.42830998 -0.61093958 -1.44494448  0.68339985 -0.06558496 -0.88892766
 -0.74874082 -2.62791257 -0.1533492   0.97646346  0.        ]",[ 0.21577644 -0.32793973],"[[ -1.73577511e+00  -3.13137257e+00  -8.78031845e-03  -1.05199419e-01]
 [ -1.53036712e+01  -2.16848988e+01   0.00000000e+00   0.00000000e+00]]",[-0.2136399  -0.36259875],-0.115618352974
11,[-0.15478611 -0.5642339 ],-0.633168,"[-0.81224051 -0.60217839 -1.31047191  1.07268434 -0.06558486 -0.8889252
 -0.70102754  0.68172425 -0.03912404  0.9109961   0.        ]",[-0.60775932 -0.51928344],"[[ -2.03022257e+00  -3.25581810e+00  -8.78031845e-03  -1.05199419e-01]
 [ -1.41452732e+01   2.35004823e+00   0.00000000e+00   0.00000000e+00]]",[-0.2136399  -0.36259875],-0.11020487497
12,[-0.23069564 -0.60961229],-0.563357,"[-1.15345317 -0.61040959 -1.05083002  0.80855255 -0.06558476 -0.88892274
 -0.78859908  0.99883255 -0.08917817  0.93275434  0.        ]",[ 0.28407916 -0.24775022],"[[ -2.33446034e+00  -3.17130719e+00  -8.78031845e-03  -1.05199419e-01]
 [ -1.62714809e+01   4.65294302e+00   0.00000000e+00   0.00000000e+00]]",[-0.2136399  -0.36259875],-0.111436014691
13,[-0.23967153 -0.61120141],-0.554543,"[-1.41171364 -0.60909974 -0.68345114  0.54920649 -0.06558466 -0.88892028
 -0.72900567  0.85432492 -0.11476842  0.97459448  0.        ]",[ 0.97889434  0.37612557],"[[ -2.64537347e+00  -3.08853743e+00  -8.78031845e-03  -1.05199419e-01]
 [ -1.48246481e+01   3.60353064e+00   0.00000000e+00   0.00000000e+00]]",[-0.2136399  -0.36259875],-0.115947520489
14,[-0.376286   -0.66988921],-0.71131,"[-1.53763407 -0.59786857 -0.3299719   0.28003829 -0.06558455 -0.88891782
 -0.55728024  1.04961053 -0.12097546  1.03353963  0.        ]",[ 0.4077656  -1.97653325],"[[ -2.90003441e+00  -3.00223748e+00  -8.78031845e-03  -1.05199419e-01]
 [ -1.06553388e+01   5.02173857e+00   0.00000000e+00   0.00000000e+00]]",[-0.2136399  -0.36259875],-0.122948602167
15,[-0.30849144 -0.62742299],-0.696762,"[-1.5760463  -0.58424303 -0.04277549  0.09557793 -0.06558445 -0.88891536
 -0.48210096  0.49069965 -0.10812058  1.07575784  0.        ]",[-0.08495795 -1.21074465],"[[ -3.09482770e+00  -2.94252656e+00  -8.78031845e-03  -1.05199419e-01]
 [ -8.83007864e+00   9.62879352e-01   0.00000000e+00   0.00000000e+00]]",[-0.2136399  -0.36259875],-0.128246421344
16,[-0.18828082 -0.5552476 ],-0.621114,"[-1.5656765  -0.58949456  0.2225769   0.15918712 -0.06558435 -0.8889129
 -0.48876214 -0.05715772 -0.07970532  1.04424206  0.        ]",[ 0.73270534  0.28576804],"[[ -3.27305206e+00  -2.96318747e+00  -8.78031845e-03  -1.05199419e-01]
 [ -8.99182837e+00  -3.01571092e+00   0.00000000e+00   0.00000000e+00]]",[-0.2136399  -0.36259875],-0.125005262711
17,[-0.25803006 -0.57362694],-0.66868,"[-1.52382778 -0.59884891  0.4399301   0.29658536 -0.06558425 -0.88891044
 -0.36194168  0.22982482 -0.06489965  0.99319081  0.        ]",[-0.53300541 -1.04792776],"[[-3.42199573 -3.00756642 -0.00878032 -0.10519942]
 [-5.91276929 -0.93161831  0.          0.        ]]",[-0.2136399  -0.36259875],-0.119243599156
18,[-0.28759286 -0.57620388],-0.557224,"[-1.45876759 -0.59988954  0.63360051  0.31486412 -0.06558415 -0.88890798
 -0.44403786  0.36691415 -0.05610938  0.96864753  0.        ]",[ 0.01245462  0.38287652],"[[-3.56024973 -3.01344862 -0.00878032 -0.10519942]
 [-7.90600007  0.06393845  0.          0.        ]]",[-0.2136399  -0.36259875],-0.116547668766
19,[-0.37907615 -0.60578531],-0.633317,"[-1.35661126 -0.59685251  0.83811506  0.26369614 -0.06558405 -0.88890552
 -0.43555666  0.57550552 -0.0414391   0.9636695   0.        ]",[-1.86247331 -0.57595039],"[[-3.71630394 -2.99697126 -0.00878032 -0.10519942]
 [-7.70010492  1.57874979  0.          0.        ]]",[-0.2136399  -0.36259875],-0.116372437866
20,[-0.30990642 -0.55914575],-0.685419,"[-1.19257171 -0.59516783  1.06241817  0.23772232 -0.06558394 -0.88890306
 -0.59235597  0.25715381 -0.02800883  0.94332667  0.        ]",[-1.10298734 -0.9718689 ],"[[ -3.90850234e+00  -2.98859224e+00  -8.78031845e-03  -1.05199419e-01]
 [ -1.15070516e+01  -7.33133544e-01   0.00000000e+00   0.00000000e+00]]",[-0.2136399  -0.36259875],-0.11438184464
21,[-0.30969071 -0.54399282],-0.606723,"[-0.90504597 -0.6004641   1.30965124  0.32538515 -0.06558384 -0.8889006
 -0.74604759  0.28236859 -0.03962915  0.88563835  0.        ]",[-0.16518847 -0.19031182],"[[ -4.17608345e+00  -3.01683257e+00  -8.78031845e-03  -1.05199419e-01]
 [ -1.52385566e+01  -5.50019361e-01   0.00000000e+00   0.00000000e+00]]",[-0.2136399  -0.36259875],-0.10719770266
22,[-0.37796739 -0.56016916],-0.713016,"[-0.5132357  -0.60042392  1.48052614  0.32466746 -0.06558374 -0.88889814
 -0.76055724  0.39854243 -0.04626301  0.84570622  0.        ]",[-1.49855801 -1.24558024],"[[ -4.48438945e+00  -3.01660199e+00  -8.78031845e-03  -1.05199419e-01]
 [ -1.55908796e+01   2.93643793e-01   0.00000000e+00   0.00000000e+00]]",[-0.2136399  -0.36259875],-0.102270892101
23,[-0.39385697 -0.56304353],-0.565099,"[-0.03720185 -0.59947421  1.50832472  0.30758591 -0.06558364 -0.88889568
 -0.91091781  0.38996651 -0.06258541  0.80536592  0.        ]",[-0.8299692  0.4679111],"[[ -4.83283515e+00  -3.01110783e+00  -8.78031845e-03  -1.05199419e-01]
 [ -1.92415247e+01   2.31370338e-01   0.00000000e+00   0.00000000e+00]]",[-0.2136399  -0.36259875],-0.0969845181839
24,[-0.49473897 -0.60646868],-0.663027,"[ 0.49796887 -0.595027    1.31106363  0.23568761 -0.06558354 -0.88889322
 -1.03056868  0.64447958 -0.08466189  0.76131531  0.        ]",[-0.54995769 -1.10500934],"[[ -5.24681319e+00  -2.98793615e+00  -8.78031845e-03  -1.05199419e-01]
 [ -2.21465897e+01   2.07965742e+00   0.00000000e+00   0.00000000e+00]]",[-0.2136399  -0.36259875],-0.0911025104912
25,[-0.35207501 -0.55596668],-0.611202,"[ 0.95079383 -0.59472255  0.83968876  0.2311806  -0.06558343 -0.88889076
 -1.10219868  0.0936032  -0.14291141  0.7372915   0.        ]",[ 0.43882677 -0.45105097],"[[ -5.70719459e+00  -2.98648109e+00  -8.78031845e-03  -1.05199419e-01]
 [ -2.38857753e+01  -1.92080851e+00   0.00000000e+00   0.00000000e+00]]",[-0.2136399  -0.36259875],-0.0868873497582
26,[-0.4100903  -0.58802837],-0.725751,"[ 1.16269308 -0.60136477  0.20625092  0.3424912  -0.06558333 -0.8888883
 -1.01115719  0.28508116 -0.21223085  0.77928948  0.        ]",[-0.30722178 -0.1742681 ],"[[ -6.16273400e+00  -3.02233150e+00  -8.78031845e-03  -1.05199419e-01]
 [ -2.16754685e+01  -5.30293283e-01   0.00000000e+00   0.00000000e+00]]",[-0.2136399  -0.36259875],-0.0913235407365
27,[-0.41209969 -0.60606104],-0.790654,"[ 1.10243224 -0.60106286 -0.44379324  0.33673238 -0.06558323 -0.88888584
 -1.04357877  0.41258041 -0.25026854  0.81412497  0.        ]",[ 0.77714253 -1.38760001],"[[ -6.60414190e+00  -3.02048109e+00  -8.78031845e-03  -1.05199419e-01]
 [ -2.24627094e+01   3.95609563e-01   0.00000000e+00   0.00000000e+00]]",[-0.2136399  -0.36259875],-0.0956336821598
28,[-0.38798884 -0.61995256],-0.810869,"[ 0.81775766 -0.59983577 -0.97354675  0.31412032 -0.06558313 -0.88888338
 -0.89852743  0.39977331 -0.27393388  0.85786577  0.        ]",[-0.80016582 -0.69655711],"[[ -7.01806251e+00  -3.01321083e+00  -8.78031845e-03  -1.05199419e-01]
 [ -1.89410887e+01   3.02609987e-01   0.00000000e+00   0.00000000e+00]]",[-0.2136399  -0.36259875],-0.101125469734
29,[-0.30195343 -0.61074054],-0.778339,"[ 0.36963554 -0.5989534  -1.32995702  0.29863584 -0.06558303 -0.88888092
 -1.01356765  0.38447036 -0.28018433  0.9111388   0.        ]",[-0.24288192 -2.14115986],"[[ -7.42490858e+00  -3.00822838e+00  -8.78031845e-03  -1.05199419e-01]
 [ -2.17342108e+01   1.91485388e-01   0.00000000e+00   0.00000000e+00]]",[-0.2136399  -0.36259875],-0.107638477689
30,[-0.21691969 -0.59972906],-0.624,"[-0.21748809 -0.59849289 -1.46512396  0.29079239 -0.06558293 -0.88887846
 -1.03545093  0.36881303 -0.26396735  0.96903583  0.        ]",[ 1.00607334  0.23611419],"[[ -7.86492432e+00  -3.00570340e+00  -8.78031845e-03  -1.05199419e-01]
 [ -2.22655923e+01   7.77872640e-02   0.00000000e+00   0.00000000e+00]]",[-0.2136399  -0.36259875],-0.114506129448
31,[-0.23042417 -0.61911404],-0.617186,"[-0.75322046 -0.59640591 -1.34028104  0.25688874 -0.06558282 -0.888876
 -0.85421601  0.49740136 -0.23805075  1.01332484  0.        ]",[ 0.49888267 -0.79302681],"[[ -8.26608834e+00  -2.99477829e+00  -8.78031845e-03  -1.05199419e-01]
 [ -1.78654705e+01   1.01159572e+00   0.00000000e+00   0.00000000e+00]]",[-0.2136399  -0.36259875],-0.119748055135
32,[-0.1398488  -0.57541466],-0.665091,"[-1.13577273 -0.59859047 -1.06884485  0.29248811 -0.06558272 -0.88887354
 -0.75829642  0.14926749 -0.19177183  1.03108582  0.        ]",[-0.83125167 -1.50114295],"[[ -8.60003260e+00  -3.00624967e+00  -8.78031845e-03  -1.05199419e-01]
 [ -1.55366982e+01  -1.51652881e+00   0.00000000e+00   0.00000000e+00]]",[-0.2136399  -0.36259875],-0.121944549143
33,[-0.14730269 -0.57146579],-0.622614,"[-1.41953209 -0.60043815 -0.6674729   0.32517881 -0.06558262 -0.88887108
 -0.88118041  0.36345926 -0.14446527  1.02808322  0.        ]",[ 0.27344001 -0.7868643 ],"[[ -8.94070124e+00  -3.01676800e+00  -8.78031845e-03  -1.05199419e-01]
 [ -1.85202368e+01   3.89205899e-02   0.00000000e+00   0.00000000e+00]]",[-0.2136399  -0.36259875],-0.121971900635
34,[-0.17188382 -0.56376404],-0.548527,"[-1.56622817 -0.59976914 -0.16381969  0.31305997 -0.06558252 -0.88886862
 -0.82148524  0.39247642 -0.10513897  1.01846457  0.        ]",[ 0.09545547  0.36585357],"[[ -9.29656487e+00  -3.01287065e+00  -8.78031845e-03  -1.05199419e-01]
 [ -1.70709598e+01   2.49645885e-01   0.00000000e+00   0.00000000e+00]]",[-0.2136399  -0.36259875],-0.121406616186
35,[-0.26771301 -0.58538288],-0.673847,"[-1.54842684 -0.59612453  0.33222507  0.25258465 -0.06558242 -0.88886616
 -0.79199409  0.59130476 -0.07112052  1.00981399  0.        ]",[-0.41842686 -1.35985109],"[[ -9.63080063e+00  -2.99339081e+00  -8.78031845e-03  -1.05199419e-01]
 [ -1.63549981e+01   1.69352769e+00   0.00000000e+00   0.00000000e+00]]",[-0.2136399  -0.36259875],-0.121083280603
36,[-0.187594   -0.52360785],-0.617066,"[-1.37721908 -0.59733666  0.80245362  0.27179047 -0.06558231 -0.8888637
 -0.84689904  0.04145089 -0.04401314  0.96517082  0.        ]",[ 0.07998611 -0.35584892],"[[ -9.97127568e+00  -2.99958320e+00  -8.78031845e-03  -1.05199419e-01]
 [ -1.76880789e+01  -2.29945538e+00   0.00000000e+00   0.00000000e+00]]",[-0.2136399  -0.36259875],-0.116479901511
37,[-0.29293627 -0.54543996],-0.653531,"[-1.06408912 -0.60109089  1.18984046  0.33749995 -0.06558221 -0.88886124
 -0.81942739  0.3548485  -0.04169596  0.90230964  0.        ]",[ 1.18834686 -0.74819913],"[[ -1.03183458e+01  -3.02072918e+00  -8.78031845e-03  -1.05199419e-01]
 [ -1.70211519e+01  -2.35924782e-02   0.00000000e+00   0.00000000e+00]]",[-0.2136399  -0.36259875],-0.109105164172
38,[-0.38033828 -0.56521666],-0.576005,"[-0.71234446 -0.60033557  1.41274331  0.32340549 -0.06558211 -0.88885878
 -0.64247018  0.40284625 -0.04075787  0.86565413  0.        ]",[-0.61599052  0.26233756],"[[ -1.06156629e+01  -3.01619856e+00  -8.78031845e-03  -1.05199419e-01]
 [ -1.27248817e+01   3.24966613e-01   0.00000000e+00   0.00000000e+00]]",[-0.2136399  -0.36259875],-0.104808562687
39,[-0.44510296 -0.5857836 ],-0.727231,"[-0.34443827 -0.5972865   1.51115086  0.27103912 -0.06558201 -0.88885632
 -0.7325439   0.54500267 -0.03867476  0.83406407  0.        ]",[ 0.56111565 -1.62492213],"[[ -1.08921026e+01  -2.99934162e+00  -8.78031845e-03  -1.05199419e-01]
 [ -1.49118016e+01   1.35729589e+00   0.00000000e+00   0.00000000e+00]]",[-0.2136399  -0.36259875],-0.101160313917
40,[-0.41185614 -0.56524277],-0.769771,"[ 0.02957201 -0.59856303  1.49773666  0.29218905 -0.06558191 -0.88885386
 -0.62888384  0.18950042 -0.06729788  0.80016276  0.        ]",[-1.73036336 -1.93285457],"[[ -1.11650880e+01  -3.00615470e+00  -8.78031845e-03  -1.05199419e-01]
 [ -1.23950992e+01  -1.22430989e+00   0.00000000e+00   0.00000000e+00]]",[-0.2136399  -0.36259875],-0.0962280326221
41,[-0.4433566  -0.58015674],-0.7083,"[ 0.40149171 -0.60005169  1.36751707  0.31829784 -0.06558181 -0.8888514
 -0.7818498   0.36327572 -0.09615029  0.77590944  0.        ]",[-0.93848321 -1.40329945],"[[ -1.14502523e+01  -3.01455647e+00  -8.78031845e-03  -1.05199419e-01]
 [ -1.61089633e+01   3.76249071e-02   0.00000000e+00   0.00000000e+00]]",[-0.2136399  -0.36259875],-0.0925313691546
42,[-0.44229057 -0.58769917],-0.625155,"[ 0.79443714 -0.59951608  1.05477843  0.30873715 -0.0655817  -0.88884895
 -0.92175658  0.38473994 -0.13377199  0.75698495  0.        ]",[ 0.18878778 -0.35847368],"[[ -1.18065129e+01  -3.01148117e+00  -8.78031845e-03  -1.05199419e-01]
 [ -1.95057818e+01   1.93499594e-01   0.00000000e+00   0.00000000e+00]]",[-0.2136399  -0.36259875],-0.089426463677
43,[-0.47057989 -0.60925883],-0.744913,"[ 1.07401187 -0.5987858   0.58196593  0.29605083 -0.0655816  -0.88884649
 -0.87506243  0.38348659 -0.17804659  0.75350076  0.        ]",[-1.16135239 -1.4703317 ],"[[ -1.21852546e+01  -3.00739850e+00  -8.78031845e-03  -1.05199419e-01]
 [ -1.83721667e+01   1.84402944e-01   0.00000000e+00   0.00000000e+00]]",[-0.2136399  -0.36259875],-0.0883878611677
44,[-0.44071457 -0.6080873 ],-0.76965,"[ 1.17232518 -0.59837266 -0.00648334  0.28905285 -0.0655815  -0.88884403
 -1.02315572  0.3667084  -0.22432907  0.77200627  0.        ]",[-0.34667447 -1.10048848],"[[ -1.25887737e+01  -3.00514554e+00  -8.78031845e-03  -1.05199419e-01]
 [ -2.19677558e+01   6.25674221e-02   0.00000000e+00   0.00000000e+00]]",[-0.2136399  -0.36259875],-0.0904394247974
