timestep,avg_action_dist,rewards,obs,actions,human_obs,logstd_action_dist,original_rewards
0,[ 0.07042661 -0.49671564],-1.63165,"[ 1.05082501  1.36175903 -0.06980503  0.28765704 -0.60599481  1.68789656
 -0.21750322  0.21347361  1.51839998 -1.47130436  0.        ]",[ 2.26671642 -0.04783582],"[[-0.03367218 -0.07548246 -0.069868    0.1900242 ]
 [-0.00104867 -0.00385419  0.          0.        ]]",[-0.07414937 -0.11946065],-0.346564421852
1,[ 0.06754769 -0.4977144 ],-1.56214,"[ 1.05157515  1.36154449 -0.0090319   0.2837998  -0.6059887   1.68784864
  0.15789495  0.18720191  1.52109744 -1.41379862  0.        ]",[-0.24511063 -0.67391928],"[[ 0.00599834 -0.0774746  -0.069868    0.1900242 ]
 [ 3.95492897 -0.19471809  0.          0.        ]]",[-0.07414937 -0.11946065],-0.34218218783
2,[ 0.07014211 -0.49643883],-1.54313,"[ 1.04770071  1.35805079  0.09596378  0.22462    -0.60598259  1.68780072
  0.05855639 -0.17949356  1.52069646 -1.33542302  0.        ]",[-0.57084939 -1.48210926],"[[ 0.07459388 -0.10809952 -0.069868    0.1900242 ]
 [ 2.90810622 -2.85889576  0.          0.        ]]",[-0.07414937 -0.11946065],-0.335896944203
3,[ 0.07661675 -0.49313983],-1.5464,"[ 1.04319877  1.33972188  0.14927298  0.04001517 -0.60597648  1.6877528
 -0.16105432 -0.71657267  1.51584703 -1.35852844  0.        ]",[-0.75893817  0.66581416],"[[ 0.10953662 -0.20442836 -0.069868    0.1900242 ]
 [ 0.59385819 -6.7609891   0.          0.        ]]",[-0.07414937 -0.11946065],-0.337089554935
4,[ 0.07111614 -0.49802014],-1.59098,"[ 1.04575319  1.30622502  0.12125985 -0.16144869 -0.60597036  1.68770489
 -0.44717722 -0.33511759  1.50311995 -1.46850715  0.        ]",[-0.00513841 -0.64173014],"[[ 0.09116187 -0.31184221 -0.069868    0.1900242 ]
 [-2.42129573 -3.98963744  0.          0.        ]]",[-0.07414937 -0.11946065],-0.344432795986
5,[ 0.07848984 -0.49288294],-1.64211,"[ 1.05024343  1.26077893  0.04766954 -0.35087059 -0.60596425  1.68765698
 -0.44447793 -0.67398559  1.47382615 -1.61652271  0.        ]",[ 0.18449851 -0.24036254],"[[ 0.04302113 -0.41633703 -0.069868    0.1900242 ]
 [-2.39289267 -6.45163917  0.          0.        ]]",[-0.07414937 -0.11946065],-0.353689410211
6,[ 0.08363161 -0.48783195],-1.69784,"[ 1.05151307  1.18264803 -0.01368911 -0.5864308  -0.60595814  1.68760908
 -0.37070435 -0.78743251  1.41896514 -1.76882341  0.        ]",[ 0.4070253  -0.71432719],"[[  2.96294269e-03  -5.53640121e-01  -6.98679958e-02   1.90024197e-01]
 [ -1.61552176e+00  -7.27592053e+00   0.00000000e+00   0.00000000e+00]]",[-0.07414937 -0.11946065],-0.361440581512
7,[ 0.09521602 -0.47508734],-1.70426,"[ 1.05138734  1.05703449 -0.03793809 -0.85458469 -0.60595203  1.68756118
 -0.2147914  -1.15697849  1.33957775 -1.89740937  0.        ]",[-0.72132017  0.16561125],"[[-0.01286324 -0.72609766 -0.069868    0.1900242 ]
 [ 0.02741382 -9.96087853  0.          0.        ]]",[-0.07414937 -0.11946065],-0.365406335087
8,[ 0.10081005 -0.46791413],-1.72592,"[ 1.05031531  0.88682487 -0.08097215 -1.10623665 -0.60594592  1.68751329
 -0.48572632 -1.03943287  1.2241305  -2.03006336  0.        ]",[ 0.00050479 -0.33682682],"[[-0.04095988 -0.9167479  -0.069868    0.1900242 ]
 [-2.82762478 -9.1070038   0.          0.        ]]",[-0.07414937 -0.11946065],-0.367462997642
9,[ 0.10878602 -0.45679668],-1.72268,"[ 1.04491503  0.68634705 -0.16652235 -1.3047119  -0.60593981  1.6874654
 -0.48024411 -1.19816608  1.06728572 -2.16091965  0.        ]",[-0.35675842 -0.30864256],"[[ -0.09693287  -1.11046026  -0.069868     0.1900242 ]
 [ -2.76990198 -10.26038692   0.           0.        ]]",[-0.07414937 -0.11946065],-0.367408921506
