timestep,avg_action_dist,rewards,obs,actions,human_obs,logstd_action_dist,original_rewards
0,[ 1.29119766 -0.81165326],-0.916795,"[ 1.11991661  1.81400777  0.09465302  0.77713616  0.58007175  1.31572545
 -0.13527186  0.32649326  0.76150199 -1.01114488  0.        ]",[ 1.37546666 -0.95568174],"[[ 0.04839919  0.05549346  0.06557747  0.14813954]
 [ 0.00291268 -0.00448462  0.          0.        ]]",[-0.13591351 -0.27511591],-0.195062093742
1,[ 1.27133989 -0.79124403],-0.917744,"[ 1.11616932  1.81575356  0.15453383  0.6775394   0.58006947  1.31571487
  0.10679234 -0.20186697  0.7594585  -0.97821409  0.        ]",[ 1.22273171 -0.97570398],"[[ 0.08816214  0.01742204  0.06557747  0.14813954]
 [ 3.96019998 -3.79003589  0.          0.        ]]",[-0.13591351 -0.27511591],-0.192063185802
2,[ 1.21141124 -0.77265179],-0.889356,"[ 1.09228733  1.81000558  0.33081769  0.37994986  0.58006718  1.31570429
  0.34406911 -0.73082553  0.74694161 -0.88183303  0.        ]",[ 1.13688615 -0.67030985],"[[ 0.20628553 -0.09640355  0.06557747  0.14813954]
 [ 7.83922414 -7.57988256  0.          0.        ]]",[-0.13591351 -0.27511591],-0.182822606837
3,[ 1.10065103 -0.76681727],-0.837139,"[ 1.01202878  1.76864886  0.61116238 -0.07425713  0.5800649   1.31569371
  0.57662721 -1.08051542  0.70440613 -0.71873164  0.        ]",[ 1.7810613   0.01137272],"[[  0.40121528  -0.27313966   0.06557747   0.14813954]
 [ 11.64111586 -10.08534739   0.           0.        ]]",[-0.13591351 -0.27511591],-0.165573021911
4,[ 0.90293378 -0.79047811],-0.709027,"[ 0.82225772  1.67627887  0.96071813 -0.55927528  0.58006262  1.31568313
  0.80453692 -1.04650759  0.59885433 -0.47395403  0.        ]",[ 0.1137878   0.58526695],"[[  0.67142022  -0.47240306   0.06557747   0.14813954]
 [ 15.36703523  -9.84173841   0.           0.        ]]",[-0.13591351 -0.27511591],-0.136569299733
5,[ 0.65503365 -0.82857919],-0.595118,"[ 0.51054319  1.56053311  1.27549145 -0.93989369  0.58006033  1.31567254
  0.81344775 -0.69578973  0.41212177 -0.19314005  0.        ]",[ 1.02579862 -0.09760822],"[[  0.98022297  -0.64402675   0.06557747   0.14813954]
 [ 15.51277396  -7.32897769   0.           0.        ]]",[-0.13591351 -0.27511591],-0.0982607330754
6,[ 0.46588597 -0.80740666],-0.475589,"[ 0.07551741  1.43560821  1.48656414 -1.23325705  0.58005805  1.31566196
  1.03671747 -0.72952747  0.1262964   0.07412882  0.        ]",[ 1.27886856 -0.10797444],"[[  1.32710027  -0.79303283   0.06557747   0.14813954]
 [ 19.16287145  -7.57072119   0.           0.        ]]",[-0.13591351 -0.27511591],-0.053460585178
7,[ 0.36232963 -0.74433625],-0.427473,"[-0.49779858  1.28550263  1.50797501 -1.49324399  0.58005577  1.31565138
  1.25559576 -0.76822756 -0.29179499  0.26660446  0.        ]",[-0.31287553  0.38483699],"[[  1.74625963  -0.94723082   0.06557747   0.14813954]
 [ 22.74123116  -7.84802006   0.           0.        ]]",[-0.13591351 -0.27511591],-0.0298353813239
8,[ 0.40188012 -0.67305845],-0.558955,"[-1.05070303  1.13371753  1.25597847 -1.68585661  0.58005348  1.3156408
  1.15237102 -0.53354323 -0.75947976  0.28522705  0.        ]",[-0.6550522  -0.71529444],"[[  2.1841546   -1.08732072   0.06557747   0.14813954]
 [ 21.053848    -6.16660242   0.           0.        ]]",[-0.13591351 -0.27511591],-0.0794482229483
9,[ 0.47794339 -0.61633271],-0.708465,"[-1.42037756  0.95780714  0.83176705 -1.84209198  0.5800512   1.31563022
  0.96843509 -0.91149095 -1.12149084  0.13478632  0.        ]",[-1.96118133  0.93361146],"[[  2.57506278  -1.23782117   0.06557747   0.14813954]
 [ 18.04696111  -8.87449666   0.           0.        ]]",[-0.13591351 -0.27511591],-0.125129810158
10,[ 0.48425525 -0.63230354],-0.788183,"[-1.59327222  0.78736073  0.3933994  -1.9365625   0.58004892  1.31561964
  0.70452251 -0.37071564 -1.3461635  -0.07321517  0.        ]",[ 1.51121905  0.76277144],"[[  2.89271556  -1.37643634   0.06557747   0.14813954]
 [ 13.73258045  -5.00004755   0.           0.        ]]",[-0.13591351 -0.27511591],-0.157099278888
11,[ 0.50542867 -0.63978744],-0.944715,"[-1.63301754  0.70092179 -0.07309733 -1.96518389  0.58004663  1.31560906
  0.92995036  0.06469362 -1.55309303 -0.33250471  0.        ]",[ 1.22338997 -0.59558604],"[[  3.20434362  -1.44513887   0.06557747   0.14813954]
 [ 17.41794317  -1.88050549   0.           0.        ]]",[-0.13591351 -0.27511591],-0.191670092819
12,[ 0.60560513 -0.62429333],-1.06123,"[-1.50004479  0.62366933 -0.63146159 -1.98030663  0.58004435  1.31559848
  1.15099113 -0.25913967 -1.71918251 -0.72248748  0.        ]",[ 0.39520376 -0.4868157 ],"[[  3.58895892  -1.50602883   0.06557747   0.14813954]
 [ 21.03163035  -4.20064605   0.           0.        ]]",[-0.13591351 -0.27511591],-0.230372385095
13,[ 0.69722283 -0.62243903],-1.13034,"[-1.13597758  0.49308383 -1.14145811 -1.98390307  0.58004207  1.3155879
  1.22126879 -0.51632016 -1.73131546 -1.16994028  0.        ]",[ 1.06429361 -1.63024825],"[[  4.02111968  -1.60852961   0.06557747   0.14813954]
 [ 22.18067179  -6.0432492    0.           0.        ]]",[-0.13591351 -0.27511591],-0.260297032545
14,[ 0.76777917 -0.61297703],-1.1885,"[-0.5476118   0.29154815 -1.45408574 -1.93505203  0.58003979  1.31557732
  1.43662127 -1.05200457 -1.56413542 -1.56815134  0.        ]",[ 0.52495062 -0.35971847],"[[  4.50005686  -1.76790378   0.06557747   0.14813954]
 [ 25.70145869  -9.88123967   0.           0.        ]]",[-0.13591351 -0.27511591],-0.275725845424
15,[ 0.80650938 -0.59795272],-1.26776,"[ 0.17326583  0.03654871 -1.41254361 -1.77184627  0.5800375   1.31556674
  1.53271162 -1.22311257 -1.25776091 -1.81565957  0.        ]",[ 1.83028827  0.70795322],"[[  5.02984928  -1.97782959   0.06557747   0.14813954]
 [ 27.27259249 -11.10721819   0.           0.        ]]",[-0.13591351 -0.27511591],-0.274123432731
16,[ 0.78856319 -0.59951669],-1.26244,"[ 0.8204555  -0.17731242 -0.92003788 -1.53022456  0.58003522  1.31555616
  1.74190121 -0.80074566 -0.89716136 -1.89142511  0.        ]",[ 0.77088311  0.050955  ],"[[  5.60961698  -2.1696135    0.06557747   0.14813954]
 [ 30.69277933  -8.08116701   0.           0.        ]]",[-0.13591351 -0.27511591],-0.259895975155
17,[ 0.7324127  -0.58152229],-1.1861,"[ 1.12068787 -0.33398858 -0.03148744 -1.27119005  0.58003294  1.31554558
  1.89147223 -0.74978385 -0.55577473 -1.78089364  0.        ]",[ 0.56980974 -0.46970366],"[[  6.24801032  -2.32757399   0.06557747   0.14813954]
 [ 33.13840995  -7.71607242   0.           0.        ]]",[-0.13591351 -0.27511591],-0.233103585565
18,[ 0.63804197 -0.54170334],-0.934456,"[ 0.84567854 -0.47924322  0.92753253 -0.93671838  0.58003065  1.315535
  1.98939397 -0.98758239 -0.36295402 -1.50144155  0.        ]",[ 0.08854583  0.23617531],"[[  6.92684503  -2.49898937   0.06557747   0.14813954]
 [ 34.73973911  -9.4198348    0.           0.        ]]",[-0.13591351 -0.27511591],-0.194403074253
19,[ 0.56736118 -0.51658821],-0.681615,"[ 0.06486085 -0.59786661  1.4894152  -0.54295609  0.58002837  1.31552443
  1.96881968 -0.83064482 -0.36791054 -1.21827586  0.        ]",[ 1.10554987 -0.76792534],"[[  7.61827048  -2.67610359   0.06557747   0.14813954]
 [ 34.4038436   -8.2954763    0.           0.        ]]",[-0.13591351 -0.27511591],-0.158943824397
