timestep,avg_action_dist,rewards,obs,actions,human_obs,logstd_action_dist,original_rewards
0,[ 2.31546855 -1.1359477 ],-1.17963,"[ 1.17265087  2.16256927 -0.00582162  0.83666937  1.40281751  1.66713845
 -0.10296718  0.36427874  0.14124393 -1.55659396  0.        ]",[ 2.57806925 -2.06412483],"[[ -1.74401305e-02   3.04554911e-02   1.61093594e-01   1.89372199e-01]
 [ -4.33194174e-03   1.15550847e-05   0.00000000e+00   0.00000000e+00]]",[-0.26213753 -0.37265551],-0.195881693911
1,[ 2.31953955 -1.13919067],-1.14807,"[ 1.17251778  2.16313204  0.05317833  0.70778422  1.40281194  1.66713001
  0.04727494 -0.17956567  0.14117657 -1.52353984  0.        ]",[ 1.43730259 -2.85550338],"[[ 0.02218004 -0.00928757  0.16109359  0.1893722 ]
 [ 3.95316659 -3.96111087  0.          0.        ]]",[-0.26213753 -0.37265551],-0.192060166243
2,[ 2.26586366 -1.16451716],-1.0686,"[ 1.15934099  2.15200305  0.22820574  0.32561167  1.40280636  1.66712157
  0.19454471 -0.71263653  0.13418266 -1.42529827  0.        ]",[ 0.18833607 -1.23676755],"[[ 0.14016457 -0.12746586  0.16109359  0.1893722 ]
 [ 7.83237153 -7.84376715  0.          0.        ]]",[-0.26213753 -0.37265551],-0.180483414828
3,[ 2.16625214 -1.19861364],-1.03684,"[ 1.11018854  2.09215958  0.46415872 -0.2900676   1.40280079  1.66711314
  0.2170052  -1.23496902  0.10798294 -1.32249948  0.        ]",[ 1.9353087  -0.54512189],"[[  0.30274804  -0.32251272   0.16109359   0.1893722 ]
 [  8.424005   -11.64822748   0.           0.        ]]",[-0.26213753 -0.37265551],-0.167697733749
4,[ 1.98030007 -1.23952138],-0.947713,"[ 0.99801418  1.94182558  0.74619727 -1.0254685   1.40279521  1.6671047
  0.36090079 -1.49980977  0.04683247 -1.20609523  0.        ]",[ 2.25141772 -0.77296125],"[[  0.50925694  -0.57483246   0.16109359   0.1893722 ]
 [ 12.21432884 -13.57725473   0.           0.        ]]",[-0.26213753 -0.37265551],-0.152145580635
5,[ 1.76558816 -1.23960507],-0.772578,"[ 0.76399344  1.66939679  1.07890318 -1.75022079  1.40278964  1.66709626
  0.50198197 -1.88319177 -0.07854736 -1.03554005  0.        ]",[ 1.48716996 -1.43576944],"[[  0.79082807  -0.87439644   0.16109359   0.1893722 ]
 [ 15.93052271 -16.36972323   0.           0.        ]]",[-0.26213753 -0.37265551],-0.128848104528
6,[ 1.56179333 -1.16542304],-0.616714,"[ 0.36289094  1.2355762   1.37702342 -2.32771681  1.40278406  1.66708783
  0.64031383 -2.38228228 -0.29221227 -0.87588762  0.        ]",[ 1.22768239 -1.82898278],"[[  1.14599607  -1.23826696   0.16109359   0.1893722 ]
 [ 19.57430365 -20.0050454    0.           0.        ]]",[-0.26213753 -0.37265551],-0.108888720698
7,[ 1.40811038 -1.01074612],-0.629206,"[-0.20843979  0.64402638  1.5093747  -2.48806783  1.40277849  1.66707939
  0.77594786 -2.87132659 -0.59634369 -0.80926471  0.        ]",[ 1.3946189  -2.18696664],"[[  1.57332662  -1.6741112    0.16109359   0.1893722 ]
 [ 23.14703142 -23.56732126   0.           0.        ]]",[-0.26213753 -0.37265551],-0.113058183716
8,[ 1.35441709 -0.79781103],-0.823694,"[ -8.66249128e-01  -2.48738748e-03   1.32662524e+00  -1.92099907e+00
   1.40277292e+00   1.66707096e+00   9.08930586e-01  -3.35054117e+00
  -9.46449601e-01  -9.19600495e-01   0.00000000e+00]",[ 0.24503929  0.11687403],"[[  2.07141201  -2.1804835    0.16109359   0.1893722 ]
 [ 26.64993472 -27.05817551   0.           0.        ]]",[-0.26213753 -0.37265551],-0.151186526038
9,[ 1.44342041 -0.64407587],-1.18418,"[-1.39182422 -0.46568479  0.77648405 -0.61405963  1.40276734  1.66706252
  0.92580444 -3.21314127 -1.22508675 -1.22313255  0.        ]",[ 2.79545505 -0.48511394],"[[  2.60887259  -2.71160731   0.16109359   0.1893722 ]
 [ 27.09446263 -26.05773722   0.           0.        ]]",[-0.26213753 -0.37265551],-0.203600442042
