timestep,avg_action_dist,rewards,obs,actions,human_obs,logstd_action_dist,original_rewards
0,[-2.24848104 -1.90138435],-2.83071,"[ 1.19225793  2.33404501  0.01019985  1.00741235 -0.505373   -1.28261129
 -0.06446459  0.36956483  1.79295132  1.35878898  0.        ]",[-2.99982969 -2.14108658],"[[-0.00191123  0.05964967 -0.05953068 -0.14847759]
 [ 0.00232369  0.00057717  0.          0.        ]]",[-0.39856794 -0.38625142],-0.310579516041
1,[-2.02592516 -1.82341862],-2.66904,"[ 1.19106957  2.33630385 -0.04853415  0.86445981 -0.50537249 -1.28260856
 -0.1822574  -0.16170036  1.79347745  1.25100098  0.        ]",[-2.31185626 -1.34212015],"[[-0.0415403   0.01994869 -0.05953068 -0.14847759]
 [-3.95206702 -3.95748969  0.          0.        ]]",[-0.39856794 -0.38625142],-0.304528849195
2,[-1.81005347 -1.77780271],-2.40447,"[ 1.17477363  2.32966138 -0.22239086  0.43950894 -0.50537198 -1.28260583
 -0.29772193 -0.68245033  1.75796277  0.93326309  0.        ]",[-1.97671832 -2.05061831],"[[-0.15947279 -0.09812767 -0.05953068 -0.14847759]
 [-7.82829625 -7.83721735  0.          0.        ]]",[-0.39856794 -0.38625142],-0.284548135317
3,[-1.56068468 -1.71220434],-2.0329,"[ 1.10674593  2.2752811  -0.50112008 -0.24838992 -0.50537147 -1.2826031
 -0.41091165 -1.19288495  1.58321214  0.44783289  0.        ]",[-1.46075147 -1.67857665],"[[ -0.35416296  -0.29302775  -0.05953068  -0.14847759]
 [-11.62816007 -11.64010272   0.           0.        ]]",[-0.39856794 -0.38625142],-0.245713350567
4,[-1.3117485  -1.61198628],-1.57538,"[ 0.932526    2.11447858 -0.85332025 -1.13155848 -0.50537096 -1.28260037
 -0.52189081 -1.69318877  1.1436105  -0.05751655  0.        ]",[-0.84370521 -1.45453295],"[[ -0.62410439  -0.56322878  -0.05953068  -0.14847759]
 [-15.35381658 -15.36753421   0.           0.        ]]",[-0.39856794 -0.38625142],-0.182231618293
5,[-1.17610967 -1.47345519],-0.872062,"[ 0.6028187   1.78435464 -1.20283779 -2.04650271 -0.50537045 -1.28259764
 -0.61231428 -2.18356408  0.42096846 -0.28463669  0.        ]",[-1.28504611  0.13398211],"[[ -0.96163353  -0.907237    -0.05953068  -0.14847759]
 [-18.38940903 -19.02103755   0.           0.        ]]",[-0.39856794 -0.38625142],-0.0928867934151
6,[-1.03977549 -1.30360126],-0.698993,"[ 0.09533752  1.31306016 -1.43837506 -2.65836856 -0.50536994 -1.28259491
 -0.71947359 -2.06146107 -0.32989637  0.0278755   0.        ]",[-1.69082041 -1.13276227],"[[ -1.36551331  -1.27853203  -0.05953068  -0.14847759]
 [-21.98683825 -18.11139945   0.           0.        ]]",[-0.39856794 -0.38625142],-0.0168561078614
7,[-0.81176865 -1.05525231],-0.919381,"[-0.55279276  0.74661567 -1.41585193 -2.79091916 -0.50536942 -1.28259218
 -0.82454807 -2.54436718 -0.72093513  0.83036888  0.        ]",[-0.11562766 -0.28753411],"[[ -1.84063685  -1.6768599   -0.05953068  -0.14847759]
 [-25.51428523 -21.70931405   0.           0.        ]]",[-0.39856794 -0.38625142],-0.115648100171
8,[-0.85494924 -0.88341606],-1.31724,"[-1.15418699  0.15061045 -1.04120925 -2.28470623 -0.50536891 -1.28258945
 -0.82333189 -2.63912103 -0.48259055  1.60940181  0.        ]",[-1.65108105 -0.79198303],"[[ -2.3505144   -2.11812979  -0.05953068  -0.14847759]
 [-25.47349467 -22.41538883   0.           0.        ]]",[-0.39856794 -0.38625142],-0.1878600964
9,[-0.70004898 -0.57810664],-1.56455,"[-1.52149243 -0.32825053 -0.34927421 -1.08541536 -0.5053684  -1.28258672
 -0.92640087 -3.00013085  0.08810784  1.7662739   0.        ]",[ 0.97292397 -1.76852972],"[[ -2.89470199  -2.59342434  -0.05953068  -0.14847759]
 [-28.93362326 -25.10522882   0.           0.        ]]",[-0.39856794 -0.38625142],-0.206400782248
10,[-0.28535402 -0.28527042],-1.61901,"[-1.50674782 -0.53881272  0.43331632  0.75172757 -0.50536789 -1.28258399
 -0.7946664  -2.71641465  0.30981633  1.29253302  0.        ]",[-0.95363409 -0.12828347],"[[ -3.42901409  -3.13025638  -0.05953068  -0.14847759]
 [-24.51126058 -22.99155845   0.           0.        ]]",[-0.39856794 -0.38625142],-0.162444742917
11,[-0.8071788  -0.40095371],-1.63802,"[-1.13482269 -0.52808301  1.08748953  1.23389909 -0.50536738 -1.28258126
 -0.89264612  0.6838798   0.20291641  1.16463231  0.        ]",[-2.00181421 -0.40571346],"[[ -3.95223799  -3.26436315  -0.05953068  -0.14847759]
 [-27.80053556   2.34222414   0.           0.        ]]",[-0.39856794 -0.38625142],-0.142836013983
12,[-0.9911387  -0.42651311],-1.71471,"[-0.41851069 -0.53797604  1.47422708  0.92203246 -0.50536687 -1.28257852
 -0.99418952  1.0161525   0.21759702  1.21724696  0.        ]",[-0.23794512  0.00220548],"[[ -4.54245086  -3.17752325  -0.05953068  -0.14847759]
 [-31.20945446   4.81782176   0.           0.        ]]",[-0.39856794 -0.38625142],-0.149310855787
13,[-1.11679578 -0.4925943 ],-1.71591,"[ 0.42307054 -0.53635443  1.34311147  0.57807759 -0.50536636 -1.28257579
 -1.00384661  1.00452576  0.24753292  1.20706481  0.        ]",[ 0.04022679 -0.04319066],"[[ -5.16989342  -3.08203652  -0.05953068  -0.14847759]
 [-31.53370249   4.73120926   0.           0.        ]]",[-0.39856794 -0.38625142],-0.149803938508
14,[-1.18104434 -0.61305219],-1.84443,"[ 1.02983083 -0.52242861  0.71138746  0.24859237 -0.50536585 -1.28257306
 -0.98050211  0.96906236  0.2369164   1.14691641  0.        ]",[-1.40525191 -1.64613013],"[[ -5.79270516  -2.99006382  -0.05953068  -0.14847759]
 [-30.75006714   4.46700184   0.           0.        ]]",[-0.39856794 -0.38625142],-0.142768907739
15,[-0.92439318 -0.60404736],-1.64832,"[ 1.17506602 -0.51016918 -0.22043444  0.07570462 -0.50536534 -1.28257033
 -1.08030782  0.42582961  0.15334975  1.1331573   0.        ]",[-1.11002042 -0.42231019],"[[ -6.44132389  -2.94133265  -0.05953068  -0.14847759]
 [-34.10066057   0.41966975   0.           0.        ]]",[-0.39856794 -0.38625142],-0.136927621975
16,[-0.74192905 -0.63648582],-1.52877,"[ 0.69963871 -0.51253724 -1.12307395  0.1056014  -0.50536483 -1.2825676
 -1.17813835  0.20040384  0.07879012  1.24389834  0.        ]",[-0.49039882  0.50624936],"[[ -7.15628936  -2.94979073  -0.05953068  -0.14847759]
 [-37.38495956  -1.25985406   0.           0.        ]]",[-0.39856794 -0.38625142],-0.146235975376
17,[-0.7372126  -0.69262588],-1.53615,"[-0.27095848 -0.51384231 -1.4666466   0.12267352 -0.50536432 -1.28256487
 -1.21392528  0.47294892  0.08837488  1.38578176  0.        ]",[-1.56838018 -0.57279706],"[[ -7.91604348  -2.95461434  -0.05953068  -0.14847759]
 [-38.58642709   0.77073328   0.           0.        ]]",[-0.39856794 -0.38625142],-0.162711496177
