timestep,avg_action_dist,rewards,obs,actions,human_obs,logstd_action_dist,original_rewards
0,[ 1.11713767 -1.24954772],-1.36795,"[ 1.18585525  2.23719418  0.01879363  1.03474484  0.31894804  0.53963879
 -0.09274628  0.36688893  1.06676132 -0.40672336  0.        ]",[ 1.21691779 -2.22448648],"[[-0.00081724  0.0804141   0.03663206  0.06068632]
 [-0.00434928  0.00444924  0.          0.        ]]",[-0.32870391 -0.35749659],-0.180671091023
1,[ 1.08468366 -1.25674868],-1.3592,"[ 1.18481651  2.24054957  0.07765371  0.89973589  0.31894767  0.53963804
  0.04161098 -0.17087581  1.06620847 -0.37346395  0.        ]",[ 0.2054067  -2.24018956],"[[ 0.0388026   0.04075893  0.03663206  0.06068632]
 [ 3.95315029 -3.95676038  0.          0.        ]]",[-0.32870391 -0.35749659],-0.179499989877
2,[ 0.97051114 -1.29464388],-1.3467,"[ 1.17506671  2.23750746  0.20564009  0.49726431  0.31894729  0.5396373
  0.06659401 -0.69782382  1.06262921 -0.33021797  0.        ]",[ 0.16369868 -1.00297413],"[[ 0.12524892 -0.07732102  0.03663206  0.06068632]
 [ 4.68902754 -7.83829608  0.          0.        ]]",[-0.32870391 -0.35749659],-0.177719527431
3,[ 0.76672047 -1.36824131],-1.47018,"[ 1.15126932  2.18998956  0.35097775 -0.15650658  0.31894692  0.53963656
  0.08548002 -1.21432548  1.04993017 -0.33634528  0.        ]",[ 2.08899292 -1.88839688],"[[  0.22461101  -0.2722598    0.03663206   0.06068632]
 [  5.2453174  -11.64289684   0.           0.        ]]",[-0.32870391 -0.35749659],-0.176223294364
4,[ 0.43190348 -1.46650767],-1.39739,"[ 1.09359312  2.04012622  0.55484451 -1.00042421  0.31894654  0.53963581
  0.21631254 -1.72075134  1.0077831  -0.33741447  0.        ]",[-0.54893716 -1.24762967],"[[  0.36818209  -0.54254665   0.03663206   0.06068632]
 [  9.09898896 -15.37331061   0.           0.        ]]",[-0.32870391 -0.35749659],-0.170708030143
5,[ 0.15290818 -1.4903264 ],-1.37778,"[ 0.9993647   1.72516287  0.76683323 -1.8827      0.31894617  0.53963507
  0.13650857 -2.21683186  0.91784747 -0.38287283  0.        ]",[-0.28741199 -0.39800224],"[[  0.52657893  -0.88667705   0.03663206   0.06068632]
 [  6.74837431 -19.02757719   0.           0.        ]]",[-0.32870391 -0.35749659],-0.160489174673
6,[-0.02812733 -1.44302702],-1.29721,"[ 0.90614475  1.2415634   0.91788053 -2.50630237  0.31894579  0.53963432
  0.0933587  -2.37955101  0.76445504 -0.51676485  0.        ]",[-0.05294062 -0.62039892],"[[  0.64879557  -1.27925562   0.03663206   0.06068632]
 [  5.47740274 -20.22630746   0.           0.        ]]",[-0.32870391 -0.35749659],-0.147096969598
7,[ 0.07223368 -1.24961448],-1.11695,"[ 0.8116538   0.65118564  1.03849683 -2.6198148   0.31894542  0.53963358
  0.08254629 -2.65863005  0.53164626 -0.65520827  0.        ]",[ 0.33186529 -0.92507855],"[[  0.75514931  -1.70440925   0.03663206   0.06068632]
 [  5.1589274  -22.28221068   0.           0.        ]]",[-0.32870391 -0.35749659],-0.129235463801
8,[ 0.41114265 -0.89322704],-0.838014,"[ 0.69642908  0.03231155  1.15624032 -2.03193484  0.31894504  0.53963283
  0.12364678 -3.09596783  0.20624138 -0.73073858  0.        ]",[ 1.06532784 -1.28933148],"[[  0.87047447  -2.18237878   0.03663206   0.06068632]
 [  6.36953911 -25.50397931   0.           0.        ]]",[-0.32870391 -0.35749659],-0.106461147286
9,[ 0.78362834 -0.48023519],-0.597418,"[ 0.51050478 -0.44651565  1.29873809 -0.61286554  0.31894467  0.53963209
  0.25374537 -3.56487928 -0.19692606 -0.67428121  0.        ]",[-0.56770631 -1.01393378],"[[  1.03631154  -2.72711909   0.03663206   0.06068632]
 [ 10.20157424 -28.9584838    0.           0.        ]]",[-0.32870391 -0.35749659],-0.08385053808
10,[ 0.84989858 -0.41329527],-0.605262,"[ 0.28780646 -0.5645518   1.41331188  0.87593831  0.31894429  0.53963135
  0.17060563 -0.63101358 -0.54173603 -0.53927988  0.        ]",[-0.24589908 -0.43107842],"[[ 1.21576825 -3.17536802  0.03663206  0.06068632]
 [ 7.75271845 -7.34662627  0.          0.        ]]",[-0.32870391 -0.35749659],-0.0817871211413
11,[ 0.65978807 -0.47135928],-0.448289,"[ 0.09796855 -0.56413872  1.47293597  0.90251935  0.31894391  0.5396306
  0.13235725  0.79671365 -0.52704317 -0.55166256  0.        ]",[ 0.97786526 -0.22937322],"[[ 1.35952067 -3.18316692  0.03663206  0.06068632]
 [ 6.6261271   3.17050736  0.          0.        ]]",[-0.32870391 -0.35749659],-0.0819272317693
12,[ 0.53342319 -0.50808102],-0.422527,"[-0.13397304 -0.56471948  1.50471048  0.65846465  0.31894354  0.53962986
  0.25934867  0.82392243 -0.45429375 -0.56429882  0.        ]",[ 1.46715854 -0.02070183],"[[  1.52957321  -3.11160061   0.03663206   0.06068632]
 [ 10.36662994   3.37094728   0.           0.        ]]",[-0.32870391 -0.35749659],-0.0784498207991
13,[ 0.42007166 -0.5362227 ],-0.435911,"[-0.46926984 -0.5588981   1.47522221  0.43406911  0.31894316  0.53962911
  0.38679986  0.80376228 -0.38464356 -0.53982511  0.        ]",[-0.16098283 -0.47635847],"[[  1.77457144  -3.04567168   0.03663206   0.06068632]
 [ 14.12067665   3.22245127   0.           0.        ]]",[-0.32870391 -0.35749659],-0.0721040859587
14,[ 0.41282398 -0.52355283],-0.509639,"[-0.82267887 -0.55145889  1.34010097  0.28205236  0.31894279  0.53962837
  0.35566556  0.53905401 -0.34370723 -0.48653676  0.        ]",[ 0.85330309 -1.62976621],"[[  2.04778399  -3.00078692   0.03663206   0.06068632]
 [ 13.20363944   1.27252798   0.           0.        ]]",[-0.32870391 -0.35749659],-0.0643311720445
15,[ 0.44306064 -0.51662576],-0.492786,"[-1.15126249 -0.55214925  1.08436353  0.29405546  0.31894241  0.53962762
  0.4614888   0.25145279 -0.34549671 -0.43952654  0.        ]",[ 0.07567306 -0.6914443 ],"[[  2.34313025  -3.00434027   0.03663206   0.06068632]
 [ 16.32063975  -0.8460342    0.           0.        ]]",[-0.32870391 -0.35749659],-0.0590859287441
16,[ 0.46177405 -0.53314596],-0.47846,"[-1.41654895 -0.55323577  0.69598257  0.31360341  0.31894204  0.53962688
  0.46069254  0.37004681 -0.36723699 -0.40654599  0.        ]",[-0.53983523 -0.26217203],"[[  2.66930804  -3.01012341   0.03663206   0.06068632]
 [ 16.29720386   0.02757046   0.           0.        ]]",[-0.32870391 -0.35749659],-0.0564743641459
17,[ 0.49726623 -0.56496239],-0.465935,"[-1.54714976 -0.55275032  0.27287453  0.30478367  0.31894166  0.53962613
  0.37717404  0.38888256 -0.39092968 -0.37072898  0.        ]",[ 0.5252053   0.84540537],"[[  2.97057029  -3.00751486   0.03663206   0.06068632]
 [ 13.83721619   0.16632394   0.           0.        ]]",[-0.32870391 -0.35749659],-0.0540077077997
18,[ 0.46501392 -0.62886703],-0.533223,"[-1.55668423 -0.5448856  -0.1635775   0.18044841  0.31894129  0.53962539
  0.43847525  0.84289159 -0.4303521  -0.31470856  0.        ]",[ 1.18672132  0.07699199],"[[  3.26543111  -2.97063323   0.03663206   0.06068632]
 [ 15.64283179   3.51070417   0.           0.        ]]",[-0.32870391 -0.35749659],-0.0512307754507
