timestep,avg_action_dist,rewards,obs,actions,human_obs,logstd_action_dist,original_rewards
0,[ 0.30536661 -0.50734526],-0.740296,"[ 1.05867172  1.46731916  0.09495083  0.57350235  1.49465582  0.98456771
 -0.18288138  0.25078208 -0.03715101 -0.66838843  0.        ]",[ 0.64303809 -1.15773772],"[[ 0.06012808  0.03656564  0.1737167   0.11083119]
 [ 0.00131616  0.00459475  0.          0.        ]]",[-0.05472111 -0.1390073 ],-0.100700675433
1,[ 0.30956846 -0.50517267],-0.671854,"[ 1.05606896  1.4681013   0.13398185  0.49073791  1.49462731  0.98455627
  0.04977888 -0.2989218  -0.03746162 -0.66103925  0.        ]",[ 1.41059088  0.55990101],"[[  8.56920927e-02  -3.08114751e-03   1.73716700e-01   1.10831193e-01]
 [  2.54660503e+00  -3.95607066e+00   0.00000000e+00   0.00000000e+00]]",[-0.05472111 -0.1390073 ],-0.099743057027
2,[ 0.29816389 -0.50766218],-0.661831,"[ 1.03972504  1.46594418  0.27070726  0.37366182  1.49459879  0.98454483
  0.40669318  0.01943772 -0.04757946 -0.56872857  0.        ]",[ 0.00960588 -1.02847022],"[[ 0.17580039 -0.05918829  0.1737167   0.11083119]
 [ 6.45122814 -1.66228148  0.          0.        ]]",[-0.05472111 -0.1390073 ],-0.0874278762564
3,[ 0.29724944 -0.50724173],-0.567957,"[ 0.99740718  1.45747032  0.46113457  0.22271376  1.49457029  0.9845334
  0.39863995 -0.52554613 -0.07324763 -0.43381902  0.        ]",[ 1.1682332   0.79777505],"[[ 0.30394134 -0.13183108  0.1737167   0.11083119]
 [ 6.36315714 -5.5889092   0.          0.        ]]",[-0.05472111 -0.1390073 ],-0.0689650448811
4,[ 0.26865429 -0.5151605 ],-0.542066,"[ 0.91058936  1.44102459  0.69577008  0.06024879  1.49454178  0.98452196
  0.74862504 -0.07195599 -0.127438   -0.2540494   0.        ]",[ 0.21040309  0.56658691],"[[  0.4696201   -0.21081962   0.1737167    0.11083119]
 [ 10.19198262  -2.32081709   0.           0.        ]]",[-0.05472111 -0.1390073 ],-0.0433131759266
5,[ 0.24055305 -0.51940119],-0.558313,"[ 0.75201145  1.43468735  0.96532241  0.01250054  1.49451327  0.98451052
  0.8061956   0.24577921 -0.24839022  0.01495973  0.        ]",[ 0.71343471 -0.75650365],"[[  0.67977967  -0.23426707   0.1737167    0.11083119]
 [ 10.82187446  -0.03155262   0.           0.        ]]",[-0.05472111 -0.1390073 ],-0.00336652340334
6,[ 0.2367249  -0.51199293],-0.572429,"[ 0.51031628  1.42541698  1.22316571 -0.04958494  1.49448477  0.98449909
  1.04471059 -0.17000201 -0.44196372  0.28252859  0.        ]",[ 0.80413901 -0.64139456],"[[  0.92239818  -0.26495472   0.1737167    0.11083119]
 [ 13.43129819  -3.02720955   0.           0.        ]]",[-0.05472111 -0.1390073 ],-0.0446321434543
7,[ 0.23194213 -0.50482607],-0.728274,"[ 0.14800961  1.39384911  1.44075893 -0.21953466  1.49445626  0.98448765
  1.31129193 -0.51428622 -0.71810048  0.50922689  0.        ]",[-0.54405998 -1.17670285],"[[  1.22028653  -0.35038733   0.1737167    0.11083119]
 [ 16.34785003  -5.50774592   0.           0.        ]]",[-0.05472111 -0.1390073 ],-0.0958847279508
8,[ 0.24665943 -0.48994723],-0.796037,"[-0.2622554   1.31912181  1.53202296 -0.50230183  1.49442776  0.98447622
  1.08513344 -1.04853309 -1.00075928  0.62464418  0.        ]",[ 1.93474354  0.46590939],"[[  1.52242152  -0.49916279   0.1737167    0.11083119]
 [ 13.87388435  -9.3569798    0.           0.        ]]",[-0.05472111 -0.1390073 ],-0.139080791609
9,[ 0.23122294 -0.48592821],-0.997661,"[-0.69511292  1.20733345  1.47992717 -0.79275104  1.49439926  0.98446478
  1.42163037 -0.76685756 -1.29896302  0.65382171  0.        ]",[-1.24005106  0.08909107],"[[  1.83683588  -0.66594199   0.1737167    0.11083119]
 [ 17.55535878  -7.32761532   0.           0.        ]]",[-0.05472111 -0.1390073 ],-0.179635367792
