timestep,avg_action_dist,rewards,obs,actions,human_obs,logstd_action_dist,original_rewards
0,[-2.26120329 -1.82382214],-2.40147,"[ 1.18803279  2.30013922  0.08417501  0.52179925 -0.21108751 -1.44360606
 -0.07796224  0.36863925  1.53238503  1.47274266  0.        ]",[-2.06783867 -1.21964163],"[[ 0.04589929 -0.07356524 -0.02500618 -0.16793275]
 [ 0.0020872  -0.00029873  0.          0.        ]]",[-0.37368715 -0.3843438 ],-0.28962303918
1,[-2.05739522 -1.76276088],-2.29338,"[ 1.18945352  2.29484361  0.02537551  0.3819535  -0.21108731 -1.4436021
 -0.20049434 -0.16490444  1.52880723  1.36575356  0.        ]",[-1.36432877 -1.48731959],"[[ 0.00626545 -0.11328357 -0.02500618 -0.16793275]
 [-3.95231486 -3.95834751  0.          0.        ]]",[-0.37368715 -0.3843438 ],-0.281997752592
2,[-1.84369254 -1.71413052],-2.03636,"[ 1.18090034  2.26597398 -0.14932037 -0.02926797 -0.21108712 -1.44359814
 -0.32060693 -0.68788659  1.48150266  1.0529772   0.        ]",[-2.2790724  -2.26872252],"[[-0.11167271 -0.23137684 -0.02500618 -0.16793275]
 [-7.82863451 -7.83804854  0.          0.        ]]",[-0.37368715 -0.3843438 ],-0.257533206501
3,[-1.58384085 -1.64997935],-1.66134,"[ 1.12535105  2.17635333 -0.43155087 -0.68063806 -0.21108692 -1.44359417
 -0.43835771 -1.20050683  1.29045298  0.58331195  0.        ]",[-1.31378885 -1.05550142],"[[ -0.30637172  -0.42629315  -0.02500618  -0.16793275]
 [-11.62873494 -11.64089168   0.           0.        ]]",[-0.37368715 -0.3843438 ],-0.212077472848
4,[-1.24357891 -1.52612233],-1.09001,"[ 0.96703383  1.97185342 -0.79272009 -1.48713689 -0.21108672 -1.44359021
 -0.55381458 -1.70295027  0.83979509  0.11090275  0.        ]",[-2.70437104 -1.35255956],"[[ -0.57632852  -0.69650939  -0.02500618  -0.16793275]
 [-15.35480886 -15.36826508   0.           0.        ]]",[-0.37368715 -0.3843438 ],-0.141392837279
5,[-0.98239726 -1.35619926],-0.565058,"[ 0.64656244  1.59924624 -1.1648077  -2.26916265 -0.21108653 -1.44358625
 -0.66705464 -2.19538978  0.12018495 -0.07215671  0.        ]",[-0.89843474 -0.80793416],"[[ -0.92008717  -1.04052931  -0.02500618  -0.16793275]
 [-19.00934598 -19.02147203   0.           0.        ]]",[-0.37368715 -0.3843438 ],-0.0457820595904
6,[-0.75784618 -1.16588843],-0.578091,"[ 0.13784039  1.0509841  -1.42604601 -2.72872218 -0.21108633 -1.44358228
 -0.76569916 -2.57550503 -0.60473701  0.31124226  0.        ]",[-0.62355865 -1.5146262 ],"[[ -1.33221025  -1.4492535   -0.02500618  -0.16793275]
 [-22.19285787 -21.84146557   0.           0.        ]]",[-0.37368715 -0.3843438 ],-0.0630296311446
7,[-0.68759161 -1.04878163],-0.966545,"[-0.49576032  0.38832637 -1.43044613 -2.53959514 -0.21108613 -1.44357832
 -0.82876362 -3.05058379 -0.86563396  1.14268094  0.        ]",[-1.10004871 -1.87448691],"[[ -1.79648419e+00  -1.92144609e+00  -2.50061844e-02  -1.67932754e-01]
 [ -2.42281273e+01  -2.53660361e+01   0.00000000e+00   0.00000000e+00]]",[-0.37368715 -0.3843438 ],-0.158227452373
8,[-0.55702543 -0.7355684 ],-1.16798,"[-1.1214523  -0.23222154 -1.07467645 -1.43694839 -0.21108594 -1.44357436
 -0.93678975 -3.51625189 -0.46531478  1.76600875  0.        ]",[-0.66063869 -0.81047809],"[[ -2.31602579e+00  -2.46342976e+00  -2.50061844e-02  -1.67932754e-01]
 [ -2.77144177e+01  -2.88209220e+01   0.00000000e+00   0.00000000e+00]]",[-0.37368715 -0.3843438 ],-0.207243846348
9,[-0.24371994 -0.38087559],-1.34261,"[-1.52169656 -0.54368084 -0.35180474  0.5157403  -0.21108574 -1.4435704
 -1.00095639 -3.09987336  0.03562235  1.54768898  0.        ]",[-0.77532946 -0.04629804],"[[ -2.89110332e+00  -3.06630623e+00  -2.50061844e-02  -1.67932754e-01]
 [ -2.97852735e+01  -2.57321888e+01   0.00000000e+00   0.00000000e+00]]",[-0.37368715 -0.3843438 ],-0.181259467335
