timestep,avg_action_dist,rewards,obs,actions,human_obs,logstd_action_dist,original_rewards
0,[-0.34067354 -0.94687772],-0.991197,"[ 1.08231944  1.63397921  0.13064068  0.5259492   0.81917547 -0.57218142
 -0.16911023  0.29421482  0.52941717  0.6442708   0.        ]",[ 0.68736637 -1.83547044],"[[ 0.0775083  -0.01853852  0.09418991 -0.06620502]
 [ 0.00327531 -0.00469376  0.          0.        ]]",[-0.09015762 -0.21132401],-0.140597083492
1,[-0.32253137 -0.92396522],-0.979062,"[ 1.07886392  1.63206048  0.17214326  0.43297902  0.8191697  -0.57217822
  0.04560344 -0.25972633  0.52820932  0.65459948  0.        ]",[-0.43174343 -1.51277468],"[[ 0.10487052 -0.05836991  0.09418991 -0.06620502]
 [ 2.72388319 -3.96524254  0.          0.        ]]",[-0.09015762 -0.21132401],-0.141232169709
2,[-0.29460561 -0.9036929 ],-0.903363,"[ 1.07259392  1.6149067   0.22779143  0.15884635  0.81916394 -0.57217502
 -0.09332331 -0.80245549  0.52547326  0.61419276  0.        ]",[ 2.0181114 -0.7181976],"[[ 0.14168654 -0.17660808  0.09418991 -0.06620502]
 [ 0.96356516 -7.84564462  0.          0.        ]]",[-0.09015762 -0.21132401],-0.13789871509
3,[-0.3434175  -0.90425509],-0.87581,"[ 1.05874751  1.55462648  0.31600548 -0.25475376  0.81915817 -0.57217182
  0.2174602  -1.17867176  0.50952601  0.5539026   0.        ]",[ 1.20317581 -1.55310055],"[[  0.20046758  -0.36051002   0.09418991  -0.06620502]
 [  4.90143652 -10.53556695   0.           0.        ]]",[-0.09015762 -0.21132401],-0.131674727926
4,[-0.40864408 -0.89345145],-0.778317,"[ 1.00854109  1.41187731  0.51667979 -0.76676318  0.8191524  -0.57216862
  0.52213845 -1.70346222  0.46686841  0.56298166  0.        ]",[-0.44657072 -0.00878235],"[[  0.33722973  -0.60886994   0.09418991  -0.06620502]
 [  8.76195743 -14.28787331   0.           0.        ]]",[-0.09015762 -0.21132401],-0.127025402509
5,[-0.46563017 -0.89784843],-0.72444,"[ 0.92174316  1.17377198  0.73357951 -1.24905259  0.81914664 -0.57216542
  0.36901597 -1.66862172  0.39263748  0.57068116  0.        ]",[ 0.0026644  -0.68100455],"[[  0.49300335  -0.89212978   0.09418991  -0.06620502]
 [  6.82181735 -14.03896161   0.           0.        ]]",[-0.09015762 -0.21132401],-0.118677457466
6,[-0.42447132 -0.84606415],-0.673249,"[ 0.82240635  0.84883235  0.90784911 -1.60549485  0.81914087 -0.57216222
  0.35924017 -2.00681782  0.28447724  0.53195552  0.        ]",[-2.55551276 -1.49593922],"[[  0.62819773  -1.19717313   0.09418991  -0.06620502]
 [  6.6979736  -16.45731131   0.           0.        ]]",[-0.09015762 -0.21132401],-0.103055804795
7,[-0.26523656 -0.73940766],-0.501373,"[ 0.74215663  0.40741171  1.01834058 -1.76654227  0.8191351  -0.57215902
  0.03646607 -2.51482923  0.11279137  0.41364058  0.        ]",[ 1.12012852  0.93100331],"[[  0.72112711  -1.56276759   0.09418991  -0.06620502]
 [  2.60824546 -20.09010944   0.           0.        ]]",[-0.09015762 -0.21132401],-0.0738796874647
8,[-0.20136192 -0.69387585],-0.439984,"[ 0.6545394  -0.02979641  1.11849004 -1.62272073  0.81912934 -0.57215582
  0.34466313 -1.94364916 -0.09733345  0.33749482  0.        ]",[-0.85858624 -1.38708776],"[[  0.81246904  -1.92359738   0.09418991  -0.06620502]
 [  6.51328049 -16.00640313   0.           0.        ]]",[-0.09015762 -0.21132401],-0.0465211278126
9,[ 0.00206652 -0.56309336],-0.484408,"[ 0.55515317 -0.40808081  1.21273577 -1.20293978  0.81912357 -0.57215262
  0.06622765 -2.45298854 -0.33156574  0.31400263  0.        ]",[-1.4822635 -0.5943938],"[[  0.90734046  -2.28027      0.09418991  -0.06620502]
 [  2.98537716 -19.64878413   0.           0.        ]]",[-0.09015762 -0.21132401],-0.038728772187
10,[ 0.16673326 -0.48818147],-0.598294,"[ 0.53387102 -0.71674024  1.23067989 -0.44384992  0.8191178  -0.57214942
 -0.25096862 -2.72763979 -0.63508474  0.32258757  0.        ]",[-0.41510102 -0.93552227],"[[  0.92672493  -2.69295613   0.09418991  -0.06620502]
 [ -1.03364425 -21.61332189   0.           0.        ]]",[-0.09015762 -0.21132401],-0.0674162352315
11,[ 0.15975411 -0.50548857],-0.760103,"[ 0.57416682 -0.837576    1.19603694  0.45298743  0.81911204 -0.57214622
 -0.37905984 -1.01048259 -0.871211    0.41975773  0.        ]",[-1.19440396 -0.81784256],"[[ 0.88976258 -3.09177282  0.09418991 -0.06620502]
 [-2.65662937 -9.33482708  0.          0.        ]]",[-0.09015762 -0.21132401],-0.103571543106
12,[ 0.09938292 -0.5588991 ],-0.794647,"[ 0.66950903 -0.83908964  1.10257388  0.5579325   0.81910627 -0.57214302
 -0.68735278  0.51978528 -0.94657727  0.48131483  0.        ]",[-0.86833819  0.05120611],"[[ 0.79743904 -3.13672169  0.09418991 -0.06620502]
 [-6.56285219  1.60739538  0.          0.        ]]",[-0.09015762 -0.21132401],-0.117179129431
13,[ 0.08788821 -0.57192826],-0.782939,"[ 0.81847285 -0.83733557  0.91367441  0.44462944  0.8191005  -0.57213982
 -0.94843172  0.66867482 -0.9293957   0.45544332  0.        ]",[ 1.63817494 -1.47117023],"[[ 0.63299158 -3.08819242  0.09418991 -0.06620502]
 [-9.87089358  2.67205812  0.          0.        ]]",[-0.09015762 -0.21132401],-0.113305982279
14,[ 0.08017425 -0.56967533],-0.785116,"[ 0.93186076 -0.8334798   0.71228216  0.3470058   0.81909474 -0.57213662
 -0.62052154  0.51129969 -0.92352535  0.43148483  0.        ]",[-0.37208387 -1.1261221 ],"[[ 0.47725885 -3.04628186  0.09418991 -0.06620502]
 [-5.71622505  1.54677046  0.          0.        ]]",[-0.09015762 -0.21132401],-0.111037761801
15,[ 0.08420592 -0.56815612],-0.779772,"[ 1.00287869 -0.83050747  0.5338863   0.29463131  0.81908897 -0.57213342
 -0.72785941  0.40366004 -0.92772874  0.41881715  0.        ]",[-0.16616392 -0.78661457],"[[ 0.34928843 -3.02373271  0.09418991 -0.06620502]
 [-7.07628201  0.77711226  0.          0.        ]]",[-0.09015762 -0.21132401],-0.110810182052
16,[ 0.09106284 -0.56862581],-0.786804,"[ 1.05809938 -0.82880318  0.31904439  0.26877144  0.81908321 -0.57213023
 -0.76872327  0.34789813 -0.94001193  0.41597097  0.        ]",[ 0.03665777 -1.14951306],"[[ 0.20256732 -3.01257785  0.09418991 -0.06620502]
 [-7.59410151  0.37840247  0.          0.        ]]",[-0.09015762 -0.21132401],-0.11224659885
17,[ 0.09063512 -0.57191223],-0.78973,"[ 1.08437616 -0.82797849  0.09427704  0.25707967  0.81907744 -0.57212703
 -0.74539851  0.31703997 -0.9547281   0.41998651  0.        ]",[ 0.32699317 -0.87571537],"[[ 0.0536498  -3.00752957  0.09418991 -0.06620502]
 [-7.29863395  0.15776476  0.          0.        ]]",[-0.09015762 -0.21132401],-0.114413512473
18,[ 0.08329618 -0.5753991 ],-0.778043,"[ 1.08216383 -0.82760193 -0.10591788  0.25193011  0.81907168 -0.57212383
 -0.63180956  0.30532882 -0.96770631  0.42736372  0.        ]",[ 2.29042217 -0.14381306],"[[-0.07788347 -3.00530528  0.09418991 -0.06620502]
 [-5.85948886  0.07403569  0.          0.        ]]",[-0.09015762 -0.21132401],-0.116549920881
19,[ 0.05988782 -0.57905066],-0.819507,"[ 1.06994074 -0.82729216 -0.22133139  0.24777069  0.81906591 -0.57212063
 -0.31016325  0.3071108  -0.97490136  0.43209032  0.        ]",[-0.64656773 -0.64044416],"[[-0.15418455 -3.00350828  0.09418991 -0.06620502]
 [-1.78420117  0.08678761  0.          0.        ]]",[-0.09015762 -0.21132401],-0.117772137344
20,[ 0.07360252 -0.57965457],-0.814693,"[ 1.0544381  -0.8271348  -0.31267453  0.24571704  0.81906015 -0.57211743
 -0.50941952  0.29741672 -0.98044942  0.43668603  0.        ]",[-0.21165281  0.04560103],"[[-0.21519902 -3.0026211   0.09418991 -0.06620502]
 [-4.30883191  0.01748158  0.          0.        ]]",[-0.09015762 -0.21132401],-0.118770717244
21,[ 0.07541481 -0.58319372],-0.805036,"[ 1.02086034 -0.82675648 -0.45051843  0.24072523  0.81905438 -0.57211423
 -0.56882307  0.3226164  -0.98863338  0.44391389  0.        ]",[ 1.44154891 -1.50995268],"[[-0.30892761 -3.00046352  0.09418991 -0.06620502]
 [-5.06151857  0.1976774   0.          0.        ]]",[-0.09015762 -0.21132401],-0.12027012229
22,[ 0.057349   -0.58266473],-0.861373,"[ 0.99301887 -0.82740618 -0.53740915  0.2495616   0.81904862 -0.57211103
 -0.24842217  0.27071239 -0.99271761  0.45352465  0.        ]",[-2.21559094 -2.19015622],"[[-0.36942816 -3.00428366  0.09418991 -0.06620502]
 [-1.00204603 -0.17344133  0.          0.        ]]",[-0.09015762 -0.21132401],-0.121376699935
23,[ 0.07846157 -0.58374834],-0.809196,"[ 0.96099667 -0.82760184 -0.62099339  0.25232789  0.81904285 -0.57210783
 -0.55934677  0.29565902 -0.99669979  0.46071541  0.        ]",[ 0.97570762 -0.89719915],"[[-0.42899479 -3.00547951  0.09418991 -0.06620502]
 [-4.94149134  0.00494266  0.          0.        ]]",[-0.09015762 -0.21132401],-0.122329413027
24,[ 0.05513187 -0.58650607],-0.807376,"[ 0.9248243  -0.82750555 -0.70168634  0.25108209  0.81903709 -0.57210463
 -0.24672099  0.29981463 -1.00063249  0.46685696  0.        ]",[ 1.14694024 -0.01186536],"[[-0.48808327 -3.00494169  0.09418991 -0.06620502]
 [-0.98055671  0.03466601  0.          0.        ]]",[-0.09015762 -0.21132401],-0.123214452431
25,[ 0.03827491 -0.58816183],-0.822202,"[ 0.93773426 -0.82723675 -0.67421389  0.24748973  0.81903132 -0.57210143
  0.06730709  0.30751488 -0.99972464  0.46334234  0.        ]",[ 0.46504778 -1.62418884],"[[-0.46777476 -3.00338972  0.09418991 -0.06620502]
 [ 2.99814672  0.08973436  0.          0.        ]]",[-0.09015762 -0.21132401],-0.122884415585
26,[ 0.03642379 -0.58651102],-0.812781,"[ 0.9824786  -0.82714623 -0.56640289  0.24634091  0.81902556 -0.57209824
  0.20794747  0.29342078 -0.99449266  0.45428325  0.        ]",[ 1.13851792 -0.15456827],"[[-0.38993344 -3.00289366  0.09418991 -0.06620502]
 [ 4.78004835 -0.01103108  0.          0.        ]]",[-0.09015762 -0.21132401],-0.121658709286
27,[ 0.03178853 -0.5846523 ],-0.810015,"[ 1.04136629 -0.82705084 -0.37242471  0.24513074  0.81901979 -0.57209504
  0.51297473  0.30079162 -0.98391365  0.44028368  0.        ]",[ 0.93741985 -0.02846866],"[[-0.25555704 -3.00237104  0.09418991 -0.06620502]
 [ 8.6447117   0.04168125  0.          0.        ]]",[-0.09015762 -0.21132401],-0.119445102117
28,[ 0.03009525 -0.58029562],-0.816953,"[ 1.08473408 -0.82688932 -0.05914722  0.24303818  0.81901403 -0.57209184
  0.79240522  0.30075466 -0.9643564   0.421834    0.        ]",[-0.21285697 -1.29543884],"[[ -0.04714101  -3.00146693   0.09418991  -0.06620502]
 [ 12.18509272   0.04142684   0.           0.        ]]",[-0.09015762 -0.21132401],-0.115799702469
29,[ 0.04174621 -0.5731349 ],-0.79005,"[ 1.06248833 -0.82694691  0.29386065  0.2438881   0.81900827 -0.57208864
  0.70684344  0.28847874 -0.93917265  0.40818264  0.        ]",[-0.00300547 -1.41569218],"[[  0.18568483  -3.00183483   0.09418991  -0.06620502]
 [ 11.1011054   -0.04633747   0.           0.        ]]",[-0.09015762 -0.21132401],-0.111696144135
30,[ 0.05079739 -0.56727189],-0.755317,"[ 0.97416834 -0.82709792  0.61336694  0.24600051  0.8190025  -0.57208544
  0.68855451  0.28940155 -0.9137327   0.40205058  0.        ]",[-0.36943065 -0.88757311],"[[  0.4053826   -3.00274841   0.09418991  -0.06620502]
 [ 10.86944435  -0.03972986   0.           0.        ]]",[-0.09015762 -0.21132401],-0.107999596323
31,[ 0.05564882 -0.56590116],-0.719157,"[ 0.84004159 -0.8271781   0.88018264  0.24716475  0.81899674 -0.57208224
  0.55612036  0.29289489 -0.88989773  0.40168536  0.        ]",[-0.77447245 -0.50533464],"[[ 0.605937   -3.00325208  0.09418991 -0.06620502]
 [ 9.19158651 -0.01474285  0.          0.        ]]",[-0.09015762 -0.21132401],-0.104869308105
32,[ 0.06348204 -0.56577003],-0.690717,"[ 0.70839405 -0.82713496  1.05891618  0.24665838  0.81899097 -0.57207905
  0.29973268  0.29810693 -0.87183169  0.40458215  0.        ]",[-0.43140137  0.05067042],"[[ 0.75717729 -3.0030337   0.09418991 -0.06620502]
 [ 5.94326675  0.02253299  0.          0.        ]]",[-0.09015762 -0.21132401],-0.102710497179
33,[ 0.06622808 -0.5673492 ],-0.68665,"[ 0.60796464 -0.82670547  1.16474806  0.24096985  0.81898521 -0.57207585
  0.15563173  0.32609494 -0.85863941  0.40712418  0.        ]",[ 0.18402684 -0.99307505],"[[ 0.85772488 -3.00057512  0.09418991 -0.06620502]
 [ 4.11757638  0.22265708  0.          0.        ]]",[-0.09015762 -0.21132401],-0.101177214464
34,[ 0.06802835 -0.56521398],-0.702976,"[ 0.51158583 -0.82729945  1.24860449  0.24905244  0.81897945 -0.57207265
  0.20670502  0.27134323 -0.85109871  0.41307396  0.        ]",[-0.60293079 -1.1879112 ],"[[ 0.94656866 -3.00406929  0.09418991 -0.06620502]
 [ 4.76466257 -0.16880539  0.          0.        ]]",[-0.09015762 -0.21132401],-0.100600338162
35,[ 0.0725348  -0.56625116],-0.689419,"[ 0.43065301 -0.82749928  1.30815072  0.25187167  0.81897368 -0.57206945
  0.01084108  0.29509438 -0.84420048  0.41746341  0.        ]",[-0.0504091  -0.86994764],"[[  1.01696430e+00  -3.00528798e+00   9.41899133e-02  -6.62050201e-02]
 [  2.28316907e+00   1.02282925e-03   0.00000000e+00   0.00000000e+00]]",[-0.09015762 -0.21132401],-0.100015706871
36,[ 0.07263129 -0.56672251],-0.697074,"[ 0.37916669 -0.8274114   1.3415314   0.2507431   0.81896792 -0.57206625
 -0.00847953  0.2995856  -0.83930906  0.42003712  0.        ]",[ 0.62990833 -1.32840141],"[[ 1.06017172 -3.00480084  0.09418991 -0.06620502]
 [ 2.03838753  0.03314436  0.          0.        ]]",[-0.09015762 -0.21132401],-0.0995713418694
37,[ 0.0669068  -0.56744802],-0.69666,"[ 0.29888622 -0.82732859  1.38731677  0.24968785  0.81896216 -0.57206305
  0.18518639  0.29701005 -0.83233429  0.42449488  0.        ]",[-0.73567688 -0.96144996],"[[ 1.12555759 -3.00434533  0.09418991 -0.06620502]
 [ 4.49202338  0.01473925  0.          0.        ]]",[-0.09015762 -0.21132401],-0.0989986599867
38,[ 0.07379697 -0.56684142],-0.668709,"[ 0.22332462 -0.82728197  1.42400472  0.24912987  0.8189564  -0.57205986
 -0.05173882  0.29623191 -0.82634236  0.42907096  0.        ]",[ 0.6689169  -0.47759172],"[[ 1.18528119 -3.0041047   0.09418991 -0.06620502]
 [ 1.49033913  0.00918539  0.          0.        ]]",[-0.09015762 -0.21132401],-0.0985671904902
39,[ 0.0669424  -0.56846249],-0.652961,"[ 0.15067516 -0.82716579  1.45387428  0.24762621  0.81895063 -0.57205666
  0.15497597  0.30057248 -0.82065329  0.43366754  0.        ]",[ 0.52379096 -0.28585504],"[[ 1.24136459 -3.00345537  0.09418991 -0.06620502]
 [ 4.10927261  0.04022948  0.          0.        ]]",[-0.09015762 -0.21132401],-0.0981842317801
