timestep,avg_action_dist,rewards,obs,actions,human_obs,logstd_action_dist,original_rewards
0,[ 0.18301344 -1.16489863],-2.10431,"[ 1.09947264  1.66044272 -0.09516542  0.70142896 -1.39803172  1.39040109
 -0.15248176  0.29626689  2.27715063 -1.27193194  0.        ]",[-0.212942   -1.41736611],"[[-0.08349393  0.05483672 -0.1637692   0.15889455]
 [-0.00451112 -0.00218111  0.          0.        ]]",[-0.09412723 -0.21503392],-0.410415422417
1,[ 0.24333575 -1.13910496],-2.12738,"[ 1.09843411  1.66214008 -0.10807271  0.60646163 -1.39801545  1.39038503
 -0.21597753 -0.25340582  2.27468617 -1.31839559  0.        ]",[ 0.04141378 -1.17929734],"[[-0.0920196   0.01506898 -0.1637692   0.15889455]
 [-0.84526046 -3.96139938  0.          0.        ]]",[-0.09412723 -0.21503392],-0.412686199374
2,[ 0.27047235 -1.1256566 ],-2.14488,"[ 1.09636075  1.65567614 -0.13087566  0.32452085 -1.39799918  1.39036896
 -0.20222827 -0.79224912  2.25938873 -1.43925275  0.        ]",[-0.59933999 -1.0702263 ],"[[-0.10709823 -0.10310067 -0.1637692   0.15889455]
 [-0.6632204  -7.84262965  0.          0.        ]]",[-0.09412723 -0.21503392],-0.417784489006
3,[ 0.30162147 -1.11057794],-2.18234,"[ 1.08998745  1.60757658 -0.18652353 -0.13141372 -1.39798291  1.3903529
 -0.38019863 -1.32028015  2.2008423  -1.64907131  0.        ]",[-1.62394087 -0.80889465],"[[ -0.14400538  -0.29811409  -0.1637692    0.15889455]
 [ -3.01970319 -11.64604169   0.           0.        ]]",[-0.09412723 -0.21503392],-0.423902823667
4,[ 0.3397997  -1.08778596],-2.28205,"[ 1.06361377  1.47238484 -0.33482709 -0.7005702  -1.39796664  1.39033684
 -0.67442201 -1.7327068   2.03081234 -1.9658809   0.        ]",[-0.04834745 -1.6228099 ],"[[ -0.24348528  -0.56084228  -0.1637692    0.15889455]
 [ -6.91547809 -14.6168795    0.           0.        ]]",[-0.09412723 -0.21503392],-0.427104153442
5,[ 0.37900525 -1.02627826],-2.26289,"[ 1.00479104  1.20298426 -0.53545722 -1.28642717 -1.39795037  1.39032077
 -0.67854889 -2.2421778   1.70342983 -2.26126868  0.        ]",[ 0.94346542 -0.93142278],"[[ -0.38234154  -0.89000275  -0.1637692    0.15889455]
 [ -6.97017247 -18.28692739   0.           0.        ]]",[-0.09412723 -0.21503392],-0.417452189349
6,[ 0.39611343 -0.92694604],-2.06756,"[ 0.94673962  0.76748502 -0.67417574 -1.72493573 -1.39793411  1.39030471
 -0.38629349 -2.70397426  1.30595917 -2.35015422  0.        ]",[-0.06182326 -0.76799198],"[[ -0.48291951  -1.2891221   -0.1637692    0.15889455]
 [ -3.10054581 -21.61388772   0.           0.        ]]",[-0.09412723 -0.21503392],-0.388713495197
7,[ 0.4556472  -0.78852797],-1.7652,"[ 0.90342958  0.20507645 -0.75864981 -1.78181833 -1.39791784  1.39028865
 -0.40031818 -3.06659689  0.93948315 -2.20060678  0.        ]",[-0.5391802  -0.38168348],"[[ -0.54679213  -1.74761634  -0.1637692    0.15889455]
 [ -3.28626541 -24.22683083   0.           0.        ]]",[-0.09412723 -0.21503392],-0.342261576413
8,[ 0.52545518 -0.65549499],-1.46558,"[ 0.83715475 -0.34810887 -0.8678702  -1.29995729 -1.39790158  1.39027259
 -0.55682878 -3.20963896  0.68071246 -1.85032815  0.        ]",[ 1.55145675 -1.64361668],"[[ -0.63330905  -2.2425013   -0.1637692    0.15889455]
 [ -5.35859078 -25.25825272   0.           0.        ]]",[-0.09412723 -0.21503392],-0.283027108493
9,[ 0.58143693 -0.5449059 ],-1.20188,"[ 0.78061797 -0.73701722 -0.94718444 -0.26952618 -1.39788531  1.39025653
 -0.2499876  -3.6896648   0.66948125 -1.39389143  0.        ]",[-0.08644181 -0.88798488],"[[ -0.69972169  -2.78237682  -0.1637692    0.15889455]
 [ -1.29586787 -28.71773875   0.           0.        ]]",[-0.09412723 -0.21503392],-0.231214972282
10,[ 0.45483416 -0.64694631],-1.18865,"[ 0.75436885 -0.81239917 -0.98058701  0.75514948 -1.39786905  1.39024047
 -0.27385343 -0.58981811  0.85579578 -1.07541387  0.        ]",[ 0.75678161 -0.83585493],"[[-0.72881616 -3.21894336 -0.1637692   0.15889455]
 [-1.61187813 -6.38632509  0.          0.        ]]",[-0.09412723 -0.21503392],-0.21854233174
11,[ 0.31199226 -0.73713702],-1.12266,"[ 0.75266755 -0.81332    -0.98267297  0.73044065 -1.39785278  1.39022441
 -0.04510693  0.84369112  0.84106503 -1.0909846   0.        ]",[-0.05677107 -2.29820856],"[[-0.73066424 -3.20857791 -0.1637692   0.15889455]
 [ 1.41681988  3.94075492  0.          0.        ]]",[-0.09412723 -0.21503392],-0.218297171753
12,[ 0.29498202 -0.7484166 ],-1.22973,"[ 0.77602929 -0.81593215 -0.95312855  0.53190701 -1.39783652  1.39020836
 -0.0642019   0.81783881  0.79505603 -1.1454926   0.        ]",[ 1.73566848  0.12320273],"[[-0.70486424 -3.1254451  -0.1637692   0.15889455]
 [ 1.16399209  3.75455309  0.          0.        ]]",[-0.09412723 -0.21503392],-0.218338291342
13,[ 0.24898809 -0.7657119 ],-1.1793,"[ 0.82993114 -0.81045502 -0.87855814  0.34289473 -1.39782026  1.3901923
  0.23309115  0.87525634  0.75975175 -1.20523243  0.        ]",[ 0.70071657 -1.41807939],"[[-0.6420905  -3.04620345 -0.1637692   0.15889455]
 [ 5.10025964  4.1682334   0.          0.        ]]",[-0.09412723 -0.21503392],-0.220406775332
14,[ 0.27471584 -0.74542874],-1.23185,"[ 0.92673441 -0.80379719 -0.71463939  0.23482967 -1.397804    1.39017624
  0.4349885   0.38358953  0.7493875  -1.25461914  0.        ]",[ 0.43485323  0.19566426],"[[-0.51326433 -3.00065916 -0.1637692   0.15889455]
 [ 7.77346198  0.62627682  0.          0.        ]]",[-0.09412723 -0.21503392],-0.224231742202
15,[ 0.25146836 -0.75672281],-1.20533,"[ 1.02438618 -0.80003074 -0.47815776  0.18716688 -1.39778773  1.39016019
  0.55340072  0.4894267   0.75895965 -1.2886582   0.        ]",[ 1.07113484 -1.95648336],"[[-0.34206439 -2.98048359 -0.1637692   0.15889455]
 [ 9.34130437  1.38874274  0.          0.        ]]",[-0.09412723 -0.21503392],-0.228552778324
16,[ 0.28492558 -0.7170192 ],-1.2483,"[ 1.09468484 -0.80236443 -0.1463193   0.21603196 -1.39777147  1.39014413
  0.83845133 -0.0639956   0.7817907  -1.29945881  0.        ]",[ 1.45573362 -0.29947062],"[[ -0.11737065  -2.99271001  -0.1637692    0.15889455]
 [ 13.11550336  -2.59808944   0.           0.        ]]",[-0.09412723 -0.21503392],-0.231843947209
17,[ 0.21711025 -0.73243189],-1.18774,"[ 1.08139049 -0.80658931  0.30684616  0.275498   -1.39775521  1.39012808
  1.11787705  0.27641662  0.80924562 -1.29725321  0.        ]",[-0.16244746 -0.49403945],"[[  0.18206064  -3.01782935  -0.1637692    0.15889455]
 [ 16.81528003  -0.1457757    0.           0.        ]]",[-0.09412723 -0.21503392],-0.234320245926
18,[ 0.18653163 -0.72857463],-1.18326,"[ 0.92985958 -0.80609836  0.77173907  0.26806269 -1.39773895  1.39011202
  1.04415018  0.33694386  0.84581212 -1.30998004  0.        ]",[ 0.14824636 -0.52820668],"[[  0.50857336  -3.01469374  -0.1637692    0.15889455]
 [ 15.83923621   0.29026726   0.           0.        ]]",[-0.09412723 -0.21503392],-0.23920193667
19,[ 0.13889359 -0.72372609],-1.22152,"[ 0.65834416 -0.80521791  1.15127221  0.25511473 -1.39772269  1.39009597
  1.06478914  0.32871187  0.88503663 -1.30920176  0.        ]",[ 2.20933399 -1.75696032],"[[  0.82810103  -3.00922996  -0.1637692    0.15889455]
 [ 16.11261848   0.23097538   0.           0.        ]]",[-0.09412723 -0.21503392],-0.243093514916
20,[ 0.08230345 -0.71521008],-1.16818,"[ 0.24284948 -0.80470315  1.44087911  0.2478194  -1.39770643  1.39007991
  1.33971802  0.31000195  0.92459576 -1.28976839  0.        ]",[-0.20449234 -1.61451493],"[[  1.18687779  -3.00614992  -0.1637692    0.15889455]
 [ 19.75292717   0.09620151   0.           0.        ]]",[-0.09412723 -0.21503392],-0.245348552981
21,[ 0.04445286 -0.70471466],-1.15294,"[-0.27169954 -0.80448352  1.55149937  0.24479872 -1.39769018  1.39006386
  1.24902081  0.30213739  0.95567214 -1.25261914  0.        ]",[-0.77748463  1.29536528],"[[  1.56988945  -3.00487449  -0.1637692    0.15889455]
 [ 18.55224098   0.03955594   0.           0.        ]]",[-0.09412723 -0.21503392],-0.245229258981
22,[-0.036842   -0.74016643],-1.26312,"[-0.72643107 -0.79663097  1.46670761  0.14918613 -1.39767392  1.39004781
  0.98878953  0.85168024  0.99673656 -1.19551035  0.        ]",[ 1.54913488 -2.02227905],"[[  1.90636532  -2.96436302  -0.1637692    0.15889455]
 [ 15.10681032   3.99839471   0.           0.        ]]",[-0.09412723 -0.21503392],-0.244656235516
23,[-0.02752946 -0.70242715],-1.24728,"[-1.13286263 -0.78706048  1.21871612  0.05674273 -1.39765766  1.39003176
  1.26520495  0.29109334  1.01081461 -1.11695395  0.        ]",[-1.60257242 -0.79640682],"[[  2.24522317  -2.92491338  -0.1637692    0.15889455]
 [ 18.76679653  -0.03994817   0.           0.        ]]",[-0.09412723 -0.21503392],-0.23958804017
24,[ 0.01636337 -0.64774162],-1.29028,"[-1.43637647 -0.79505711  0.84469661  0.13268331 -1.39764141  1.3900157
  0.93810041 -0.14653573  0.97378746 -1.08893329  0.        ]",[-1.12396441  0.5391036 ],"[[  2.57710599  -2.95734296  -0.1637692    0.15889455]
 [ 14.43592591  -3.19253017   0.           0.        ]]",[-0.09412723 -0.21503392],-0.233014891546
25,[ 0.01864558 -0.64911312],-1.29705,"[-1.58079386 -0.80347486  0.50732232  0.23123361 -1.39762515  1.38999965
  0.61748972  0.15854949  0.94438395 -1.0936434   0.        ]",[-0.53669796 -0.82826364],"[[  2.8232338   -2.99914255  -0.1637692    0.15889455]
 [ 10.19099028  -0.99477125   0.           0.        ]]",[-0.09412723 -0.21503392],-0.230057546073
26,[ 0.02958133 -0.65148723],-1.34069,"[-1.63689843 -0.80582065  0.24048936  0.26450607 -1.39760889  1.3899836
  0.44176257  0.27082737  0.92819366 -1.08943282  0.        ]",[ 0.55777361 -0.29790663],"[[ 3.00370953 -3.01319507 -0.1637692   0.15889455]
 [ 7.86434433 -0.18594558  0.          0.        ]]",[-0.09412723 -0.21503392],-0.227870069803
27,[ 0.02620962 -0.65633488],-1.35555,"[-1.64884238 -0.80552455 -0.02919133  0.26019131 -1.39759264  1.38996755
  0.59679599  0.32713185  0.9115677  -1.07429274  0.        ]",[ 1.14963226  0.46954997],"[[ 3.18159208 -3.01137478 -0.1637692   0.15889455]
 [ 9.91706319  0.21966449  0.          0.        ]]",[-0.09412723 -0.21503392],-0.224707279363
28,[ 0.01340935 -0.67645878],-1.26262,"[-1.59776772 -0.80149261 -0.38273562  0.20576443 -1.39757639  1.3899515
  0.88100248  0.58465389  0.87972677 -1.04468111  0.        ]",[-0.47973687 -1.42011301],"[[  3.41768911  -2.98836853  -0.1637692    0.15889455]
 [ 13.68009184   2.07478785   0.           0.        ]]",[-0.09412723 -0.21503392],-0.218596258154
29,[ 0.07216867 -0.6593653 ],-1.28035,"[-1.46242472 -0.80122983 -0.73403481  0.20256138 -1.39756013  1.38993546
  0.71707253  0.02928929  0.84691542 -1.04103317  0.        ]",[ 0.96393154 -2.17425223],"[[  3.66951445  -2.98701251  -0.1637692    0.15889455]
 [ 11.50968711  -1.92585857   0.           0.        ]]",[-0.09412723 -0.21503392],-0.214599739824
30,[ 0.07494557 -0.67778951],-1.19416,"[-1.23802939 -0.80688211 -1.05245831  0.28112714 -1.39754388  1.38991941
  0.98811289  0.21789963  0.83421219 -1.06551024  0.        ]",[-0.96677686 -2.60965939],"[[  3.93571464  -3.02020635  -0.1637692    0.15889455]
 [ 15.09840402  -0.56717623   0.           0.        ]]",[-0.09412723 -0.21503392],-0.215325277707
31,[ 0.12053682 -0.6933713 ],-1.32895,"[-0.95240733 -0.80685573 -1.29030395  0.2807921  -1.39752763  1.38990336
  0.67643499  0.33773766  0.8062432  -1.07467628  0.        ]",[ 2.09449381  0.08713407],"[[  4.19627924  -3.02006561  -0.1637692    0.15889455]
 [ 10.97179359   0.29609794   0.           0.        ]]",[-0.09412723 -0.21503392],-0.213086125165
32,[ 0.12873679 -0.7001828 ],-1.19995,"[-0.62568192 -0.80537301 -1.43751559  0.25834448 -1.39751137  1.38988731
  0.95906095  0.38582131  0.77534835 -1.09065421  0.        ]",[-0.69953864 -0.57630317],"[[  4.45326082  -3.01059738  -0.1637692    0.15889455]
 [ 14.71389139   0.64248401   0.           0.        ]]",[-0.09412723 -0.21503392],-0.211223115716
33,[ 0.17881675 -0.70671266],-1.20025,"[-0.26671681 -0.80422033 -1.48822504  0.24198411 -1.39749512  1.38987127
  0.7278663   0.31785917  0.75082764 -1.11747453  0.        ]",[ 0.03067156 -0.33304468],"[[  4.71682671  -3.00368942  -0.1637692    0.15889455]
 [ 11.65290542   0.15292618   0.           0.        ]]",[-0.09412723 -0.21503392],-0.211143898618
34,[ 0.20961927 -0.71574712],-1.20278,"[ 0.04968423 -0.80391581 -1.44595081  0.23785067 -1.39747887  1.38985522
  0.71961021  0.30265766  0.73859307 -1.14611588  0.        ]",[ 0.4755149  -0.02069267],"[[  4.94878862  -3.00194341  -0.1637692    0.15889455]
 [ 11.54365095   0.04343131   0.           0.        ]]",[-0.09412723 -0.21503392],-0.212607039243
35,[ 0.22460932 -0.72648317],-1.12869,"[ 0.36778966 -0.80377017 -1.31372911  0.23592873 -1.39746262  1.38983918
  0.84454169  0.30136967  0.73316311 -1.1790753   0.        ]",[-1.02823684 -1.10721509],"[[  5.19625854  -3.00113164  -0.1637692    0.15889455]
 [ 13.19782757   0.03416261   0.           0.        ]]",[-0.09412723 -0.21503392],-0.215242141529
36,[ 0.26317173 -0.73372436],-1.19696,"[ 0.62005292 -0.80385341 -1.12540629  0.23713638 -1.39744637  1.38982313
  0.5257667   0.28933591  0.73524594 -1.20844606  0.        ]",[ 1.01883012 -0.65992798],"[[ 5.4178688  -3.0016424  -0.1637692   0.15889455]
 [ 8.97726516 -0.05251318  0.          0.        ]]",[-0.09412723 -0.21503392],-0.218321807136
37,[ 0.25184077 -0.73766774],-1.20269,"[ 0.82522593 -0.80396016 -0.88549934  0.23867167 -1.39743012  1.38980709
  0.8113784   0.29407851  0.74292076 -1.23583407  0.        ]",[-0.17980027  0.16621324],"[[  5.63535586  -3.00229157  -0.1637692    0.15889455]
 [ 12.75883821  -0.0183411    0.           0.        ]]",[-0.09412723 -0.21503392],-0.221777567672
38,[ 0.25301206 -0.74610972],-1.1879,"[ 0.994262   -0.80285727 -0.56344525  0.22390786 -1.39741388  1.38979104
  0.73853121  0.38549866  0.75624176 -1.26930807  0.        ]",[ 0.28637041 -1.36070154],"[[  5.88085613  -2.99605094  -0.1637692    0.15889455]
 [ 11.7944012    0.64020804   0.           0.        ]]",[-0.09412723 -0.21503392],-0.226398560584
39,[ 0.26613528 -0.73259276],-1.24509,"[ 1.08718481 -0.80555225 -0.20657455  0.26151192 -1.39739763  1.389775
  0.80652414  0.21149633  0.77767099 -1.28886887  0.        ]",[ 1.77782868 -0.84124378],"[[  6.12577634  -3.01193685  -0.1637692    0.15889455]
 [ 12.69469505  -0.61319117   0.           0.        ]]",[-0.09412723 -0.21503392],-0.23042971348
40,[ 0.21699831 -0.73694128],-1.19349,"[ 1.09191276 -0.80589983  0.23426545  0.26677469 -1.39738138  1.38975896
  1.08657747  0.31829737  0.80513393 -1.29806688  0.        ]",[-0.09903121 -0.49944875],"[[  6.41687411  -3.0141578   -0.1637692    0.15889455]
 [ 16.40271193   0.15614472   0.           0.        ]]",[-0.09412723 -0.21503392],-0.234032813637
41,[ 0.19235465 -0.73093283],-1.18083,"[ 0.96436291 -0.80519477  0.69899262  0.25641974 -1.39736513  1.38974292
  1.03242919  0.32758504  0.8417075  -1.31257652  0.        ]",[ 0.14126959 -1.90281382],"[[  6.73773638  -3.00978867  -0.1637692    0.15889455]
 [ 15.68590186   0.22305714   0.           0.        ]]",[-0.09412723 -0.21503392],-0.239082331709
42,[ 0.14917672 -0.72429734],-1.16622,"[ 0.71499791 -0.80466709  1.09054417  0.24890994 -1.39734889  1.38972688
  1.05121163  0.31139195  0.88001472 -1.31209668  0.        ]",[-0.35973292 -0.10931827],"[[  7.05395064  -3.00661857  -0.1637692    0.15889455]
 [ 15.93469604   0.1064231    0.           0.        ]]",[-0.09412723 -0.21503392],-0.242896959417
