timestep,avg_action_dist,rewards,obs,actions,human_obs,logstd_action_dist,original_rewards
0,[ 1.96308875 -1.19061613],-1.04689,"[ 1.17933488  2.21124869  0.15160056  0.50755796  0.77604327  1.05996426
 -0.09796038  0.36495907  0.66967435 -0.89603368  0.        ]",[ 1.42340483 -1.11598273],"[[ 0.08762466 -0.07272634  0.08974804  0.12076007]
 [-0.00079604 -0.00063678  0.          0.        ]]",[-0.30432901 -0.35407415],-0.162932600496
1,[ 1.9413662  -1.19393671],-1.13169,"[ 1.17347238  2.20610891  0.21025944  0.37465976  0.77604184  1.05996166
  0.04106325 -0.17441424  0.66656184 -0.86309593  0.        ]",[ 3.42876738 -1.1743484 ],"[[ 0.12731488 -0.1124822   0.08974804  0.12076007]
 [ 3.95663793 -3.96174095  0.          0.        ]]",[-0.30432901 -0.35407415],-0.159974023939
2,[ 1.82911015 -1.22799766],-1.09927,"[ 1.14338366  2.17797836  0.38261893 -0.01610555  0.77604041  1.05995907
  0.1773372  -0.70309986  0.65057567 -0.76622546  0.        ]",[ 2.23788123 -1.18597934],"[[ 0.24536835 -0.23067276  0.08974804  0.12076007]
 [ 7.83580002 -7.84435888  0.          0.        ]]",[-0.30432901 -0.35407415],-0.150810138492
3,[ 1.5510056 -1.2887789],-1.1139,"[ 1.05336997  2.09044238  0.65502171 -0.63510264  0.77603897  1.05995648
  0.31091959 -1.22129336  0.60274559 -0.61311599  0.        ]",[ 3.00781693 -2.0048293 ],"[[  0.44023608  -0.42574301   0.08974804   0.12076007]
 [ 11.63834538 -11.64993854   0.           0.        ]]",[-0.30432901 -0.35407415],-0.134595948342
4,[ 1.17712736 -1.33349228],-0.961493,"[ 0.85165658  1.89048291  0.99097113 -1.40154757  0.77603754  1.05995388
  0.44187165 -1.72916862  0.49555686 -0.42429339  0.        ]",[ 1.42594361 -1.07596673],"[[  0.710403    -0.6961654    0.08974804   0.12076007]
 [ 15.36601866 -15.37977685   0.           0.        ]]",[-0.30432901 -0.35407415],-0.110181235068
5,[ 0.83162212 -1.30657136],-0.797955,"[ 0.48782157  1.5259713   1.31424315 -2.14469084  0.77603611  1.05995129
  0.57025739 -2.22687949  0.30221337 -0.24262938  0.        ]",[ 0.84749529 -1.69087466],"[[  1.05438984  -1.04043686   0.08974804   0.12076007]
 [ 19.02064364 -19.03503139   0.           0.        ]]",[-0.30432901 -0.35407415],-0.0767321443833
6,[ 0.64427149 -1.15624452],-0.635748,"[-0.04602278  0.97897045  1.49973233 -2.58420938  0.77603468  1.0599487
  0.67493751 -2.71456501  0.01857237 -0.14406017  0.        ]",[ 1.5718556  -2.08317687],"[[  1.46469872  -1.45707581   0.08974804   0.12076007]
 [ 22.00047471 -22.61675692   0.           0.        ]]",[-0.30432901 -0.35407415],-0.0370226535461
7,[ 0.74578452 -0.86546779],-0.514796,"[-0.68857935  0.31166991  1.40787069 -2.37399599  0.77603324  1.0599461
  0.79878121 -3.19245524 -0.32287874 -0.20695195  0.        ]",[ 0.35645705 -2.11583509],"[[  1.94007757  -1.94462875   0.08974804   0.12076007]
 [ 25.52582004 -26.12668224   0.           0.        ]]",[-0.30432901 -0.35407415],-0.0321723535596
8,[ 1.00507104 -0.60703325],-0.581775,"[-1.26038405 -0.29749475  0.9584255  -1.25326912  0.77603181  1.05994351
  0.83068711 -3.66080955 -0.62745578 -0.49428824  0.        ]",[ 0.42332456  1.02015964],"[[  2.45970863  -2.50167655   0.08974804   0.12076007]
 [ 26.43409091 -29.566756     0.           0.        ]]",[-0.30432901 -0.35407415],-0.0848033443901
9,[ 1.21860731 -0.54034895],-0.949056,"[-1.55437638 -0.56714199  0.23131939  0.4357442   0.77603038  1.05994092
  0.87122965 -2.49558051 -0.78388991 -0.90851283  0.        ]",[ 1.53116931 -1.38895439],"[[  2.99997036  -3.04739704   0.08974804   0.12076007]
 [ 27.58821365 -21.00926051   0.           0.        ]]",[-0.30432901 -0.35407415],-0.136871283503
10,[ 1.21355307 -0.62024045],-0.922394,"[-1.4344611  -0.57169692 -0.61762559  0.91355737  0.77602895  1.05993832
  0.99116685  0.4689795  -0.77862959 -0.99567537  0.        ]",[ 1.589475   -0.61479153],"[[  3.58599308  -3.18987183   0.08974804   0.12076007]
 [ 31.00237552   0.76312835   0.           0.        ]]",[-0.30432901 -0.35407415],-0.145122147996
11,[ 1.23679876 -0.65483356],-0.772394,"[-0.81851973 -0.57328619 -1.30203656  0.72798448  0.77602751  1.05993573
  1.10869852  0.83280854 -0.83359584 -0.90645567  0.        ]",[ 0.24199357  0.26812972],"[[  4.23960976  -3.13458069   0.08974804   0.12076007]
 [ 34.34807864   3.43517877   0.           0.        ]]",[-0.30432901 -0.35407415],-0.140702197928
12,[ 1.28474844 -0.66447455],-0.871128,"[ 0.10453396 -0.56820478 -1.43024671  0.46419092  0.77602608  1.05993314
  1.11846669  0.96813983 -0.94579784 -0.92149724  0.        ]",[ 2.01535314 -0.66934363],"[[  4.9293622   -3.0559055    0.08974804   0.12076007]
 [ 34.62621926   4.42909635   0.           0.        ]]",[-0.30432901 -0.35407415],-0.151872849374
13,[ 1.30825448 -0.67994022],-1.0142,"[ 0.92164022 -0.558323   -0.85246614  0.2604084   0.77602465  1.05993055
  1.23346389  0.59544064 -0.98480892 -1.04847805  0.        ]",[ 0.25850236  0.68108236],"[[  5.65473142  -2.99478732   0.08974804   0.12076007]
 [ 37.89979976   1.69192153   0.           0.        ]]",[-0.30432901 -0.35407415],-0.166867379468
14,[ 1.16431022 -0.75003767],-0.953531,"[ 1.17258771 -0.54344867  0.21757476  0.060259    0.77602322  1.05992795
  1.24305536  0.95822764 -0.89701292 -1.17917726  0.        ]",[ 1.70392244  0.78925814],"[[  6.41546824  -2.93421677   0.08974804   0.12076007]
 [ 38.17293183   4.35631948   0.           0.        ]]",[-0.30432901 -0.35407415],-0.172331781349
15,[ 0.76206094 -0.84502375],-0.79067,"[ 0.6334133  -0.50033247  1.21129363 -0.32055689  0.77602178  1.05992536
  1.35557571  1.37226304 -0.67642714 -1.18750332  0.        ]",[ 2.50954827  0.84808626],"[[  7.21106578  -2.81658285   0.08974804   0.12076007]
 [ 41.37603529   7.39711389   0.           0.        ]]",[-0.30432901 -0.35407415],-0.158763676256
16,[ 0.35687047 -0.94642937],-0.581313,"[-0.48689808 -0.39915808  1.47350989 -0.87341869  0.77602035  1.05992277
  1.46583165  1.81000153 -0.48896367 -0.85687285  0.        ]",[ 0.85814722 -0.13320533],"[[  8.07008024  -2.63638725   0.08974804   0.12076007]
 [ 44.51470868  10.61202397   0.           0.        ]]",[-0.30432901 -0.35407415],-0.112502773609
17,[ 0.1029043  -1.02500463],-0.604945,"[-1.4375346  -0.23636068  0.65358828 -1.43718702  0.77601892  1.05992017
  1.55412968  1.71028071 -0.75022243 -0.38095145  0.        ]",[-0.69736819 -1.39600924],"[[  8.98559601  -2.43149775   0.08974804   0.12076007]
 [ 47.02835901   9.8797079    0.           0.        ]]",[-0.30432901 -0.35407415],-0.0888687063261
18,[ 0.41111597 -1.03131282],-1.08289,"[-1.42242533 -0.08235467 -0.64423203 -1.80608561  0.77601749  1.05991758
  1.4243593   1.14537079 -1.32588301 -0.46379824  0.        ]",[-1.14203618 -1.40612002],"[[  9.88909883  -2.27553007   0.08974804   0.12076007]
 [ 43.3344735    5.73089164   0.           0.        ]]",[-0.30432901 -0.35407415],-0.163850009452
19,[ 0.76299512 -1.01712644],-1.31,"[ -5.82866724e-01  -1.57687767e-03  -1.40382463e+00  -1.95950947e+00
   7.76016055e-01   1.05991499e+00   1.25512495e+00   5.91584388e-01
  -1.55932679e+00  -1.05344282e+00   0.00000000e+00]",[ 0.92511589 -1.3011044 ],"[[ 10.7074523   -2.20171757   0.08974804   0.12076007]
 [ 38.51717066   1.66375216   0.           0.        ]]",[-0.30432901 -0.35407415],-0.225551467571
20,[ 0.98073578 -1.02783895],-1.43529,"[ 0.48173589 -0.0091339  -1.27496513 -1.94610947  0.77601462  1.0599124
  1.35699897  0.04870396 -1.30369462 -1.59656871  0.        ]",[ 1.47849022 -0.27166561],"[[ 11.50689111  -2.2084472    0.08974804   0.12076007]
 [ 41.4172352   -2.32329448   0.           0.        ]]",[-0.30432901 -0.35407415],-0.245277877697
21,[ 0.88736981 -1.05636513],-1.39344,"[ 1.157281   -0.07131822 -0.2733108  -1.82842281  0.77601319  1.0599098
  1.46729069 -0.09065692 -0.77376966 -1.72515367  0.        ]",[ 1.40648859 -1.35567228],"[[ 12.36673694  -2.26518333   0.08974804   0.12076007]
 [ 44.55694558  -3.34679459   0.           0.        ]]",[-0.30432901 -0.35407415],-0.22335576114
22,[ 0.74591881 -0.96384406],-0.947504,"[ 0.84083266 -0.17959047  1.00440164 -1.58679142  0.77601176  1.05990721
  1.57542613 -0.61986295 -0.3773068  -1.34723781  0.        ]",[ 0.71387645 -0.3256376 ],"[[ 13.28876035  -2.37111543   0.08974804   0.12076007]
 [ 47.63530771  -7.23341183   0.           0.        ]]",[-0.30432901 -0.35407415],-0.165951336979
23,[ 0.62706941 -0.81033015],-0.488316,"[-0.36093098 -0.31838179  1.49681542 -1.18380467  0.77601033  1.05990462
  1.64164487 -0.77503986 -0.41222929 -0.83373766  0.        ]",[ 0.54171412 -0.55624164],"[[ 14.2603811   -2.52721715   0.08974804   0.12076007]
 [ 49.52049192  -8.37307624   0.           0.        ]]",[-0.30432901 -0.35407415],-0.106685254667
24,[ 0.79151511 -0.67950404],-0.588155,"[-1.43382663 -0.44841168  0.6620382  -0.63746324  0.77600889  1.05990202
  1.68260589 -1.0516187  -0.71904002 -0.63986186  0.        ]",[ 0.34554705 -0.08425222],"[[ 15.26249224  -2.7150566    0.08974804   0.12076007]
 [ 50.68670347 -10.4043508    0.           0.        ]]",[-0.30432901 -0.35407415],-0.10612170542
25,[ 1.09567904 -0.62647265],-0.842391,"[-1.34910101 -0.54056038 -0.7831461   0.02802105  0.77600746  1.05989943
  1.69545563 -1.06850966 -0.91166564 -0.78258005  0.        ]",[ 2.67140328 -1.27300042],"[[ 16.27989982  -2.9243848    0.08974804   0.12076007]
 [ 51.05270169 -10.52842109   0.           0.        ]]",[-0.30432901 -0.35407415],-0.136583198797
26,[ 1.26272488 -0.66159385],-0.821561,"[-0.1205157  -0.5718434  -1.46310695  0.59720972  0.77600603  1.05989684
  1.79905915  0.02739664 -0.89668403 -0.90173206  0.        ]",[ 1.14739927 -0.36353426],"[[ 17.33054645  -3.09560654   0.08974804   0.12076007]
 [ 54.00215169  -2.47984167   0.           0.        ]]",[-0.30432901 -0.35407415],-0.145688844555
27,[ 1.20645761 -0.72044384],-0.849552,"[ 1.07056581 -0.57137512 -0.57102728  0.57443346  0.7760046   1.05989425
  1.90058779  0.59944493 -0.94573566 -0.99259092  0.        ]",[ 2.68539465  0.33397636],"[[ 18.43959093  -3.08881456   0.08974804   0.12076007]
 [ 56.89258266   1.72141005   0.           0.        ]]",[-0.30432901 -0.35407415],-0.158320343338
28,[ 0.91508162 -0.7677142 ],-0.751933,"[ 0.80937811 -0.5663307   1.04165917  0.41588861  0.77600316  1.05989165
  2.00009687  0.7750317  -0.85849144 -1.10406636  0.        ]",[ 0.50441455 -0.84759078],"[[ 19.6058671   -3.04144917   0.08974804   0.12076007]
 [ 59.72557311   3.01096628   0.           0.        ]]",[-0.30432901 -0.35407415],-0.161941320506
29,[ 0.77673155 -0.72179055],-0.651007,"[-0.71275769 -0.56105048  1.39747016  0.30719469  0.77600173  1.05988906
  2.02869993  0.4604262  -0.73928768 -1.00637526  0.        ]",[ 0.45838613 -1.00399435],"[[ 20.808551    -3.00885254   0.08974804   0.12076007]
 [ 60.54014181   0.70044383   0.           0.        ]]",[-0.30432901 -0.35407415],-0.143405518895
30,[ 0.88413638 -0.71324468],-0.751011,"[-1.5673319  -0.55983633 -0.02962245  0.28583442  0.7760003   1.05988647
  2.0503395   0.37731159 -0.80195638 -0.85254467  0.        ]",[ 1.20522282 -1.8500523 ],"[[ 22.02553778  -3.00243122   0.08974804   0.12076007]
 [ 61.15649613   0.09003732   0.           0.        ]]",[-0.30432901 -0.35407415],-0.132964527384
31,[ 1.06931698 -0.73753613],-0.803725,"[-0.57966523 -0.55978811 -1.40484086  0.28502033  0.77599887  1.05988388
  2.14688069  0.36116425 -0.95231383 -0.87515018  0.        ]",[ 1.73401072  0.23202221],"[[  2.32762453e+01  -3.00218648e+00   8.97480435e-02   1.20760070e-01]
 [  6.39050980e+01  -2.85483488e-02   0.00000000e+00   0.00000000e+00]]",[-0.30432901 -0.35407415],-0.148399030143
32,[ 1.10285199 -0.77763081],-0.94326,"[ 0.98065878 -0.55805393 -0.75725425  0.25618097  0.77599743  1.05988128
  2.24150869  0.48670662 -0.98040123 -1.05999892  0.        ]",[-0.01927516 -1.62283923],"[[ 24.58137916  -2.99350723   0.08974804   0.12076007]
 [ 66.59929706   0.8934629    0.           0.        ]]",[-0.30432901 -0.35407415],-0.167557151134
33,[ 0.92115664 -0.76507819],-0.741547,"[ 0.79958214 -0.56042917  1.05275996  0.29618736  0.775996    1.05987869
  2.19249748  0.21655826 -0.82938835 -1.1299729   0.        ]",[ 2.12241749  0.15939733],"[[ 25.89937011  -3.00554457   0.08974804   0.12076007]
 [ 65.20451573  -1.09055255   0.           0.        ]]",[-0.30432901 -0.35407415],-0.1624185213
34,[ 0.71965492 -0.73972601],-0.630244,"[-0.88364601 -0.56159897  1.30660782  0.31727832  0.77599457  1.0598761
  2.28622277  0.38388076 -0.7403724  -0.98896163  0.        ]",[ 0.56350691 -1.02772539],"[[ 27.23023514  -3.0118825    0.08974804   0.12076007]
 [ 67.87306562   0.1382959    0.           0.        ]]",[-0.30432901 -0.35407415],-0.141693936139
35,[ 0.87299204 -0.74186218],-0.683216,"[-1.49728681 -0.56103158 -0.44933912  0.3069436   0.77599314  1.05987351
  2.31737954  0.38475317 -0.83447609 -0.84341017  0.        ]",[ 0.35829405 -0.15635009],"[[ 28.59660034  -3.00877772   0.08974804   0.12076007]
 [ 68.76049561   0.14470675   0.           0.        ]]",[-0.30432901 -0.35407415],-0.134887525368
36,[ 1.07648861 -0.76742136],-0.819201,"[-0.01707844 -0.5604285  -1.45307779  0.29621932  0.77599171  1.05987091
  2.31937757  0.38542585 -0.97994079 -0.92416629  0.        ]",[ 0.05304869  0.06805291],"[[ 29.97238581  -3.00555454   0.08974804   0.12076007]
 [ 68.81785926   0.14965076   0.           0.        ]]",[-0.30432901 -0.35407415],-0.155259057292
37,[ 1.04230928 -0.78381538],-0.886525,"[ 1.1803586  -0.55932865 -0.09544672  0.27728503  0.77599027  1.05986832
  2.27888264  0.42208479 -0.93721632 -1.10661711  0.        ]",[ 0.53053414 -1.17677293],"[[ 31.33718138  -2.99986026   0.08974804   0.12076007]
 [ 67.66553358   0.41888365   0.           0.        ]]",[-0.30432901 -0.35407415],-0.168350465469
38,[ 0.77394801 -0.77215677],-0.666293,"[ 0.19996628 -0.56031801  1.44660477  0.29430858  0.77598884  1.05986573
  2.30559783  0.33690262 -0.77734722 -1.09047537  0.        ]",[ 0.04682039 -1.5518521 ],"[[ 32.69812704  -3.0049803    0.08974804   0.12076007]
 [ 68.42652895  -0.20670302   0.           0.        ]]",[-0.30432901 -0.35407415],-0.154712724352
