timestep,avg_action_dist,rewards,obs,actions,human_obs,logstd_action_dist,original_rewards
0,[-0.94822407 -1.76602936],-2.00273,"[ 1.1863914   2.31247893  0.101567    0.68062092 -0.23083301 -0.29530868
 -0.05761962  0.36947283  1.55681928  0.41051848  0.        ]",[ 1.14984233 -2.84297127],"[[ 0.05880858 -0.02977224 -0.02762546 -0.03532355]
 [-0.00298563 -0.00467752  0.          0.        ]]",[-0.38156933 -0.38371912],-0.241521402965
1,[-0.96886861 -1.75802171],-1.99201,"[ 1.18209346  2.30963756  0.16014438  0.53961016 -0.23083279 -0.2953084
  0.0629589  -0.16473908  1.55450565  0.443943    0.        ]",[-1.14245484 -2.98000277],"[[ 0.09845542 -0.06960814 -0.02762546 -0.03532355]
 [ 3.95448828 -3.96570506  0.          0.        ]]",[-0.38156933 -0.38371912],-0.241970138087
2,[-0.9845196  -1.74705625],-1.92803,"[ 1.17583065  2.28793819  0.2169991   0.1242367  -0.23083258 -0.29530812
 -0.05990947 -0.68795741  1.55041303  0.40216912  0.        ]",[-1.54240654 -1.66272439],"[[ 0.13708487 -0.18784661 -0.02762546 -0.03532355]
 [-0.07813646 -7.84522057  0.          0.        ]]",[-0.38156933 -0.38371912],-0.240496365946
3,[-0.96371889 -1.744555  ],-1.87621,"[ 1.18243579  2.20954755  0.15631522 -0.53811388 -0.23083237 -0.29530783
 -0.180356   -1.20082271  1.52157637  0.14992262  0.        ]",[-0.66004488 -1.42369561],"[[  0.09585994  -0.38290528  -0.02762546  -0.03532355]
 [ -4.03127464 -11.64798217   0.           0.        ]]",[-0.38156933 -0.38371912],-0.233072843313
4,[-0.87822819 -1.71578968],-1.76383,"[  1.18869481e+00   2.01871178e+00  -6.00587099e-04  -1.36809658e+00
  -2.30832152e-01  -2.95307552e-01  -2.57467016e-01  -1.70360280e+00
   1.38498223e+00  -2.51422845e-01   0.00000000e+00]",[-0.95012611 -1.4082161 ],"[[ -1.01564344e-02  -6.53269250e-01  -2.76254550e-02  -3.53235468e-02]
 [ -6.56211384e+00  -1.53759906e+01   0.00000000e+00   0.00000000e+00]]",[-0.38156933 -0.38371912],-0.216881429549
5,[-0.73031974 -1.61453342],-1.58166,"[ 1.16701435  1.65894155 -0.24771299 -2.19146146 -0.23083194 -0.29530727
 -0.36806823 -2.1963668   1.04415296 -0.68044765  0.        ]",[ 0.96640733 -1.92015786],"[[ -0.17781599  -0.99744879  -0.02762546  -0.03532355]
 [-10.19212324 -19.02977892   0.           0.        ]]",[-0.38156933 -0.38371912],-0.188160281593
6,[-0.63032305 -1.44838989],-1.19999,"[ 1.10920575  1.1066957  -0.48163028 -2.71474317 -0.23083172 -0.29530699
 -0.24547746 -2.67965108  0.54796414 -0.87108041  0.        ]",[-0.31373545 -2.12113805],"[[ -0.34128903  -1.41399974  -0.02762546  -0.03532355]
 [ -6.16863204 -22.61334922   0.           0.        ]]",[-0.38156933 -0.38371912],-0.147085463457
7,[-0.4858489  -1.16852665],-0.751028,"[ 1.03546994  0.41925433 -0.66461799 -2.56615323 -0.23083151 -0.29530671
 -0.27969412 -3.15320493  0.06796152 -0.70373286  0.        ]",[-0.36815801 -0.47603605],"[[ -0.47592655  -1.90149887  -0.02762546  -0.03532355]
 [ -7.29164998 -26.12487205   0.           0.        ]]",[-0.38156933 -0.38371912],-0.0942179892771
8,[-0.28105128 -0.82722443],-0.692657,"[ 0.9199038  -0.20638346 -0.86470146 -1.50768016 -0.2308313  -0.29530642
 -0.31982162 -3.3375831  -0.21970787 -0.23557527  0.        ]",[-0.77892919 -1.59214973],"[[ -0.63497447  -2.43771564  -0.02762546  -0.03532355]
 [ -8.60866546 -27.49227047   0.           0.        ]]",[-0.38156933 -0.38371912],-0.031606971526
9,[ 0.1572023  -0.46352115],-0.806388,"[ 0.73375394 -0.53590298 -1.0856668   0.36265875 -0.23083108 -0.29530614
 -0.4086597  -3.05506783 -0.12084852  0.316601    0.        ]",[ 0.55616204 -1.96876153],"[[ -0.83640817  -3.02182641  -0.02762546  -0.03532355]
 [-11.52438831 -25.39765229   0.           0.        ]]",[-0.38156933 -0.38371912],-0.0353436151163
