timestep,human_obs,rewards,obs,actions,avg_action_dist,logstd_action_dist,original_rewards
17,"[[  1.9675953   -3.00258099   0.19600331  -0.08646194]
 [ 22.42320861   0.13072231   0.           0.        ]]",-1.26539,"[-0.7192147  -0.49311411  1.38865129  0.36924765  1.69435976 -0.76024642
  0.71798148  0.40583249 -1.54030463  0.78805467  0.        ]",[-0.04160711 -1.23803658],[ 0.17844713 -0.59990335],[-0.26500118 -0.37462059],-0.197300626581
18,"[[  2.40995274  -3.00199893   0.19600331  -0.08646194]
 [ 21.81456668  -0.02578377   0.           0.        ]]",-1.25602,"[-1.21096254 -0.49299258  1.01067207  0.36693339  1.69434935 -0.76024452
  0.69702528  0.38459548 -1.54526371  0.85490594  0.        ]",[ 0.95305263 -1.55461379],[ 0.10710086 -0.63761944],[-0.26500118 -0.37462059],-0.201323324357
19,"[[  2.87977104  -3.00271824   0.19600331  -0.08646194]
 [ 25.15612732  -0.03668363   0.           0.        ]]",-1.2786,"[-1.51600732 -0.49314051  0.40217636  0.36979187  1.69433893 -0.76024261
  0.81206775  0.38311578 -1.57761424  0.91483715  0.        ]",[-0.19618047 -1.46641154],[ 0.01258254 -0.70359039],[-0.26500118 -0.37462059],-0.208368937803
20,"[[  3.37010375e+00  -3.00332673e+00   1.96003314e-01  -8.64619355e-02]
 [  2.38813916e+01  -2.35238912e-02   0.00000000e+00   0.00000000e+00]]",-1.24549,"[-1.52711646 -0.49326491 -0.31949506  0.3722101   1.69432851 -0.7602407
  0.76817866  0.38490073 -1.63254566  0.95268095  0.        ]",[ 0.38028352 -0.35152103],[-0.03332034 -0.75821924],[-0.26500118 -0.37462059],-0.216878044255
21,"[[  3.85809489  -3.00298966   0.19600331  -0.08646194]
 [ 24.91427943   0.03516855   0.           0.        ]]",-1.34585,"[-1.22473199 -0.49319455 -0.95917292  0.37086947  1.6943181  -0.7602388
  0.80373729  0.39286401 -1.69666758  0.95730966  0.        ]",[-1.27943722 -0.09108216],[-0.08394846 -0.81394839],[-0.26500118 -0.37462059],-0.224651280242
22,"[[  4.31170706  -3.00203567   0.19600331  -0.08646194]
 [ 20.46177527   0.04816104   0.           0.        ]]",-1.34779,"[-0.72411197 -0.49299631 -1.35176294  0.36707674  1.69430768 -0.76023689
  0.65044292  0.39462625 -1.75217623  0.93027432  0.        ]",[ 0.26367205 -0.20984424],[-0.07323527 -0.82865167],[-0.26500118 -0.37462059],-0.229820953267
23,"[[  4.72735267  -3.00136533   0.19600331  -0.08646194]
 [ 21.10065673   0.02200143   0.           0.        ]]",-1.49173,"[-0.16718523 -0.49285591 -1.46935515  0.36441185  1.69429726 -0.76023499
  0.6724371   0.39107591 -1.78908553  0.8829386   0.        ]",[-0.86771131 -0.87070975],[-0.07962623 -0.83323008],[-0.26500118 -0.37462059],-0.231927209077
24,"[[  5.11070498  -3.00176542   0.19600331  -0.08646194]
 [ 17.24741673  -0.03875424   0.           0.        ]]",-1.51406,"[ 0.34559279 -0.49293823 -1.35311796  0.3660013   1.69428685 -0.76023308
  0.53977461  0.38283121 -1.80481284  0.82778408  0.        ]",[-0.05222976  0.14413614],[-0.02819107 -0.80416137],[-0.26500118 -0.37462059],-0.231300360473
25,"[[  5.45015296  -2.99680505   0.19600331  -0.08646194]
 [ 16.69920604   0.53288474   0.           0.        ]]",-1.57683,"[ 0.73717553 -0.49188788 -1.08289244  0.34629245  1.69427643 -0.76023118
  0.52089945  0.46039674 -1.80555023  0.77266681  0.        ]",[-0.66938594 -2.44260706],[-0.00267778 -0.77526784],[-0.26500118 -0.37462059],-0.229011944183
26,"[[  5.75422815  -3.00712302   0.19600331  -0.08646194]
 [ 13.71830215  -0.31171853   0.           0.        ]]",-1.51406,"[ 0.99940227 -0.49402888 -0.73297361  0.38730199  1.69426601 -0.76022927
  0.4182703   0.34579071 -1.78665784  0.73833041  0.        ]",[ 0.49449866 -1.00204234],[ 0.11943348 -0.71551561],[-0.26500118 -0.37462059],-0.225255529579
