timestep,avg_action_dist,rewards,obs,actions,human_obs,logstd_action_dist,original_rewards
0,[ 0.44857889 -0.64615309],-0.67845,"[ 1.06736564  1.55364338 -0.11890767  0.36175525  1.29618352  0.37869731
 -0.17241548  0.27642628  0.13206248 -0.48536462  0.        ]",[ 1.39150065 -0.43094443],"[[-0.08584642 -0.0798683   0.14923523  0.04146775]
 [-0.0025032   0.00404664  0.          0.        ]]",[-0.07850059 -0.18013367],-0.0900970208473
1,[ 0.43372971 -0.64763862],-0.638289,"[ 1.07097951  1.55177101 -0.05844823  0.32404705  1.29616646  0.37869518
  0.16806595  0.03845995  0.13637787 -0.43738516  0.        ]",[ 0.31000989 -0.16887181],"[[-0.04619878 -0.09692407  0.14923523  0.04146775]
 [ 3.95409238 -1.70392492  0.          0.        ]]",[-0.07850059 -0.18013367],-0.0857949672441
2,[ 0.39680165 -0.6578806 ],-0.613692,"[ 1.07108078  1.54594747  0.07997872  0.23488216  1.2961494   0.37869306
  0.2668905  -0.05006312  0.14079008 -0.32855616  0.        ]",[ 1.0849199   0.08808396],"[[ 0.04440538 -0.13737739  0.14923523  0.04146775]
 [ 5.10250006 -2.33928659  0.          0.        ]]",[-0.07850059 -0.18013367],-0.0765162686143
3,[ 0.31712282 -0.68063772],-0.597916,"[ 1.04875228  1.53761638  0.29346651  0.14101014  1.29613234  0.37869093
  0.59861545  0.00478205  0.1331693  -0.14350184  0.        ]",[ 0.65145936 -0.41781976],"[[ 0.18513209 -0.18021374  0.14923523  0.04146775]
 [ 8.9573411  -1.94564602  0.          0.        ]]",[-0.07850059 -0.18013367],-0.0632040773825
4,[ 0.25841862 -0.68767774],-0.580556,"[ 0.96921137  1.52364642  0.59088083  0.02128757  1.29611528  0.3786888
  0.80519427 -0.22046991  0.08607352  0.12366589  0.        ]",[-1.05433736 -0.50510272],"[[  0.38836486  -0.23534771   0.14923523   0.04146775]
 [ 11.35794892  -3.56234759   0.           0.        ]]",[-0.07850059 -0.18013367],-0.0536724585406
5,[ 0.25355816 -0.67835176],-0.614736,"[ 0.85060545  1.49286589  0.8414845  -0.17184214  1.29609822  0.37868668
  0.44549675 -0.48906405  0.01478195  0.32280471  0.        ]",[-1.23066049 -1.96451624],"[[ 0.57358681 -0.32593656  0.14923523  0.04146775]
 [ 7.17815133 -5.49013164  0.          0.        ]]",[-0.07850059 -0.18013367],-0.057406372534
6,[ 0.28410792 -0.66069281],-0.581454,"[ 0.7675663   1.42200936  0.96843279 -0.47496671  1.29608116  0.37868455
  0.09296451 -1.0253808  -0.01784518  0.34810002  0.        ]",[ 1.73812952  0.44205615],"[[ 0.6760485  -0.47436055  0.14923523  0.04146775]
 [ 3.0816081  -9.33946177  0.          0.        ]]",[-0.07850059 -0.18013367],-0.0565374406368
7,[ 0.20924789 -0.68067753],-0.574438,"[ 0.67489446  1.3134291   1.08343615 -0.78974585  1.2960641   0.37868242
  0.42811141 -0.75591848 -0.0544236   0.35024633  0.        ]",[ 0.01582242 -0.51122976],"[[ 0.77675504 -0.64174624  0.14923523  0.04146775]
 [ 6.97614278 -7.40551649  0.          0.        ]]",[-0.07850059 -0.18013367],-0.0534089489613
8,[ 0.20463786 -0.66595215],-0.6084,"[ 0.53099541  1.17778439  1.22390314 -1.06671188  1.29604704  0.3786803
  0.42168536 -1.01749837 -0.12155818  0.39606099  0.        ]",[ 0.10611144 -2.1683388 ],"[[ 0.91552907 -0.808694    0.14923523  0.04146775]
 [ 6.90149885 -9.2829988   0.          0.        ]]",[-0.07850059 -0.18013367],-0.0538466241421
9,[ 0.2320099  -0.62953937],-0.582212,"[ 0.36831174  0.96006566  1.34265686 -1.36646774  1.29602998  0.37867817
  0.44617067 -1.54354448 -0.19628744  0.38633798  0.        ]",[ 1.69519871 -0.26123047],"[[  1.05641443  -1.03223709   0.14923523   0.04146775]
 [  7.18605367 -13.05871794   0.           0.        ]]",[-0.07850059 -0.18013367],-0.0492643747057
