timestep,avg_action_dist,rewards,obs,actions,human_obs,logstd_action_dist,original_rewards
0,[ 2.40880585 -1.21861577],-1.3476,"[ 1.18178423  2.28757401 -0.11362648  1.06936624  0.87745779  1.20552335
 -0.06506857  0.37015093  0.60423704 -1.20836084  0.        ]",[ 2.02914275 -1.36313491],"[[-0.0866629   0.08286085  0.10039321  0.13710186]
 [-0.00135157  0.0041146   0.          0.        ]]",[-0.3785812  -0.38230786],-0.182479131188
1,[ 2.36080146 -1.22119796],-1.36207,"[ 1.18543553  2.29111324 -0.05492048  0.93073369  0.87745634  1.20552059
  0.05883036 -0.16557809  0.60620229 -1.17476163  0.        ]",[ 2.09768258 -0.8356362 ],"[[-0.0469837   0.04319906  0.10039321  0.13710186]
 [ 3.9560888  -3.95708828  0.          0.        ]]",[-0.3785812  -0.38230786],-0.179484825677
2,[ 2.21251917 -1.26612699],-1.32063,"[ 1.18347457  2.2891041   0.12000896  0.54019533  0.87745489  1.20551782
  0.18026987 -0.60267752  0.60515191 -1.06861846  0.        ]",[ 2.1096761  -1.73374431],"[[ 0.07105608 -0.06836984  0.10039321  0.13710186]
 [ 7.83497356 -7.18902155  0.          0.        ]]",[-0.3785812  -0.38230786],-0.169654560401
3,[ 1.96552444 -1.3285805 ],-1.21608,"[ 1.13848031  2.24803964  0.40441523 -0.08863635  0.87745344  1.20551506
  0.29931683 -1.11912638  0.58084449 -0.89395617  0.        ]",[ 1.33734525 -1.35625778],"[[  0.26590661  -0.25046439   0.10039321   0.13710186]
 [ 11.63743898 -11.00767667   0.           0.        ]]",[-0.3785812  -0.38230786],-0.152188833145
4,[ 1.62809324 -1.38870943],-1.09789,"[ 0.99349285  2.11269689  0.77212492 -0.92477725  0.87745199  1.2055123
  0.41601678 -1.6253059   0.50259557 -0.67192217  0.        ]",[ 0.60831187 -1.66200157],"[[  0.53605385  -0.5081709    0.10039321   0.13710186]
 [ 15.36494064 -14.75042433   0.           0.        ]]",[-0.3785812  -0.38230786],-0.126531167351
5,[ 1.2543776  -1.38440788],-1.05969,"[ 0.7029154   1.81950868  1.14285849 -1.82858876  0.87745054  1.20550953
  0.48190924 -2.12130889  0.34627863 -0.46292224  0.        ]",[ 1.61069721 -0.91683702],"[[  0.86446866  -0.83997809   0.10039321   0.13710186]
 [ 17.46961301 -18.41797174   0.           0.        ]]",[-0.3785812  -0.38230786],-0.0946035770393
6,[ 0.94896519 -1.2759074 ],-0.840324,"[ 0.24250045  1.33068701  1.42204463 -2.5343708   0.87744908  1.20550677
  0.59503726 -2.56289925  0.09870105 -0.31760861  0.        ]",[ 0.17035811 -0.26291093],"[[  1.25011353  -1.24110108   0.10039321   0.13710186]
 [ 21.08302881 -21.683254     0.           0.        ]]",[-0.3785812  -0.38230786],-0.0582191280852
7,[ 0.90902483 -1.04821277],-0.737407,"[-0.3348371   0.71402355  1.4896916  -2.70178738  0.87744763  1.20550401
  0.60314663 -2.64535909 -0.21201549 -0.29338022  0.        ]",[ 1.16627323 -1.11690594],"[[  1.67437296  -1.68088539   0.10039321   0.13710186]
 [ 21.3420722  -22.29311686   0.           0.        ]]",[-0.3785812  -0.38230786],-0.0383610031509
8,[ 1.03839254 -0.7278235 ],-0.686609,"[-0.93174877  0.07759674  1.26644372 -2.12844722  0.87744618  1.20550124
  0.7139223  -3.12089662 -0.53350914 -0.43867612  0.        ]",[ 0.28460705 -0.7188619 ],"[[  2.13671408  -2.16203023   0.10039321   0.13710186]
 [ 24.88035583 -25.80954227   0.           0.        ]]",[-0.3785812  -0.38230786],-0.0708353343222
9,[ 1.25478303 -0.46627897],-0.95535,"[-1.40200218 -0.41642466  0.7268195  -0.71222233  0.87744473  1.20549848
  0.73383372 -3.43646119 -0.78786161 -0.7806836   0.        ]",[ 1.03470529 -0.2724587 ],"[[  2.64070445  -2.70163374   0.10039321   0.13710186]
 [ 25.51637395 -28.14319593   0.           0.        ]]",[-0.3785812  -0.38230786],-0.123719059786
10,[ 1.51332355 -0.50272894],-1.18432,"[-1.57008063 -0.55019809 -0.05067155  0.94845751  0.87744328  1.20549572
  0.84201601 -0.9934158  -0.87914617 -1.09818778  0.        ]",[ 1.6978104   0.54598672],"[[  3.18569892  -3.18985613   0.10039321   0.13710186]
 [ 28.97183089 -10.07864566   0.           0.        ]]",[-0.3785812  -0.38230786],-0.161092782069
11,[ 1.6114918  -0.58256501],-1.17764,"[-1.28387126 -0.54824945 -0.89158316  1.02867282  0.87744183  1.20549295
  0.94803468  0.84341461 -0.85604291 -1.13887114  0.        ]",[ 1.62323685  0.30067113],"[[  3.79911356  -3.21280068   0.10039321   0.13710186]
 [ 32.3581902    3.50340418   0.           0.        ]]",[-0.3785812  -0.38230786],-0.163391330657
12,[ 1.62761116 -0.63651407],-1.07709,"[-0.51042894 -0.55165771 -1.42819698  0.72147243  0.87744038  1.20549019
  1.0519387   1.04326471 -0.94780955 -1.04533592  0.        ]",[ 1.97304613 -1.1738906 ],"[[  4.47957654  -3.12503019   0.10039321   0.13710186]
 [ 35.67701832   4.98116662   0.           0.        ]]",[-0.3785812  -0.38230786],-0.161532425265
