timestep,avg_action_dist,rewards,obs,actions,human_obs,logstd_action_dist,original_rewards
0,[ 1.23110056 -1.36172724],-1.6682,"[ 1.182233    2.2642282  -0.05512641  0.82191719 -0.16555689  0.80640595
 -0.07806178  0.3681223   1.48934506 -0.81010596  0.        ]",[ 1.59581545 -0.94200958],"[[-0.0477137   0.01501835 -0.01958718  0.09134124]
 [-0.00308042 -0.00351539  0.          0.        ]]",[-0.33580455 -0.37412405],-0.250144885875
1,[ 1.17101574 -1.37435031],-1.65956,"[ 1.18375452  2.26401624  0.00368927  0.69270626 -0.16555671  0.8064046
  0.05117019 -0.13814321  1.49021271 -0.77455832  0.        ]",[-0.04486904 -1.19888603],"[[-0.00806964 -0.02249071 -0.01958718  0.09134124]
 [ 3.95430455 -3.73494963  0.          0.        ]]",[-0.33580455 -0.37412405],-0.248611245531
2,[ 1.03338206 -1.4108516 ],-1.72708,"[ 1.18056594  2.25128694  0.11720921  0.30250773 -0.16555654  0.80640325
  0.04286883 -0.66531686  1.48701565 -0.74430382  0.        ]",[ 1.68743065 -1.25426196],"[[ 0.068466   -0.1361746  -0.01958718  0.09134124]
 [ 3.70009927 -7.6204897   0.          0.        ]]",[-0.33580455 -0.37412405],-0.246860805792
3,[ 0.69536948 -1.49754345],-1.71799,"[ 1.16115907  2.18960391  0.2834962  -0.33575477 -0.16555637  0.8064019
  0.1697114  -1.18226248  1.46988572 -0.72136762  0.        ]",[ 0.68868316 -1.91209719],"[[  0.18143932  -0.32681327  -0.01958718   0.09134124]
 [  7.58431131 -11.43065596   0.           0.        ]]",[-0.33580455 -0.37412405],-0.243709454288
4,[ 0.25932524 -1.57287598],-1.69547,"[ 1.0958987   2.02332967  0.53710575 -1.15474931 -0.16555619  0.80640055
  0.25383067 -1.68887981  1.42130131 -0.6576108   0.        ]",[ 0.12309367 -1.47581788],"[[  0.35897037  -0.59289197  -0.01958718   0.09134124]
 [ 10.16023959 -15.1647266    0.           0.        ]]",[-0.33580455 -0.37412405],-0.234887302882
5,[-0.09564173 -1.59356606],-1.62891,"[ 0.96944858  1.69314398  0.81044122 -1.99734626 -0.16555602  0.8063992
  0.26321536 -2.18532319  1.32120353 -0.62068315  0.        ]",[-0.36997702 -1.76365328],"[[  0.56505901  -0.93290006  -0.01958718   0.09134124]
 [ 10.44762822 -18.82386275   0.           0.        ]]",[-0.33580455 -0.37412405],-0.220684615001
6,[-0.27798897 -1.50331855],-1.51853,"[ 0.80696315  1.16787987  1.03525738 -2.58761021 -0.16555585  0.80639785
  0.20868469 -2.6718485   1.15178128 -0.67424241  0.        ]",[ 0.47605453 -2.18166316],"[[  7.57259526e-01  -1.34535767e+00  -1.95871752e-02   9.13412401e-02]
 [  8.77778704e+00  -2.24099796e+01   0.00000000e+00   0.00000000e+00]]",[-0.33580455 -0.37412405],-0.201930489769
7,[-0.12100822 -1.24725783],-1.25901,"[ 0.6069948   0.49188555  1.2229697  -2.56070844 -0.16555568  0.8063965
  0.26454031 -3.14881849  0.88670513 -0.76769745  0.        ]",[-1.13025357 -1.99918721],"[[  9.49976691e-01  -1.82883303e+00  -1.95871752e-02   9.13412401e-02]
 [  1.04882148e+01  -2.59257850e+01   0.00000000e+00   0.00000000e+00]]",[-0.33580455 -0.37412405],-0.175656902564
8,[ 0.2935397  -0.84498036],-1.0478,"[ 0.40820667 -0.17162846  1.35031308 -1.60228814 -0.1655555   0.80639514
  0.12846537 -3.61626604  0.5066937  -0.86581109  0.        ]",[ 0.0709836  -0.85408136],"[[  1.11793682e+00  -2.38192001e+00  -1.95871752e-02   9.13412401e-02]
 [  6.32131632e+00  -2.93715594e+01   0.00000000e+00   0.00000000e+00]]",[-0.33580455 -0.37412405],-0.143599552182
9,[ 0.78327566 -0.45835182],-0.787235,"[ 0.2450236  -0.54522293  1.42227957  0.2753321  -0.16555533  0.80639379
  0.13352128 -3.99610923  0.02717665 -0.85308677  0.        ]",[-0.26324848 -1.18501984],"[[  1.24591499e+00  -2.99744672e+00  -1.95871752e-02   9.13412401e-02]
 [  6.47614307e+00  -3.21717932e+01   0.00000000e+00   0.00000000e+00]]",[-0.33580455 -0.37412405],-0.109481342179
10,[ 0.78206384 -0.47221699],-0.577914,"[ 0.08839778 -0.54664427  1.4682064   1.24052255 -0.16555516  0.80639244
  0.09534381  0.36684132 -0.19719986 -0.78231023  0.        ]",[ 1.33384294 -1.33381887],"[[ 1.36370989 -3.27854987 -0.01958718  0.09134124]
 [ 5.30707346 -0.01311457  0.          0.        ]]",[-0.33580455 -0.37412405],-0.096437426201
