timestep,avg_action_dist,rewards,obs,actions,human_obs,logstd_action_dist,original_rewards
0,[-1.68498433 -1.47042525],-2.18242,"[ 1.17680333  2.24942011 -0.11535811  0.98881062  0.34915785 -1.46460083
 -0.07506811  0.36761236  1.04654544  1.36801191  0.        ]",[-2.41281533 -1.76394488],"[[-0.08910226  0.06507808  0.03942676 -0.16971384]
 [ 0.00238129 -0.00398529  0.          0.        ]]",[-0.32877824 -0.36232674],-0.232310027178
1,[-1.502033   -1.41760421],-2.05096,"[ 1.17086169  2.25193592 -0.17385126  0.85285291  0.34915744 -1.46459599
 -0.20684121 -0.17023614  1.03925481  1.26104137  0.        ]",[-2.08726768 -1.113013  ],"[[-0.12873019  0.02528675  0.03942676 -0.16971384]
 [-3.9520109  -3.96196217  0.          0.        ]]",[-0.32877824 -0.36232674],-0.223140175336
2,[-1.30869317 -1.38491178],-1.73304,"[ 1.14053643  2.24630363 -0.34579887  0.44914143  0.34915703 -1.46459114
 -0.33600957 -0.69743906  0.98095232  0.94937798  0.        ]",[-2.25686655 -0.80537733],"[[-0.24666156 -0.09287818  0.03942676 -0.16971384]
 [-7.82823842 -7.84160198  0.          0.        ]]",[-0.32877824 -0.36232674],-0.194462590007
3,[-1.10847688 -1.35773563],-1.33657,"[ 1.05014517  2.19747715 -0.61753952 -0.17932781  0.34915662 -1.4645863
 -0.4626421  -1.10947876  0.77640054  0.49004866  0.        ]",[-1.66575435 -1.86831317],"[[ -0.44135339  -0.28013315   0.03942676  -0.16971384]
 [-11.62837045 -10.87377707   0.           0.        ]]",[-0.32877824 -0.36232674],-0.144215882222
4,[-0.81604302 -1.29060042],-0.75421,"[ 0.8479374   2.05550766 -0.95262524 -0.97798426  0.34915621 -1.46458146
 -0.58678788 -1.61805601  0.31681587  0.03193296  0.        ]",[-0.58395446 -1.98456995],"[[ -0.7112978   -0.53515996   0.03942676  -0.16971384]
 [-15.35388183 -14.61638866   0.           0.        ]]",[-0.32877824 -0.36232674],-0.0713842139143
5,[-0.5809173  -1.20492899],-0.431109,"[ 0.50322885  1.75842096 -1.26273254 -1.83535119  0.34915579 -1.46457662
 -0.65368687 -2.11659483 -0.39185999 -0.14237728  0.        ]",[-0.53263114 -1.63653585],"[[ -1.03851472  -0.86429853   0.03942676  -0.16971384]
 [-17.36147943 -18.28517917   0.           0.        ]]",[-0.32877824 -0.36232674],-0.0319311475745
6,[-0.41409373 -1.10529423],-0.657351,"[ 0.03313568  1.26685784 -1.44743108 -2.49647758  0.34915538 -1.46457177
 -0.71257895 -2.60520865 -1.10275761  0.20884433  0.        ]",[-0.9795198  -1.30654915],"[[ -1.40347164  -1.26608093   0.03942676  -0.16971384]
 [-19.1288014  -21.88101291   0.           0.        ]]",[-0.32877824 -0.36232674],-0.122569402339
7,[-0.34555191 -0.96979201],-0.957997,"[-0.53813313  0.60869342 -1.42185435 -2.60572182  0.34915497 -1.46456693
 -0.82933917 -3.08402609 -1.42759832  1.02448831  0.        ]",[ 1.13180398  0.20937654],"[[ -1.82119767  -1.73905775   0.03942676  -0.16971384]
 [-22.63269278 -25.40487101   0.           0.        ]]",[-0.32877824 -0.36232674],-0.202350246741
8,[-0.38294798 -0.79385734],-1.26149,"[-1.04064353 -0.02203092 -1.15729467 -1.92944354  0.34915456 -1.46456209
 -0.68272434 -2.9028201  -1.15452861  1.69852387  0.        ]",[-0.68296514 -1.57060327],"[[ -2.22971399  -2.23377677   0.03942676  -0.16971384]
 [-18.23297433 -24.07157973   0.           0.        ]]",[-0.32877824 -0.36232674],-0.235013579635
9,[-0.05001606 -0.47993606],-1.14852,"[-1.39047035 -0.45690481 -0.72577001 -0.53859656  0.34915415 -1.46455725
 -0.76093963 -3.37593783 -0.64626568  1.78001535  0.        ]",[-1.60963306 -0.13933591],"[[ -2.61792575  -2.75014387   0.03942676  -0.16971384]
 [-20.58016567 -27.55362512   0.           0.        ]]",[-0.32877824 -0.36232674],-0.215135512235
10,[-0.17900543 -0.45729747],-1.19778,"[-1.57120588 -0.56312118 -0.09656629  0.83433791  0.34915373 -1.46455241
 -0.87930518 -0.52605934 -0.42643701  1.4351999   0.        ]",[ 1.08620914 -0.48335467],"[[ -3.06517712  -3.16146268   0.03942676  -0.16971384]
 [-24.13223155  -6.5808548    0.           0.        ]]",[-0.32877824 -0.36232674],-0.168669519601
11,[-0.53020138 -0.5293054 ],-1.22602,"[-1.4860121  -0.5629298   0.54227883  0.85461101  0.34915332 -1.46454756
 -0.73143208  0.76401745 -0.44203058  1.40905305  0.        ]",[-0.8924227  -0.49897144],"[[ -3.50329769  -3.16739181   0.03942676  -0.16971384]
 [-19.69476313   2.91305775   0.           0.        ]]",[-0.32877824 -0.36232674],-0.166010697323
12,[-0.58569139 -0.50943005],-1.34544,"[-1.16969593 -0.56230431  1.06864731  0.63161001  0.34915291 -1.46454272
 -0.83618224  0.78059121 -0.42807942  1.4313883   0.        ]",[-1.12439515 -0.29119942],"[[ -3.92873228  -3.10218165   0.03942676  -0.16971384]
 [-22.8382397    3.03503666   0.           0.        ]]",[-0.32877824 -0.36232674],-0.16826540522
13,[-0.59539676 -0.48271409],-1.37019,"[-0.59297757 -0.55787797  1.43901941  0.46381942  0.3491525  -1.46453788
 -0.95305272  0.62164987 -0.41274991  1.41172998  0.        ]",[-0.89475133  0.44084387],"[[ -4.42068602  -3.05302043   0.03942676  -0.16971384]
 [-26.34544475   1.86536686   0.           0.        ]]",[-0.32877824 -0.36232674],-0.165622172781
14,[-0.71085238 -0.52602661],-1.39463,"[ 0.16532129 -0.54902075  1.44970907  0.27883935  0.34915209 -1.46453304
 -1.05371704  0.85385935 -0.40735594  1.35834227  0.        ]",[-0.03864226 -0.14467677],"[[ -4.97790463  -2.9985678    0.03942676  -0.16971384]
 [-29.36633386   3.57424637   0.           0.        ]]",[-0.32877824 -0.36232674],-0.159275486738
15,[-0.74397087 -0.59767836],-1.39042,"[ 0.83802801 -0.53303283  0.99845698  0.05985513  0.34915168 -1.4645282
 -1.03943695  0.76648967 -0.43323117  1.27875696  0.        ]",[-0.47671732 -0.43015021],"[[ -5.56093246  -2.93353425   0.03942676  -0.16971384]
 [-28.9378734    2.931288     0.           0.        ]]",[-0.32877824 -0.36232674],-0.150665876608
16,[-0.67107797 -0.64882433],-1.42113,"[ 1.1705851  -0.51996762  0.20973776 -0.07660039  0.34915126 -1.46452336
 -1.08323958  0.52727275 -0.52430255  1.23099206  0.        ]",[ 0.09580868 -0.82839607],"[[ -6.15287904  -2.89257185   0.03942676  -0.16971384]
 [-30.25241388   1.17085748   0.           0.        ]]",[-0.32877824 -0.36232674],-0.148186070073
17,[-0.51650149 -0.64712727],-1.53289,"[ 1.03592232 -0.52327362 -0.64900853 -0.04435424  0.34915085 -1.46451851
 -1.05064499  0.07853896 -0.63365081  1.29449862  0.        ]",[-2.02965981 -1.51304539],"[[ -6.74811381  -2.9022876    0.03942676  -0.16971384]
 [-29.27435751  -2.13144338   0.           0.        ]]",[-0.32877824 -0.36232674],-0.160074345093
18,[-0.31233037 -0.60188419],-1.38475,"[ 0.44809434 -0.54599394 -1.29589997  0.23029598  0.34915044 -1.46451367
 -1.16328011 -0.45368076 -0.64439418  1.46196828  0.        ]",[-1.25346822 -0.44791383],"[[ -7.36751463  -2.98421361   0.03942676  -0.16971384]
 [-32.65449451  -6.04813085   0.           0.        ]]",[-0.32877824 -0.36232674],-0.179181391876
19,[-0.44268817 -0.66484952],-1.25418,"[-0.47020653 -0.55635119 -1.43860616  0.42471784  0.34915003 -1.46450883
 -1.27366771  0.32720851 -0.56538575  1.56204026  0.        ]",[-0.44126458 -0.67022392],"[[ -8.05384224  -3.04153726   0.03942676  -0.16971384]
 [-35.96720616  -0.30145374   0.           0.        ]]",[-0.32877824 -0.36232674],-0.187382144736
20,[-0.45901281 -0.63084614],-1.19809,"[-1.30137234 -0.55516618 -0.87145304  0.39718001  0.34914962 -1.46450399
 -1.30815428  0.46485818 -0.49863656  1.59287801  0.        ]",[ 0.37236121 -0.57142393],"[[ -8.78357088  -3.03344256   0.03942676  -0.16971384]
 [-37.00222137   0.711533     0.           0.        ]]",[-0.32877824 -0.36232674],-0.1888407366
21,[-0.48326242 -0.55547482],-1.25369,"[-1.57116905 -0.55299025  0.13057225  0.35138515  0.3491492  -1.46449915
 -1.23461221  0.44589721 -0.42668045  1.5719901   0.        ]",[ 0.45412436 -0.04437516],"[[ -9.50147354  -3.01996509   0.03942676  -0.16971384]
 [-34.79540264   0.57200092   0.           0.        ]]",[-0.32877824 -0.36232674],-0.184634535058
22,[-0.53095442 -0.49496153],-1.44972,"[-1.20748876 -0.55128064  1.02644424  0.31872515  0.34914879 -1.46449431
 -1.15173916  0.4209465  -0.38054441  1.50273598  0.        ]",[ 0.89853628 -1.11582477],"[[-10.17243024  -3.01033982   0.03942676  -0.16971384]
 [-32.30855638   0.38838943   0.           0.        ]]",[-0.32877824 -0.36232674],-0.175626980245
23,[-0.58187526 -0.47677395],-1.45974,"[-0.49612096 -0.55043123  1.46625142  0.30337432  0.34914838 -1.46448947
 -1.01187341  0.38403867 -0.38004056  1.41872706  0.        ]",[-0.91362015 -0.6647061 ],"[[-10.77648994  -3.00581164   0.03942676  -0.16971384]
 [-28.11139936   0.11678388   0.           0.        ]]",[-0.32877824 -0.36232674],-0.165773721968
24,[-0.57075864 -0.47899592],-1.48777,"[ 0.30705759 -0.55010598  1.39917167  0.29763978  0.34914797 -1.46448462
 -1.11386644  0.37604542 -0.42241175  1.34841528  0.        ]",[-1.14059609 -0.90342673],"[[-11.36942773  -3.00411941   0.03942676  -0.16971384]
 [-31.17218003   0.05796399   0.           0.        ]]",[-0.32877824 -0.36232674],-0.15847941834
25,[-0.53011858 -0.51560795],-1.4753,"[ 0.9861192  -0.54999711  0.78021064  0.29574474  0.34914756 -1.46447978
 -1.22523644  0.36944253 -0.5011644   1.31680134  0.        ]",[ 0.06766859 -0.86427039],"[[ -1.20264046e+01  -3.00356018e+00   3.94267606e-02  -1.69713841e-01]
 [ -3.45143721e+01   9.37586832e-03   0.00000000e+00   0.00000000e+00]]",[-0.32877824 -0.36232674],-0.157127409487
26,[-0.51298171 -0.58528316],-1.50273,"[ 1.16863673 -0.54997767 -0.19157499  0.29541776  0.34914715 -1.46447494
 -1.19353681  0.36842999 -0.58311972  1.34932321  0.        ]",[ 0.01009839 -0.35826766],"[[ -1.27071486e+01  -3.00346377e+00   3.94267606e-02  -1.69713841e-01]
 [ -3.35631908e+01   1.92777748e-03   0.00000000e+00   0.00000000e+00]]",[-0.32877824 -0.36232674],-0.16391926483
