timestep,avg_action_dist,rewards,obs,actions,human_obs,logstd_action_dist,original_rewards
0,[ 1.18684137 -0.76452368],-0.463608,"[ 1.12300038  1.77612607  0.00484186  0.87065898  1.57381684  0.52898053
 -0.13825491  0.31956415 -0.05203945 -0.37389651  0.        ]",[ 1.27716669 -0.38264663],"[[-0.01692066  0.0998443   0.18006619  0.05892872]
 [ 0.0023665   0.00478595  0.          0.        ]]",[-0.13388242 -0.26047188],-0.0593795873828
1,[ 1.15817297 -0.75499153],-0.462608,"[ 1.12283122  1.77786548  0.06494243  0.83182962  1.57379987  0.52897843
  0.11656099  0.10873915 -0.05389698 -0.32220634  0.        ]",[ 1.89636529 -0.01025265],"[[ 0.02282267  0.08472193  0.18006619  0.05892872]
 [ 3.95879029 -1.51196427  0.          0.        ]]",[-0.13388242 -0.26047188],-0.0535509747239
2,[ 1.09007084 -0.75685638],-0.542846,"[ 1.10955209  1.78051034  0.24281767  0.75373458  1.57378291  0.52897633
  0.36629871  0.10704655 -0.07059953 -0.15709816  0.        ]",[ 2.23621473 -2.46470514],"[[ 0.14090339  0.05436046  0.18006619  0.05892872]
 [ 7.83637003 -1.524139    0.          0.        ]]",[-0.13388242 -0.26047188],-0.0357137568119
3,[ 1.00969815 -0.72477311],-0.443648,"[ 1.04637017  1.7822022   0.52875249  0.57351459  1.57376594  0.52897423
  0.61119367 -0.43934029 -0.12648317  0.09247154  0.        ]",[ 0.77745402 -1.09587137],"[[  0.33578142  -0.01556237   0.18006619   0.05892872]
 [ 11.63876847  -5.45503471   0.           0.        ]]",[-0.13388242 -0.26047188],-0.0206545120678
4,[ 0.8882761  -0.69183731],-0.460481,"[ 0.88519053  1.76550471  0.88075433  0.19440952  1.57374898  0.52897213
  0.79454474 -0.97484464 -0.23912501  0.36293976  0.        ]",[ 1.2027432  -0.42467352],"[[  0.59711996  -0.16331799   0.18006619   0.05892872]
 [ 14.48562316  -9.30765935   0.           0.        ]]",[-0.13388242 -0.26047188],-0.0436010338143
5,[ 0.68013203 -0.68087381],-0.621579,"[ 0.57705611  1.69922709  1.23697444 -0.30552672  1.57373201  0.52897003
  1.03092516 -1.18310423 -0.43910162  0.63947366  0.        ]",[-0.60836321 -1.80955548],"[[  0.92365652  -0.3645053    0.18006619   0.05892872]
 [ 18.15587157 -10.80600573   0.           0.        ]]",[-0.13388242 -0.26047188],-0.0835260289286
6,[ 0.57822412 -0.62763333],-0.763934,"[ 0.16972842  1.54825159  1.46983849 -0.88070015  1.57371505  0.52896794
  0.8529027  -1.70350693 -0.67862149  0.81637462  0.        ]",[-0.53127442 -0.37116429],"[[  1.25904224  -0.61819108   0.18006619   0.05892872]
 [ 15.39188718 -14.55009435   0.           0.        ]]",[-0.13388242 -0.26047188],-0.118979955663
7,[ 0.47724244 -0.59637576],-0.843712,"[-0.21353723  1.28276106  1.54212648 -1.43933988  1.57369809  0.52896584
  0.69797546 -1.86752772 -0.86242346  0.84024914  0.        ]",[ 2.23289626  0.05221258],"[[  1.54274625  -0.92103417   0.18006619   0.05892872]
 [ 12.98647053 -15.73030532   0.           0.        ]]",[-0.13388242 -0.26047188],-0.136978388557
8,[ 0.38676855 -0.57827479],-0.91474,"[-0.61735575  0.93982299  1.48839671 -1.81681832  1.57368113  0.52896374
  0.93630966 -1.79550337 -1.05959003  0.80394761  0.        ]",[ 1.27780476 -1.85426015],"[[  1.83960272  -1.23044432   0.18006619   0.05892872]
 [ 16.68702809 -15.21230163   0.           0.        ]]",[-0.13388242 -0.26047188],-0.153735383246
9,[ 0.39845392 -0.53943074],-0.938457,"[-1.0722659   0.51692053  1.24434044 -1.96469157  1.57366416  0.52896164
  1.17005343 -2.30386478 -1.30089985  0.69906851  0.        ]",[ 0.79800577 -0.87803074],"[[  2.20975597  -1.57139093   0.18006619   0.05892872]
 [ 20.3163601  -18.87001232   0.           0.        ]]",[-0.13388242 -0.26047188],-0.174530489053
