timestep,avg_action_dist,rewards,obs,actions,human_obs,logstd_action_dist,original_rewards
0,[ 0.76583529 -0.7735734 ],-0.623224,"[ 1.11458654  1.72626279  0.06610029  0.68527413  1.46945439  0.19211944
 -0.13690667  0.30959294  0.02919448 -0.05498134  0.        ]",[ 0.67050275 -2.09136349],"[[ 0.02365652  0.0368033   0.16768874  0.01831795]
 [-0.00060237  0.00326555  0.          0.        ]]",[-0.12335245 -0.23405315],-0.0430989710124
1,[ 0.7767815  -0.74530393],-0.514585,"[ 1.1132251   1.7270816   0.10642451  0.5864752   1.46943829  0.19211875
  0.04633541 -0.24073586  0.02905107 -0.04558339  0.        ]",[ 1.73209961  0.97328419],"[[  5.02726279e-02  -2.87023928e-03   1.67688737e-01   1.83179544e-02]
 [  2.65337129e+00  -3.95741571e+00   0.00000000e+00   0.00000000e+00]]",[-0.12335245 -0.23405315],-0.0428306326811
2,[ 0.5915159  -0.81307328],-0.550654,"[ 1.10101601  1.72592807  0.24553696  0.48759482  1.46942219  0.19211805
  0.31573809  0.30542067  0.02006206  0.06895666  0.        ]",[ 1.13852439 -0.64267403],"[[ 0.14248867 -0.04258119  0.16768874  0.01831795]
 [ 6.55524668 -0.02677282  0.          0.        ]]",[-0.12335245 -0.23405315],-0.0413214699908
3,[ 0.49023938 -0.80354118],-0.54732,"[ 1.04854983  1.72408942  0.49562009  0.42274376  1.46940609  0.19211736
  0.57998503 -0.04829643 -0.02453155  0.31468272  0.        ]",[-0.29912297 -0.87631416],"[[  0.31199316  -0.06865818   0.16768874   0.01831795]
 [ 10.38245897  -2.57243305   0.           0.        ]]",[-0.12335245 -0.23405315],-0.0518093363931
4,[ 0.44823301 -0.77567255],-0.584234,"[ 0.94278045  1.71212139  0.76470626  0.21056151  1.46938999  0.19211667
  0.48419625 -0.52327044 -0.1010892   0.53796568  0.        ]",[-0.95017518 -0.37365898],"[[ 0.50572309 -0.15440413  0.16768874  0.01831795]
 [ 8.99515254 -5.99076812  0.          0.        ]]",[-0.12335245 -0.23405315],-0.0717926129834
5,[ 0.40894961 -0.77144206],-0.654646,"[ 0.83768982  1.67547984  0.94309484 -0.11350859  1.46937389  0.19211598
  0.21242117 -0.71215251 -0.15528535  0.6337446   0.        ]",[ 0.09206872 -0.99611783],"[[ 0.64613348 -0.28785847  0.16768874  0.01831795]
 [ 5.05897724 -7.35014806  0.          0.        ]]",[-0.12335245 -0.23405315],-0.081885347824
6,[ 0.37225199 -0.74946356],-0.657894,"[ 0.74593088  1.58952862  1.06364872 -0.54101935  1.4693578   0.19211529
  0.23075774 -1.2399792  -0.18186814  0.62959354  0.        ]",[-0.36534411 -1.06357952],"[[  0.7499779   -0.47297562   0.16768874   0.01831795]
 [  5.32456168 -11.14890193   0.           0.        ]]",[-0.12335245 -0.23405315],-0.080721020387
7,[ 0.35294497 -0.71942937],-0.571321,"[ 0.65662757  1.40503164  1.16012111 -1.0738102   1.4693417   0.1921146
  0.12376941 -1.75938665 -0.20198098  0.53815043  0.        ]",[ 1.81388409 -0.07198461],"[[  0.84092324  -0.73346083   0.16768874   0.01831795]
 [  3.77503956 -14.88717229   0.           0.        ]]",[-0.12335245 -0.23405315],-0.0685200125501
8,[ 0.22964305 -0.71734738],-0.514493,"[ 0.53357593  1.11832172  1.26816128 -1.54313119  1.4693256   0.19211391
  0.39178095 -1.75816317 -0.26110152  0.43840345  0.        ]",[ 0.15852217  0.15939507],"[[  0.95536869  -1.03111839   0.16768874   0.01831795]
 [  7.65670148 -14.87854658   0.           0.        ]]",[-0.12335245 -0.23405315],-0.0550081970883
9,[ 0.17072639 -0.68978393],-0.513732,"[ 0.3471015   0.78641935  1.39038294 -1.81881312  1.46930951  0.19211322
  0.42461904 -1.62950017 -0.36783524  0.39141273  0.        ]",[ 0.11656099 -1.15111645],"[[  1.11327439  -1.3194003    0.16768874   0.01831795]
 [  8.13232276 -13.95271517   0.           0.        ]]",[-0.12335245 -0.23405315],-0.0513864794547
10,[ 0.25290304 -0.59557897],-0.510165,"[ 0.13529744  0.3941496   1.48218696 -1.89188006  1.46929341  0.19211253
  0.44540858 -2.14121702 -0.50481769  0.31611842  0.        ]",[-0.62800599 -0.2561903 ],"[[  1.2789428   -1.6354086    0.16768874   0.01831795]
 [  8.43344482 -17.63583079   0.           0.        ]]",[-0.12335245 -0.23405315],-0.0530110108914
11,[ 0.33263949 -0.53896451],-0.536973,"[-0.05517482 -0.04008084  1.52930388 -1.67650428  1.46927732  0.19211184
  0.26224442 -2.23353097 -0.67309525  0.17636755  0.        ]",[-0.7080367  -0.43622704],"[[  1.42099732  -1.99479396   0.16768874   0.01831795]
 [  5.78069592 -18.30055475   0.           0.        ]]",[-0.12335245 -0.23405315],-0.0638813527243
12,[ 0.4246484  -0.49984694],-0.56821,"[ -1.73212141e-01  -4.26338857e-01   1.54321290e+00  -1.13500044e+00
   1.46926123e+00   1.92111146e-01   6.07761604e-02  -2.42309732e+00
  -8.77312771e-01  -1.96945925e-03   0.00000000e+00]",[-0.3988009  -0.34413924],"[[  1.50733693e+00  -2.37449760e+00   1.67688737e-01   1.83179544e-02]
 [  2.86284746e+00  -1.96653118e+01   0.00000000e+00   0.00000000e+00]]",[-0.12335245 -0.23405315],-0.0902091474486
13,[ 0.53162932 -0.46931809],-0.661053,"[-0.22932512 -0.69493549  1.54585862 -0.29311112  1.46924513  0.19211046
 -0.05220398 -2.55826494 -1.140641   -0.15235713  0.        ]",[ 0.26774829 -0.33942868],"[[  1.54817646e+00  -2.77756933e+00   1.67688737e-01   1.83179544e-02]
 [  1.22656652e+00  -2.06386345e+01   0.00000000e+00   0.00000000e+00]]",[-0.12335245 -0.23405315],-0.130464762233
14,[ 0.55442023 -0.48543838],-0.802971,"[-0.27735301 -0.7769677   1.54611355  0.58843414  1.46922904  0.19210976
  0.01934011 -0.73810009 -1.36082262 -0.19858223  0.        ]",[ 0.1716711  -0.89963646],"[[ 1.58309916 -3.1394878   0.16768874  0.01831795]
 [ 2.26272867 -7.53815138  0.          0.        ]]",[-0.12335245 -0.23405315],-0.163147276549
15,[ 0.49618793 -0.51644397],-0.786615,"[-0.34830437 -0.77678292  1.54311272  0.63628642  1.46921295  0.19210907
  0.06320975  0.65358851 -1.42085489 -0.20170024  0.        ]",[ 0.77640147 -0.77374071],"[[ 1.63472992 -3.15870201  0.16768874  0.01831795]
 [ 2.89808635  2.47843925  0.          0.        ]]",[-0.12335245 -0.23405315],-0.171851170859
16,[ 0.44943887 -0.52149177],-0.792086,"[-0.46890495 -0.7758409   1.52867496  0.48829567  1.46919685  0.19210838
  0.2715018   0.70590622 -1.36748711 -0.19399191  0.        ]",[-1.06115482 -0.13944037],"[[ 1.722959   -3.09927296  0.16768874  0.01831795]
 [ 5.91473939  2.85501743  0.          0.        ]]",[-0.12335245 -0.23405315],-0.164008246979
17,[ 0.44524813 -0.52972919],-0.720757,"[-0.57339135 -0.77151103  1.50640429  0.36159242  1.46918076  0.19210769
 -0.00996716  0.62131309 -1.32526471 -0.17738486  0.        ]",[ 1.1838276  -0.29272341],"[[ 1.80035365 -3.04828119  0.16768874  0.01831795]
 [ 1.83831191  2.24618889  0.          0.        ]]",[-0.12335245 -0.23405315],-0.157578587573
18,[ 0.41324836 -0.52794975],-0.747286,"[-0.67433907 -0.76700286  1.47587624  0.28026566  1.46916467  0.192107
  0.2608971   0.45411795 -1.29921632 -0.1589571   0.        ]",[ 1.78352157 -1.88392188],"[[ 1.87647906 -3.01543107  0.16768874  0.01831795]
 [ 5.76115476  1.04283599  0.          0.        ]]",[-0.12335245 -0.23405315],-0.153454191215
19,[ 0.37872636 -0.52810901],-0.750441,"[-0.8703873  -0.76524629  1.38889877  0.25390613  1.46914858  0.19210631
  0.52639973  0.33855005 -1.28886815 -0.13464788  0.        ]",[ 1.08789852 -1.65927221],"[[ 2.0302822  -3.00475631  0.16768874  0.01831795]
 [ 9.60635427  0.21106183  0.          0.        ]]",[-0.12335245 -0.23405315],-0.151518974788
20,[ 0.36246246 -0.534675  ],-0.773515,"[-1.13529383 -0.76494171  1.19987839  0.24959321  1.46913249  0.19210562
  0.78664694  0.31119646 -1.28908278 -0.1028954   0.        ]",[ 0.29343763 -2.1376971 ],"[[  2.26022595  -3.00300857   0.16768874   0.01831795]
 [ 13.37546241   0.01419742   0.           0.        ]]",[-0.12335245 -0.23405315],-0.151069875304
21,[ 0.34408313 -0.54465598],-0.749227,"[-1.39177227 -0.76496492  0.89216662  0.24998361  1.4691164   0.19210493
  0.84857969  0.30670385 -1.29886377 -0.06737746  0.        ]",[ 0.03663448 -0.65360113],"[[  2.53673525  -3.0031672    0.16768874   0.01831795]
 [ 14.27247901  -0.01812897   0.           0.        ]]",[-0.12335245 -0.23405315],-0.152088885177
22,[ 0.3295958  -0.55480707],-0.72195,"[-1.56560921 -0.76495832  0.50809881  0.24994848  1.46910032  0.19210424
  0.83908076  0.31062645 -1.31746058 -0.03528156  0.        ]",[ 0.37037348  0.48820242],"[[  2.82080529e+00  -3.00315333e+00   1.67688737e-01   1.83179544e-02]
 [  1.41349824e+01   1.01116404e-02   0.00000000e+00   0.00000000e+00]]",[-0.12335245 -0.23405315],-0.154558357373
23,[ 0.30829194 -0.57165945],-0.751554,"[-1.63527903 -0.76133042  0.06975014  0.20167113  1.46908423  0.19210355
  0.92101211  0.57920725 -1.34621762  0.00688945  0.        ]",[ 0.51986545 -1.01655762],"[[  3.11541113  -2.98355606   0.16768874   0.01831795]
 [ 15.32163902   1.94317903   0.           0.        ]]",[-0.12335245 -0.23405315],-0.158613934395
24,[ 0.33659083 -0.56242293],-0.782966,"[-1.57516984 -0.76157112 -0.41486276  0.20473973  1.46906814  0.19210286
  1.04217235  0.02374548 -1.38630801  0.02132312  0.        ]",[ 0.23460882 -0.62060765],"[[  3.43945035  -2.98480376   0.16768874   0.01831795]
 [ 17.0764512   -2.05461859   0.           0.        ]]",[-0.12335245 -0.23405315],-0.164461609688
25,[ 0.37646195 -0.56576556],-0.763528,"[-1.35914436 -0.76851512 -0.88177454  0.30547052  1.46905205  0.19210217
  1.0829675   0.22284193 -1.40896542 -0.00482193  0.        ]",[ 2.0398341  -0.09255089],"[[  3.78690787  -3.02562707   0.16768874   0.01831795]
 [ 17.66738526  -0.62167045   0.           0.        ]]",[-0.12335245 -0.23405315],-0.167791012846
26,[ 0.39988953 -0.56478822],-0.853291,"[-0.96264611 -0.76819784 -1.27344222  0.30017233  1.46903597  0.19210148
  1.33219236  0.37338741 -1.45205293 -0.01266158  0.        ]",[ 0.87524391 -1.8231162 ],"[[  4.17647194e+00  -3.02348578e+00   1.67688737e-01   1.83179544e-02]
 [  2.12769728e+01   4.61846541e-01   0.00000000e+00   0.00000000e+00]]",[-0.12335245 -0.23405315],-0.174098235956
27,[ 0.44103998 -0.55416   ],-0.905911,"[-0.37002638 -0.76688645 -1.48114946  0.27902788  1.46901988  0.19210079
  1.54236678  0.35892495 -1.49828818 -0.0459005   0.        ]",[ 0.83146768 -1.49579616],"[[  4.63255409e+00  -3.01493327e+00   1.67688737e-01   1.83179544e-02]
 [  2.43210960e+01   3.57767735e-01   0.00000000e+00   0.00000000e+00]]",[-0.12335245 -0.23405315],-0.180987540035
