timestep,avg_action_dist,rewards,obs,actions,human_obs,logstd_action_dist,original_rewards
0,[-0.41946214 -1.12746692],-1.06571,"[ 1.15346386  2.02792339 -0.04962071  0.90269404  1.1577944  -0.92587475
 -0.09913304  0.35360768  0.32660439  0.89007322  0.        ]",[-0.68834985 -1.74595783],"[[-0.04970785  0.06832271  0.13218946 -0.10786775]
 [-0.00303364 -0.00325626  0.          0.        ]]",[-0.17984679 -0.33543584],-0.130560664364
1,[-0.24625382 -1.07130325],-0.993229,"[ 1.1510695   2.03047402 -0.09046181  0.78367986  1.15778941 -0.92587159
 -0.22225054 -0.19513443  0.32456187  0.80706559  0.        ]",[-0.67856705 -1.48852904],"[[-0.07707345  0.02854101  0.13218946 -0.10786775]
 [-2.7244686  -3.96172504  0.          0.        ]]",[-0.17984679 -0.33543584],-0.122401659212
2,[-0.07228093 -1.03953016],-0.822074,"[ 1.13800057  2.02564284 -0.21052895  0.43010575  1.15778442 -0.92586842
 -0.34118405 -0.73301629  0.29452689  0.56367345  0.        ]",[ 0.69276133 -1.13884337],"[[-0.15793972 -0.0896241   0.13218946 -0.10786775]
 [-5.35342059 -7.84185656  0.          0.        ]]",[-0.17984679 -0.33543584],-0.0980291933085
3,[-0.0233756  -1.04465663],-0.682342,"[ 1.11680417  1.97728833 -0.32561384 -0.14293224  1.15777943 -0.92586525
 -0.21235249 -1.26053738  0.20247988  0.27218863  0.        ]",[-0.30756204 -1.30617828],"[[ -0.23643587  -0.2846423    0.13218946  -0.10786775]
 [ -2.50570866 -11.64727381   0.           0.        ]]",[-0.17984679 -0.33543584],-0.0673262673678
4,[ 0.00356761 -1.03812265],-0.55351,"[ 1.09429509  1.83067993 -0.41475765 -0.88016448  1.15777444 -0.92586209
 -0.2651142  -1.77739423  0.02461242 -0.00755145  0.        ]",[ 0.87858068  0.43714926],"[[ -0.29825031  -0.55499749   0.13218946  -0.10786775]
 [ -3.6719746  -15.37582137   0.           0.        ]]",[-0.17984679 -0.33543584],-0.0359958011077
5,[-0.22782293 -1.09066951],-0.481567,"[ 1.07801991  1.58513753 -0.46853549 -1.53645058  1.15776945 -0.92585892
 -0.10463932 -1.49540072 -0.20169733 -0.19108132  0.        ]",[-0.00085227 -0.5291844 ],"[[ -0.33610113  -0.84210475   0.13218946  -0.10786775]
 [ -0.12481928 -13.34166144   0.           0.        ]]",[-0.17984679 -0.33543584],-0.0270897237808
6,[-0.28848365 -1.04343891],-0.447404,"[ 1.07687191  1.26915105 -0.4720721  -2.0073452   1.15776446 -0.92585575
 -0.10468965 -1.74923838 -0.42237455 -0.25674476  0.        ]",[-0.50708464 -1.48034979],"[[ -0.33860799  -1.12731115   0.13218946  -0.10786775]
 [ -0.12593625 -15.17287554   0.           0.        ]]",[-0.17984679 -0.33543584],-0.0436076851939
7,[-0.2374762  -0.91415584],-0.488661,"[ 1.06617465  0.83420933 -0.50386141 -2.2811085   1.15775947 -0.92585259
 -0.19538011 -2.25639947 -0.71288504 -0.2492871   0.        ]",[-0.94323427 -0.19224394],"[[ -0.36123727  -1.46747764   0.13218946  -0.10786775]
 [ -2.13057184 -18.83160194   0.           0.        ]]",[-0.17984679 -0.33543584],-0.0747902690397
8,[-0.18258113 -0.77623773],-0.651581,"[ 1.02331378  0.33142181 -0.61351251 -2.18271126  1.15775448 -0.92584942
 -0.36245557 -2.31012255 -1.05438018 -0.11634458  0.        ]",[-0.7006763  -1.41171737],"[[ -0.44090021  -1.84799972   0.13218946  -0.10786775]
 [ -5.82362839 -19.21934527   0.           0.        ]]",[-0.17984679 -0.33543584],-0.115481749458
9,[ 0.00643605 -0.58315426],-0.853203,"[ 0.92662944 -0.16046662 -0.79995124 -1.59750793  1.15774949 -0.92584625
 -0.48283295 -2.80616159 -1.34289595  0.20377895  0.        ]",[-1.63916608 -1.47031201],"[[ -0.58406773  -2.26829268   0.13218946  -0.10786775]
 [ -8.48447256 -22.79804354   0.           0.        ]]",[-0.17984679 -0.33543584],-0.155667375934
