timestep,avg_action_dist,rewards,obs,actions,human_obs,logstd_action_dist,original_rewards
0,[ 1.69716954 -1.03115964],-1.09903,"[ 1.15852806  2.01026658  0.01257105  0.64401163  0.70674536  1.30731153
 -0.11805321  0.35093711  0.69530377 -1.21543748  0.        ]",[ 1.25755538 -0.78998271],"[[-0.01044216 -0.0147534   0.08040322  0.14933345]
 [ 0.00172085  0.00497396  0.          0.        ]]",[-0.16824193 -0.33482102],-0.200597701529
1,[ 1.69111156 -1.02417552],-1.16646,"[ 1.15800775  2.00898481  0.07205373  0.5510145   0.70674335  1.30730481
  0.06609518 -0.08239535  0.69517359 -1.17567172  0.        ]",[ 2.93960915 -0.30635545],"[[ 0.02929463 -0.04605466  0.08040322  0.14933345]
 [ 3.95877854 -3.1246637   0.          0.        ]]",[-0.16824193 -0.33482102],-0.196871183403
2,[ 1.6132257  -1.03998184],-1.01103,"[ 1.14368196  2.00081237  0.2480454   0.33168522  0.70674134  1.30729809
  0.24656626 -0.24199446  0.68755331 -1.04096114  0.        ]",[ 1.44867543 -0.78321399],"[[ 0.14737968 -0.12011312  0.08040322  0.14933345]
 [ 7.83681761 -4.27733013  0.          0.        ]]",[-0.16824193 -0.33482102],-0.183949736464
3,[ 1.49578333 -1.0490905 ],-0.925068,"[ 1.07880857  1.97359216  0.53065541 -0.00697768  0.70673932  1.30729137
  0.42350409 -0.65985674  0.64971483 -0.8173332   0.        ]",[ 2.3955621  -0.77944481],"[[  0.34226366  -0.23593964   0.08040322   0.14933345]
 [ 11.63893573  -7.29523901   0.           0.        ]]",[-0.16824193 -0.33482102],-0.161273184469
4,[ 1.3146925  -1.05700958],-0.789328,"[ 0.90859633  1.89963649  0.88882118 -0.50074317  0.70673731  1.30728465
  0.59694965 -1.06734458  0.54991535 -0.53960259  0.        ]",[ 0.76653954 -1.9436468 ],"[[  0.61243683  -0.41137306   0.08040322   0.14933345]
 [ 15.36601771 -10.23823645   0.           0.        ]]",[-0.16824193 -0.33482102],-0.129651008423
5,[ 1.1161505  -1.03889513],-0.672246,"[ 0.5863918   1.73665692  1.2434656  -1.12011298  0.7067353   1.30727793
  0.72401616 -1.58756899  0.3648271  -0.26749482  0.        ]",[ 0.3923817  -1.69980292],"[[  0.94715214  -0.65383644   0.08040322   0.14933345]
 [ 18.09650165 -13.99548832   0.           0.        ]]",[-0.16824193 -0.33482102],-0.0908866018213
6,[ 0.92543143 -0.98721635],-0.542694,"[ 0.12303401  1.43275549  1.47884288 -1.76524624  0.70673329  1.30727121
  0.77970389 -2.09733331  0.10996278 -0.09153435  0.        ]",[ 0.7138103  -0.58591756],"[[  1.32108815  -0.97068778   0.08040322   0.14933345]
 [ 19.29318438 -17.67728435   0.           0.        ]]",[-0.16824193 -0.33482102],-0.049834230573
7,[ 0.75702834 -0.90078998],-0.475722,"[-0.43693468  0.98178352  1.50598081 -2.20846559  0.70673128  1.30726449
  0.89348087 -2.36992944 -0.19139204 -0.04594107  0.        ]",[ 1.41758873  0.4122075 ],"[[  1.73148113  -1.34399036   0.08040322   0.14933345]
 [ 21.73811598 -19.64626693   0.           0.        ]]",[-0.16824193 -0.33482102],-0.0105661751237
8,[ 0.65735549 -0.80853665],-0.479636,"[-1.02816008  0.49059635  1.2371062  -2.2530171   0.70672927  1.30725777
  1.05771961 -2.089822   -0.53084643 -0.11282061  0.        ]",[ 0.71346441 -0.97532903],"[[  2.20165181  -1.71662123   0.08040322   0.14933345]
 [ 25.2674061  -17.62338644   0.           0.        ]]",[-0.16824193 -0.33482102],-0.0454885390413
9,[ 0.72180015 -0.70127368],-0.566286,"[-1.47763386  0.00859386  0.62663704 -1.87145458  0.70672726  1.30725105
  1.16600281 -2.57582675 -0.82271705 -0.33688722  0.        ]",[ 0.54733093 -0.98594036],"[[  2.73034623  -2.10431034   0.08040322   0.14933345]
 [ 27.59433209 -21.13377523   0.           0.        ]]",[-0.16824193 -0.33482102],-0.0943033312364
