timestep,human_obs,rewards,obs,actions,avg_action_dist,logstd_action_dist,original_rewards
0,"[[ 0.05040787 -0.09819759 -0.05068417 -0.07658984]
 [ 0.0045071  -0.00085695  0.          0.        ]]",-1.67021,"[ 1.10914797  2.15906362  0.12723549  0.58848966 -0.44068448 -0.69441896
 -0.07617403  0.38365339  1.67624626  0.73096316  0.        ]",[-0.40555241 -0.81301236],[-0.94480652 -1.33698153],[-0.10970242 -0.23168851],-0.271399201614
1,"[[ 0.034413   -0.13050754 -0.05068417 -0.07658984]
 [-1.59866259 -3.21941328  0.          0.        ]]",-1.62492,"[ 1.11006708  2.15388817  0.10297454  0.47938579 -0.4406814  -0.69441294
 -0.17658878 -0.07048423  1.67391529  0.67480087  0.        ]",[-0.88332778 -1.2520968 ],[-0.88491696 -1.31603527],[-0.10970242 -0.23168851],-0.26923699082
2,"[[-0.03228816 -0.23397066 -0.05068417 -0.07658984]
 [-5.05995994 -7.11392223  0.          0.        ]]",-1.55609,"[  1.11015015e+00   2.12786851e+00   1.73110829e-03   1.33687166e-01
  -4.40678328e-01  -6.94406930e-01  -3.93388488e-01  -6.19997305e-01
   1.64932030e+00   4.70705936e-01   0.00000000e+00]",[-1.38518411 -0.86394499],[-0.79216248 -1.29334569],[-0.10970242 -0.23168851],-0.260571352751
3,"[[ -0.1721641   -0.40914344  -0.05068417  -0.07658984]
 [ -8.91488799 -10.39242326   0.           0.        ]]",-1.38289,"[ 1.09050109  2.05125061 -0.20934047 -0.4304925  -0.44067525 -0.69440092
 -0.63484235 -1.08258415  1.53517198  0.1012121   0.        ]",[-0.75888052 -1.20468262],[-0.67238849 -1.26436353],[-0.10970242 -0.23168851],-0.241141695909
4,"[[ -0.37880832  -0.65464308  -0.05068417  -0.07658984]
 [-11.74032292 -14.14501238   0.           0.        ]]",-1.11459,"[ 1.01324213  1.87924422 -0.51069054 -1.14786132 -0.44067218 -0.6943949
 -0.81181036 -1.61204473  1.23381764 -0.33819709  0.        ]",[ 0.52217268 -1.31538664],[-0.49699444 -1.19708633],[-0.10970242 -0.23168851],-0.207300197653
5,"[[ -0.59056179  -0.97446545  -0.05068417  -0.07658984]
 [ -9.44283049 -17.82494607   0.           0.        ]]",-0.841461,"[ 0.87765863  1.55847959 -0.79460271 -1.89059547 -0.4406691  -0.69438889
 -0.66789712 -2.13121358  0.75503657 -0.61680629  0.        ]",[ 0.08807461  0.40326479],[-0.38987637 -1.10751235],[-0.10970242 -0.23168851],-0.16123211213
6,"[[ -0.77407629  -1.31140096  -0.05068417  -0.07658984]
 [ -8.91033896 -15.87509477   0.           0.        ]]",-0.46052,"[ 0.71855962  1.13602775 -1.01051797 -2.36345617 -0.44066603 -0.69438288
 -0.63453824 -1.85604747  0.27026917 -0.61658065  0.        ]",[ 0.9281223  -1.57038774],[-0.38556015 -1.03727436],[-0.10970242 -0.23168851],-0.112081144402
7,"[[ -0.91367905  -1.66548262  -0.05068417  -0.07658984]
 [ -5.06274757 -19.52090643   0.           0.        ]]",-0.317711,"[ 0.57506126  0.64999993 -1.15123797 -2.46183987 -0.44066295 -0.69437686
 -0.39353312 -2.37036107 -0.09020472 -0.38996215  0.        ]",[-0.7648612  -0.60227424],[-0.34004682 -0.91864061],[-0.10970242 -0.23168851],-0.0640380399479
8,"[[ -1.04432762  -2.07594502  -0.05068417  -0.07658984]
 [ -7.99255744 -21.51869577   0.           0.        ]]",-0.345759,"[ 0.42588699  0.11087653 -1.26178807 -2.05249674 -0.44065988 -0.69437085
 -0.57704471 -2.65210677 -0.29299806  0.00939429  0.        ]",[ 1.07053099  0.03972224],[-0.21223767 -0.7524792 ],[-0.10970242 -0.23168851],-0.015197558511
9,"[[ -1.16289921  -2.50046653  -0.05068417  -0.07658984]
 [ -3.87795529 -20.93538554   0.           0.        ]]",-0.409442,"[ 0.28022391 -0.32868906 -1.34279088 -1.11100954 -0.44065681 -0.69436484
 -0.3193131  -2.56969568 -0.26354743  0.43162863  0.        ]",[-0.69128875 -0.49143774],[-0.16427048 -0.65533203],[-0.10970242 -0.23168851],-0.0399369549599
10,"[[ -1.2671619   -2.93453944  -0.05068417  -0.07658984]
 [ -6.53934721 -22.46681844   0.           0.        ]]",-0.540152,"[ 0.1457317  -0.57404981 -1.39787461  0.22307584 -0.44065373 -0.69435883
 -0.48601415 -2.7856099  -0.03096289  0.7371394   0.        ]",[-0.48648844 -1.34129099],[-0.02663773 -0.5347296 ],[-0.10970242 -0.23168851],-0.0816576401566
11,"[[-1.4159675  -3.14673341 -0.05068417 -0.07658984]
 [-8.33524138 -1.20275949  0.          0.        ]]",-0.646019,"[-0.05359015 -0.60359922 -1.44913426  0.93924878 -0.44065066 -0.69435281
 -0.59850132  0.21423464  0.14436365  0.81523869  0.        ]",[ 0.12648449 -1.44709925],[-0.18852274 -0.61201108],[-0.10970242 -0.23168851],-0.100506581334
12,"[[-1.57598972 -3.11769875 -0.05068417 -0.07658984]
 [-7.66926843  2.61351478  0.          0.        ]]",-0.63729,"[-0.27304654 -0.60321749 -1.46724686  0.84056566 -0.44064758 -0.6943468
 -0.55678143  0.75261501  0.12657364  0.81408361  0.        ]",[-0.43354015  0.57889207],[-0.20542522 -0.64024061],[-0.10970242 -0.23168851],-0.0991751585609
