timestep,avg_action_dist,rewards,obs,actions,human_obs,logstd_action_dist,original_rewards
0,[ 0.08760901 -1.42072058],-2.32558,"[ 1.15256072  1.97875794  0.11568377  0.50367239 -1.55744896  1.24434048
 -0.12232444  0.3477329   2.55971486 -1.07537575  0.        ]",[ 0.31233446 -0.98423899],"[[ 0.05788446 -0.06004614 -0.18248295  0.14250782]
 [-0.00489258  0.00386901  0.          0.        ]]",[-0.15741844 -0.33034688],-0.41553504106
1,[ 0.16350797 -1.39321494],-2.38372,"[ 1.15147155  1.97464963  0.13410513  0.39012954 -1.55743813  1.24433405
 -0.06224747 -0.19275326  2.5587903  -1.08915169  0.        ]",[ 0.99752798 -1.64416233],"[[ 0.07019948 -0.09907603 -0.18248295  0.14250782]
 [ 1.23227    -3.89386675  0.          0.        ]]",[-0.15741844 -0.33034688],-0.415984061511
2,[ 0.0770611  -1.40512788],-2.35706,"[ 1.14248786  1.95048593  0.22953335  0.05352155 -1.55742731  1.24432762
  0.12826611 -0.73133386  2.55181629 -1.08461916  0.        ]",[ 0.41559047 -0.91555121],"[[ 0.13420795 -0.21592292 -0.18248295  0.14250782]
 [ 5.15551469 -7.77786641  0.          0.        ]]",[-0.15741844 -0.33034688],-0.414878712834
3,[-0.11780238 -1.43991756],-2.31884,"[ 1.11114144  1.87375857  0.40388233 -0.47466334 -1.55741649  1.24432119
  0.20321486 -1.2127463   2.52895293 -1.05402757  0.        ]",[-0.51255941 -1.09512217],"[[  0.25280387  -0.40631364  -0.18248295   0.14250782]
 [  6.69893733 -11.24962106   0.           0.        ]]",[-0.15741844 -0.33034688],-0.410601168905
4,[-0.27296641 -1.45793998],-2.31527,"[ 1.06419962  1.69709739  0.56418438 -1.13077918 -1.55740567  1.24431475
  0.0983731  -1.73079641  2.47798838 -1.09737897  0.        ]",[-0.24170447 -0.94234425],"[[  0.36512173  -0.66879069  -0.18248295   0.14250782]
 [  4.53994755 -14.98564951   0.           0.        ]]",[-0.15741844 -0.33034688],-0.405668197245
5,[-0.36410278 -1.43777442],-2.32592,"[ 1.02066665  1.37181986  0.67478335 -1.78168174 -1.55739484  1.24430832
  0.04760344 -2.20698246  2.3726497  -1.2419955   0.        ]",[ 0.19210259 -0.47452999],"[[  0.4454324   -1.00296029  -0.18248295   0.14250782]
 [  3.49445793 -18.41987688   0.           0.        ]]",[-0.15741844 -0.33034688],-0.398560505564
6,[-0.40683889 -1.37119794],-2.26782,"[ 0.97153815  0.90439599  0.77668522 -2.19027286 -1.55738402  1.24430189
  0.08113449 -2.41694121  2.19101634 -1.39261446  0.        ]",[ 0.56934147 -1.31963218],"[[  0.52224996  -1.38655225  -0.18248295   0.14250782]
 [  4.18495955 -19.93425792   0.           0.        ]]",[-0.15741844 -0.33034688],-0.383487408451
7,[-0.27442533 -1.18207741],-2.04852,"[ 0.89270107  0.33652225  0.90929592 -2.14876167 -1.5573732   1.24429546
  0.18651006 -2.91124591  1.93044414 -1.47114403  0.        ]",[-0.8990748  -1.83544795],"[[  0.62772129  -1.82100842  -0.18248295   0.14250782]
 [  6.35494123 -23.49942574   0.           0.        ]]",[-0.15741844 -0.33034688],-0.356376740177
8,[ 0.12345579 -0.89306325],-1.79059,"[ 0.81550209 -0.24064804  1.01490551 -1.44608859 -1.55736238  1.24428903
  0.00751654 -3.39564579  1.57248103 -1.47614583  0.        ]",[-1.74475499 -0.43222281],"[[  0.71784079  -2.32605263  -0.18248295   0.14250782]
 [  2.66897846 -26.99343514   0.           0.        ]]",[-0.15741844 -0.33034688],-0.314960176303
9,[ 0.56998527 -0.59592569],-1.56011,"[ 0.8035524  -0.60961519  1.02961909 -0.08233139 -1.55735156  1.24428259
 -0.18737952 -3.55875619  1.16900194 -1.32569816  0.        ]",[ 1.49368762 -0.90582805],"[[  0.73095172  -2.87773065  -0.18248295   0.14250782]
 [ -1.34446104 -28.17048854   0.           0.        ]]",[-0.15741844 -0.33034688],-0.258928061236
