timestep,avg_action_dist,rewards,obs,actions,human_obs,logstd_action_dist,original_rewards
16,[ 0.07737572 -0.2143027 ],-1.18048,"[ 1.04239821 -0.71469586  0.03282571 -1.21360283  1.16183951  1.75287242
  0.12631748 -1.49160444 -0.85202647 -1.99294252  0.        ]",[ 0.20777596  0.27087431],"[[  0.03872371  -2.13806394   0.13408223   0.19447075]
 [  3.73691329 -12.06033061   0.           0.        ]]",[-0.07612995 -0.08089751],-0.299323600009
17,[ 0.07810684 -0.21156007],-1.06464,"[ 1.0332279  -0.93545599  0.15904392 -0.96740203  1.16180393  1.7527794
  0.19682903 -1.31556112 -0.93685117 -1.87424105  0.        ]",[ 1.06384175 -0.90537095],"[[  0.1209703   -2.36611341   0.13408223   0.19447075]
 [  4.4852944  -10.74897987   0.           0.        ]]",[-0.07612995 -0.08089751],-0.28759363285
18,[ 0.07917896 -0.20677917],-1.0307,"[ 1.00022254 -1.12328729  0.3534661  -0.62830204  1.16176836  1.7526864
  0.56148076 -1.76801537 -1.01132897 -1.72657152  0.        ]",[ 0.81335077 -0.43309281],"[[  0.24950641  -2.61492554   0.13408223   0.19447075]
 [  8.35546799 -14.12095894   0.           0.        ]]",[-0.07612995 -0.08089751],-0.272600128638
19,[ 0.08054052 -0.20217158],-1.01335,"[ 0.90624166 -1.25966144  0.63924824 -0.15621905  1.16173279  1.75259341
  0.84930437 -1.96048422 -1.09680417 -1.54311243  0.        ]",[-0.14684358  1.18273603],"[[  0.44726597  -2.91174325   0.13408223   0.19447075]
 [ 11.41033281 -15.55602066   0.           0.        ]]",[-0.07612995 -0.08089751],-0.255483052019
20,[ 0.0803678  -0.20101957],-0.813707,"[ 0.74426014 -1.29215216  0.92633153  0.19662531  1.16169722  1.75250043
  0.77328192 -0.21105646 -1.16720097 -1.41590728  0.        ]",[ 1.25018751 -0.22759273],"[[  0.6673782   -3.11916874   0.13408223   0.19447075]
 [ 10.60368279  -2.52007951   0.           0.        ]]",[-0.07612995 -0.08089751],-0.246133579869
21,[ 0.07983845 -0.20147209],-0.890812,"[ 0.4970876  -1.29164255  1.19564275  0.17449112  1.16166166  1.75240747
  1.12655526  0.41741964 -1.14339517 -1.43587974  0.        ]",[-1.36823548 -2.24463899],"[[  0.91707358  -3.10627945   0.13408223   0.19447075]
 [ 14.35328156   2.16303592   0.           0.        ]]",[-0.07612995 -0.08089751],-0.246341822622
22,[ 0.07922217 -0.20224047],-0.826278,"[ 0.2039998  -1.28855072  1.3859403   0.10078943  1.1616261   1.75231453
  0.72670001  0.37908072 -1.09933525 -1.45091089  0.        ]",[ 0.40688869 -1.11976457],"[[  1.16156317  -3.06330347   0.13408223   0.19447075]
 [ 10.10980703   1.87739998   0.           0.        ]]",[-0.07612995 -0.08089751],-0.244261675281
23,[ 0.07884403 -0.2024485 ],-0.85758,"[-0.08348063 -1.28508506  1.48448536  0.05035688  1.16159054  1.7522216
  0.85961436  0.27333838 -1.06371286 -1.44524987  0.        ]",[-0.22696248 -1.32587128],"[[  1.37791437  -3.03381723   0.13408223   0.19447075]
 [ 11.52061322   1.0895104    0.           0.        ]]",[-0.07612995 -0.08089751],-0.240514807669
24,[ 0.07851539 -0.20315161],-0.919314,"[-0.38726122 -1.28274891  1.51244891  0.0232384   1.16155498  1.75212868
  0.75343372  0.20066464 -1.03925907 -1.42694747  0.        ]",[-0.54624907  2.39581941],"[[  1.59702194  -3.01792481   0.13408223   0.19447075]
 [ 10.39390168   0.54802323   0.           0.        ]]",[-0.07612995 -0.08089751],-0.236186364781
25,[ 0.07774601 -0.20524286],-0.810676,"[-0.6417716  -1.27333095  1.47897573 -0.06267844  1.16151943  1.75203578
  0.53026093  0.73059552 -0.99899597 -1.39509091  0.        ]",[ 1.51617991 -0.01584098],"[[ 1.78113733 -2.96734588  0.13408223  0.19447075]
 [ 8.02551861  4.49671004  0.          0.        ]]",[-0.07612995 -0.08089751],-0.228875851404
26,[ 0.07710233 -0.20643121],-0.857761,"[-0.90507166 -1.24936467  1.38585898 -0.2109049   1.16148389  1.7519429
  0.88832992  0.71024894 -0.94823099 -1.32764317  0.        ]",[ 0.88526739 -1.04098405],"[[  1.97977731  -2.87893188   0.13408223   0.19447075]
 [ 11.82579933   4.34520993   0.           0.        ]]",[-0.07612995 -0.08089751],-0.216251185418
27,[ 0.07713934 -0.20719835],-0.964807,"[-1.22540668 -1.23301543  1.17193636 -0.28723464  1.16144834  1.75185003
  1.1964766   0.16733276 -0.94594648 -1.24782662  0.        ]",[-1.01899831 -1.73692635],"[[  2.24910855  -2.83261538   0.13408223   0.19447075]
 [ 15.09644544   0.29994422   0.           0.        ]]",[-0.07612995 -0.08089751],-0.205997873201
28,[ 0.07772264 -0.20764035],-0.949893,"[-1.47434929 -1.245125    0.88419416 -0.23164705  1.1614128   1.75175717
  0.79522486 -0.36487199 -0.98653453 -1.22465326  0.        ]",[ 0.52063796 -0.54540449],"[[  2.50831367  -2.86640298   0.13408223   0.19447075]
 [ 10.83826836  -3.66551691   0.           0.        ]]",[-0.07612995 -0.08089751],-0.206618578573
29,[ 0.07820432 -0.20733267],-1.05351,"[-1.6356401  -1.27168616  0.56968497 -0.07398175  1.16137726  1.75166433
  0.96921826 -0.6449353  -1.03042326 -1.26278654  0.        ]",[-0.48410002 -1.07576291],"[[  2.74360843  -2.96065083   0.13408223   0.19447075]
 [ 12.68505579  -5.75231445   0.           0.        ]]",[-0.07612995 -0.08089751],-0.215196475547
30,[ 0.07756283 -0.20873754],-1.09582,"[-1.72533368 -1.28805963  0.22736788  0.09827881  1.16134173  1.7515715
  0.7649581  -0.06911143 -1.0568512  -1.32208553  0.        ]",[-0.64452657 -1.79863919],"[[  2.97556052  -3.061821     0.13408223   0.19447075]
 [ 10.51748767  -1.46197821   0.           0.        ]]",[-0.07612995 -0.08089751],-0.224791670038
31,[ 0.07673633 -0.21021594],-1.10439,"[-1.74421928 -1.28754219 -0.05274361  0.0903709   1.1613062   1.75147869
  0.50488331  0.26900441 -1.06564419 -1.30247484  0.        ]",[-0.30706968 -1.35297701],"[[ 3.15821898 -3.05720321  0.13408223  0.19447075]
 [ 7.75751495  1.05724738  0.          0.        ]]",[-0.07612995 -0.08089751],-0.22321595706
32,[ 0.07647979 -0.21123217],-1.09142,"[-1.72695064 -1.28489973 -0.26949927  0.0529895   1.16127067  1.75138589
  0.37584428  0.25816041 -1.07805704 -1.27708134  0.        ]",[ 0.58024175 -1.90765882],"[[ 3.29963009 -3.03534581  0.13408223  0.19447075]
 [ 6.38815255  0.97647972  0.          0.        ]]",[-0.07612995 -0.08089751],-0.221320797471
33,[ 0.07636529 -0.21211368],-1.09624,"[-1.67881857 -1.28265817 -0.49336693  0.02658453  1.16123515  1.75129311
  0.58039425  0.20438707 -1.09468169 -1.25958392  0.        ]",[ 1.08380948  0.93262988],"[[ 3.4491741  -3.01987645  0.13408223  0.19447075]
 [ 8.55901407  0.57586146  0.          0.        ]]",[-0.07612995 -0.08089751],-0.220825192789
34,[ 0.07501031 -0.21395454],-1.18715,"[-1.56213683 -1.27381448 -0.78800946 -0.05577394  1.16119963  1.75120034
  0.93750308  0.69852835 -1.13503765 -1.22629768  0.        ]",[-1.78314499 -0.74516065],"[[  3.65838057  -2.97142002   0.13408223   0.19447075]
 [ 12.34898596   4.25752249   0.           0.        ]]",[-0.07612995 -0.08089751],-0.220921516304
35,[ 0.07554848 -0.2151823 ],-1.16371,"[-1.39669409 -1.2603672  -1.04437554 -0.14791422  1.16116411  1.75110759
  0.54135536  0.29117534 -1.18936063 -1.20674866  0.        ]",[-0.50782488  0.1472967 ],"[[ 3.86318087 -2.91671966  0.13408223  0.19447075]
 [ 8.14507046  1.22262227  0.          0.        ]]",[-0.07612995 -0.08089751],-0.224322192982
36,[ 0.07527366 -0.2161735 ],-1.18247,"[-1.25675251 -1.25140503 -1.19683433 -0.19807927  1.16112859  1.75101485
  0.33669297  0.36619991 -1.22666126 -1.20845811  0.        ]",[-0.40150052  1.03182835],"[[ 4.00429137 -2.8866586   0.13408223  0.19447075]
 [ 5.97321714  1.7816168   0.          0.        ]]",[-0.07612995 -0.08089751],-0.228502332386
37,[ 0.07441161 -0.21753235],-1.12673,"[-1.14382081 -1.22436627 -1.29298519 -0.321446    1.16109308  1.75092212
  0.17575938  0.8929146  -1.2884068  -1.20362746  0.        ]",[ 1.30512797  0.39365282],"[[ 4.10662091 -2.81165263  0.13408223  0.19447075]
 [ 4.26541275  5.7059011   0.          0.        ]]",[-0.07612995 -0.08089751],-0.234789163308
38,[ 0.07356158 -0.21846268],-1.13449,"[-0.99575435 -1.16266877 -1.39179527 -0.52534266  1.16105757  1.75082941
  0.54086679  1.08696199 -1.3911629  -1.21931089  0.        ]",[ 1.54134987 -0.93911193],"[[ 4.23080453 -2.68302734  0.13408223  0.19447075]
 [ 8.1399853   7.15181874  0.          0.        ]]",[-0.07612995 -0.08089751],-0.248212285301
39,[ 0.07433929 -0.21878308],-1.18063,"[-0.73624218 -1.09898902 -1.50662035 -0.68161184  1.16102207  1.75073672
  0.89871235  0.56887172 -1.48009905 -1.30018013  0.        ]",[ 0.550918   1.1142527],"[[  4.43170669  -2.57871788   0.13408223   0.19447075]
 [ 11.93758882   3.29201792   0.           0.        ]]",[-0.07612995 -0.08089751],-0.266860846564
40,[ 0.0736312  -0.21945573],-1.17638,"[-0.38137011 -1.02336144 -1.5664263  -0.82873162  1.16098657  1.75064404
  1.08191135  1.0916288  -1.54164339 -1.44886787  0.        ]",[ 1.23228581 -1.09944678],"[[  4.68996809  -2.47379958   0.13408223   0.19447075]
 [ 13.88197638   7.18685828   0.           0.        ]]",[-0.07612995 -0.08089751],-0.289259924302
41,[ 0.0746115  -0.21910913],-1.17982,"[ 0.0513674  -0.93898283 -1.50148645 -0.96127427  1.16095107  1.75055138
  1.42897786  0.54113566 -1.53478033 -1.6557352   0.        ]",[ 0.63814214 -2.19818037],"[[  5.00456584  -2.37121159   0.13408223   0.19447075]
 [ 17.56557012   3.08567045   0.           0.        ]]",[-0.07612995 -0.08089751],-0.31077444812
42,[ 0.07564735 -0.21739092],-1.28106,"[  5.10359463e-01  -9.20160122e-01  -1.23825323e+00  -9.87339373e-01
   1.16091557e+00   1.75045873e+00   1.63419093e+00   1.59163356e-03
  -1.41399268e+00  -1.82017510e+00   0.00000000e+00]",[-1.69643275 -0.60845667],"[[  5.37773439  -2.34982905   0.13408223   0.19447075]
 [ 19.74410442  -0.93397555   0.           0.        ]]",[-0.07612995 -0.08089751],-0.317708472263
43,[ 0.0763093  -0.21546808],-1.23505,"[ 0.83510318 -0.95723461 -0.8371962  -0.93472622  1.16088008  1.75036609
  1.22430141 -0.31917436 -1.26301879 -1.87320765  0.        ]",[-0.71633634  0.17061447],"[[  5.72897753  -2.39248466   0.13408223   0.19447075]
 [ 15.39471661  -3.32371085   0.           0.        ]]",[-0.07612995 -0.08089751],-0.310931596702
44,[ 0.07683124 -0.21376942],-1.11297,"[ 0.99027244 -1.00578937 -0.44912388 -0.85843854  1.16084459  1.75027347
  0.92835436 -0.21958087 -1.15124789 -1.85640348  0.        ]",[ 0.5714447  -1.28945747],"[[  6.00536331  -2.45151424   0.13408223   0.19447075]
 [ 12.2542995   -2.58177205   0.           0.        ]]",[-0.07612995 -0.08089751],-0.299963974264
45,[ 0.07780662 -0.21067716],-1.07537,"[ 1.04358525 -1.07391438 -0.04598568 -0.73370042  1.16080911  1.75018086
  1.11866928 -0.7441447  -1.07163863 -1.79211415  0.        ]",[-0.27028    -1.49500651],"[[  6.27071637  -2.5423602    0.13408223   0.19447075]
 [ 14.27430821  -6.48978171   0.           0.        ]]",[-0.07612995 -0.08089751],-0.285750521343
46,[ 0.07894357 -0.20647882],-1.02531,"[ 0.99701555 -1.17725891  0.36827523 -0.48244101  1.16077362  1.75008827
  0.99121042 -1.25831017 -1.05046066 -1.67016808  0.        ]",[-0.00944673 -0.27071188],"[[  6.54263425  -2.71059038   0.13408223   0.19447075]
 [ 12.92195599 -10.32050648   0.           0.        ]]",[-0.07612995 -0.08089751],-0.268331928004
47,[ 0.0800398  -0.20265229],-0.984697,"[ 0.86288289 -1.26243813  0.73159851 -0.13266478  1.16073815  1.74999569
  0.96357515 -1.37468639 -1.09156419 -1.53121211  0.        ]",[-0.67211626 -0.41496631],"[[  6.79813373  -2.92570282   0.13408223   0.19447075]
 [ 12.6289407  -11.18787335   0.           0.        ]]",[-0.07612995 -0.08089751],-0.253843167192
48,[ 0.08017017 -0.20127755],-0.982003,"[ 0.68065782 -1.29007265  1.00962348  0.15668078  1.16070267  1.74990313
  0.68928837 -0.18670365 -1.15118152 -1.43151095  0.        ]",[-2.39002838  0.28517863],"[[ 7.02150774 -3.09575494  0.13408223  0.19447075]
 [ 9.71828794 -2.3375358   0.          0.        ]]",[-0.07612995 -0.08089751],-0.24680136637
49,[ 0.07967629 -0.20220163],-0.867367,"[ 0.52593487 -1.28949226  1.17078198  0.14198529  1.1606672   1.74981059
  0.29808113  0.37004182 -1.1334681  -1.4424319   0.        ]",[-0.32730474 -0.6099064 ],"[[ 7.17422073 -3.08719287  0.13408223  0.19447075]
 [ 5.56678144  1.81015271  0.          0.        ]]",[-0.07612995 -0.08089751],-0.246521487382
