timestep,rewards,obs,actions,original_rewards,avg_action_dist,logstd_action_dist,human_obs
0,-0.784936,"[ 1.36174715  2.67207414 -0.4122231  -0.48401219  0.56567061 -1.65763182
 -0.21415056 -0.37090209  0.95029197  1.45782672  0.        ]",[-2.62300383  8.16084053],-0.231086974683,[-2.72167063  7.46910572],[-0.78062046 -0.18928987],"[[-0.09438691  0.08137383  0.06586275 -0.19184347]
 [-0.00118477 -0.00150472  0.          0.        ]]"
1,-0.705425,"[ 1.35549424  2.66577972 -0.47153929 -0.31342564  0.56567043 -1.65763029
 -0.30005799  0.12863852  0.9468189   1.42503298  0.        ]",[-2.80705105  9.37421386],-0.227723959331,[-2.32960176  7.24504709],[-0.78062046 -0.18928987],"[[-0.13411636  0.12108727  0.06586275 -0.19184347]
 [-3.95858044  3.95964097  0.          0.        ]]"
2,-0.78069,"[ 1.32421805  2.63261598 -0.64561791  0.18817171  0.56567024 -1.65762876
 -0.38426634  0.61828085  0.92944115  1.32884817  0.        ]",[-1.03143789  6.47984615],-0.217369157662,[-1.8937726   6.92345858],[-0.78062046 -0.18928987],"[[-0.25220833  0.23923623  0.06586275 -0.19184347]
 [-7.83770668  7.84229791  0.          0.        ]]"
3,-0.686385,"[ 1.23219083  2.53178168 -0.92038116  0.98171628  0.56567006 -1.65762722
 -0.46681155  1.09820706  0.87830612  1.17706287  0.        ]",[-1.17795705  7.04406889],-0.199255001014,[-1.57459247  6.45787716],[-0.78062046 -0.18928987],"[[ -0.44711386   0.43426561   0.06586275  -0.19184347]
 [-11.64021999  11.6479127    0.           0.        ]]"
4,-0.616844,"[ 1.02771085  2.30401113 -1.25853526  1.96195146  0.56566988 -1.65762569
 -0.5477315   1.56858019  0.76468312  0.99028194  0.        ]",[-1.14343313  6.28426278],-0.172715692278,[-1.36269891  5.85473394],[-0.78062046 -0.18928987],"[[ -0.71731799   0.7046478    0.06586275  -0.19184347]
 [-15.36786561  15.37778169   0.           0.        ]]"
5,-0.580171,"[ 0.66069513  1.89138669 -1.58262688  2.90797753  0.56566969 -1.65762416
 -0.62706576  2.02954572  0.56074066  0.81130115  0.        ]",[-0.29143563  4.93927821],-0.13883433422,[-0.52614528  5.06359482],[-0.78062046 -0.18928987],"[[ -1.06134152   1.04887964   0.06586275  -0.19184347]
 [-19.02246625  19.03306351   0.           0.        ]]"
6,-0.538472,"[ 0.15433826  1.27485023 -1.76245536  3.4588917   0.56566951 -1.65762262
 -0.6439815   2.48119395  0.27931506  0.7377585   0.        ]",[ 0.27574159  4.1233541 ],-0.109801184433,[ 0.75374842  4.1500926 ],[-0.78062046 -0.18928987],"[[ -1.44960908   1.46547511   0.06586275  -0.19184347]
 [-19.80171234  22.61448021   0.           0.        ]]"
7,-0.595997,"[-0.36740805  0.52564104 -1.72296869  3.17128681  0.56566932 -1.65762109
 -0.61182564  2.92384655 -0.01680505  0.85648295  0.        ]",[ 1.70233358  2.44942003],-0.110028830566,[ 1.85291028  3.68375683],[-0.78062046 -0.18928987],"[[ -1.83078333   1.95298196   0.06586275  -0.19184347]
 [-18.32043913  26.12458967   0.           0.        ]]"
8,-0.713825,"[-0.77257017 -0.15471215 -1.52517711  1.71437556  0.56566914 -1.65761955
 -0.51803222  3.35781644 -0.28860993  1.17308246  0.        ]",[ 2.32657569  2.16528987],-0.147794929518,[ 2.12917233  3.65595078],[-0.78062046 -0.18928987],"[[ -2.15384565   2.50999922   0.06586275  -0.19184347]
 [-13.99978588  29.56588123   0.           0.        ]]"
9,-0.65945,"[-1.02234593 -0.45699922 -1.29529285 -0.80725     0.56566895 -1.65761802
 -0.42606817  2.98660888 -0.59731182  1.60034964  0.        ]",[-0.08647133  4.43235553],-0.206475189479,[ 0.1869832   4.27184963],[-0.78062046 -0.18928987],"[[ -2.39133416   3.13516976   0.06586275  -0.19184347]
 [ -9.76340341  26.62240152   0.           0.        ]]"
