timestep,rewards,obs,actions,original_rewards,avg_action_dist,logstd_action_dist,human_obs
0,-1.03458,"[ 1.34996226  2.77497814 -0.37733686 -0.68933023 -1.52969144 -0.50889747
 -0.23819892 -0.37389422  2.83189894  0.33447841  0.        ]",[ 1.90088348  9.40595262],-0.389452566741,[ 2.20973897  8.84268379],[-0.75053966 -0.25182956],"[[-0.08273868  0.03967826 -0.17710649 -0.05953415]
 [ 0.00083964 -0.00339544  0.          0.        ]]"
1,-1.0367,"[ 1.35340261  2.77118277 -0.3180004  -0.50740223 -1.52968991 -0.50889728
 -0.15537313  0.12271329  2.83404545  0.44132874  0.        ]",[ 2.39724156  9.58983284],-0.391446262575,[ 2.57766604  8.59850502],[-0.75053966 -0.25182956],"[[-0.04304695  0.07932342 -0.17710649 -0.05953415]
 [ 3.95517537  3.95472524  0.          0.        ]]"
2,-1.20111,"[ 1.35080656  2.74503892 -0.14137063  0.02968783 -1.52968838 -0.50889709
 -0.07418321  0.60949089  2.80187342  0.75635026  0.        ]",[ 2.97577342  7.57050758],-0.394775409599,[ 3.00268221  8.2490921 ],[-0.75053966 -0.25182956],"[[ 0.07494762  0.19734497 -0.17710649 -0.05953415]
 [ 7.83140994  7.83449901  0.          0.        ]]"
3,-1.1782,"[ 1.30480585  2.65421348  0.1455931   0.88547089 -1.52968686 -0.50889689
  0.00540951  1.08662542  2.6281446   1.2381782   0.        ]",[ 3.65586778  8.87274906],-0.39171409772,[ 3.27490854  7.67094755],[-0.75053966 -0.25182956],"[[  0.269701     0.39219104  -0.17710649  -0.05953415]
 [ 11.63138971  11.63741744   0.           0.        ]]"
4,-1.16357,"[ 1.15857512  2.43644021  0.51626092  1.95549298 -1.52968533 -0.5088967
  0.08345079  1.5542905   2.18265604  1.7416064   0.        ]",[ 2.87836352  7.89283252],-0.370306856328,[ 3.45332408  7.17533159],[-0.75053966 -0.25182956],"[[  0.53970933   0.66233858  -0.17710649  -0.05953415]
 [ 15.35729943  15.36486851   0.           0.        ]]"
5,-1.05617,"[ 0.85033795  2.02898503  0.90437142  3.01237    -1.5296838  -0.50889651
  0.15999302  2.01264833  1.43794124  1.97548358  0.        ]",[ 3.36707423  6.16517522],-0.31729441821,[ 3.27005625  6.49646521],[-0.75053966 -0.25182956],"[[  0.88351585   1.00629133  -0.17710649  -0.05953415]
 [ 19.01164048  19.01815096   0.           0.        ]]"
6,-0.752499,"[ 0.34447993  1.40658273  1.18974918  3.67520746 -1.52968227 -0.50889632
  0.23508753  2.46186243  0.64576174  1.6332573   0.        ]",[ 3.87190109  6.34639932],-0.225748663073,[ 3.39950895  5.64062119],[-0.75053966 -0.25182956],"[[  1.29971435   1.42257885  -0.17710649  -0.05953415]
 [ 22.59686368  22.59857548   0.           0.        ]]"
7,-0.519103,"[-0.32082926  0.63495882  1.20959657  3.46401327 -1.52968075 -0.50889613
  0.30876685  2.90212523  0.32748097  0.77855882  0.        ]",[ 2.89728606  5.089981  ],-0.117106182251,[ 3.23132062  4.96038055],[-0.75053966 -0.25182956],"[[  1.78694044   1.90975879  -0.17710649  -0.05953415]
 [ 26.11452178  26.10768425   0.           0.        ]]"
8,-0.507029,"[-0.98836549 -0.08509656  0.81870342  2.00174228 -1.52967922 -0.50889594
  0.3810206   3.33369311  0.75849445  0.12470291  0.        ]",[ 3.33814312  5.06933858],-0.119989375141,[ 3.11995697  4.54149389],[-0.75053966 -0.25182956],"[[  2.34384215   2.46642431  -0.17710649  -0.05953415]
 [ 29.5641197   29.5475302    0.           0.        ]]"
9,-0.583053,"[-1.3840816  -0.4356162   0.00367587 -0.64019754 -1.52967769 -0.50889575
  0.45177656  2.98764674  1.28213962  0.38375064  0.        ]",[ 2.01576471  3.17935811],-0.193109310127,[ 3.03602171  4.51710939],[-0.75053966 -0.25182956],"[[  2.96903077   3.09121594  -0.17710649  -0.05953415]
 [ 32.94220997  26.7894797    0.           0.        ]]"
10,-0.510154,"[-1.22258953 -0.4255452  -0.99714237 -1.43502188 -1.52967616 -0.50889555
  0.52101873 -0.56884707  1.21784417  0.59029156  0.        ]",[ 1.88607038  6.11217783],-0.193475073298,[ 1.87268007  5.37883091],[-0.75053966 -0.25182956],"[[  3.6610398    3.26443598  -0.17710649  -0.05953415]
 [ 36.24802839  -1.55719783   0.           0.        ]]"
11,-0.675905,"[-0.42455839 -0.43621246 -1.6873122  -1.06641445 -1.52967464 -0.50889536
  0.58891739 -0.97249105  1.19989339  0.53588936  0.        ]",[ 1.99601923  4.5786114 ],-0.188841224403,[ 1.89139056  5.20589066],[-0.75053966 -0.25182956],"[[  4.4185244    3.18396078  -0.17710649  -0.05953415]
 [ 39.48970553  -4.77440546   0.           0.        ]]"
12,-0.686248,"[ 0.66989448 -0.4363466  -1.54766738 -0.68625845 -1.52967311 -0.50889517
  0.65547417 -0.78810274  1.20528475  0.53482083  0.        ]",[ 2.28609819  5.06734154],-0.189442546249,[ 2.1683867   4.88643503],[-0.75053966 -0.25182956],"[[  5.24020064   3.10124589  -0.17710649  -0.05953415]
 [ 42.66731886  -3.30476032   0.           0.        ]]"
13,-0.697026,"[ 1.3374098  -0.43109897 -0.48980932 -0.45686539 -1.52967158 -0.50889498
  0.72071201 -0.59766829  1.15381874  0.53939016  0.        ]",[ 2.45023748  5.03826145],-0.183476092835,[ 2.49862933  4.93416977],[-0.75053966 -0.25182956],"[[  6.12479734   3.05123652  -0.17710649  -0.05953415]
 [ 45.78196386  -1.78692413   0.           0.        ]]"
14,-0.66829,"[ 0.9481686  -0.42685852  0.80833096 -0.33969654 -1.52967005 -0.50889479
  0.78465781 -0.48241141  1.0943815   0.4644445   0.        ]",[ 2.8644607   2.65965347],-0.173016884094,[ 2.76338387  5.27755833],[-0.75053966 -0.25182956],"[[  7.07106799   3.02561311  -0.17710649  -0.05953415]
 [ 48.83492587  -0.86828274   0.           0.        ]]"
15,-0.412715,"[-0.33114938 -0.42449241  1.20709154 -0.28450267 -1.52966853 -0.5088946
  0.84733763 -0.42333018  1.12429098  0.34296931  0.        ]",[ 2.84110292  6.3356179 ],-0.172114332427,[ 2.79356933  5.57118273],[-0.75053966 -0.25182956],"[[  8.07779146   3.01351738  -0.17710649  -0.05953415]
 [ 51.82744871  -0.39738324   0.           0.        ]]"
16,-0.414412,"[-1.35045804 -0.4233528   0.16188993 -0.25972101 -1.529667   -0.5088944
  0.90877661 -0.39543346  1.25004152  0.30434851  0.        ]",[ 2.19223084  7.19025137],-0.186720061018,[ 2.46159101  5.58421087],[-0.75053966 -0.25182956],"[[  9.14377102   3.00808046  -0.17710649  -0.05953415]
 [ 54.76073342  -0.1750366    0.           0.        ]]"
17,-0.580496,"[-0.94265072 -0.42284218 -1.37205539 -0.24894416 -1.52966547 -0.50889421
  0.9689993  -0.3828923   1.34651869  0.41701437  0.        ]",[ 3.31368612  6.99220779],-0.202215542457,[ 2.39598393  5.45475912],[-0.75053966 -0.25182956],"[[ 10.26783369   3.00571488  -0.17710649  -0.05953415]
 [ 57.6359521   -0.07507969   0.           0.        ]]"
18,-0.663071,"[ 0.57918466 -0.4226223  -1.60026827 -0.2443634  -1.52966394 -0.50889402
  1.02802974 -0.37743527  1.28834328  0.56735821  0.        ]",[ 2.60344734  5.30890556],-0.200869754508,[ 2.39394283  4.99784756],[-0.75053966 -0.25182956],"[[  1.14488297e+01   3.00470916e+00  -1.77106490e-01  -5.95341488e-02]
 [  6.04542531e+01  -3.15860565e-02   0.00000000e+00   0.00000000e+00]]"
19,-0.644405,"[ 1.34487896 -0.42252985 -0.07530682 -0.24244917 -1.52966242 -0.50889383
  1.08589152 -0.37511523  1.13197884  0.56099349  0.        ]",[ 2.82200165  5.34219307],-0.181889466312,[ 2.62271738  5.09701443],[-0.75053966 -0.25182956],"[[  1.26856319e+01   3.00428885e+00  -1.77106490e-01  -5.95341488e-02]
 [  6.32167626e+01  -1.30954727e-02   0.00000000e+00   0.00000000e+00]]"
20,-0.500103,"[ 0.1948954  -0.42249154  1.22531273 -0.2416595  -1.52966089 -0.50889364
  1.14260776 -0.3741458   1.08861528  0.38970019  0.        ]",[ 3.34978778  4.2119953 ],-0.16933322797,[ 2.73725224  5.56410217],[-0.75053966 -0.25182956],"[[  1.39771356e+01   3.00411546e+00  -1.77106490e-01  -5.95341488e-02]
 [  6.59245845e+01  -5.36979073e-03   0.00000000e+00   0.00000000e+00]]"
21,-0.400119,"[-1.30321501 -0.42247578  0.31002639 -0.24133682 -1.52965936 -0.50889345
  1.19820111 -0.3737461   1.23478488  0.29784665  0.        ]",[ 1.99346579  7.1448297 ],-0.184619647849,[ 2.45836163  5.69719362],[-0.75053966 -0.25182956],"[[  1.53222579e+01   3.00404462e+00  -1.77106490e-01  -5.95341488e-02]
 [  6.85788014e+01  -2.18500276e-03   0.00000000e+00   0.00000000e+00]]"
22,-0.621305,"[-0.75640652 -0.4224693  -1.52365173 -0.24120573 -1.52965783 -0.50889326
  1.25269379 -0.37358301  1.34988666  0.44063118  0.        ]",[ 2.59609054  6.35611522],-0.203432231863,[ 2.39242315  5.53126049],[-0.75053966 -0.25182956],"[[  1.67199374e+01   3.00401585e+00  -1.77106490e-01  -5.95341488e-02]
 [  7.11804742e+01  -8.86147624e-04   0.00000000e+00   0.00000000e+00]]"
23,-0.673777,"[ 1.04744653 -0.42246657 -1.1959525  -0.24115246 -1.52965631 -0.50889306
  1.3061076  -0.37351701  1.23399957  0.59032903  0.        ]",[ 1.66166287  5.47657068],-0.195400847822,[ 2.40790296  5.04937601],[-0.75053966 -0.25182956],"[[  1.81691335e+01   3.00400417e+00  -1.77106490e-01  -5.95341488e-02]
 [  7.37306432e+01  -3.61079736e-04   0.00000000e+00   0.00000000e+00]]"
24,-0.546924,"[ 0.91699866 -0.42246537  0.84096781 -0.24113055 -1.52965478 -0.50889287
  1.35846387 -0.37349044  1.08219988  0.4756452   0.        ]",[ 2.84183387  5.44214857],-0.172029851898,[ 2.68714285  5.45140648],[-0.75053966 -0.25182956],"[[  1.96688265e+01   3.00399938e+00  -1.77106490e-01  -5.95341488e-02]
 [  7.62303280e+01  -1.50396659e-04   0.00000000e+00   0.00000000e+00]]"
25,-0.455338,"[-1.01238148 -0.42246477  0.79263055 -0.24112118 -1.52965325 -0.50889268
  1.40978353 -0.37347978  1.18266743  0.30028524  0.        ]",[ 3.24399148  4.87030339],-0.178121576653,[ 2.5142107   5.78856897],[-0.75053966 -0.25182956],"[[  2.12180167e+01   3.00399734e+00  -1.77106490e-01  -5.95341488e-02]
 [  7.86805278e+01  -6.64204281e-05   0.00000000e+00   0.00000000e+00]]"
26,-0.667849,"[-0.96153013 -0.42246441 -1.35344883 -0.2411168  -1.52965172 -0.50889249
  1.46008709 -0.37347548  1.34694648  0.41313787  0.        ]",[ 1.76693262  4.64252898],-0.202142225631,[ 2.37507534  5.68949986],[-0.75053966 -0.25182956],"[[  2.28157243e+01   3.00399639e+00  -1.77106490e-01  -5.95341488e-02]
 [  8.10822224e+01  -3.31652257e-05   0.00000000e+00   0.00000000e+00]]"
27,-0.661876,"[ 1.05493118 -0.42246415 -1.18582131 -0.24111439 -1.5296502  -0.5088923
  1.50939467 -0.37347371  1.23283825  0.59051286  0.        ]",[ 2.03664394  5.35025947],-0.195271573854,[ 2.38034463  5.13409042],[-0.75053966 -0.25182956],"[[  2.44609887e+01   3.00399588e+00  -1.77106490e-01  -5.95341488e-02]
 [  8.34363720e+01  -2.00938306e-05   0.00000000e+00   0.00000000e+00]]"
28,-0.5526,"[ 0.69695301 -0.42246393  1.02301356 -0.24111276 -1.52964867 -0.50889211
  1.55772597 -0.37347295  1.07907254  0.44619363  0.        ]",[ 2.74490449  4.25256053],-0.170395896137,[ 2.65076828  5.59288311],[-0.75053966 -0.25182956],"[[  2.61528685e+01   3.00399554e+00  -1.77106490e-01  -5.95341488e-02]
 [  8.57439178e+01  -1.50101741e-05   0.00000000e+00   0.00000000e+00]]"
29,-0.46279,"[-1.30415347 -0.42246372  0.3075113  -0.24111142 -1.52964714 -0.50889191
  1.60510031 -0.37347258  1.23499983  0.29784639  0.        ]",[ 1.97489367  5.52402243],-0.184647715429,[ 2.41154456  5.85294104],[-0.75053966 -0.25182956],"[[  2.78904408e+01   3.00399526e+00  -1.77106490e-01  -5.95341488e-02]
 [  8.80057824e+01  -1.30692229e-05   0.00000000e+00   0.00000000e+00]]"
30,-0.702275,"[-0.26152019 -0.42246351 -1.72933506 -0.24111019 -1.52964561 -0.50889172
  1.65153663 -0.37347236  1.34107563  0.49659081  0.        ]",[ 1.90976404  4.98549428],-0.204380646129,[ 2.38625669  5.56679535],[-0.75053966 -0.25182956],"[[  2.96728013e+01   3.00399500e+00  -1.77106490e-01  -5.95341488e-02]
 [  9.02228700e+01  -1.23551867e-05   0.00000000e+00   0.00000000e+00]]"
31,-0.657783,"[ 1.34991415 -0.42246331 -0.12913992 -0.241109   -1.52964409 -0.50889153
  1.69705348 -0.3734722   1.13590504  0.56443797  0.        ]",[ 2.02658128  5.12355867],-0.182521300994,[ 2.50479031  5.32682562],[-0.75053966 -0.25182956],"[[  3.14990631e+01   3.00399476e+00  -1.77106490e-01  -5.95341488e-02]
 [  9.23960673e+01  -1.21137658e-05   0.00000000e+00   0.00000000e+00]]"
32,-0.419243,"[-0.53877085 -0.42246311  1.13668501 -0.24110782 -1.52964256 -0.50889134
  1.74166907 -0.37347207  1.13217336  0.32658656  0.        ]",[ 2.70488042  5.57393025],-0.172574237261,[ 2.53560472  5.90044975],[-0.75053966 -0.25182956],"[[  3.33683571e+01   3.00399452e+00  -1.77106490e-01  -5.95341488e-02]
 [  9.45262429e+01  -1.20492472e-05   0.00000000e+00   0.00000000e+00]]"
33,-0.614231,"[-1.06004979 -0.4224629  -1.24388667 -0.24110665 -1.52964103 -0.50889115
  1.78540122 -0.37347194  1.34336256  0.39853422  0.        ]",[ 2.95063667  5.19187261],-0.201223659143,[ 2.35554934  5.87151194],[-0.75053966 -0.25182956],"[[  3.52798316e+01   3.00399428e+00  -1.77106490e-01  -5.95341488e-02]
 [  9.66142487e+01  -1.20463020e-05   0.00000000e+00   0.00000000e+00]]"
34,-0.662024,"[ 1.20728821 -0.4224627  -0.92722051 -0.24110548 -1.52963951 -0.50889096
  1.82826742 -0.37347182  1.20509287  0.59151962  0.        ]",[ 2.69906807  4.88269117],-0.192021257926,[ 2.3609314   5.26577377],[-0.75053966 -0.25182956],"[[  3.72326515e+01   3.00399404e+00  -1.77106490e-01  -5.95341488e-02]
 [  9.86609193e+01  -1.20603152e-05   0.00000000e+00   0.00000000e+00]]"
35,-0.480366,"[ 0.03561345 -0.4224625   1.24301086 -0.2411043  -1.52963798 -0.50889077
  1.87028481 -0.37347169  1.09511317  0.37415917  0.        ]",[ 2.44301542  4.69108401],-0.169568173343,[ 2.55382013  5.86295509],[-0.75053966 -0.25182956],"[[  3.92259983e+01   3.00399380e+00  -1.77106490e-01  -5.95341488e-02]
 [  1.00667073e+02  -1.20743036e-05   0.00000000e+00   0.00000000e+00]]"
36,-0.510553,"[-1.28558462 -0.4224623  -0.86211744 -0.24110312 -1.52963645 -0.50889057
  1.91147017 -0.37347156  1.32498718  0.35850695  0.        ]",[ 2.37262516  6.50934618],-0.197692107361,[ 2.34313011  5.98950529],[-0.75053966 -0.25182956],"[[  4.12590697e+01   3.00399355e+00  -1.77106490e-01  -5.95341488e-02]
 [  1.02633512e+02  -1.20820438e-05   0.00000000e+00   0.00000000e+00]]"
37,-0.644177,"[ 1.07233393 -0.4224621  -1.16154712 -0.24110195 -1.52963492 -0.50889038
  1.95183998 -0.37347144  1.23007136  0.59089364  0.        ]",[ 1.74699225  5.60265214],-0.19496108041,[ 2.33826566  5.32156134],[-0.75053966 -0.25182956],"[[  4.33310793e+01   3.00399331e+00  -1.77106490e-01  -5.95341488e-02]
 [  1.04561023e+02  -1.20814820e-05   0.00000000e+00   0.00000000e+00]]"
38,-0.440712,"[ 0.12902593 -0.42246189  1.23509665 -0.24110077 -1.5296334  -0.50889019
  1.99141037 -0.37347131  1.09104284  0.38316609  0.        ]",[ 2.85339741  6.03743128],-0.169392924237,[ 2.54095674  5.89382935],[-0.75053966 -0.25182956],"[[  4.54412562e+01   3.00399307e+00  -1.77106490e-01  -5.95341488e-02]
 [  1.06450376e+02  -1.20721680e-05   0.00000000e+00   0.00000000e+00]]"
39,-0.515071,"[-1.25811267 -0.42246169 -0.92520533 -0.2410996  -1.52963187 -0.50889
  2.03019716 -0.37347118  1.328512    0.36421734  0.        ]",[ 2.3194252   6.52047205],-0.198304728399,[ 2.33433032  6.03831959],[-0.75053966 -0.25182956],"[[  4.75888449e+01   3.00399283e+00  -1.77106490e-01  -5.95341488e-02]
 [  1.08302326e+02  -1.20542573e-05   0.00000000e+00   0.00000000e+00]]"
40,-0.655699,"[ 1.19079578 -0.42246149 -0.96166536 -0.24109842 -1.52963034 -0.50888981
  2.06821586 -0.37347105  1.20859253  0.59173623  0.        ]",[ 2.35392426  4.94957614],-0.192447660007,[ 2.3326385   5.37031746],[-0.75053966 -0.25182956],"[[  4.97731048e+01   3.00399259e+00  -1.77106490e-01  -5.95341488e-02]
 [  1.10117614e+02  -1.20281247e-05   0.00000000e+00   0.00000000e+00]]"
41,-0.387256,"[-0.24070108 -0.42246129  1.22602391 -0.24109725 -1.52962881 -0.50888962
  2.10548167 -0.37347092  1.11027773  0.34955035  0.        ]",[ 2.19758996  6.90202727],-0.170592689881,[ 2.51536822  6.01372194],[-0.75053966 -0.25182956],"[[  5.19933099e+01   3.00399235e+00  -1.77106490e-01  -5.95341488e-02]
 [  1.11896966e+02  -1.19942151e-05   0.00000000e+00   0.00000000e+00]]"
42,-0.551043,"[-0.94407414 -0.42246109 -1.37067061 -0.24109609 -1.52962729 -0.50888942
  2.14200949 -0.37347078  1.34739823  0.41560942  0.        ]",[ 2.44117853  6.73623056],-0.202281645082,[ 2.34659529  6.00964785],[-0.75053966 -0.25182956],"[[  5.42487487e+01   3.00399211e+00  -1.77106490e-01  -5.95341488e-02]
 [  1.13641093e+02  -1.19529868e-05   0.00000000e+00   0.00000000e+00]]"
43,-0.620804,"[ 1.35461137 -0.42246089 -0.26842842 -0.24109492 -1.52962576 -0.50888923
  2.17781391 -0.37347065  1.14648717  0.5718923   0.        ]",[ 2.84615256  5.6295965 ],-0.1841345689,[ 2.39929461  5.49639893],[-0.75053966 -0.25182956],"[[  5.65387235e+01   3.00399187e+00  -1.77106490e-01  -5.95341488e-02]
 [  1.15350693e+02  -1.19048900e-05   0.00000000e+00   0.00000000e+00]]"
44,-0.3989,"[-0.95835107 -0.42246068  0.84956173 -0.24109377 -1.52962423 -0.50888904
  2.21290925 -0.37347052  1.17551304  0.3023881   0.        ]",[ 2.43038791  6.03286187],-0.177283720792,[ 2.43247151  6.11820555],[-0.75053966 -0.25182956],"[[  5.88625507e+01   3.00399163e+00  -1.77106490e-01  -5.95341488e-02]
 [  1.17026448e+02  -1.18503586e-05   0.00000000e+00   0.00000000e+00]]"
45,-0.625171,"[-0.0821789  -0.42246048 -1.75022975 -0.24109261 -1.5296227  -0.50888885
  2.24730956 -0.37347038  1.33369971  0.51416874  0.        ]",[ 2.03686626  6.62431812],-0.204161681697,[ 2.36218357  5.79186678],[-0.75053966 -0.25182956],"[[  6.12195603e+01   3.00399140e+00  -1.77106490e-01  -5.95341488e-02]
 [  1.18669030e+02  -1.17898083e-05   0.00000000e+00   0.00000000e+00]]"
46,-0.529105,"[ 0.95852097 -0.42246028  0.79703096 -0.24109147 -1.52962118 -0.50888866
  2.28102857 -0.37347025  1.0835105   0.48168832  0.        ]",[ 2.50397314  5.70902116],-0.172455136471,[ 2.51039505  5.78873205],[-0.75053966 -0.25182956],"[[  6.36090952e+01   3.00399116e+00  -1.77106490e-01  -5.95341488e-02]
 [  1.20279094e+02  -1.17236361e-05   0.00000000e+00   0.00000000e+00]]"
47,-0.429575,"[-1.4023256  -0.42246008 -0.33896948 -0.24109032 -1.52961965 -0.50888847
  2.31407977 -0.37347011  1.29016035  0.3213765   0.        ]",[ 2.55651172  6.57973384],-0.192248910881,[ 2.33045888  6.19902229],[-0.75053966 -0.25182956],"[[  6.60305115e+01   3.00399093e+00  -1.77106490e-01  -5.95341488e-02]
 [  1.21857285e+02  -1.16522203e-05   0.00000000e+00   0.00000000e+00]]"
48,-0.626015,"[ 1.08831578 -0.42245988 -1.13831308 -0.24108919 -1.52961812 -0.50888827
  2.34647638 -0.37346997  1.22745567  0.59119588  0.        ]",[ 1.74488032  5.79683682],-0.194665175641,[ 2.31823111  5.49804544],[-0.75053966 -0.25182956],"[[  6.84831783e+01   3.00399070e+00  -1.77106490e-01  -5.95341488e-02]
 [  1.23404233e+02  -1.15759215e-05   0.00000000e+00   0.00000000e+00]]"
49,-0.41745,"[-0.40706448 -0.42245968  1.18585149 -0.24108806 -1.5296166  -0.50888808
  2.37823135 -0.37346984  1.12173124  0.33624191  0.        ]",[ 2.30041929  5.48693795],-0.171580354096,[ 2.47379136  6.15382099],[-0.75053966 -0.25182956],"[[  7.09664767e+01   3.00399046e+00  -1.77106490e-01  -5.95341488e-02]
 [  1.24920557e+02  -1.14950831e-05   0.00000000e+00   0.00000000e+00]]"
