timestep,original_rewards,logstd_action_dist,avg_action_dist,rewards,obs,human_obs,actions
0,-0.280762900225,[-0.81834638 -0.2905134 ],[-1.957268   -5.32898426],-2.63319,"[ 1.20438176  2.50733987  0.1149769   0.41980995 -0.28680568 -1.05968679
 -1.47387163  0.22278629  1.63906168  1.23202999  0.        ]","[[ 0.08648905  0.01190369 -0.03328574 -0.12225927]
 [ 0.00438861  0.00403029  0.          0.        ]]",[-2.62716762 -4.98870544]
1,-0.275284364557,[-0.81834638 -0.2905134 ],[-1.75141501 -5.19908953],-2.69287,"[ 1.20804639  2.50686073  0.05706583  0.29904274 -0.28680558 -1.05968606
 -1.57983926 -0.24373335  1.64485922  1.12129128  0.        ]","[[ 0.04690089 -0.02772891 -0.03328574 -0.12225927]
 [-3.95004342 -3.9541029   0.          0.        ]]",[-1.51902885 -4.45728154]
2,-0.257287867798,[-0.81834638 -0.2905134 ],[-1.36485839 -4.97140265],-2.40115,"[ 1.20607354  2.49143574 -0.11567497 -0.0590263  -0.28680548 -1.05968533
 -1.68371274 -0.701019    1.62471     0.79240249  0.        ]","[[-0.07099175 -0.14573816 -0.03328574 -0.12225927]
 [-7.82634167 -7.83389243  0.          0.        ]]",[-1.6826849  -4.90033752]
3,-0.222688986632,[-0.81834638 -0.2905134 ],[-0.62985569 -4.46491575],-1.9701,"[ 1.16083645  2.42074521 -0.39659547 -0.63439859 -0.28680538 -1.05968461
 -1.78554082 -1.14924647  1.47303113  0.28274736  0.        ]","[[ -0.26564393  -0.3405723   -0.03328574  -0.12225927]
 [-11.62632659 -11.6368326    0.           0.        ]]",[-0.72923286 -5.92718014]
4,-0.168487882512,[-0.81834638 -0.2905134 ],[ 0.39126664 -3.70412517],-1.88405,"[ 1.0225866   2.23461706 -0.74629982 -1.36403577 -0.28680528 -1.05968388
 -1.85667602 -1.5886285   1.06945184 -0.25092724  0.        ]","[[ -0.52480295  -0.61071257  -0.03328574  -0.12225927]
 [-14.2809637  -15.36473308   0.           0.        ]]",[ 0.94663512 -3.93076689]
5,-0.104514952795,[-0.81834638 -0.2905134 ],[ 0.8880052  -3.33988547],-1.66078,"[ 0.81761065  1.87031899 -1.03236329 -2.10360361 -0.28680518 -1.05968316
 -1.74876627 -2.01956459  0.48609875 -0.50033066  0.        ]","[[ -0.77001918  -0.95469182  -0.03328574  -0.12225927]
 [-10.25419973 -19.02098958   0.           0.        ]]",[ 0.38284327 -2.59675886]
6,-0.0422323014934,[-0.81834638 -0.2905134 ],[ 1.11572754 -3.0404923 ],-1.55614,"[ 0.61940879  1.29764099 -1.21098962 -2.60333074 -0.28680508 -1.05968243
 -1.70279518 -2.44187638 -0.06008534 -0.35451979  0.        ]","[[ -0.95788987  -1.37106224  -0.03328574  -0.12225927]
 [ -8.53878327 -22.60409619   0.           0.        ]]",[ 1.51561567 -2.74711905]
7,-0.0306992431178,[-0.81834638 -0.2905134 ],[ 1.23959363 -2.56009555],-1.39652,"[ 0.46606301  0.57011785 -1.30980052 -2.53875099 -0.28680498 -1.05968171
 -1.59229894 -2.85586965 -0.38390264  0.09854604  0.        ]","[[ -1.08729596  -1.85838719  -0.03328574  -0.12225927]
 [ -4.4154766  -26.11665583   0.           0.        ]]",[ 0.63700757 -3.67352613]
8,-0.0805248295448,[-0.81834638 -0.2905134 ],[ 1.17423511 -2.01603603],-1.62827,"[ 0.38838886 -0.13012114 -1.3496378  -1.64036423 -0.28680488 -1.05968098
 -1.52246955 -3.26161755 -0.36889262  0.65798227  0.        ]","[[ -1.14946304  -2.41526179  -0.03328574  -0.12225927]
 [ -1.80972171 -29.5592986    0.           0.        ]]",[ 1.34766623 -1.59338716]
9,-0.127726922611,[-0.81834638 -0.2905134 ],[ 0.98228258 -1.43641639],-1.84236,"[ 0.39328638 -0.503289   -1.34730829  0.0753936  -0.28680478 -1.05968026
 -1.41545326 -2.96141374 -0.02954757  1.09680615  0.        ]","[[ -1.14559691  -3.04030336  -0.03328574  -0.12225927]
 [  2.18374418 -27.01231209   0.           0.        ]]",[ 0.02201721 -1.10116417]
10,-0.141036041694,[-0.81834638 -0.2905134 ],[-0.16316825 -1.75634384],-1.72053,"[ 0.44856716 -0.50530758 -1.31932451  0.64852982 -0.28680468 -1.05967953
 -1.41424183  0.29586478  0.1159344   1.17873101  0.        ]","[[-1.10146578 -3.2286574  -0.03328574 -0.12225927]
 [ 2.22889995  0.62398975  0.          0.        ]]",[ 0.48730065 -1.78770408]
11,-0.13578219037,[-0.81834638 -0.2905134 ],[-0.22570115 -2.00914955],-1.59054,"[ 0.52593092 -0.51062763 -1.27460983  0.45337104 -0.28680458 -1.05967881
 -1.36371634  0.70760775  0.05568532  1.14944809  0.        ]","[[-1.03797011 -3.16450945 -0.03328574 -0.12225927]
 [ 4.11430951  4.11741489  0.          0.        ]]",[-0.31722018 -1.76964478]
12,-0.129416401297,[-0.81834638 -0.2905134 ],[-0.09396595 -1.93176413],-1.54372,"[  6.06613773e-01  -5.09150774e-01  -1.22036486e+00   2.31763621e-01
  -2.86804481e-01  -1.05967808e+00  -1.39955598e+00   5.69700340e-01
   7.88984939e-05   1.10599760e+00   0.00000000e+00]","[[-0.96910313 -3.09176788 -0.03328574 -0.12225927]
 [ 2.77683389  2.94734541  0.          0.        ]]",[-0.65976297 -1.66021883]
