timestep,avg_action_dist,actions,original_rewards,rewards,human_obs,obs,logstd_action_dist
0,[-1.46248126 -2.49977469],[-2.18970628 -1.88890079],-0.404473078527,-0.404473078527,"[[ 0.00106766 -0.03518487 -0.19450522 -0.00872717]
 [ 0.00240511 -0.00358518  0.          0.        ]]","[ 1.04965838  2.00065111 -0.10417935  0.6604147  -1.6958511  -0.07482434
  0.12511261  0.31349076  2.81855937  0.12619454  0.        ]",[-0.20309421 -0.09180123]
1,[-1.15565276 -2.29915047],[-2.31506194 -1.8107018 ],-0.403794477362,-0.403794477362,"[[-0.03855981 -0.07496826 -0.19450522 -0.00872717]
 [-3.95199399 -3.96156755  0.          0.        ]]","[ 1.0485952   1.99769399 -0.16427089  0.55178656 -1.69584435 -0.07482426
 -0.22549407 -0.21284407  2.81302982  0.01773042  0.        ]",[-0.20309421 -0.09180123]
2,[-0.7041676  -2.11085534],[-0.5787678  -1.05908656],-0.399122313699,-0.399122313699,"[[-0.15649136 -0.1931253  -0.19450522 -0.00872717]
 [-7.82828823 -7.84120605  0.          0.        ]]","[ 1.03220082  1.97644663 -0.34219388  0.23173546 -1.69583759 -0.07482419
 -0.56917559 -0.72876026  2.75862673 -0.29868368  0.        ]",[-0.20309421 -0.09180123]
3,[-0.25764704 -1.93852472],[ 0.29298796 -1.07676551],-0.383892984705,-0.383892984705,"[[ -3.34463575e-01  -3.88110693e-01  -1.94505224e-01  -8.72716633e-03]
 [ -9.96192502e+00  -1.16446461e+01   0.00000000e+00   0.00000000e+00]]","[ 0.97050403  1.90137151 -0.60370041 -0.27834128 -1.69583083 -0.07482411
 -0.75834826 -1.23454172  2.56577758 -0.74663773  0.        ]",[-0.20309421 -0.09180123]
4,[ 0.0554388 -1.6376195],[-0.25801757 -0.04379626],-0.353390568366,-0.353390568366,"[[ -5.20090160e-01  -6.58421566e-01  -1.94505224e-01  -8.72716633e-03]
 [ -8.60538197e+00  -1.53739982e+01   0.00000000e+00   0.00000000e+00]]","[ 0.86078931  1.72014829 -0.85957423 -0.91672201 -1.69582408 -0.07482403
 -0.63807258 -1.73046673  2.1966978  -1.13860958  0.        ]",[-0.20309421 -0.09180123]
5,[ 0.18366331 -1.50554705],[ 0.52872217 -2.85819   ],-0.3085478434,-0.3085478434,"[[ -7.00747521e-01  -9.64582399e-01  -1.94505224e-01  -8.72716633e-03]
 [ -9.45761732e+00  -1.52425104e+01   0.00000000e+00   0.00000000e+00]]","[ 0.71307878  1.4224849  -1.08379951 -1.49086747 -1.69581732 -0.07482396
 -0.713633   -1.71297448  1.71541668 -1.33255084  0.        ]",[-0.20309421 -0.09180123]
6,[ 0.28129601 -1.07993782],[-0.18189106 -1.20623132],-0.252541234922,-0.252541234922,"[[ -8.67043684e-01  -1.30613610e+00  -1.94505224e-01  -8.72716633e-03]
 [ -7.17970980e+00  -1.89006583e+01   0.00000000e+00   0.00000000e+00]]","[ 0.54556742  1.00777874 -1.26221565 -1.88294835 -1.69581057 -0.07482388
 -0.5116667  -2.19942264  1.22728422 -1.27169389  0.        ]",[-0.20309421 -0.09180123]
7,[ 0.33213496 -0.65021062],[ 0.19526584 -1.73465925],-0.188794094549,-0.188794094549,"[[ -1.01645748e+00  -1.72011919e+00  -1.94505224e-01  -8.72716633e-03]
 [ -7.75998577e+00  -2.24857044e+01   0.00000000e+00   0.00000000e+00]]","[ 0.37316424  0.45558644 -1.3954296  -1.94772771 -1.69580381 -0.0748238
 -0.56311486 -2.67613858  0.83750759 -0.94189392  0.        ]",[-0.20309421 -0.09180123]
8,[ 0.46497124 -0.34029964],[ 1.97669559 -0.64231765],-0.139801289249,-0.139801289249,"[[ -1.16239553e+00  -2.20509327e+00  -1.94505224e-01  -8.72716633e-03]
 [ -6.83691485e+00  -2.59999920e+01   0.00000000e+00   0.00000000e+00]]","[ 0.18856735 -0.14167568 -1.49782028 -1.4462082  -1.69579706 -0.07482372
 -0.48127209 -3.14342941  0.69161547 -0.41753273  0.        ]",[-0.20309421 -0.09180123]
9,[ 0.51578337 -0.10225599],[-0.16679104 -0.54900988],-0.153689646496,-0.153689646496,"[[ -1.25808541e+00  -2.74544607e+00  -1.94505224e-01  -8.72716633e-03]
 [ -2.74528899e+00  -2.80285024e+01   0.00000000e+00   0.00000000e+00]]","[ 0.06072702 -0.58566751 -1.54900012 -0.29863133 -1.6957903  -0.07482365
 -0.11849619 -3.41313158  0.89590814  0.05767081  0.        ]",[-0.20309421 -0.09180123]
10,[ 0.27641261 -0.20563698],[ 0.71209968 -0.25831087],-0.198348090777,-0.198348090777,"[[-1.31907417 -3.17094419 -0.19450522 -0.00872717]
 [-3.3509189  -6.82564643  0.          0.        ]]","[-0.02292638 -0.68930216 -1.57475217  0.83688781 -1.69578355 -0.07482357
 -0.17219302 -0.59365562  1.23100384  0.25094825  0.        ]",[-0.20309421 -0.09180123]
11,[ 0.08913484 -0.57796496],[-0.19841098 -0.18557781],-0.197599301629,-0.197599301629,"[[-1.35713282 -3.1759145  -0.19450522 -0.00872717]
 [-0.46471401  3.10290734  0.          0.        ]]","[-0.07581869 -0.68908821 -1.58805726  0.85047217 -1.69577679 -0.07482349
  0.08370697  0.72660544  1.22546785  0.2482877   0.        ]",[-0.20309421 -0.09180123]
12,[ 0.09496805 -0.60952741],[ 0.56223191 -0.61972082],-0.18970089097,-0.18970089097,"[[-1.37421634 -3.10665189 -0.19450522 -0.00872717]
 [-1.24107664  3.26705518  0.          0.        ]]","[-0.09970784 -0.68905833 -1.59332929  0.66109044 -1.69577004 -0.07482341
  0.01487211  0.74843202  1.16581504  0.23456878  0.        ]",[-0.20309421 -0.09180123]
13,[ 0.12533221 -0.56718659],[ 0.70626649 -0.00405181],-0.184051907438,-0.184051907438,"[[-1.37645736 -3.05508209 -0.19450522 -0.00872717]
 [ 1.00947585  1.91378047  0.          0.        ]]","[-0.10284771 -0.68484625 -1.59398365  0.52033276 -1.69576328 -0.07482334
  0.2144134   0.56847763  1.12333114  0.22227644  0.        ]",[-0.20309421 -0.09180123]
14,[ 0.10236299 -0.59817892],[-0.49470652  0.52433663],-0.179648374009,-0.179648374009,"[[-1.32841204 -3.01734635 -0.19450522 -0.00872717]
 [ 3.7858017   1.85997399  0.          0.        ]]","[-0.03585851 -0.67950436 -1.57819286  0.41771138 -1.69575653 -0.07482326
  0.46057142  0.56132188  1.09071967  0.20548998  0.        ]",[-0.20309421 -0.09180123]
15,[ 0.02565169 -0.74565214],[-1.14655923 -1.22453503],-0.173412359405,-0.173412359405,"[[-1.27309934 -2.9596864  -0.19450522 -0.00872717]
 [ 1.75224351  3.89922451  0.          0.        ]]","[ 0.04027418 -0.66767397 -1.55580913  0.26188847 -1.69574978 -0.07482318
  0.2802687   0.83249302  1.04476449  0.17445152  0.        ]",[-0.20309421 -0.09180123]
16,[ 0.10767455 -0.58430541],[-0.49446366  0.77202009],-0.169689694501,-0.169689694501,"[[-1.27812892 -2.92220593 -0.19450522 -0.00872717]
 [-2.24188351 -0.13772108  0.          0.        ]]","[ 0.03340088 -0.65762149 -1.55802293  0.16144908 -1.69574302 -0.0748231
 -0.07386487  0.29567324  1.01698562  0.15864187  0.        ]",[-0.20309421 -0.09180123]
17,[ 0.07049476 -0.71691954],[-0.66729117 -1.05042972],-0.167018014543,-0.167018014543,"[[-1.34216238 -2.89426299 -0.19450522 -0.00872717]
 [-4.15508424  2.92182081  0.          0.        ]]","[-0.05495664 -0.64892553 -1.58304259  0.08710437 -1.69573627 -0.07482303
 -0.24349603  0.70252014  0.99637653  0.16064668  0.        ]",[-0.20309421 -0.09180123]
18,[ 0.19489227 -0.55270755],[ 1.54671489 -1.10035235],-0.16550859947,-0.16550859947,"[[-1.45094795 -2.8761355  -0.19450522 -0.00872717]
 [-6.71494568 -1.09567561  0.          0.        ]]","[-0.20791196 -0.64273862 -1.61162735  0.03915043 -1.69572951 -0.07482295
 -0.4704624   0.16828601  0.98370423  0.18012988  0.        ]",[-0.20309421 -0.09180123]
19,[ 0.32776505 -0.34297279],[ 0.1400769 -0.4172439],-0.172746308521,-0.172746308521,"[[-1.54419052 -2.93755729 -0.19450522 -0.00872717]
 [-2.62295026 -5.03338602  0.          0.        ]]","[-0.34068962 -0.66195951 -1.62196454  0.20249415 -1.69572276 -0.07482287
 -0.10765026 -0.35533835  1.03660441  0.21841862  0.        ]",[-0.20309421 -0.09180123]
20,[ 0.29567319 -0.37620628],[-0.47517616  0.65734332],-0.181871984447,-0.181871984447,"[[-1.59056426 -3.0350842  -0.19450522 -0.00872717]
 [-2.01632576 -2.18351942  0.          0.        ]]","[-0.40692081 -0.68224642 -1.62219894  0.46589782 -1.695716   -0.0748228
 -0.05386449  0.02362857  1.10519745  0.23800834  0.        ]",[-0.20309421 -0.09180123]
21,[ 0.21976078 -0.50793767],[-0.62731274 -1.33481934],-0.184991153303,-0.184991153303,"[[-1.64936486 -3.03897516 -0.19450522 -0.00872717]
 [-3.85762223  1.23930947  0.          0.        ]]","[-0.49079462 -0.68279188 -1.61781021  0.47648011 -1.69570925 -0.07482272
 -0.21712101  0.47878624  1.12855474  0.24542878  0.        ]",[-0.20309421 -0.09180123]
22,[ 0.23321089 -0.51610023],[-0.45085506 -3.00144569],-0.184188657344,-0.184188657344,"[[-1.75067127 -3.02061707 -0.19450522 -0.00872717]
 [-6.26499331  0.64275978  0.          0.        ]]","[-0.63422732 -0.68003482 -1.59801229  0.4265878  -1.6957025  -0.07482264
 -0.43056789  0.39945818  1.12142777  0.25524499  0.        ]",[-0.20309421 -0.09180123]
