timestep,avg_action_dist,actions,original_rewards,rewards,human_obs,obs,logstd_action_dist
0,[ 3.57199311  1.59730971],[ 3.70586549  2.52482121],-0.193720904107,-0.193720904107,"[[-0.07444798  0.02809403  0.14854104  0.17131001]
 [-0.00421699  0.00364622  0.          0.        ]]","[ 1.03541409  1.65212217 -0.21678761  1.23445906  1.27874207  1.47577324
  0.05262097  0.29439658  0.17256371 -1.94102732  0.        ]",[-0.53180379 -0.39516404]
1,[ 2.60055327  0.64947301],[ 2.84655941  0.90146864],-0.181826915612,-0.181826915612,"[[-0.03485639  0.06787863  0.14854104  0.17131001]
 [ 3.95021665  3.96162726  0.          0.        ]]","[ 1.03854072  1.64958773 -0.15705853  1.33450559  1.27874046  1.475771
  0.50961832  0.86720862  0.17510355 -1.80067265  0.        ]",[-0.53180379 -0.39516404]
2,[ 1.01637471 -0.91324061],[ 0.5713288  -0.47809341],-0.145902977688,-0.145902977688,"[[ 0.08304141  0.18212241  0.14854104  0.17131001]
 [ 7.82668664  7.45112145  0.          0.        ]]","[ 1.03443437  1.6306998   0.02092835  1.61974776  1.27873885  1.47576876
  0.95760532  1.3722185   0.13746794 -1.39128989  0.        ]",[-0.53180379 -0.39516404]
3,[-0.27387944 -1.44702959],[-0.38500022 -0.27032828],-0.0951485778612,-0.0951485778612,"[[ 0.2607079   0.31066231  0.14854104  0.17131001]
 [ 9.93295686  5.40966286  0.          0.        ]]","[ 0.9905441   1.5891343   0.28507645  1.93339216  1.27873724  1.47576652
  1.20101701  1.07677051 -0.01671341 -0.85824653  0.        ]",[-0.53180379 -0.39516404]
4,[-0.81994534 -1.62811184],[-1.82203407 -1.26967076],-0.0481790547578,-0.0481790547578,"[[ 0.44212071  0.40704664  0.14854104  0.17131001]
 [ 8.21403463  4.23269169  0.          0.        ]]","[ 0.90035104  1.54424311  0.5420836   2.16051699  1.27873563  1.47576429
  1.00236724  0.90643443 -0.25819756 -0.41421025  0.        ]",[-0.53180379 -0.39516404]
5,[-0.08171606 -0.97063082],[-0.52985014 -1.64849837],-0.0250148156933,-0.0250148156933,"[[ 0.56509505  0.45114627  0.14854104  0.17131001]
 [ 4.09707016  0.19074826  0.          0.        ]]","[ 0.8145733   1.51990265  0.70472394  2.26147026  1.27873403  1.47576205
  0.52658615  0.32147034 -0.44953136 -0.17395241  0.        ]",[-0.53180379 -0.39516404]
6,[ 0.59687173 -0.23470776],[ 2.18497982 -0.74985292],-0.0214424588459,-0.0214424588459,"[[ 0.62520697  0.41520332  0.14854104  0.17131001]
 [ 1.92136534 -3.77183403  0.          0.        ]]","[ 0.76583918  1.53991384  0.77992364  2.17933013  1.27873242  1.47575981
  0.27514861 -0.25200827 -0.50176594 -0.10366818  0.        ]",[-0.53180379 -0.39516404]
7,[-0.60976934  0.02303712],[-0.80695293  0.47716935],-0.0193699050201,-0.0193699050201,"[[ 0.70295542  0.31071099  0.14854104  0.17131001]
 [ 5.84041248 -6.66775498  0.          0.        ]]","[ 0.69655143  1.58910441  0.87241069  1.93348756  1.27873081  1.47575757
  0.7280567  -0.67111579 -0.52275865 -0.05278915  0.        ]",[-0.53180379 -0.39516404]
8,[ 0.07597658 -0.10495891],[-0.74021595 -0.55848985],-0.0192149706025,-0.0192149706025,"[[ 0.78656775  0.19764965  0.14854104  0.17131001]
 [ 2.53185159 -4.64511385  0.          0.        ]]","[ 0.61461085  1.62679614  0.96527206  1.65811292  1.2787292   1.47575534
  0.34569926 -0.37839169 -0.55000422 -0.00412314  0.        ]",[-0.53180379 -0.39516404]
9,[ 1.08866644  0.52661818],[ 2.0432593   0.70444137],-0.0169644097872,-0.0169644097872,"[[ 0.8073309   0.083494    0.14854104  0.17131001]
 [-0.4456175  -6.76339311  0.          0.        ]]","[  5.93132987e-01   1.64799971e+00   9.87196965e-01   1.37368085e+00
   1.27872759e+00   1.47575310e+00   1.60483051e-03  -6.84956323e-01
  -4.87159820e-01  -5.53319570e-02   0.00000000e+00]",[-0.53180379 -0.39516404]
