timestep,rewards,actions,original_rewards,obs,human_obs,logstd_action_dist,avg_action_dist
0,-0.292117751204,[-1.45445917 -2.55276472],-0.292117751204,"[ 1.00596527  1.91343918 -0.2629465   0.82889675 -0.45424639 -1.30103273
  0.11187945  0.31256008  1.78802953  1.31889582  0.        ]","[[-0.07811871 -0.03002686 -0.05245263 -0.14986086]
 [ 0.00449051 -0.00209799  0.          0.        ]]",[-0.28432977 -0.15352905],[-2.39603186 -2.11582446]
1,-0.285215924978,[-3.32780757 -0.44771741],-0.285215924978,"[ 1.00033697  1.91078141 -0.32335881  0.72243227 -0.45424597 -1.30103003
 -0.27472091 -0.22137268  1.77424008  1.2017754   0.        ]","[[-0.11770488 -0.0697808  -0.05245263 -0.14986086]
 [-3.94994886 -3.96010971  0.          0.        ]]",[-0.28432977 -0.15352905],[-1.77480483 -1.66686046]
2,-0.264476558085,[-0.9221122 -2.2852007],-0.264476558085,"[ 0.97022452  1.89565813 -0.50124594  0.46638674 -0.45424555 -1.30102733
 -0.65376512 -0.4497376   1.7008797   0.88396837  0.        ]","[[-0.23560429 -0.16596798 -0.05245263 -0.14986086]
 [-7.82710054 -5.65296648  0.          0.        ]]",[-0.28432977 -0.15352905],[-1.02985668 -1.43535352]
3,-0.226886974745,[-0.68983614 -0.8779673 ],-0.226886974745,"[ 0.87972525  1.84715436 -0.77862516  0.07193259 -0.45424513 -1.30102463
 -0.99512966 -0.96859188  1.48149979  0.42112383  0.        ]","[[ -0.42717926  -0.31761802  -0.05245263  -0.14986086]
 [-11.31884344  -9.49920661   0.           0.        ]]",[-0.28432977 -0.15352905],[ 0.07455206 -0.90868163]
4,-0.168949636252,[ 1.29271636  1.24121419],-0.168949636252,"[ 0.68815986  1.72339083 -1.1059817  -0.47063584 -0.4542447  -1.30102192
 -1.23999189 -1.41201856  1.01817621 -0.04552759  0.        ]","[[ -0.67868452  -0.54058315  -0.05245263  -0.14986086]
 [-13.82349899 -12.78632063   0.           0.        ]]",[-0.28432977 -0.15352905],[ 1.15189028 -0.3403241 ]
5,-0.110106263205,[ 1.47182416 -0.34208207],-0.110106263205,"[ 0.44558114  1.55161503 -1.35658265 -0.92640342 -0.45424428 -1.30101922
 -0.82671538 -0.84386998  0.48112201 -0.25586168  0.        ]","[[-0.91274228 -0.75405279 -0.05245263 -0.14986086]
 [-9.59621259 -8.57468144  0.          0.        ]]",[-0.28432977 -0.15352905],[ 1.53247166 -0.24043515]
6,-0.0667807217305,[ 2.19081819 -1.07308719],-0.0667807217305,"[ 0.26325366  1.36836727 -1.48335449 -1.25207892 -0.45424386 -1.30101652
 -0.42139133 -1.00384084  0.08668732 -0.24441489  0.        ]","[[-1.06306933 -0.93744455 -0.05245263 -0.14986086]
 [-5.45026363 -9.76054597  0.          0.        ]]",[-0.28432977 -0.15352905],[ 1.72984672  0.20606905]
7,-0.0311924081602,[ 2.86448    -0.59684035],-0.0311924081602,"[ 0.17498734  1.09816181 -1.53105984 -1.56013513 -0.45424343 -1.30101382
 -0.02399954 -1.51206186 -0.19107404 -0.10469896  0.        ]","[[ -1.13129109  -1.17045557  -0.05245263  -0.14986086]
 [ -1.38545065 -13.52798208   0.           0.        ]]",[-0.28432977 -0.15352905],[ 1.5786984   0.50802135]
8,-0.00326151981306,[ 1.39053523 -0.89809162],-0.00326151981306,"[ 0.19108035  0.72223678 -1.52294861 -1.75632634 -0.45424301 -1.30101111
  0.36551464 -1.79484665 -0.34472221  0.11855398  0.        ]","[[ -1.11902593  -1.46204865  -0.05245263  -0.14986086]
 [  2.59878484 -15.62429181   0.           0.        ]]",[-0.28432977 -0.15352905],[ 1.17546797  0.64259189]
9,-0.0310480350682,[ 1.1105085   0.10143458],-0.0310480350682,"[ 0.30754699  0.26414715 -1.45626551 -1.6976306  -0.45424259 -1.30100841
  0.74739757 -2.23288968 -0.37517447  0.3947015   0.        ]","[[ -1.02785926  -1.80711615  -0.05245263  -0.14986086]
 [  6.50496571 -18.87156005   0.           0.        ]]",[-0.28432977 -0.15352905],[ 0.85196227  0.72323   ]
10,-0.0630949854716,[ 2.3587664   1.80591106],-0.0630949854716,"[ 0.505721   -0.18428579 -1.30477549 -1.2946991  -0.45424217 -1.30100571
  1.12176876 -2.12830446 -0.30003649  0.68833546  0.        ]","[[ -0.85934091  -2.17677014  -0.05245263  -0.14986086]
 [ 10.33432069 -18.09633979   0.           0.        ]]",[-0.28432977 -0.15352905],[ 0.30562049  0.7517879 ]
11,-0.0919696840119,[-0.68871744 -0.56565363],-0.0919696840119,"[ 0.74397207 -0.49016291 -1.02802224 -0.705359   -0.45424174 -1.30100301
  1.48882303 -1.5457777  -0.16948844  0.93250587  0.        ]","[[ -0.61498566  -2.49537119  -0.05245263  -0.14986086]
 [ 14.08885146 -13.77810195   0.           0.        ]]",[-0.28432977 -0.15352905],[-0.52158958  0.69912368]
12,-0.121137483571,[ 0.60033117  2.1108799 ],-0.121137483571,"[ 0.91545056 -0.67824505 -0.68829695 -0.01242705 -0.45424132 -1.30100031
  1.19501096 -1.81107507 -0.07257966  1.1837446   0.        ]","[[ -0.36336074  -2.790665    -0.05245263  -0.14986086]
 [ 11.08355198 -15.74479634   0.           0.        ]]",[-0.28432977 -0.15352905],[-0.17730647  0.95714283]
13,-0.142796118683,[-0.39596651  1.05323686],-0.142796118683,"[ 0.99992869 -0.75238229 -0.32689211  0.62883246 -0.4542409  -1.3009976
  1.40598279 -0.42757043 -0.02466816  1.37831838  0.        ]","[[ -0.12003921  -3.03676732  -0.05245263  -0.14986086]
 [ 13.24155819  -5.48885769   0.           0.        ]]",[-0.28432977 -0.15352905],[-1.23292017  0.66264296]
