timestep,rewards,actions,original_rewards,obs,human_obs,logstd_action_dist,avg_action_dist
0,-0.218245625894,[ 2.48123565 -2.632118  ],-0.218245625894,"[ 1.02246731  1.96618205 -0.072585    0.86774423  0.10159668  0.86041781
  0.12620683  0.31470606  1.2485461  -0.70928901  0.        ]","[[ 0.04171578  0.00658578  0.01103455  0.09964536]
 [ 0.00275236 -0.00172024  0.          0.        ]]",[-0.26005962 -0.13157475],[ 1.33194423 -1.52624261]
1,-0.216413459735,[ 2.3767419  -1.51532724],-0.216413459735,"[ 1.01892801  1.96546253 -0.0119475   0.75943999  0.10159659  0.8604165
  0.49713416 -0.21451325  1.24658683 -0.67368797  0.        ]","[[ 0.08147622 -0.03319157  0.01103455  0.09964536]
 [ 3.96011119 -3.96280789  0.          0.        ]]",[-0.26005962 -0.13157475],[ 1.24553001 -1.36460209]
2,-0.210485644192,[ 2.04548441 -1.18911804],-0.210485644192,"[ 0.99502436  1.95081866  0.16666776  0.43908688  0.1015965   0.86041519
  0.86072312 -0.73324822  1.23335782 -0.56881784  0.        ]","[[ 0.19959831 -0.15140342  0.01103455  0.09964536]
 [ 7.839184   -7.84542527  0.          0.        ]]",[-0.26005962 -0.13157475],[ 0.88588595 -1.25193441]
3,-0.199170174428,[-0.42565041 -2.14141011],-0.199170174428,"[ 0.91267749  1.88630576  0.45104311 -0.07498488  0.10159641  0.86041388
  1.21712689 -1.24169282  1.18777962 -0.40186757  0.        ]","[[  3.94532603e-01  -3.46495221e-01   1.10345465e-02   9.96453562e-02]
 [  1.16416128e+01  -1.16510334e+01   0.00000000e+00   0.00000000e+00]]",[-0.26005962 -0.13157475],[ 0.13873164 -1.19434047]
4,-0.186175291444,[ 0.59054017  0.40021616],-0.186175291444,"[ 0.76454369  1.71841645  0.73678284 -0.72560796  0.10159632  0.86041257
  1.03785208 -1.73976545  1.10674773 -0.2899852   0.        ]","[[  6.08175348e-01  -6.16920122e-01   1.10345465e-02   9.96453562e-02]
 [  9.72898505e+00  -1.53790368e+01   0.00000000e+00   0.00000000e+00]]",[-0.26005962 -0.13157475],[ 0.14248228 -0.95355415]
5,-0.170187364263,[ 1.27888417 -1.60368354],-0.170187364263,"[ 0.55988217  1.45172963  0.98536149 -1.29267409  0.10159623  0.86041126
  1.23877412 -1.48740692  0.99058492 -0.21553012  0.        ]","[[  8.24261704e-01  -9.05550330e-01   1.10345465e-02   9.96453562e-02]
 [  1.18726124e+01  -1.34902200e+01   0.00000000e+00   0.00000000e+00]]",[-0.26005962 -0.13157475],[-0.4702608  -1.02277398]
6,-0.145533505527,[-0.97616004 -1.11535609],-0.145533505527,"[ 0.23512984  1.09354576  1.22486868 -1.70032041  0.10159614  0.86040995
  1.58778622 -1.98077581  0.8080749  -0.10627527  0.        ]","[[  1.09907274e+00  -1.21240731e+00   1.10345465e-02   9.96453562e-02]
 [  1.55962085e+01  -1.71830454e+01   0.00000000e+00   0.00000000e+00]]",[-0.26005962 -0.13157475],[-1.10788703 -0.85902274]
7,-0.119138529421,[ 0.04575969  0.46696334],-0.119138529421,"[-0.13222195  0.59309634  1.36079295 -1.87270049  0.10159606  0.86040864
  1.19690935 -2.46410667  0.58851057 -0.13329642  0.        ]","[[  1.36915930e+00  -1.59236500e+00   1.10345465e-02   9.96453562e-02]
 [  1.14260389e+01  -2.08007978e+01   0.00000000e+00   0.00000000e+00]]",[-0.26005962 -0.13157475],[-0.58091176 -0.55886275]
8,-0.0973432555862,[-0.34825386 -1.65942064],-0.0973432555862,"[-0.45990117  0.08028915  1.3912143  -1.64229206  0.10159597  0.86040733
  1.19268637 -2.16197238  0.36337276 -0.27093739  0.        ]","[[  1.59722778e+00  -1.98569203e+00   1.10345465e-02   9.96453562e-02]
 [  1.13810117e+01  -1.85394512e+01   0.00000000e+00   0.00000000e+00]]",[-0.26005962 -0.13157475],[-0.51553005 -0.37522346]
9,-0.085144325476,[-0.91946232 -0.52812588],-0.085144325476,"[-0.76242105 -0.36222118  1.34868368 -1.00453197  0.10159588  0.86040602
  1.04237585 -2.64186525  0.11573258 -0.46618292  0.        ]","[[  1.80876006e+00  -2.39252089e+00   1.10345465e-02   9.96453562e-02]
 [  9.77739419e+00  -2.21315222e+01   0.00000000e+00   0.00000000e+00]]",[-0.26005962 -0.13157475],[-0.29512215 -0.12467524]
10,-0.0946900478826,[ 0.53337395  2.19689852],-0.0946900478826,"[-0.97796726 -0.6659357   1.2740494   0.07150102  0.10159579  0.86040472
  0.68300025 -2.86267557 -0.18120854 -0.73061727  0.        ]","[[  1.96584018e+00  -2.85173487e+00   1.10345465e-02   9.96453562e-02]
 [  5.94328511e+00  -2.37844385e+01   0.00000000e+00   0.00000000e+00]]",[-0.26005962 -0.13157475],[-0.04763988  0.28762779]
11,-0.111775703486,[-0.67654131  0.00810391],-0.111775703486,"[-1.1572913  -0.72103474  1.17905897  0.95322701  0.1015957   0.86040341
  0.86998419 -0.25063783 -0.4319561  -0.89822871  0.        ]","[[ 2.10471865 -3.1795756   0.01103455  0.09964536]
 [ 7.93819901 -4.23346658  0.          0.        ]]",[-0.26005962 -0.13157475],[-0.39097494  0.44730589]
