timestep,avg_action_dist,actions,original_rewards,rewards,human_obs,obs,logstd_action_dist
0,[-3.40112042 -1.5525496 ],[-3.00561674 -2.62885586],-0.397089239558,-0.397089239558,"[[-0.02930058  0.05494887 -0.15895421 -0.14711549]
 [ 0.00302448 -0.00217604  0.          0.        ]]","[ 1.01887618  1.76748843 -0.16690765  1.19140558 -1.38635142 -1.26012093
  0.06671651  0.30087008  2.86780377  1.60258675  0.        ]",[-0.38011211 -0.26136366]
1,[-2.88404703 -0.99460375],[-2.71221802 -0.84536404],-0.392274588641,-0.392274588641,"[[-0.06891577  0.01519337 -0.15895421 -0.14711549]
 [-3.95137991 -3.9601881   0.          0.        ]]","[ 1.0160415   1.76933775 -0.22707919  1.09028791 -1.38634909 -1.26011906
 -0.36071149 -0.25234815  2.86499264  1.47229776  0.        ]",[-0.38011211 -0.26136366]
2,[-2.28551936 -0.67032075],[-2.43228613 -1.04502223],-0.37576048538,-0.37576048538,"[[-0.18683705 -0.09679306 -0.15895421 -0.14711549]
 [-7.82785892 -7.22756735  0.          0.        ]]","[ 0.9941397   1.7632628  -0.40485071  0.80564674 -1.38634676 -1.26011718
 -0.77971632 -0.7090352   2.81431224  1.09655147  0.        ]",[-0.38011211 -0.26136366]
3,[-1.52775431 -0.38328201],[-1.38508059  0.00141262],-0.341226834204,-0.341226834204,"[[ -0.38151828  -0.27962125  -0.15895421  -0.14711549]
 [-11.62769427 -11.04252459   0.           0.        ]]","[ 0.91472835  1.71783597 -0.68860528  0.34916809 -1.38634443 -1.2601153
 -1.19043596 -1.24225718  2.60035604  0.52708704  0.        ]",[-0.38011211 -0.26136366]
4,[-0.92000318 -0.29612643],[-0.77857746 -1.92666334],-0.283784210923,-0.283784210923,"[[ -0.65146305  -0.49820556  -0.15895421  -0.14711549]
 [-15.35447631 -10.8166197    0.           0.        ]]","[ 0.72106548  1.60783832 -1.04451148 -0.16459941 -1.3863421  -1.26011343
 -1.59325764 -1.21068032  2.11344508 -0.05094943  0.        ]",[-0.38011211 -0.26136366]
5,[ 0.45862114  0.89178145],[ 0.23831324  1.23221717],-0.200813459686,-0.200813459686,"[[ -0.9864092   -0.752101    -0.15895421  -0.14711549]
 [-18.13115819 -14.56038376   0.           0.        ]]","[ 0.36623056  1.41078658 -1.390804   -0.68718878 -1.38633977 -1.26011155
 -1.89338172 -1.73394902  1.33929837 -0.36784973  0.        ]",[-0.38011211 -0.26136366]
6,[ 1.46914172  1.56022871],[ 1.6061323   1.69688595],-0.109974757392,-0.109974757392,"[[ -1.33600754  -1.00068257  -0.15895421  -0.14711549]
 [-16.83285566 -10.31191245   0.           0.        ]]","[-0.09868129  1.15743332 -1.60145678 -1.09102023 -1.38633744 -1.26010967
 -1.75304545 -1.14013165  0.54643036 -0.21039355  0.        ]",[-0.38011211 -0.26136366]
7,[ 1.98152101  1.4835639 ],[ 1.62939426  0.45182747],-0.0505969008464,-0.0505969008464,"[[ -1.6296491   -1.16514757  -0.15895421  -0.14711549]
 [-12.54535739  -6.14850492   0.           0.        ]]","[-0.52338329  0.96446998 -1.64054668 -1.28701573 -1.3863351  -1.2601078
 -1.28961284 -0.55820498  0.0489162   0.1937378   0.        ]",[-0.38011211 -0.26136366]
8,[ 2.15327549  1.36065769],[ 0.16589355  2.40250772],-0.0520593656097,-0.0520593656097,"[[-1.83837538 -1.26895169 -0.15895421 -0.14711549]
 [-8.34116778 -4.23831196  0.          0.        ]]","[-0.82294625  0.83504165 -1.58905578 -1.37849558 -1.38633277 -1.26010592
 -0.83518629 -0.29121391 -0.18983553  0.57398772  0.        ]",[-0.38011211 -0.26136366]
9,[ 2.2715497   1.00364149],[ 3.83885794  0.66257522],-0.075074838135,-0.075074838135,"[[-1.99696817 -1.31314738 -0.15895421 -0.14711549]
 [-7.52077156 -0.19474073  0.          0.        ]]","[-1.04005033  0.77856137 -1.50714253 -1.40954949 -1.38633044 -1.26010404
 -0.74650997  0.27396298 -0.30817957  0.8576366   0.        ]",[-0.38011211 -0.26136366]
10,[ 1.56808627  0.33935115],[ 2.26450536 -0.37203975],-0.0889031544138,-0.0889031544138,"[[-2.10619304 -1.29068859 -0.15895421 -0.14711549]
 [-3.41538652  2.43183423  0.          0.        ]]","[-1.18109467  0.80735131 -1.43035525 -1.3943624  -1.38632811 -1.26010217
 -0.30276353  0.64108365 -0.37593084  1.00538533  0.        ]",[-0.38011211 -0.26136366]
11,[ 0.93981284  0.29499415],[-0.05686723  0.54195194],-0.0897729879824,-0.0897729879824,"[[-2.13411624 -1.25732456 -0.15895421 -0.14711549]
 [ 0.60964294  0.90963244  0.          0.        ]]","[-1.21579378  0.84977434 -1.40818009 -1.36952697 -1.38632578 -1.26010029
  0.13229734  0.42832235 -0.39828112  1.01439175  0.        ]",[-0.38011211 -0.26136366]
12,[ 0.68731296 -0.12486523],[ 1.14510638 -1.51418276],-0.0839668512373,-0.0839668512373,"[[-2.12430749 -1.21778144 -0.15895421 -0.14711549]
 [ 0.37201694  3.03758799  0.          0.        ]]","[-1.20367025  0.89945952 -1.41608153 -1.33660517 -1.38632345 -1.26009841
  0.10661254  0.7257502  -0.4016245   0.95466651  0.        ]",[-0.38011211 -0.26136366]
13,[ 0.19101584  0.22433847],[-0.53959082  0.56966925],-0.0742695315618,-0.0742695315618,"[[-2.07722969 -1.19737064 -0.15895421 -0.14711549]
 [ 4.32261255 -0.98309538  0.          0.        ]]","[-1.14448425  0.9248284  -1.45226872 -1.31814658 -1.38632112 -1.26009654
  0.5336281   0.16377122 -0.3766554   0.8549992   0.        ]",[-0.38011211 -0.26136366]
14,[ 0.33134598  0.00101054],[ 0.97099311  1.1420224 ],-0.0642740757119,-0.0642740757119,"[[-2.01306371 -1.19419943 -0.15895421 -0.14711549]
 [ 2.10137519  1.29262101  0.          0.        ]]","[-1.06131979  0.92875124 -1.49683149 -1.31518813 -1.38631879 -1.26009466
  0.29353648  0.48185244 -0.33272912  0.74914969  0.        ]",[-0.38011211 -0.26136366]
15,[-1.14018285 -1.07825077],[-1.91724371 -1.91745016],-0.0469352057477,-0.0469352057477,"[[-1.93291492 -1.12888516 -0.15895421 -0.14711549]
 [ 5.90077399  5.22571284  0.          0.        ]]","[-0.95387623  1.0084146  -1.54452899 -1.24904833 -1.38631645 -1.26009278
  0.7042095   1.03158781 -0.26665317  0.55268971  0.        ]",[-0.38011211 -0.26136366]
16,[-0.03274637 -0.28266892],[-0.58845155 -0.46804353],-0.0358504270389,-0.0358504270389,"[[-1.85576172 -1.0651249  -0.15895421 -0.14711549]
 [ 1.82818568  1.16383482  0.          0.        ]]","[-0.84730947  1.08384562 -1.58182102 -1.17501625 -1.38631412 -1.26009091
  0.26400677  0.4638502  -0.18157558  0.37004774  0.        ]",[-0.38011211 -0.26136366]
17,[ 0.60866708  0.17746702],[ 1.5597061  -1.53264919],-0.0353827134087,-0.0353827134087,"[[-1.84291687 -1.0606671  -0.15895421 -0.14711549]
 [-0.53582586 -0.71180743  0.          0.        ]]","[-0.82931304  1.0890237  -1.58718895 -1.16949665 -1.38631179 -1.26008903
  0.00848265  0.20168747 -0.16686016  0.347393    0.        ]",[-0.38011211 -0.26136366]
18,[ 0.20973307  0.60074222],[-0.91151861  0.78075484],-0.0382942746547,-0.0382942746547,"[[-1.81381663 -1.11450061 -0.15895421 -0.14711549]
 [ 3.43264448 -4.65837297  0.          0.        ]]","[-0.7883085   1.02564149 -1.59845879 -1.23314836 -1.38630946 -1.26008715
  0.43743138 -0.34993268 -0.14741578  0.36705004  0.        ]",[-0.38011211 -0.26136366]
19,[ 0.61025316  0.43913242],[ 0.33978676  0.62206867],-0.0417718684114,-0.0417718684114,"[[-1.78204115 -1.17571513 -0.15895421 -0.14711549]
 [-0.24286973 -1.47371141  0.          0.        ]]","[-0.74319657  0.95151712 -1.60933703 -1.29747437 -1.38630713 -1.26008528
  0.04014756  0.09519482 -0.12569344  0.39230917  0.        ]",[-0.38011211 -0.26136366]
20,[ 0.10093474 -0.06233612],[-0.02489731 -0.05283241],-0.0420111798047,-0.0420111798047,"[[-1.77336678 -1.18018662 -0.15895421 -0.14711549]
 [ 1.10581721  1.01826001  0.          0.        ]]","[-0.73082551  0.94602312 -1.61204381 -1.3018291  -1.3863048  -1.2600834
  0.18592617  0.44350337 -0.11746458  0.38583342  0.        ]",[-0.38011211 -0.26136366]
21,[ 0.08394304 -0.06774127],[ 0.38231649 -0.12133469],-0.0413828117211,-0.0413828117211,"[[-1.75245792 -1.16212225 -0.15895421 -0.14711549]
 [ 0.98547003  0.78894115  0.          0.        ]]","[-0.70091815  0.96814982 -1.61811184 -1.28393826 -1.38630247 -1.26008152
  0.17291781  0.41145062 -0.09153608  0.33860449  0.        ]",[-0.38011211 -0.26136366]
22,[-0.25874591 -0.11820862],[ 0.28382484 -0.92557991],-0.0426340751017,-0.0426340751017,"[[-1.71776466 -1.15132429 -0.15895421 -0.14711549]
 [ 2.47888133  0.29251304  0.          0.        ]]","[-0.65104691  0.98129369 -1.62673865 -1.27287897 -1.38630014 -1.26007965
  0.33433967  0.34206339 -0.05040563  0.28295869  0.        ]",[-0.38011211 -0.26136366]
23,[-0.21399194  0.40859315],[-0.46648106  0.86296858],-0.0476313189956,-0.0476313189956,"[[-1.65740132 -1.1823059  -0.15895421 -0.14711549]
 [ 3.55387737 -3.37843284  0.          0.        ]]","[-0.56369896  0.94341294 -1.6374304  -1.30387164 -1.3862978  -1.26007777
  0.45053519 -0.1710342   0.01060949  0.24386468  0.        ]",[-0.38011211 -0.26136366]
24,[-0.26781893 -0.02886534],[-0.52890953 -0.86762824],-0.0525987451928,-0.0525987451928,"[[-1.60555767 -1.21491442 -0.15895421 -0.14711549]
 [ 1.63686669  0.1059579   0.          0.        ]]","[-0.4883008   0.90302163 -1.64220798 -1.33404929 -1.38629547 -1.26007589
  0.24332613  0.31598826  0.06202668  0.21995629  0.        ]",[-0.38011211 -0.26136366]
25,[ 0.35981733  0.67525971],[-0.29454071 -0.29589331],-0.0535728096608,-0.0535728096608,"[[-1.59413546 -1.24728    -0.15895421 -0.14711549]
 [-0.48759185 -3.33106725  0.          0.        ]]","[-0.47166342  0.8624441  -1.64270904 -1.36149381 -1.38629314 -1.26007402
  0.01369413 -0.16441414  0.06589928  0.2421231   0.        ]",[-0.38011211 -0.26136366]
26,[ 0.78617162  1.06931043],[ 0.79714852  1.94064763],-0.0530887454826,-0.0530887454826,"[[-1.61548279 -1.32499209 -0.15895421 -0.14711549]
 [-1.6433157  -4.43646056  0.          0.        ]]","[-0.5027513   0.76328998 -1.64160155 -1.41702319 -1.38629081 -1.26007214
 -0.11122767 -0.3189179   0.02320017  0.35131286  0.        ]",[-0.38011211 -0.26136366]
27,[ 0.01388305  0.39299962],[ 0.71935884  0.96066436],-0.054945824972,-0.054945824972,"[[-1.61638252 -1.3731192  -0.15895421 -0.14711549]
 [ 1.54277646 -0.38972959  0.          0.        ]]","[-0.50406067  0.70086568 -1.64153632 -1.44395737 -1.38628848 -1.26007026
  0.23315619  0.24670532  0.01401949  0.40594983  0.        ]",[-0.38011211 -0.26136366]
28,[-1.10975707 -0.54366529],[-1.79345532 -0.88268968],-0.057402785685,-0.057402785685,"[[-1.55728017 -1.34267706 -0.15895421 -0.14711549]
 [ 4.358044    3.42125352  0.          0.        ]]","[-0.41796134  0.74042974 -1.64297383 -1.42758441 -1.38628615 -1.26006839
  0.5374576   0.7793771   0.08319353  0.30574261  0.        ]",[-0.38011211 -0.26136366]
29,[-0.19082797  0.13798895],[-0.92884359  0.10479324],-0.0618762839274,-0.0618762839274,"[[-1.51068085 -1.30998941 -0.15895421 -0.14711549]
 [ 0.31539299 -0.14062955  0.          0.        ]]","[-0.35010972  0.78260092 -1.64036209 -1.40744663 -1.38628382 -1.26006651
  0.10048787  0.28152177  0.14571842  0.22136321  0.        ]",[-0.38011211 -0.26136366]
